text,audio_path,gender,words,starts,tts,name,phrase,long_short,phrase_idx,phones,phone_starts,phone_ends,ends,vad_list,scp
Are you a student?,dataset_phrases/audio/student_short_female_en-US-Wavenet-G.wav,female,"['are', 'you', 'a', 'student']","[0.0, 0.08, 0.28, 0.33]",en-US-Wavenet-G,student_short_female_en-US-Wavenet-G,student,short,0,"['AA1', 'R', 'Y', 'UW1', 'AH0', 'S', 'T', 'UW1', 'D', 'AH0', 'N', 'T']","[0.0, 0.03, 0.08, 0.2, 0.28, 0.33, 0.44, 0.5, 0.59, 0.64, 0.7, 0.75]","[0.03, 0.08, 0.2, 0.28, 0.33, 0.44, 0.5, 0.59, 0.64, 0.7, 0.75, 0.78]","[0.08, 0.28, 0.33, 0.78]","[[[0.0, 0.08], [0.08, 0.28], [0.28, 0.33], [0.33, 0.78]], []]",0.78
Are you a student?,dataset_phrases/audio/student_short_female_en-US-Wavenet-H.wav,female,"['are', 'you', 'a', 'student']","[0.0, 0.06, 0.27, 0.33]",en-US-Wavenet-H,student_short_female_en-US-Wavenet-H,student,short,1,"['ER0', 'Y', 'UW1', 'AH0', 'S', 'T', 'UW1', 'D', 'AH0', 'N', 'T']","[0.0, 0.06, 0.2, 0.27, 0.33, 0.42, 0.49, 0.58, 0.61, 0.68, 0.73]","[0.06, 0.2, 0.27, 0.33, 0.42, 0.49, 0.58, 0.61, 0.68, 0.73, 0.76]","[0.06, 0.27, 0.33, 0.76]","[[[0.0, 0.06], [0.06, 0.27], [0.27, 0.33], [0.33, 0.76]], []]",0.76
Are you a student?,dataset_phrases/audio/student_short_female_en-US-Wavenet-C.wav,female,"['are', 'you', 'a', 'student']","[0.0, 0.07, 0.28, 0.34]",en-US-Wavenet-C,student_short_female_en-US-Wavenet-C,student,short,2,"['AA1', 'R', 'Y', 'UW1', 'AH0', 'S', 'T', 'UW1', 'D', 'AH0', 'N', 'T']","[0.0, 0.04, 0.07, 0.2, 0.28, 0.34, 0.45, 0.52, 0.61, 0.65, 0.7, 0.76]","[0.04, 0.07, 0.2, 0.28, 0.34, 0.45, 0.52, 0.61, 0.65, 0.7, 0.76, 0.84]","[0.07, 0.28, 0.34, 0.84]","[[[0.0, 0.07], [0.07, 0.28], [0.28, 0.34], [0.34, 0.84]], []]",0.84
Are you a student?,dataset_phrases/audio/student_short_female_en-US-Wavenet-E.wav,female,"['are', 'you', 'a', 'student']","[0.0, 0.06, 0.28, 0.34]",en-US-Wavenet-E,student_short_female_en-US-Wavenet-E,student,short,3,"['AA1', 'R', 'Y', 'UW1', 'AH0', 'S', 'T', 'UW1', 'D', 'AH0', 'N', 'T']","[0.0, 0.03, 0.06, 0.19, 0.28, 0.34, 0.46, 0.52, 0.6, 0.63, 0.7, 0.78]","[0.03, 0.06, 0.19, 0.28, 0.34, 0.46, 0.52, 0.6, 0.63, 0.7, 0.78, 0.84]","[0.06, 0.28, 0.34, 0.84]","[[[0.0, 0.06], [0.06, 0.28], [0.28, 0.34], [0.34, 0.84]], []]",0.84
Are you a student?,dataset_phrases/audio/student_short_female_en-US-Wavenet-F.wav,female,"['are', 'you', 'a', 'student']","[0.0, 0.08, 0.31, 0.37]",en-US-Wavenet-F,student_short_female_en-US-Wavenet-F,student,short,4,"['AA1', 'R', 'Y', 'UW1', 'AH0', 'S', 'T', 'UW1', 'D', 'AH0', 'N', 'T']","[0.0, 0.05, 0.08, 0.23, 0.31, 0.37, 0.52, 0.58, 0.67, 0.7, 0.78, 0.84]","[0.05, 0.08, 0.23, 0.31, 0.37, 0.52, 0.58, 0.67, 0.7, 0.78, 0.84, 0.93]","[0.08, 0.31, 0.37, 0.93]","[[[0.0, 0.08], [0.08, 0.31], [0.31, 0.37], [0.37, 0.93]], []]",0.93
Are you a student?,dataset_phrases/audio/student_short_male_en-US-Wavenet-I.wav,male,"['are', 'you', 'a', 'student']","[0.0, 0.05, 0.22, 0.27]",en-US-Wavenet-I,student_short_male_en-US-Wavenet-I,student,short,0,"['ER0', 'Y', 'UW1', 'AH0', 'S', 'T', 'UW1', 'D', 'AH0', 'N', 'T']","[0.0, 0.05, 0.15, 0.22, 0.27, 0.38, 0.44, 0.51, 0.55, 0.6, 0.65]","[0.05, 0.15, 0.22, 0.27, 0.38, 0.44, 0.51, 0.55, 0.6, 0.65, 0.7]","[0.05, 0.22, 0.27, 0.7]","[[[0.0, 0.05], [0.05, 0.22], [0.22, 0.27], [0.27, 0.7]], []]",0.7
Are you a student?,dataset_phrases/audio/student_short_male_en-US-Wavenet-J.wav,male,"['are', 'you', 'a', 'student']","[0.0, 0.08, 0.27, 0.32]",en-US-Wavenet-J,student_short_male_en-US-Wavenet-J,student,short,1,"['AA1', 'R', 'Y', 'UW1', 'AH0', 'S', 'T', 'UW1', 'D', 'AH0', 'N', 'T']","[0.0, 0.04, 0.08, 0.17, 0.27, 0.32, 0.42, 0.49, 0.59, 0.63, 0.68, 0.73]","[0.04, 0.08, 0.17, 0.27, 0.32, 0.42, 0.49, 0.59, 0.63, 0.68, 0.73, 0.78]","[0.08, 0.27, 0.32, 0.78]","[[[0.0, 0.08], [0.08, 0.27], [0.27, 0.32], [0.32, 0.78]], []]",0.78
Are you a student?,dataset_phrases/audio/student_short_male_en-US-Wavenet-A.wav,male,"['are', 'you', 'a', 'student']","[0.0, 0.1, 0.38, 0.44]",en-US-Wavenet-A,student_short_male_en-US-Wavenet-A,student,short,2,"['AA1', 'R', 'Y', 'UW1', 'AH0', 'S', 'T', 'UW1', 'D', 'AH0', 'N', 'T']","[0.0, 0.04, 0.1, 0.26, 0.38, 0.44, 0.56, 0.64, 0.75, 0.78, 0.85, 0.92]","[0.04, 0.1, 0.26, 0.38, 0.44, 0.56, 0.64, 0.75, 0.78, 0.85, 0.92, 0.99]","[0.1, 0.38, 0.44, 0.99]","[[[0.0, 0.1], [0.1, 0.38], [0.38, 0.44], [0.44, 0.99]], []]",0.99
Are you a student?,dataset_phrases/audio/student_short_male_en-US-Wavenet-B.wav,male,"['are', 'you', 'a', 'student']","[0.0, 0.09, 0.31, 0.39]",en-US-Wavenet-B,student_short_male_en-US-Wavenet-B,student,short,3,"['AA1', 'R', 'Y', 'UW1', 'AH0', 'S', 'T', 'UW1', 'D', 'AH0', 'N', 'T']","[0.0, 0.04, 0.09, 0.2, 0.31, 0.39, 0.5, 0.56, 0.69, 0.73, 0.81, 0.87]","[0.04, 0.09, 0.2, 0.31, 0.39, 0.5, 0.56, 0.69, 0.73, 0.81, 0.87, 0.95]","[0.09, 0.31, 0.39, 0.95]","[[[0.0, 0.09], [0.09, 0.31], [0.31, 0.39], [0.39, 0.95]], []]",0.95
Are you a student?,dataset_phrases/audio/student_short_male_en-US-Wavenet-D.wav,male,"['are', 'you', 'a', 'student']","[0.0, 0.05, 0.23, 0.28]",en-US-Wavenet-D,student_short_male_en-US-Wavenet-D,student,short,4,"['ER0', 'Y', 'UW1', 'AH0', 'S', 'T', 'UW1', 'D', 'AH0', 'N', 'T']","[0.0, 0.05, 0.15, 0.23, 0.28, 0.39, 0.45, 0.55, 0.58, 0.62, 0.67]","[0.05, 0.15, 0.23, 0.28, 0.39, 0.45, 0.55, 0.58, 0.62, 0.67, 0.73]","[0.05, 0.23, 0.28, 0.73]","[[[0.0, 0.05], [0.05, 0.23], [0.23, 0.28], [0.28, 0.73]], []]",0.73
Are you a student here at this university?,dataset_phrases/audio/student_long_female_en-US-Wavenet-G.wav,female,"['are', 'you', 'a', 'student', 'here', 'at', 'this', 'university']","[0.0, 0.07, 0.26, 0.31, 0.8, 1.0, 1.13, 1.32]",en-US-Wavenet-G,student_long_female_en-US-Wavenet-G,student,long,0,"['AA1', 'R', 'Y', 'UW1', 'AH0', 'S', 'T', 'UW1', 'D', 'AH0', 'N', 'T', 'HH', 'IY1', 'R', 'AE1', 'T', 'DH', 'IH0', 'S', 'Y', 'UW2', 'N', 'AH0', 'V', 'ER1', 'S', 'AH0', 'T', 'IY0']","[0.0, 0.03, 0.07, 0.18, 0.26, 0.31, 0.41, 0.48, 0.57, 0.61, 0.67, 0.7, 0.8, 0.81, 0.93, 1.0, 1.07, 1.13, 1.14, 1.23, 1.32, 1.38, 1.42, 1.45, 1.51, 1.57, 1.67, 1.75, 1.8, 1.83]","[0.03, 0.07, 0.18, 0.26, 0.31, 0.41, 0.48, 0.57, 0.61, 0.67, 0.7, 0.8, 0.81, 0.93, 1.0, 1.07, 1.13, 1.14, 1.23, 1.32, 1.38, 1.42, 1.45, 1.51, 1.57, 1.67, 1.75, 1.8, 1.83, 1.98]","[0.07, 0.26, 0.31, 0.8, 1.0, 1.13, 1.32, 1.98]","[[[0.0, 0.07], [0.07, 0.26], [0.26, 0.31], [0.31, 0.8], [0.8, 1.0], [1.0, 1.13], [1.13, 1.32], [1.32, 1.98]], []]",0.8
Are you a student here at this university?,dataset_phrases/audio/student_long_female_en-US-Wavenet-H.wav,female,"['are', 'you', 'a', 'student', 'here', 'at', 'this', 'university']","[0.0, 0.04, 0.26, 0.32, 0.75, 0.92, 1.05, 1.24]",en-US-Wavenet-H,student_long_female_en-US-Wavenet-H,student,long,1,"['ER0', 'Y', 'UW1', 'AH0', 'S', 'T', 'UW1', 'D', 'AH0', 'N', 'T', 'HH', 'IY1', 'R', 'AE1', 'T', 'DH', 'IH0', 'S', 'Y', 'UW2', 'N', 'AH0', 'V', 'ER1', 'S', 'AH0', 'T', 'IY0']","[0.0, 0.04, 0.19, 0.26, 0.32, 0.41, 0.47, 0.56, 0.6, 0.64, 0.68, 0.75, 0.76, 0.88, 0.92, 0.98, 1.05, 1.06, 1.14, 1.24, 1.29, 1.33, 1.37, 1.42, 1.47, 1.58, 1.67, 1.72, 1.75]","[0.04, 0.19, 0.26, 0.32, 0.41, 0.47, 0.56, 0.6, 0.64, 0.68, 0.75, 0.76, 0.88, 0.92, 0.98, 1.05, 1.06, 1.14, 1.24, 1.29, 1.33, 1.37, 1.42, 1.47, 1.58, 1.67, 1.72, 1.75, 1.89]","[0.04, 0.26, 0.32, 0.75, 0.92, 1.05, 1.24, 1.89]","[[[0.0, 0.04], [0.04, 0.26], [0.26, 0.32], [0.32, 0.75], [0.75, 0.92], [0.92, 1.05], [1.05, 1.24], [1.24, 1.89]], []]",0.75
Are you a student here at this university?,dataset_phrases/audio/student_long_female_en-US-Wavenet-C.wav,female,"['are', 'you', 'a', 'student', 'here', 'at', 'this', 'university']","[0.0, 0.06, 0.28, 0.33, 0.81, 1.02, 1.19, 1.38]",en-US-Wavenet-C,student_long_female_en-US-Wavenet-C,student,long,2,"['AA1', 'R', 'Y', 'UW1', 'AH0', 'S', 'T', 'UW1', 'D', 'AH0', 'N', 'T', 'HH', 'IY1', 'R', 'AE1', 'T', 'DH', 'IH0', 'S', 'Y', 'UW2', 'N', 'AH0', 'V', 'ER1', 'S', 'AH0', 'T', 'IY0']","[0.0, 0.03, 0.06, 0.19, 0.28, 0.33, 0.44, 0.5, 0.58, 0.61, 0.64, 0.71, 0.81, 0.82, 0.93, 1.02, 1.09, 1.19, 1.2, 1.27, 1.38, 1.43, 1.47, 1.51, 1.57, 1.64, 1.73, 1.84, 1.89, 1.94]","[0.03, 0.06, 0.19, 0.28, 0.33, 0.44, 0.5, 0.58, 0.61, 0.64, 0.71, 0.81, 0.82, 0.93, 1.02, 1.09, 1.19, 1.2, 1.27, 1.38, 1.43, 1.47, 1.51, 1.57, 1.64, 1.73, 1.84, 1.89, 1.94, 2.07]","[0.06, 0.28, 0.33, 0.81, 1.02, 1.19, 1.38, 2.07]","[[[0.0, 0.06], [0.06, 0.28], [0.28, 0.33], [0.33, 0.81], [0.81, 1.02], [1.02, 1.19], [1.19, 1.38], [1.38, 2.07]], []]",0.81
