sw2006A-ms98-a-0002,16.453250,17.050500,right,B,aa,u-2-1
sw2006A-ms98-a-0004,26.200875,26.600875,me,B,sd,u-4-1
sw2006A-ms98-a-0004,26.600875,26.800875,i'm,I,sd,u-4-1
sw2006A-ms98-a-0004,26.800875,26.950875,in,I,sd,u-4-1
sw2006A-ms98-a-0004,26.950875,27.040875,the,I,sd,u-4-1
sw2006A-ms98-a-0004,27.040875,27.412000,legal,I,sd,u-4-1
sw2006A-ms98-a-0004,27.412000,28.105000,department,I,sd,u-4-1
sw2006A-ms98-a-0004,28.105000,28.540875,and,B,sd,u-4-2
sw2006A-ms98-a-0004,28.540875,29.171875,um,I,sd,u-4-2
sw2006A-ms98-a-0004,29.639000,29.820875,we,I,sd,u-4-2
sw2006A-ms98-a-0004,29.820875,30.150875,do,I,sd,u-4-2
sw2006A-ms98-a-0004,30.150875,30.710625,have,I,sd,u-4-2
sw2006A-ms98-a-0004,30.710625,31.087250,uh,I,sd,u-4-2
sw2006A-ms98-a-0004,31.087250,31.170875,a,I,sd,u-4-2
sw2006A-ms98-a-0004,31.170875,31.440875,group,I,sd,u-4-2
sw2006A-ms98-a-0004,31.440875,31.570875,of,I,sd,u-4-2
sw2006A-ms98-a-0004,31.570875,32.283125,attorneys,I,sd,u-4-2
sw2006A-ms98-a-0004,32.283125,32.610875,who,I,sd,u-4-2
sw2006A-ms98-a-0004,32.610875,33.070875,handle,I,sd,u-4-2
sw2006A-ms98-a-0004,33.070875,33.230875,our,I,sd,u-4-2
sw2006A-ms98-a-0004,33.230875,33.830875,environmental,I,sd,u-4-2
sw2006A-ms98-a-0004,33.830875,34.468625,issues,I,sd,u-4-2
sw2006A-ms98-a-0005,34.885125,35.401500,and,B,sd,u-6-1
sw2006A-ms98-a-0005,35.901125,36.315125,i,I,sd,u-6-1
sw2006A-ms98-a-0005,36.315125,36.705125,don't,I,sd,u-6-1
sw2006A-ms98-a-0005,36.705125,36.885125,know,I,sd,u-6-1
sw2006A-ms98-a-0005,36.885125,37.145125,too,I,sd,u-6-1
sw2006A-ms98-a-0005,37.145125,37.355125,much,I,sd,u-6-1
sw2006A-ms98-a-0005,37.355125,37.595125,about,I,sd,u-6-1
sw2006A-ms98-a-0005,37.595125,37.685125,the,I,sd,u-6-1
sw2006A-ms98-a-0005,37.685125,37.895125,air,I,sd,u-6-1
sw2006A-ms98-a-0005,37.895125,38.435125,pollution,I,sd,u-6-1
sw2006A-ms98-a-0005,38.435125,38.695125,thing,I,sd,u-6-1
sw2006A-ms98-a-0005,38.695125,38.785125,i,B,sd,u-6-2
sw2006A-ms98-a-0005,38.785125,39.005125,do,I,sd,u-6-2
sw2006A-ms98-a-0005,39.005125,39.225125,know,I,sd,u-6-2
sw2006A-ms98-a-0005,39.225125,39.595125,for,I,sd,u-6-2
sw2006A-ms98-a-0005,39.595125,39.835125,other,I,sd,u-6-2
sw2006A-ms98-a-0005,39.835125,40.265125,types,I,sd,u-6-2
sw2006A-ms98-a-0005,40.265125,40.484125,of,I,sd,u-6-2
sw2006A-ms98-a-0005,40.484125,40.680000,uh,I,sd,u-6-2
sw2006A-ms98-a-0005,40.680000,41.095125,pollution,I,sd,u-6-2
sw2006A-ms98-a-0005,41.095125,41.265125,like,I,sd,u-6-2
sw2006A-ms98-a-0005,41.265125,41.335125,the,I,sd,u-6-2
sw2006A-ms98-a-0005,41.335125,41.845125,toxic,I,sd,u-6-2
sw2006A-ms98-a-0005,41.845125,42.175125,waste,I,sd,u-6-2
sw2006A-ms98-a-0005,42.175125,42.315125,and,I,sd,u-6-2
sw2006A-ms98-a-0005,42.315125,42.585125,such,I,sd,u-6-2
sw2006A-ms98-a-0005,42.585125,42.795125,that,I,sd,u-6-2
sw2006A-ms98-a-0005,42.795125,43.095125,TI,I,sd,u-6-2
sw2006A-ms98-a-0005,43.095125,43.315125,has,I,sd,u-6-2
sw2006A-ms98-a-0005,43.315125,43.465125,to,I,sd,u-6-2
sw2006A-ms98-a-0005,43.465125,44.015125,dispose,I,sd,u-6-2
sw2006A-ms98-a-0005,44.015125,44.155125,of,I,sd,u-6-2
sw2006A-ms98-a-0005,44.155125,44.245125,the,I,sd,u-6-2
sw2006A-ms98-a-0005,44.245125,44.335125,we,I,sd,u-6-2
sw2006A-ms98-a-0005,44.335125,44.675125,normally,I,sd,u-6-2
sw2006A-ms98-a-0005,44.675125,44.885125,put,I,sd,u-6-2
sw2006A-ms98-a-0005,44.885125,45.005125,in,I,sd,u-6-2
sw2006A-ms98-a-0005,45.005125,45.085125,the,I,sd,u-6-2
