sw2020B-ms98-a-0002,2.539000,2.931500,hi,B,fp^m,u-2-1
sw2020B-ms98-a-0002,3.631000,4.239250,um,B,%,u-2-2
sw2020B-ms98-a-0003,5.211625,5.480500,okay,I,%,u-2-2
sw2020B-ms98-a-0003,5.480500,5.685000,what,B,qw,u-2-3
sw2020B-ms98-a-0003,5.956125,6.344375,now,I,qw,u-2-3
sw2020B-ms98-a-0003,6.344375,6.566625,uh,I,qw,u-2-3
sw2020B-ms98-a-0003,6.566625,6.721625,what,I,qw,u-2-3
sw2020B-ms98-a-0003,6.721625,7.151625,particularly,I,qw,u-2-3
sw2020B-ms98-a-0003,7.892500,8.359625,particularly,I,qw,u-2-3
sw2020B-ms98-a-0003,8.359625,8.521625,what,I,qw,u-2-3
sw2020B-ms98-a-0003,8.521625,8.671625,kind,I,qw,u-2-3
sw2020B-ms98-a-0003,8.671625,8.741625,of,I,qw,u-2-3
sw2020B-ms98-a-0003,8.741625,9.029500,music,I,qw,u-2-3
sw2020B-ms98-a-0003,9.029500,9.135000,do,I,qw,u-2-3
sw2020B-ms98-a-0003,9.135000,9.251625,you,I,qw,u-2-3
sw2020B-ms98-a-0003,9.251625,9.651625,like,I,qw,u-2-3
sw2020B-ms98-a-0005,21.918125,22.438125,yeah,B,b,u-4-1
sw2020B-ms98-a-0007,33.493750,34.015500,[laughter],O,,
sw2020B-ms98-a-0008,35.264875,35.738875,[laughter-oh],O,,
sw2020B-ms98-a-0008,35.738875,36.148500,really,B,b,u-6-1
sw2020B-ms98-a-0009,36.945250,37.481500,[laughter-well],O,,
sw2020B-ms98-a-0009,37.823125,38.404000,um,B,sd,u-8-1
sw2020B-ms98-a-0010,38.729500,39.406500,[laughter],I,sd,u-8-1
sw2020B-ms98-a-0010,39.406500,39.540625,i,I,sd,u-8-1
sw2020B-ms98-a-0010,39.540625,39.708750,don't,I,sd,u-8-1
sw2020B-ms98-a-0010,39.708750,39.909500,have,I,sd,u-8-1
sw2020B-ms98-a-0010,39.909500,40.087375,that,I,sd,u-8-1
sw2020B-ms98-a-0010,40.087375,40.208000,i,I,sd,u-8-1
sw2020B-ms98-a-0010,40.208000,40.419500,don't,I,sd,u-8-1
sw2020B-ms98-a-0010,40.419500,40.599500,have,I,sd,u-8-1
sw2020B-ms98-a-0010,40.599500,40.764500,that,I,sd,u-8-1
sw2020B-ms98-a-0010,40.869250,41.035000,uh,O,,
sw2020B-ms98-a-0010,41.035000,41.763500,[laughter-experience],O,,
sw2020B-ms98-a-0010,41.763500,41.966875,[laughter-to],O,,
sw2020B-ms98-a-0010,42.314375,42.758625,[laughter-share],O,,
sw2020B-ms98-a-0010,42.894250,43.949250,[laughter-uh],O,,
sw2020B-ms98-a-0010,43.949250,44.194125,i,O,,
sw2020B-ms98-a-0010,44.194125,44.509875,i,B,sd,u-10-1
sw2020B-ms98-a-0010,44.509875,44.776125,i,I,sd,u-10-1
sw2020B-ms98-a-0010,44.776125,45.089500,do,I,sd,u-10-1
sw2020B-ms98-a-0010,45.089500,45.217625,i,I,sd,u-10-1
sw2020B-ms98-a-0010,45.217625,45.409500,do,I,sd,u-10-1
sw2020B-ms98-a-0010,45.409500,45.700000,listen,I,sd,u-10-1
sw2020B-ms98-a-0010,45.700000,45.870750,to,I,sd,u-10-1
sw2020B-ms98-a-0010,45.870750,45.931000,a,I,sd,u-10-1
sw2020B-ms98-a-0010,45.931000,46.208000,lot,I,sd,u-10-1
sw2020B-ms98-a-0010,46.208000,46.358625,of,I,sd,u-10-1
sw2020B-ms98-a-0010,46.520000,46.625375,you,B,sd,u-10-2
sw2020B-ms98-a-0010,46.625375,46.740000,know,I,sd,u-10-2
sw2020B-ms98-a-0010,46.740000,46.878625,i,I,sd,u-10-2
sw2020B-ms98-a-0010,46.878625,47.044375,do,I,sd,u-10-2
sw2020B-ms98-a-0010,47.247375,47.390500,i,I,sd,u-10-2
sw2020B-ms98-a-0010,47.390500,47.737500,switch,I,sd,u-10-2
sw2020B-ms98-a-0010,47.737500,47.984875,the,I,sd,u-10-2
sw2020B-ms98-a-0010,48.184500,48.267750,st[ations]-,I,sd,u-10-2
sw2020B-ms98-a-0010,48.267750,48.539000,stations,I,sd,u-10-2
sw2020B-ms98-a-0010,48.539000,48.630875,a,I,sd,u-10-2
sw2020B-ms98-a-0010,48.630875,48.872000,lot,I,sd,u-10-2
sw2020B-ms98-a-0010,48.872000,49.123750,because,I,sd,u-10-2
sw2020B-ms98-a-0010,49.123750,49.236750,i,I,sd,u-10-2
sw2020B-ms98-a-0010,49.236750,49.399500,don't,I,sd,u-10-2
sw2020B-ms98-a-0010,49.399500,49.483750,have,I,sd,u-10-2
sw2020B-ms98-a-0010,49.483750,49.574125,a,I,sd,u-10-2
sw2020B-ms98-a-0010,49.574125,49.919500,cassette,I,sd,u-10-2
sw2020B-ms98-a-0010,49.919500,50.109500,player,I,sd,u-10-2
sw2020B-ms98-a-0010,50.109500,50.205000,in,I,sd,u-10-2
sw2020B-ms98-a-0010,50.205000,50.351875,my,I,sd,u-10-2
sw2020B-ms98-a-0010,50.351875,50.741375,car,I,sd,u-10-2
sw2020B-ms98-a-0010,51.351000,51.797500,um,B,sd,u-12-1
sw2020B-ms98-a-0011,52.809375,53.126625,uh,I,sd,u-12-1
sw2020B-ms98-a-0011,53.126625,53.768750,however,I,sd,u-12-1
sw2020B-ms98-a-0011,53.768750,53.903375,i,I,sd,u-12-1
sw2020B-ms98-a-0011,53.903375,53.986250,d[o]-,I,sd,u-12-1
sw2020B-ms98-a-0011,53.986250,54.162250,i,I,sd,u-12-1
sw2020B-ms98-a-0011,54.162250,54.419875,do,I,sd,u-12-1
sw2020B-ms98-a-0011,54.631375,54.729375,i,I,sd,u-12-1
sw2020B-ms98-a-0011,54.729375,54.832125,do,I,sd,u-12-1
sw2020B-ms98-a-0011,54.832125,55.001375,like,I,sd,u-12-1
