sw2022A-ms98-a-0002,1.276000,1.699000,okay,B,o,u-1-1
sw2022A-ms98-a-0002,1.699000,2.124500,so,B,%,u-1-2
sw2022A-ms98-a-0002,2.667750,2.975125,um,I,%,u-1-2
sw2022A-ms98-a-0002,3.144625,3.416750,yes,B,%,u-1-3
sw2022A-ms98-a-0002,3.416750,3.576750,we,B,sd,u-1-4
sw2022A-ms98-a-0002,3.576750,3.726750,do,I,sd,u-1-4
sw2022A-ms98-a-0002,3.726750,4.006750,keep,I,sd,u-1-4
sw2022A-ms98-a-0002,4.236750,4.406750,uh,I,sd,u-1-4
sw2022A-ms98-a-0002,4.406750,4.646750,well,I,sd,u-1-4
sw2022A-ms98-a-0002,4.646750,4.736750,we,I,sd,u-1-4
sw2022A-ms98-a-0002,4.736750,5.086750,started,I,sd,u-1-4
sw2022A-ms98-a-0002,5.086750,5.266750,out,I,sd,u-1-4
sw2022A-ms98-a-0002,5.266750,5.596750,keeping,I,sd,u-1-4
sw2022A-ms98-a-0002,5.596750,5.666750,a,I,sd,u-1-4
sw2022A-ms98-a-0002,5.666750,5.966750,budget,I,sd,u-1-4
sw2022A-ms98-a-0002,5.966750,6.306750,about,I,sd,u-1-4
sw2022A-ms98-a-0002,6.306750,6.486750,two,I,sd,u-1-4
sw2022A-ms98-a-0002,6.486750,6.726750,years,I,sd,u-1-4
sw2022A-ms98-a-0002,6.726750,7.036750,ago,I,sd,u-1-4
sw2022A-ms98-a-0002,7.036750,7.166750,we,B,sd,u-1-5
sw2022A-ms98-a-0002,7.166750,7.416750,have,I,sd,u-1-5
sw2022A-ms98-a-0002,7.416750,7.606750,a,I,sd,u-1-5
sw2022A-ms98-a-0003,8.053125,8.593125,computer,I,sd,u-1-5
sw2022A-ms98-a-0003,8.913125,9.123125,here,I,sd,u-1-5
sw2022A-ms98-a-0003,9.123125,9.233125,at,I,sd,u-1-5
sw2022A-ms98-a-0003,9.233125,9.313125,the,I,sd,u-1-5
sw2022A-ms98-a-0003,9.313125,9.693125,house,I,sd,u-1-5
sw2022A-ms98-a-0003,9.693125,9.853125,and,B,sd,u-3-1
sw2022A-ms98-a-0003,9.853125,9.903125,i,I,sd,u-3-1
sw2022A-ms98-a-0003,9.903125,10.083125,made,I,sd,u-3-1
sw2022A-ms98-a-0003,10.083125,10.163125,a,I,sd,u-3-1
sw2022A-ms98-a-0003,10.163125,10.433125,Lotus,I,sd,u-3-1
sw2022A-ms98-a-0003,10.433125,11.093125,spreadsheet,I,sd,u-3-1
sw2022A-ms98-a-0003,11.093125,11.213125,and,I,sd,u-3-1
sw2022A-ms98-a-0003,11.213125,11.373125,went,I,sd,u-3-1
sw2022A-ms98-a-0003,11.373125,11.563125,through,I,sd,u-3-1
sw2022A-ms98-a-0003,11.563125,11.653125,the,I,sd,u-3-1
sw2022A-ms98-a-0003,11.653125,12.094125,year,I,sd,u-3-1
sw2022A-ms98-a-0003,12.563125,12.922250,using,I,sd,u-3-1
sw2022A-ms98-a-0003,13.054125,13.233125,all,I,sd,u-3-1
sw2022A-ms98-a-0003,13.233125,13.293125,of,I,sd,u-3-1
sw2022A-ms98-a-0003,13.293125,13.472250,our,I,sd,u-3-1
sw2022A-ms98-a-0003,13.555125,13.703125,our,I,sd,u-3-1
sw2022A-ms98-a-0003,13.703125,14.303125,checkbook,I,sd,u-3-1
sw2022A-ms98-a-0003,14.823125,14.893125,to,I,sd,u-3-1
sw2022A-ms98-a-0003,14.893125,15.163125,figure,I,sd,u-3-1
sw2022A-ms98-a-0003,15.163125,15.303125,out,I,sd,u-3-1
