sw2025B-ms98-a-0002,1.861375,2.461875,fine,B,fp,u-2-1
sw2025B-ms98-a-0002,2.684000,3.106250,fine,B,fp^r,u-2-2
sw2025B-ms98-a-0004,5.170125,5.654000,yeah,B,b,u-4-1
sw2025B-ms98-a-0006,7.493875,7.956125,okay,B,aa,u-6-1
sw2025B-ms98-a-0006,7.956125,8.086125,you,B,ad,u-6-2
sw2025B-ms98-a-0006,8.086125,8.216125,go,I,ad,u-6-2
sw2025B-ms98-a-0006,8.216125,8.516125,ahead,I,ad,u-6-2
sw2025B-ms98-a-0008,16.851375,17.274375,um-hum,B,b,u-8-1
sw2025B-ms98-a-0010,22.983625,23.253625,in,B,^2,u-10-1
sw2025B-ms98-a-0010,23.253625,23.603625,public,I,^2,u-10-1
sw2025B-ms98-a-0010,23.603625,24.193250,places,I,^2,u-10-1
sw2025B-ms98-a-0011,25.012875,25.436125,yeah,O,,
sw2025B-ms98-a-0013,27.409250,27.780875,really,B,bh,u-12-1
sw2025B-ms98-a-0013,27.780875,27.890875,what,B,qw,u-12-2
sw2025B-ms98-a-0013,27.890875,28.000875,is,I,qw,u-12-2
sw2025B-ms98-a-0013,28.000875,28.303875,that,I,qw,u-12-2
sw2025B-ms98-a-0015,31.134250,31.720750,hm,B,%,u-14-1
sw2025B-ms98-a-0016,32.769750,33.210000,yeah,B,b,u-16-1
sw2025B-ms98-a-0017,34.626125,35.066125,yeah,B,b,u-18-1
sw2025B-ms98-a-0019,50.031625,50.468375,yeah,B,b,u-20-1
sw2025B-ms98-a-0019,50.573875,50.711625,well,B,sv,u-20-2
sw2025B-ms98-a-0019,50.711625,50.831625,the,I,sv,u-20-2
sw2025B-ms98-a-0019,50.831625,51.431625,sentences,I,sv,u-20-2
sw2025B-ms98-a-0019,51.431625,51.561625,are,I,sv,u-20-2
sw2025B-ms98-a-0019,51.561625,51.761625,so,I,sv,u-20-2
sw2025B-ms98-a-0019,51.761625,52.311625,unbelievable,I,sv,u-20-2
