sw2038A-ms98-a-0003,2.443875,2.780125,yep,O,,
sw2038A-ms98-a-0005,5.788750,5.963500,i,B,ng,u-4-1
sw2038A-ms98-a-0005,5.963500,6.623500,wasn't,I,ng,u-4-1
sw2038A-ms98-a-0005,6.623500,6.803500,in,I,ng,u-4-1
sw2038A-ms98-a-0005,6.803500,7.433500,Central,I,ng,u-4-1
sw2038A-ms98-a-0005,7.433500,8.058750,America,I,ng,u-4-1
sw2038A-ms98-a-0005,8.265875,8.593500,but,B,sd^e,u-4-2
sw2038A-ms98-a-0005,8.593500,8.863500,uh,I,sd^e,u-4-2
sw2038A-ms98-a-0005,8.863500,9.233500,talking,I,sd^e,u-4-2
sw2038A-ms98-a-0005,9.233500,9.548250,about,I,sd^e,u-4-2
sw2038A-ms98-a-0005,9.955125,10.253500,Latin,I,sd^e,u-4-2
sw2038A-ms98-a-0005,10.253500,10.733500,America,I,sd^e,u-4-2
sw2038A-ms98-a-0005,10.733500,10.823500,i,I,sd^e,u-4-2
sw2038A-ms98-a-0005,10.823500,11.133500,kind,I,sd^e,u-4-2
sw2038A-ms98-a-0005,11.133500,11.234750,of,I,sd^e,u-4-2
sw2038A-ms98-a-0005,11.430625,11.613500,i,I,sd^e,u-4-2
sw2038A-ms98-a-0005,11.613500,12.023500,consider,I,sd^e,u-4-2
sw2038A-ms98-a-0005,12.023500,12.283500,Latin,I,sd^e,u-4-2
sw2038A-ms98-a-0005,12.283500,12.663500,America,I,sd^e,u-4-2
sw2038A-ms98-a-0005,12.663500,12.743500,to,I,sd^e,u-4-2
sw2038A-ms98-a-0005,12.743500,13.083500,include,I,sd^e,u-4-2
sw2038A-ms98-a-0005,13.083500,13.553500,Central,I,sd^e,u-4-2
sw2038A-ms98-a-0005,13.553500,13.753500,and,I,sd^e,u-4-2
sw2038A-ms98-a-0005,13.753500,14.153500,South,I,sd^e,u-4-2
sw2038A-ms98-a-0005,14.153500,14.805500,America,I,sd^e,u-4-2
sw2038A-ms98-a-0005,15.412000,15.533500,and,B,sd,u-4-3
sw2038A-ms98-a-0005,15.533500,15.563500,i,I,sd,u-4-3
sw2038A-ms98-a-0005,15.563500,15.823500,did,I,sd,u-4-3
sw2038A-ms98-a-0005,15.823500,15.993500,live,I,sd,u-4-3
sw2038A-ms98-a-0005,15.993500,16.193500,in,I,sd,u-4-3
sw2038A-ms98-a-0005,16.193500,16.453500,uh,I,sd,u-4-3
sw2038A-ms98-a-0005,16.453500,16.703500,Sao,I,sd,u-4-3
sw2038A-ms98-a-0005,16.703500,17.043500,Paulo,I,sd,u-4-3
sw2038A-ms98-a-0005,17.043500,17.413500,Brazil,I,sd,u-4-3
sw2038A-ms98-a-0005,17.413500,17.583500,for,I,sd,u-4-3
sw2038A-ms98-a-0005,17.583500,17.893500,four,I,sd,u-4-3
sw2038A-ms98-a-0005,17.893500,18.389875,years,I,sd,u-4-3
sw2038A-ms98-a-0007,23.212875,23.960125,uh,B,%,u-6-1
sw2038A-ms98-a-0007,23.960125,23.990125,r[ealistically]-,I,%,u-6-1
sw2038A-ms98-a-0007,23.990125,25.430875,realistically,I,%,u-6-1
sw2038A-ms98-a-0007,25.947500,26.315375,i,I,%,u-6-1
sw2038A-ms98-a-0008,27.178500,27.781750,yes,B,ny,u-6-2
sw2038A-ms98-a-0008,28.029750,28.252000,i,B,sv^e,u-6-3
sw2038A-ms98-a-0008,28.252000,28.428875,don't,I,sv^e,u-6-3
sw2038A-ms98-a-0008,28.428875,28.718875,see,I,sv^e,u-6-3
sw2038A-ms98-a-0008,28.718875,29.048875,the,I,sv^e,u-6-3
sw2038A-ms98-a-0008,29.048875,29.158875,the,I,sv^e,u-6-3
sw2038A-ms98-a-0008,29.158875,29.548875,Panama,I,sv^e,u-6-3
sw2038A-ms98-a-0008,29.548875,29.918875,Canal,I,sv^e,u-6-3
sw2038A-ms98-a-0008,29.918875,30.038875,that,I,sv^e,u-6-3
sw2038A-ms98-a-0008,30.038875,30.288875,hasn't,I,sv^e,u-6-3
sw2038A-ms98-a-0008,30.288875,30.408875,had,I,sv^e,u-6-3
sw2038A-ms98-a-0008,30.408875,30.498875,a,I,sv^e,u-6-3
sw2038A-ms98-a-0008,30.498875,30.798875,whole,I,sv^e,u-6-3
sw2038A-ms98-a-0008,30.798875,30.988875,lot,I,sv^e,u-6-3
sw2038A-ms98-a-0008,30.988875,31.175375,of,I,sv^e,u-6-3
sw2038A-ms98-a-0008,31.699125,32.478875,usefulness,I,sv^e,u-6-3
sw2038A-ms98-a-0008,32.478875,32.698875,to,I,sv^e,u-6-3
sw2038A-ms98-a-0008,32.698875,32.908875,us,I,sv^e,u-6-3
sw2038A-ms98-a-0008,32.908875,33.438875,recently,I,sv^e,u-6-3
sw2038A-ms98-a-0008,33.438875,33.708875,since,I,sv^e,u-6-3
sw2038A-ms98-a-0008,33.708875,33.938875,it's,I,sv^e,u-6-3
sw2038A-ms98-a-0008,33.938875,34.190000,not,I,sv^e,u-6-3
sw2038A-ms98-a-0008,34.581625,34.788875,not,I,sv^e,u-6-3
sw2038A-ms98-a-0008,34.788875,35.038875,really,I,sv^e,u-6-3
sw2038A-ms98-a-0008,35.038875,35.278875,big,I,sv^e,u-6-3
sw2038A-ms98-a-0008,35.278875,35.578875,enough,I,sv^e,u-6-3
sw2038A-ms98-a-0008,35.578875,35.958875,to,I,sv^e,u-6-3
sw2038A-ms98-a-0008,35.958875,36.142625,uh,I,sv^e,u-6-3
sw2038A-ms98-a-0008,36.459000,37.128875,accommodate,I,sv^e,u-6-3
sw2038A-ms98-a-0008,37.128875,37.437875,the,I,sv^e,u-6-3
sw2038A-ms98-a-0009,38.153000,38.220625,the,I,sv^e,u-6-3
sw2038A-ms98-a-0009,38.220625,38.680625,shipping,I,sv^e,u-6-3
sw2038A-ms98-a-0009,38.680625,38.810625,that,I,sv^e,u-6-3
sw2038A-ms98-a-0009,38.810625,38.890625,it,I,sv^e,u-6-3
sw2038A-ms98-a-0009,38.890625,39.240625,once,I,sv^e,u-6-3
sw2038A-ms98-a-0009,39.240625,39.716500,did,I,sv^e,u-6-3
sw2038A-ms98-a-0009,39.716500,40.300625,and,B,sv,u-6-4
sw2038A-ms98-a-0009,40.300625,40.590625,uh,I,sv,u-6-4
sw2038A-ms98-a-0009,40.590625,40.960625,maybe,I,sv,u-6-4
sw2038A-ms98-a-0009,40.960625,41.020625,it,I,sv,u-6-4
sw2038A-ms98-a-0009,41.020625,41.130625,would,I,sv,u-6-4
sw2038A-ms98-a-0009,41.130625,41.250625,be,I,sv,u-6-4
sw2038A-ms98-a-0009,41.250625,41.550625,better,I,sv,u-6-4
sw2038A-ms98-a-0009,41.550625,41.670625,that,I,sv,u-6-4
sw2038A-ms98-a-0009,41.670625,41.800625,we,I,sv,u-6-4
sw2038A-ms98-a-0009,41.800625,42.000625,let,I,sv,u-6-4
sw2038A-ms98-a-0009,42.000625,42.060625,the,I,sv,u-6-4
sw2038A-ms98-a-0009,42.060625,42.905000,Panamanians,I,sv,u-6-4
sw2038A-ms98-a-0009,43.404500,43.690625,run,I,sv,u-6-4
sw2038A-ms98-a-0009,43.690625,43.880625,it,I,sv,u-6-4
sw2038A-ms98-a-0009,43.880625,44.470625,however,I,sv,u-6-4
sw2038A-ms98-a-0009,44.470625,44.590625,i,I,sv,u-6-4
sw2038A-ms98-a-0009,44.590625,44.830625,think,I,sv,u-6-4
sw2038A-ms98-a-0009,44.830625,44.960625,we're,I,sv,u-6-4
sw2038A-ms98-a-0009,44.960625,45.330625,certainly,I,sv,u-6-4
sw2038A-ms98-a-0009,45.330625,46.040625,justified,I,sv,u-6-4
