sw2051B-ms98-a-0002,4.965875,5.350125,right,B,aa,u-2-1
sw2051B-ms98-a-0004,9.900500,10.057125,where,B,qw,u-4-1
sw2051B-ms98-a-0004,10.057125,10.147125,is,I,qw,u-4-1
sw2051B-ms98-a-0004,10.147125,10.460375,that,I,qw,u-4-1
sw2051B-ms98-a-0006,14.856500,15.111375,north,B,qr,u-6-1
sw2051B-ms98-a-0006,15.111375,15.421375,south,I,qr,u-6-1
sw2051B-ms98-a-0006,15.421375,15.671375,east,I,qr,u-6-1
sw2051B-ms98-a-0006,15.671375,15.761375,or,I,qr,u-6-1
sw2051B-ms98-a-0006,15.761375,16.129000,west,I,qr,u-6-1
sw2051B-ms98-a-0008,18.436250,18.537750,well,B,sv,u-8-1
sw2051B-ms98-a-0008,18.537750,18.687750,you,I,sv,u-8-1
sw2051B-ms98-a-0008,18.687750,18.827750,live,I,sv,u-8-1
sw2051B-ms98-a-0008,18.827750,19.127750,almost,I,sv,u-8-1
sw2051B-ms98-a-0008,19.127750,19.187750,in,I,sv,u-8-1
sw2051B-ms98-a-0008,19.187750,19.787625,Oklahoma,I,sv,u-8-1
sw2051B-ms98-a-0010,23.111875,23.244500,yeah,B,b,u-10-1
sw2051B-ms98-a-0010,23.244500,23.382250,that's,B,sd,u-10-2
sw2051B-ms98-a-0010,23.382250,23.617750,kind,I,sd,u-10-2
sw2051B-ms98-a-0010,23.617750,23.677750,of,I,sd,u-10-2
sw2051B-ms98-a-0010,23.677750,24.257750,ironic,I,sd,u-10-2
sw2051B-ms98-a-0010,24.257750,24.687750,because,I,sd,u-10-2
sw2051B-ms98-a-0010,24.687750,24.807750,i,I,sd,u-10-2
sw2051B-ms98-a-0010,24.807750,25.027750,don't,I,sd,u-10-2
sw2051B-ms98-a-0010,25.027750,25.177750,live,I,sd,u-10-2
sw2051B-ms98-a-0010,25.177750,25.347750,too,I,sd,u-10-2
sw2051B-ms98-a-0010,25.347750,25.637750,far,I,sd,u-10-2
sw2051B-ms98-a-0010,25.637750,25.797750,from,I,sd,u-10-2
sw2051B-ms98-a-0010,25.797750,26.317875,Oklahoma,I,sd,u-10-2
sw2051B-ms98-a-0010,26.317875,26.649250,either,I,sd,u-10-2
sw2051B-ms98-a-0011,27.931500,28.025375,you,B,qy,u-12-1
sw2051B-ms98-a-0011,28.025375,28.175375,know,I,qy,u-12-1
sw2051B-ms98-a-0011,28.175375,28.415375,where,I,qy,u-12-1
sw2051B-ms98-a-0011,28.415375,28.695375,Saint,I,qy,u-12-1
sw2051B-ms98-a-0011,28.695375,28.995375,Joe,I,qy,u-12-1
sw2051B-ms98-a-0011,28.995375,29.305375,is,I,qy,u-12-1
sw2051B-ms98-a-0013,32.193250,32.357000,i'm,B,sd,u-14-1
sw2051B-ms98-a-0013,32.357000,32.504875,about,I,sd,u-14-1
sw2051B-ms98-a-0013,32.504875,32.654875,eight,I,sd,u-14-1
sw2051B-ms98-a-0013,32.654875,32.954875,miles,I,sd,u-14-1
