sw2064A-ms98-a-0003,5.230625,5.550625,um-hum,B,bh,u-2-1
sw2064A-ms98-a-0005,7.364125,7.833750,well,B,ny,u-4-1
sw2064A-ms98-a-0005,8.122125,8.354125,yes,I,ny,u-4-1
sw2064A-ms98-a-0005,8.354125,8.414125,of,B,sd,u-4-2
sw2064A-ms98-a-0005,8.414125,8.694125,course,I,sd,u-4-2
sw2064A-ms98-a-0005,8.694125,8.784125,we,I,sd,u-4-2
sw2064A-ms98-a-0005,8.784125,8.964125,do,I,sd,u-4-2
sw2064A-ms98-a-0005,8.964125,9.114125,have,I,sd,u-4-2
sw2064A-ms98-a-0005,9.114125,9.454125,capital,I,sd,u-4-2
sw2064A-ms98-a-0005,9.454125,9.954125,punishment,I,sd,u-4-2
sw2064A-ms98-a-0005,9.954125,10.044125,and,B,sd,u-4-3
sw2064A-ms98-a-0005,10.044125,10.224375,we've,I,sd,u-4-3
sw2064A-ms98-a-0005,10.412750,10.484125,you,I,sd,u-4-3
sw2064A-ms98-a-0005,10.484125,10.616750,know,I,sd,u-4-3
sw2064A-ms98-a-0005,10.846500,11.014125,done,I,sd,u-4-3
sw2064A-ms98-a-0005,11.014125,11.244125,away,I,sd,u-4-3
sw2064A-ms98-a-0005,11.244125,11.374125,with,I,sd,u-4-3
sw2064A-ms98-a-0005,11.374125,11.514125,our,I,sd,u-4-3
sw2064A-ms98-a-0005,11.514125,11.974125,quote,I,sd,u-4-3
sw2064A-ms98-a-0005,11.974125,12.274125,fair,I,sd,u-4-3
sw2064A-ms98-a-0005,12.274125,12.547500,share,I,sd,u-4-3
sw2064A-ms98-a-0005,12.547500,12.915250,number,I,sd,u-4-3
sw2064A-ms98-a-0007,16.484500,16.763500,yes,B,b,u-6-1
sw2064A-ms98-a-0009,22.978000,23.238000,yes,B,ny,u-8-1
sw2064A-ms98-a-0009,23.238000,23.388000,it's,B,sd^e,u-8-2
sw2064A-ms98-a-0009,23.388000,23.668000,certain,I,sd^e,u-8-2
sw2064A-ms98-a-0009,23.668000,24.218000,crimes,I,sd^e,u-8-2
sw2064A-ms98-a-0009,24.218000,24.473375,uh,I,sd^e,u-8-2
sw2064A-ms98-a-0009,24.665375,25.078000,capital,I,sd^e,u-8-2
sw2064A-ms98-a-0009,25.078000,25.548000,crimes,I,sd^e,u-8-2
sw2064A-ms98-a-0009,25.548000,25.838000,murder,I,sd^e,u-8-2
sw2064A-ms98-a-0009,25.838000,25.908000,of,I,sd^e,u-8-2
sw2064A-ms98-a-0009,25.908000,26.438000,course,I,sd^e,u-8-2
sw2064A-ms98-a-0009,26.438000,26.624875,uh,I,sd^e,u-8-2
sw2064A-ms98-a-0009,27.186125,27.539125,rape,I,sd^e,u-8-2
sw2064A-ms98-a-0009,27.904500,28.028000,this,B,+,u-10-1
sw2064A-ms98-a-0009,28.028000,28.248000,sort,I,+,u-10-1
sw2064A-ms98-a-0009,28.248000,28.338000,of,I,+,u-10-1
sw2064A-ms98-a-0009,28.338000,28.598000,thing,I,+,u-10-1
sw2064A-ms98-a-0011,30.744250,30.868875,and,O,,
sw2064A-ms98-a-0011,30.868875,30.925625,it,B,sv,u-12-1
sw2064A-ms98-a-0011,30.925625,31.264250,seems,I,sv,u-12-1
sw2064A-ms98-a-0011,31.264250,31.364250,to,I,sv,u-12-1
sw2064A-ms98-a-0011,31.364250,31.574250,be,I,sv,u-12-1
sw2064A-ms98-a-0011,31.574250,31.664250,a,I,sv,u-12-1
sw2064A-ms98-a-0011,32.034250,32.794250,disproportionate,I,sv,u-12-1
sw2064A-ms98-a-0011,32.794250,33.134250,number,I,sv,u-12-1
sw2064A-ms98-a-0011,33.134250,33.194250,of,I,sv,u-12-1
sw2064A-ms98-a-0011,33.194250,33.713375,blacks,I,sv,u-12-1
sw2064A-ms98-a-0011,34.112625,34.154250,you,I,sv,u-12-1
sw2064A-ms98-a-0011,34.154250,34.316000,know,I,sv,u-12-1
sw2064A-ms98-a-0011,34.714250,34.842000,get,I,sv,u-12-1
sw2064A-ms98-a-0011,34.842000,35.044250,into,I,sv,u-12-1
sw2064A-ms98-a-0011,35.044250,35.124250,the,I,sv,u-12-1
sw2064A-ms98-a-0011,35.124250,35.601625,system,I,sv,u-12-1
sw2064A-ms98-a-0013,56.952250,57.261500,um-hum,B,b,u-14-1
sw2064A-ms98-a-0013,57.451500,57.701500,yes,B,b,u-14-2
sw2064A-ms98-a-0013,57.971500,58.126375,th[at]-,O,,
sw2064A-ms98-a-0014,58.991125,59.123250,that,B,sv,u-16-1
sw2064A-ms98-a-0014,59.123250,59.484750,happens,I,sv,u-16-1
sw2064A-ms98-a-0014,59.484750,59.581125,on,I,sv,u-16-1
sw2064A-ms98-a-0014,59.581125,59.961125,occasion,I,sv,u-16-1
sw2064A-ms98-a-0014,59.961125,60.052750,it,B,sv,u-16-2
sw2064A-ms98-a-0014,60.052750,60.324000,sure,I,sv,u-16-2
sw2064A-ms98-a-0014,60.324000,60.573250,does,I,sv,u-16-2
sw2064A-ms98-a-0014,61.066625,61.231125,maybe,B,sv,u-18-1
sw2064A-ms98-a-0014,61.231125,61.291125,it,I,sv,u-18-1
sw2064A-ms98-a-0014,61.291125,61.451125,just,I,sv,u-18-1
sw2064A-ms98-a-0014,61.451125,61.871125,depends,I,sv,u-18-1
sw2064A-ms98-a-0014,61.871125,62.051125,on,I,sv,u-18-1
sw2064A-ms98-a-0014,62.051125,62.121125,you,I,sv,u-18-1
sw2064A-ms98-a-0014,62.121125,62.281125,know,I,sv,u-18-1
sw2064A-ms98-a-0014,62.281125,62.461125,how,I,sv,u-18-1
sw2064A-ms98-a-0014,62.461125,62.941125,closely,I,sv,u-18-1
sw2064A-ms98-a-0014,62.941125,63.040750,the,I,sv,u-18-1
sw2064A-ms98-a-0014,63.040750,63.611125,crime,I,sv,u-18-1
sw2064A-ms98-a-0014,63.611125,63.681125,you,I,sv,u-18-1
sw2064A-ms98-a-0014,63.681125,63.840250,know,I,sv,u-18-1
sw2064A-ms98-a-0014,63.942000,64.232250,has,B,+,u-20-1
sw2064A-ms98-a-0014,64.232250,64.608875,affected,I,+,u-20-1
sw2064A-ms98-a-0014,64.608875,64.751125,you,I,+,u-20-1
sw2064A-ms98-a-0014,64.751125,65.241125,personally,I,+,u-20-1
sw2064A-ms98-a-0014,65.241125,65.311125,you,B,h,u-20-2
sw2064A-ms98-a-0014,65.311125,65.431125,know,I,h,u-20-2
sw2064A-ms98-a-0014,65.431125,65.541125,i,I,h,u-20-2
sw2064A-ms98-a-0014,65.541125,65.761125,don't,I,h,u-20-2
sw2064A-ms98-a-0014,65.761125,65.861125,know,I,h,u-20-2
sw2064A-ms98-a-0014,65.861125,66.071125,or,B,sv,u-20-3
sw2064A-ms98-a-0014,66.071125,66.121125,a,I,sv,u-20-3
