sw2065B-ms98-a-0001,0.210250,0.825750,okay,O,,
sw2065B-ms98-a-0002,8.558625,8.702625,i,B,sv,u-2-1
sw2065B-ms98-a-0002,8.702625,8.882625,think,I,sv,u-2-1
sw2065B-ms98-a-0002,8.882625,8.992625,it,I,sv,u-2-1
sw2065B-ms98-a-0002,8.992625,9.082625,would,I,sv,u-2-1
sw2065B-ms98-a-0002,9.082625,9.142625,be,I,sv,u-2-1
sw2065B-ms98-a-0002,9.142625,9.172625,a,I,sv,u-2-1
sw2065B-ms98-a-0002,9.172625,9.452625,great,I,sv,u-2-1
sw2065B-ms98-a-0002,9.452625,9.832625,idea,I,sv,u-2-1
sw2065B-ms98-a-0002,9.832625,9.962625,i'm,B,sv,u-2-2
sw2065B-ms98-a-0002,9.962625,10.152625,not,I,sv,u-2-2
sw2065B-ms98-a-0002,10.152625,10.382625,sure,I,sv,u-2-2
sw2065B-ms98-a-0002,10.382625,10.672625,about,I,sv,u-2-2
sw2065B-ms98-a-0002,10.672625,11.492625,requiring,I,sv,u-2-2
sw2065B-ms98-a-0002,11.492625,11.692625,it,I,sv,u-2-2
sw2065B-ms98-a-0002,11.692625,11.802625,you,I,sv,u-2-2
sw2065B-ms98-a-0002,11.802625,11.962625,know,I,sv,u-2-2
sw2065B-ms98-a-0002,11.962625,12.102625,of,I,sv,u-2-2
sw2065B-ms98-a-0002,12.102625,12.572625,people,I,sv,u-2-2
sw2065B-ms98-a-0002,12.572625,12.984250,because_1,I,sv,u-2-2
sw2065B-ms98-a-0002,13.884375,14.142625,people,I,sv,u-2-2
sw2065B-ms98-a-0002,14.142625,14.212625,are,I,sv,u-2-2
sw2065B-ms98-a-0002,14.212625,14.632625,going,I,sv,u-2-2
sw2065B-ms98-a-0002,14.632625,14.692625,you,I,sv,u-2-2
sw2065B-ms98-a-0002,14.692625,14.856250,know,I,sv,u-2-2
sw2065B-ms98-a-0002,14.856250,15.283000,feeling,I,sv,u-2-2
sw2065B-ms98-a-0002,15.444875,16.112625,resentful,I,sv,u-2-2
sw2065B-ms98-a-0002,16.112625,16.162625,i,B,h,u-2-3
sw2065B-ms98-a-0002,16.162625,16.362625,don't,I,h,u-2-3
sw2065B-ms98-a-0002,16.362625,16.622625,know,I,h,u-2-3
sw2065B-ms98-a-0002,16.622625,16.872625,but,B,sv,u-2-4
sw2065B-ms98-a-0002,16.872625,16.922625,i,I,sv,u-2-4
sw2065B-ms98-a-0002,16.922625,17.042625,think,I,sv,u-2-4
sw2065B-ms98-a-0002,17.042625,17.142625,it,I,sv,u-2-4
sw2065B-ms98-a-0002,17.142625,17.262625,would,I,sv,u-2-4
sw2065B-ms98-a-0002,17.262625,17.372625,be,I,sv,u-2-4
sw2065B-ms98-a-0002,17.372625,17.422625,a,I,sv,u-2-4
sw2065B-ms98-a-0002,17.422625,17.652625,great,I,sv,u-2-4
sw2065B-ms98-a-0002,17.652625,18.248000,idea,I,sv,u-2-4
sw2065B-ms98-a-0003,18.778250,19.019250,seems,B,sv,u-4-1
sw2065B-ms98-a-0003,19.019250,19.149250,like,I,sv,u-4-1
sw2065B-ms98-a-0003,19.149250,19.309250,there's,I,sv,u-4-1
sw2065B-ms98-a-0003,19.309250,19.419250,so,I,sv,u-4-1
sw2065B-ms98-a-0003,19.419250,19.589250,many,I,sv,u-4-1
