sw2113B-ms98-a-0003,7.553750,7.992625,okay,B,b,u-2-1
sw2113B-ms98-a-0005,13.535000,13.912250,yes,B,b,u-4-1
sw2113B-ms98-a-0005,13.912250,14.237000,uh-huh,B,b,u-4-2
sw2113B-ms98-a-0006,15.358000,15.588750,no,B,nn,u-6-1
sw2113B-ms98-a-0006,15.588750,16.138750,unfortunately,B,sd^e,u-6-2
sw2113B-ms98-a-0006,16.138750,16.168750,i,I,sd^e,u-6-2
sw2113B-ms98-a-0006,16.168750,16.478750,haven't,I,sd^e,u-6-2
sw2113B-ms98-a-0006,16.478750,16.538750,i,B,sd,u-6-3
sw2113B-ms98-a-0006,16.538750,16.778750,heard,I,sd,u-6-3
sw2113B-ms98-a-0006,16.778750,16.948750,it's,I,sd,u-6-3
sw2113B-ms98-a-0006,16.948750,17.138750,really,I,sd,u-6-3
sw2113B-ms98-a-0006,17.138750,17.428750,good,I,sd,u-6-3
sw2113B-ms98-a-0006,17.428750,17.702875,but,B,%,u-6-4
sw2113B-ms98-a-0008,20.986875,21.322000,uh-huh,B,b,u-8-1
sw2113B-ms98-a-0010,38.170875,38.554250,uh-huh,B,b,u-10-1
sw2113B-ms98-a-0012,47.331500,47.670750,um-hum,B,b,u-12-1
sw2113B-ms98-a-0014,57.939000,58.350125,uh-huh,B,b,u-14-1
sw2113B-ms98-a-0015,59.235375,59.400000,what,B,qw,u-14-2
sw2113B-ms98-a-0015,59.400000,59.665000,does,I,qw,u-14-2
sw2113B-ms98-a-0015,59.665000,60.077625,um,I,qw,u-14-2
sw2113B-ms98-a-0015,60.360125,60.550000,is,B,%,u-14-3
sw2113B-ms98-a-0015,60.550000,60.866500,Robby,B,qy,u-14-4
sw2113B-ms98-a-0015,61.036000,61.370000,Robin,I,qy,u-14-4
sw2113B-ms98-a-0015,61.370000,61.630000,Williams,I,qy,u-14-4
sw2113B-ms98-a-0015,61.630000,61.780000,does,I,qy,u-14-4
sw2113B-ms98-a-0015,61.780000,61.850000,he,I,qy,u-14-4
sw2113B-ms98-a-0015,61.850000,62.010000,have,I,qy,u-14-4
sw2113B-ms98-a-0015,62.010000,62.040000,a,I,qy,u-14-4
sw2113B-ms98-a-0015,62.040000,62.280000,funny,I,qy,u-14-4
sw2113B-ms98-a-0015,62.280000,62.540000,part,I,qy,u-14-4
sw2113B-ms98-a-0015,62.540000,62.630000,in,I,qy,u-14-4
sw2113B-ms98-a-0015,62.630000,62.690000,the,O,,
sw2113B-ms98-a-0015,62.690000,63.060000,movie,O,,
sw2113B-ms98-a-0015,63.060000,63.195125,or,O,,
sw2113B-ms98-a-0015,63.195125,63.460000,is,O,,
sw2113B-ms98-a-0016,64.507375,64.697375,oh,B,qo^d,u-16-1
sw2113B-ms98-a-0016,64.697375,64.807375,how,I,qo^d,u-16-1
sw2113B-ms98-a-0016,64.807375,64.967375,does,I,qo^d,u-16-1
sw2113B-ms98-a-0016,64.967375,65.037375,he,I,qo^d,u-16-1
sw2113B-ms98-a-0016,65.037375,65.217375,do,I,qo^d,u-16-1
sw2113B-ms98-a-0016,65.217375,65.897375,serious,I,qo^d,u-16-1
sw2113B-ms98-a-0016,65.897375,66.384875,stuff,O,,
sw2113B-ms98-a-0018,68.631000,69.007500,yes,O,,
sw2113B-ms98-a-0018,69.101625,69.262125,y[es]-,O,,
sw2113B-ms98-a-0018,69.262125,69.362125,i've,B,sd,u-18-1
sw2113B-ms98-a-0018,69.362125,69.592125,only,I,sd,u-18-1
sw2113B-ms98-a-0018,69.592125,69.782125,seen,I,sd,u-18-1
sw2113B-ms98-a-0018,69.782125,69.892125,him,I,sd,u-18-1
sw2113B-ms98-a-0018,69.892125,70.002125,in,I,sd,u-18-1
sw2113B-ms98-a-0018,70.002125,70.292125,funny,I,sd,u-18-1
sw2113B-ms98-a-0018,70.292125,70.675000,stuff,I,sd,u-18-1
sw2113B-ms98-a-0018,70.675000,70.766625,and,B,%,u-18-2
sw2113B-ms98-a-0018,70.766625,71.136250,so,I,%,u-18-2
sw2113B-ms98-a-0020,80.995875,81.149500,yeah,B,b,u-20-1
sw2113B-ms98-a-0020,81.149500,81.369500,uh,B,sd,u-20-2
sw2113B-ms98-a-0020,81.369500,81.928750,Garp,I,sd,u-20-2
sw2113B-ms98-a-0020,82.143375,82.209500,The,I,sd,u-20-2
sw2113B-ms98-a-0020,82.209500,82.529500,World,I,sd,u-20-2
sw2113B-ms98-a-0020,82.529500,82.609500,of,I,sd,u-20-2
sw2113B-ms98-a-0020,82.609500,83.159375,Garp,I,sd,u-20-2
sw2113B-ms98-a-0022,88.267000,88.411875,i,B,no,u-22-1
sw2113B-ms98-a-0022,88.411875,88.701875,didn't,I,no,u-22-1
sw2113B-ms98-a-0022,88.701875,89.061875,read,I,no,u-22-1
sw2113B-ms98-a-0022,89.061875,89.201875,see,I,no,u-22-1
sw2113B-ms98-a-0022,89.201875,89.531875,the,I,no,u-22-1
sw2113B-ms98-a-0022,89.531875,89.621875,the,I,no,u-22-1
sw2113B-ms98-a-0022,89.621875,89.971875,movie,I,no,u-22-1
sw2113B-ms98-a-0022,89.971875,90.031875,i,B,sd,u-22-2
sw2113B-ms98-a-0022,90.031875,90.237625,read,I,sd,u-22-2
sw2113B-ms98-a-0022,90.237625,90.351875,the,I,sd,u-22-2
sw2113B-ms98-a-0022,90.351875,90.561875,book,I,sd,u-22-2
sw2113B-ms98-a-0022,90.561875,90.731875,but,B,%,u-22-3
sw2113B-ms98-a-0022,90.731875,90.887000,i,I,%,u-22-3
sw2113B-ms98-a-0023,91.478000,91.884875,[laughter-yeah],O,,
sw2113B-ms98-a-0024,93.728375,93.947875,yeah,B,b,u-24-1
sw2113B-ms98-a-0025,95.643875,95.831875,yeah,O,,
sw2113B-ms98-a-0025,95.831875,96.021875,in,B,sd,u-24-2
sw2113B-ms98-a-0025,96.021875,96.251875,fact,I,sd,u-24-2
sw2113B-ms98-a-0025,96.251875,96.351875,it,I,sd,u-24-2
sw2113B-ms98-a-0025,96.351875,96.541875,got,I,sd,u-24-2
sw2113B-ms98-a-0025,96.541875,96.751875,some,I,sd,u-24-2
sw2113B-ms98-a-0025,96.751875,96.971875,pretty,I,sd,u-24-2
sw2113B-ms98-a-0025,96.971875,97.471875,serious,I,sd,u-24-2
sw2113B-ms98-a-0025,97.471875,97.671875,deep,I,sd,u-24-2
sw2113B-ms98-a-0025,97.671875,97.981875,parts,I,sd,u-24-2
sw2113B-ms98-a-0025,97.981875,98.101875,in,I,sd,u-24-2
sw2113B-ms98-a-0025,98.101875,98.281875,it,I,sd,u-24-2
sw2113B-ms98-a-0025,98.281875,98.506750,so,B,%,u-24-3
sw2113B-ms98-a-0027,100.372125,100.756250,yeah,B,b,u-26-1
sw2113B-ms98-a-0028,102.026375,102.120250,i,B,sd,u-28-1
sw2113B-ms98-a-0028,102.120250,102.340250,think,I,sd,u-28-1
sw2113B-ms98-a-0028,102.340250,102.440250,the,I,sd,u-28-1
sw2113B-ms98-a-0028,102.440250,102.750250,last,I,sd,u-28-1
sw2113B-ms98-a-0028,102.750250,102.960250,movie,I,sd,u-28-1
sw2113B-ms98-a-0028,102.960250,103.120250,that,I,sd,u-28-1
sw2113B-ms98-a-0028,103.120250,103.220250,we,I,sd,u-28-1
sw2113B-ms98-a-0028,103.220250,103.440250,went,I,sd,u-28-1
sw2113B-ms98-a-0028,103.440250,103.640250,out,I,sd,u-28-1
sw2113B-ms98-a-0028,103.640250,103.760250,to,I,sd,u-28-1
sw2113B-ms98-a-0028,103.760250,103.950250,see,I,sd,u-28-1
sw2113B-ms98-a-0028,103.950250,104.140250,was,I,sd,u-28-1
sw2113B-ms98-a-0028,104.140250,104.580250,Dances,I,sd,u-28-1
sw2113B-ms98-a-0028,104.580250,104.720250,With,I,sd,u-28-1
sw2113B-ms98-a-0028,104.720250,105.246500,Wolves,I,sd,u-28-1
sw2113B-ms98-a-0029,106.644625,106.820125,uh,O,,
sw2113B-ms98-a-0029,106.820125,107.014875,well,O,,
sw2113B-ms98-a-0029,107.014875,107.271000,good,B,b,u-30-1
sw2113B-ms98-a-0029,107.271000,107.391000,we've,B,sd,u-30-2
sw2113B-ms98-a-0029,107.391000,107.621000,both,I,sd,u-30-2
sw2113B-ms98-a-0029,107.621000,107.821000,seen,I,sd,u-30-2
sw2113B-ms98-a-0029,107.821000,108.051000,one,I,sd,u-30-2
sw2113B-ms98-a-0029,108.051000,108.781000,[laughter],O,,
sw2113B-ms98-a-0029,108.781000,108.971000,did,B,qy,u-30-3
sw2113B-ms98-a-0029,108.971000,109.041000,you,I,qy,u-30-3
sw2113B-ms98-a-0029,109.041000,109.321000,cry,I,qy,u-30-3
sw2113B-ms98-a-0029,109.321000,109.736500,through,I,qy,u-30-3
sw2113B-ms98-a-0029,109.736500,110.061000,[laughter-much],O,,
sw2113B-ms98-a-0029,110.061000,110.290375,[laughter-of],O,,
sw2113B-ms98-a-0029,110.290375,111.933250,[laughter],O,,
sw2113B-ms98-a-0030,112.730000,112.785125,i,O,,
sw2113B-ms98-a-0030,112.785125,112.955125,was,B,sd(^q),u-32-1
sw2113B-ms98-a-0030,112.955125,113.315125,telling,I,sd(^q),u-32-1
sw2113B-ms98-a-0030,113.315125,113.365125,a,I,sd(^q),u-32-1
sw2113B-ms98-a-0030,113.365125,113.695125,friend,I,sd(^q),u-32-1
sw2113B-ms98-a-0030,113.695125,113.805125,i-,I,sd(^q),u-32-1
sw2113B-ms98-a-0030,113.805125,113.885125,i,I,sd(^q),u-32-1
sw2113B-ms98-a-0030,113.885125,114.065125,said,I,sd(^q),u-32-1
sw2113B-ms98-a-0030,114.065125,114.095125,i,I,sd(^q),u-32-1
sw2113B-ms98-a-0030,114.095125,114.315125,only,I,sd(^q),u-32-1
sw2113B-ms98-a-0030,114.315125,114.645125,cried,I,sd(^q),u-32-1
sw2113B-ms98-a-0030,114.645125,115.005125,twice,I,sd(^q),u-32-1
sw2113B-ms98-a-0030,115.005125,115.135125,but,B,^q,u-32-2
sw2113B-ms98-a-0030,115.135125,115.335125,each,I,^q,u-32-2
sw2113B-ms98-a-0030,115.335125,115.495125,was,I,^q,u-32-2
sw2113B-ms98-a-0030,115.495125,115.755125,about,I,^q,u-32-2
sw2113B-ms98-a-0030,115.755125,116.025125,half,I,^q,u-32-2
sw2113B-ms98-a-0030,116.025125,116.135125,an,I,^q,u-32-2
sw2113B-ms98-a-0030,116.135125,116.355125,hour,I,^q,u-32-2
sw2113B-ms98-a-0030,116.355125,116.819750,long,I,^q,u-32-2
sw2113B-ms98-a-0030,117.115500,117.869875,[laughter-so],O,,
sw2113B-ms98-a-0031,117.917375,119.116000,[laughter],O,,
sw2113B-ms98-a-0032,120.869250,121.474750,um,B,^h,u-34-1
sw2113B-ms98-a-0032,121.474750,121.691375,let's,I,^h,u-34-1
sw2113B-ms98-a-0032,121.691375,121.881375,see,I,^h,u-34-1
sw2113B-ms98-a-0032,121.881375,122.140875,when,B,sd,u-34-2
sw2113B-ms98-a-0032,122.140875,122.221375,i,I,sd,u-34-2
sw2113B-ms98-a-0032,122.221375,122.431375,each,I,sd,u-34-2
sw2113B-ms98-a-0032,122.431375,122.651375,time,I,sd,u-34-2
sw2113B-ms98-a-0032,122.651375,122.761375,that,I,sd,u-34-2
sw2113B-ms98-a-0032,122.761375,122.841375,i,I,sd,u-34-2
sw2113B-ms98-a-0032,122.841375,123.120375,thought,I,sd,u-34-2
sw2113B-ms98-a-0032,123.120375,123.233375,that,I,sd,u-34-2
sw2113B-ms98-a-0032,123.233375,123.381375,the,I,sd,u-34-2
sw2113B-ms98-a-0032,123.381375,123.711375,Indians,I,sd,u-34-2
sw2113B-ms98-a-0032,123.711375,123.801375,were,I,sd,u-34-2
sw2113B-ms98-a-0032,123.801375,123.941375,going,I,sd,u-34-2
sw2113B-ms98-a-0032,123.941375,124.011375,to,I,sd,u-34-2
sw2113B-ms98-a-0032,124.011375,124.151375,get,I,sd,u-34-2
sw2113B-ms98-a-0032,124.151375,124.511375,killed,I,sd,u-34-2
sw2113B-ms98-a-0032,124.511375,124.591375,i,I,sd,u-34-2
sw2113B-ms98-a-0032,124.591375,125.191375,cried,I,sd,u-34-2
sw2113B-ms98-a-0032,125.191375,125.541375,um,B,sd,u-36-1
sw2113B-ms98-a-0032,125.541375,125.631375,i,I,sd,u-36-1
sw2113B-ms98-a-0032,125.631375,125.901375,cried,I,sd,u-36-1
sw2113B-ms98-a-0032,125.901375,125.961375,the,I,sd,u-36-1
sw2113B-ms98-a-0032,125.961375,126.281375,first,I,sd,u-36-1
sw2113B-ms98-a-0032,126.281375,126.521375,time,I,sd,u-36-1
sw2113B-ms98-a-0032,126.521375,126.821750,when,I,sd,u-36-1
sw2113B-ms98-a-0032,126.968625,127.221375,the,I,sd,u-36-1
sw2113B-ms98-a-0032,127.221375,127.659750,um,I,sd,u-36-1
sw2113B-ms98-a-0033,128.602000,128.665625,the,I,sd,u-36-1
sw2113B-ms98-a-0033,128.665625,129.194625,wagon,I,sd,u-36-1
sw2113B-ms98-a-0033,129.390375,129.950500,man,I,sd,u-36-1
sw2113B-ms98-a-0033,130.349750,130.535625,got,I,sd,u-36-1
sw2113B-ms98-a-0033,130.535625,131.039750,killed,I,sd,u-36-1
sw2113B-ms98-a-0033,131.250750,131.355625,when,I,sd,u-36-1
sw2113B-ms98-a-0033,131.355625,131.465625,they,I,sd,u-36-1
sw2113B-ms98-a-0033,131.465625,131.835625,attacked,I,sd,u-36-1
sw2113B-ms98-a-0033,131.835625,132.117500,him,I,sd,u-36-1
sw2113B-ms98-a-0034,133.052000,133.496625,and,B,sd,u-38-1
sw2113B-ms98-a-0034,133.496625,133.854875,um,I,sd,u-38-1
sw2113B-ms98-a-0034,133.854875,133.989250,i,I,sd,u-38-1
sw2113B-ms98-a-0034,133.989250,134.219250,think,I,sd,u-38-1
sw2113B-ms98-a-0034,134.219250,134.399250,from,I,sd,u-38-1
sw2113B-ms98-a-0034,134.399250,134.599250,there,I,sd,u-38-1
sw2113B-ms98-a-0034,134.599250,134.769500,on,I,sd,u-38-1
sw2113B-ms98-a-0034,134.769500,135.082125,[laughter],I,sd,u-38-1
sw2113B-ms98-a-0034,135.082125,135.355750,[vocalized-noise],I,sd,u-38-1
sw2113B-ms98-a-0034,135.355750,135.529250,through,I,sd,u-38-1
sw2113B-ms98-a-0034,135.529250,135.629250,the,I,sd,u-38-1
sw2113B-ms98-a-0034,135.629250,136.011125,movie,I,sd,u-38-1
sw2113B-ms98-a-0034,136.417875,136.599250,let's,B,^h,u-38-2
sw2113B-ms98-a-0034,136.599250,136.719250,see,I,^h,u-38-2
sw2113B-ms98-a-0034,136.719250,136.869250,what,I,^h,u-38-2
sw2113B-ms98-a-0034,136.869250,137.089250,else,I,^h,u-38-2
sw2113B-ms98-a-0034,137.089250,137.259250,did,I,^h,u-38-2
sw2113B-ms98-a-0034,137.259250,137.335875,it,I,^h,u-38-2
sw2113B-ms98-a-0035,138.306250,138.876250,um,I,^h,u-38-2
sw2113B-ms98-a-0036,140.426750,140.566750,what,I,^h,u-38-2
sw2113B-ms98-a-0036,140.566750,140.726750,other,I,^h,u-38-2
sw2113B-ms98-a-0036,140.726750,141.316750,parts,I,^h,u-38-2
sw2113B-ms98-a-0036,141.316750,141.356750,i,B,sd,u-38-3
sw2113B-ms98-a-0036,141.356750,141.616750,can't,I,sd,u-38-3
sw2113B-ms98-a-0036,141.616750,141.956750,remember,I,sd,u-38-3
sw2113B-ms98-a-0036,141.956750,142.076750,any,I,sd,u-38-3
sw2113B-ms98-a-0036,142.076750,142.136750,of,I,sd,u-38-3
sw2113B-ms98-a-0036,142.136750,142.236750,the,I,sd,u-38-3
sw2113B-ms98-a-0036,142.236750,142.356750,other,I,sd,u-38-3
sw2113B-ms98-a-0036,142.356750,142.696750,parts,I,sd,u-38-3
sw2113B-ms98-a-0036,142.696750,143.031750,right,I,sd,u-38-3
sw2113B-ms98-a-0036,143.031750,143.264875,yeah,O,,
sw2113B-ms98-a-0038,147.999125,148.099125,we[ll]-,O,,
sw2113B-ms98-a-0038,148.099125,148.179125,i,B,sd,u-40-2
sw2113B-ms98-a-0038,148.179125,148.339125,don't,I,sd,u-40-2
sw2113B-ms98-a-0038,148.339125,148.619125,remember,I,sd,u-40-2
sw2113B-ms98-a-0038,148.619125,148.769125,when,I,sd,u-40-2
sw2113B-ms98-a-0038,148.769125,148.829125,the,I,sd,u-40-2
sw2113B-ms98-a-0038,148.829125,149.059125,horse,I,sd,u-40-2
sw2113B-ms98-a-0038,149.059125,149.229125,got,I,sd,u-40-2
sw2113B-ms98-a-0038,149.229125,149.798125,killed,I,sd,u-40-2
sw2113B-ms98-a-0040,155.210875,155.650500,oh,B,b,u-42-1
sw2113B-ms98-a-0040,155.650500,155.992375,yeah,I,b,u-42-1
sw2113B-ms98-a-0040,155.992375,156.323250,yeah,O,,
sw2113B-ms98-a-0042,159.906000,160.314000,um-hum,B,b,u-44-1
sw2113B-ms98-a-0044,162.491875,163.008375,yeah,O,,
sw2113B-ms98-a-0046,166.044000,168.211000,[laughter],O,,
sw2113B-ms98-a-0047,168.634500,168.793250,uh,O,,
sw2113B-ms98-a-0047,168.793250,169.233250,unfortunately,B,sd,u-48-1
sw2113B-ms98-a-0047,169.233250,169.293250,we,I,sd,u-48-1
sw2113B-ms98-a-0047,169.293250,169.453250,don't,I,sd,u-48-1
sw2113B-ms98-a-0047,169.453250,169.613250,have,I,sd,u-48-1
sw2113B-ms98-a-0047,169.613250,169.813250,any,I,sd,u-48-1
sw2113B-ms98-a-0047,169.813250,170.313250,animals,I,sd,u-48-1
sw2113B-ms98-a-0047,170.313250,170.465250,so,B,%,u-48-2
sw2113B-ms98-a-0048,171.274250,171.663125,um,I,%,u-48-2
sw2113B-ms98-a-0049,173.049750,173.160000,but,O,,
sw2113B-ms98-a-0049,173.160000,173.393375,[vocalized-noise],O,,
sw2113B-ms98-a-0050,174.711000,174.854875,it,B,%,u-50-1
sw2113B-ms98-a-0050,174.854875,174.964875,there,B,sv,u-50-2
sw2113B-ms98-a-0050,174.964875,175.094875,was,I,sv,u-50-2
sw2113B-ms98-a-0050,175.094875,175.174875,a,I,sv,u-50-2
sw2113B-ms98-a-0050,175.174875,175.334875,lot,I,sv,u-50-2
sw2113B-ms98-a-0050,175.334875,175.444875,of,I,sv,u-50-2
sw2113B-ms98-a-0050,175.444875,175.744875,pretty,I,sv,u-50-2
sw2113B-ms98-a-0050,175.744875,176.144875,scenery,I,sv,u-50-2
sw2113B-ms98-a-0050,176.144875,176.433625,too,I,sv,u-50-2
sw2113B-ms98-a-0050,176.761375,176.854875,in,I,sv,u-50-2
sw2113B-ms98-a-0050,176.854875,177.024875,that,I,sv,u-50-2
sw2113B-ms98-a-0050,177.024875,177.314875,movie,I,sv,u-50-2
sw2113B-ms98-a-0050,177.314875,177.454875,what,B,qw^d,u-52-1
sw2113B-ms98-a-0050,177.454875,177.584875,did,I,qw^d,u-52-1
sw2113B-ms98-a-0050,177.584875,177.674875,you,I,qw^d,u-52-1
sw2113B-ms98-a-0050,177.674875,177.854875,think,I,qw^d,u-52-1
sw2113B-ms98-a-0050,177.854875,178.094875,about,I,qw^d,u-52-1
sw2113B-ms98-a-0050,178.094875,178.154875,the,I,qw^d,u-52-1
sw2113B-ms98-a-0050,178.154875,178.754875,buffalo,I,qw^d,u-52-1
sw2113B-ms98-a-0050,178.754875,179.153625,scenes,I,qw^d,u-52-1
sw2113B-ms98-a-0052,181.685500,181.858000,that,B,aa,u-54-1
sw2113B-ms98-a-0052,181.858000,182.157625,was,I,aa,u-54-1
sw2113B-ms98-a-0054,184.128250,184.616875,yeah,B,b,u-56-1
sw2113B-ms98-a-0056,188.638500,189.007750,um-hum,B,b,u-58-1
sw2113B-ms98-a-0058,194.983250,195.407875,oh,B,b,u-60-1
sw2113B-ms98-a-0060,197.692625,198.140375,oh,I,b,u-60-1
sw2113B-ms98-a-0060,198.140375,199.080750,[laughter],O,,
sw2113B-ms98-a-0061,199.620000,199.976375,uh-huh,B,b,u-62-1
sw2113B-ms98-a-0061,200.202125,200.428875,yeah,B,b,u-62-2
sw2113B-ms98-a-0061,200.428875,200.628875,that's,O,,
sw2113B-ms98-a-0061,200.628875,200.888875,not,B,%,u-62-3
sw2113B-ms98-a-0063,205.985500,206.335000,um-hum,B,b,u-64-1
sw2113B-ms98-a-0065,207.935375,208.055375,yeah,O,,
sw2113B-ms98-a-0065,208.055375,208.305375,well,B,sd,u-64-2
sw2113B-ms98-a-0065,208.305375,208.395375,at,I,sd,u-64-2
sw2113B-ms98-a-0065,208.395375,208.675375,least,I,sd,u-64-2
sw2113B-ms98-a-0065,208.675375,208.765375,you,I,sd,u-64-2
sw2113B-ms98-a-0065,208.765375,208.965375,know,I,sd,u-64-2
sw2113B-ms98-a-0065,208.965375,209.235375,that,I,sd,u-64-2
sw2113B-ms98-a-0065,209.235375,209.325375,it,I,sd,u-64-2
sw2113B-ms98-a-0065,209.325375,209.715375,wasn't,I,sd,u-64-2
sw2113B-ms98-a-0065,209.715375,209.925375,same,I,sd,u-64-2
sw2113B-ms98-a-0065,209.925375,210.515375,[laughter-situation],O,,
sw2113B-ms98-a-0065,210.515375,210.825375,[laughter-that],O,,
sw2113B-ms98-a-0065,210.825375,210.935375,[laughter-the],O,,
sw2113B-ms98-a-0065,210.935375,211.465375,[laughter-buffalo],O,,
sw2113B-ms98-a-0065,211.465375,211.815375,[laughter-died],O,,
sw2113B-ms98-a-0065,211.815375,212.976250,[laughter-in],O,,
sw2113B-ms98-a-0066,213.130125,213.516375,um,B,sv,u-66-1
sw2113B-ms98-a-0066,213.891000,214.026375,i,I,sv,u-66-1
sw2113B-ms98-a-0066,214.026375,214.216375,thought,I,sv,u-66-1
sw2113B-ms98-a-0066,214.216375,214.306375,the,I,sv,u-66-1
sw2113B-ms98-a-0066,214.306375,214.566375,scenes,I,sv,u-66-1
sw2113B-ms98-a-0066,214.566375,214.666375,when,I,sv,u-66-1
sw2113B-ms98-a-0066,214.666375,214.736375,the,I,sv,u-66-1
sw2113B-ms98-a-0066,214.736375,215.266375,buffaloes,I,sv,u-66-1
sw2113B-ms98-a-0066,215.266375,215.566375,running,I,sv,u-66-1
sw2113B-ms98-a-0066,215.566375,215.706375,though,I,sv,u-66-1
sw2113B-ms98-a-0066,215.706375,215.816375,were,I,sv,u-66-1
sw2113B-ms98-a-0066,215.816375,216.296375,beautiful,I,sv,u-66-1
sw2113B-ms98-a-0066,216.296375,216.483125,like,B,sv,u-66-2
sw2113B-ms98-a-0066,217.085750,217.236375,that,I,sv,u-66-2
sw2113B-ms98-a-0066,217.236375,217.556375,was,I,sv,u-66-2
sw2113B-ms98-a-0066,217.556375,217.806375,great,I,sv,u-66-2
sw2113B-ms98-a-0066,217.806375,217.946375,and,B,sd,u-68-1
sw2113B-ms98-a-0066,217.946375,218.046375,there,I,sd,u-68-1
sw2113B-ms98-a-0066,218.046375,218.116375,were,I,sd,u-68-1
sw2113B-ms98-a-0066,218.116375,218.346375,so,I,sd,u-68-1
sw2113B-ms98-a-0066,218.346375,218.716375,many,I,sd,u-68-1
sw2113B-ms98-a-0066,218.716375,218.816375,of,I,sd,u-68-1
sw2113B-ms98-a-0066,218.816375,218.926375,them_1,O,,
sw2113B-ms98-a-0066,218.926375,218.986375,i,B,sd,u-68-2
sw2113B-ms98-a-0066,218.986375,219.206375,didn't,I,sd,u-68-2
sw2113B-ms98-a-0066,219.206375,219.440500,know,I,sd,u-68-2
sw2113B-ms98-a-0066,219.440500,219.681500,that,I,sd,u-68-2
sw2113B-ms98-a-0066,219.681500,219.896375,that,I,sd,u-68-2
sw2113B-ms98-a-0066,219.896375,220.166375,many,I,sd,u-68-2
sw2113B-ms98-a-0066,220.166375,220.696375,buffaloes,I,sd,u-68-2
sw2113B-ms98-a-0066,220.696375,221.106375,alive,I,sd,u-68-2
sw2113B-ms98-a-0066,221.106375,221.366375,much,I,sd,u-68-2
sw2113B-ms98-a-0066,221.366375,221.566375,less,I,sd,u-68-2
sw2113B-ms98-a-0066,221.566375,221.686375,in,I,sd,u-68-2
