sw2180B-ms98-a-0002,3.055625,3.454125,okay,B,aa,u-2-1
sw2180B-ms98-a-0002,3.872125,4.060625,um,B,qy,u-2-2
sw2180B-ms98-a-0002,4.060625,4.190625,have,I,qy,u-2-2
sw2180B-ms98-a-0002,4.190625,4.270625,you,I,qy,u-2-2
sw2180B-ms98-a-0002,4.270625,4.430625,ever,I,qy,u-2-2
sw2180B-ms98-a-0002,4.430625,4.600625,been,I,qy,u-2-2
sw2180B-ms98-a-0002,4.600625,4.970625,involved,I,qy,u-2-2
sw2180B-ms98-a-0002,4.970625,5.080625,in,I,qy,u-2-2
sw2180B-ms98-a-0002,5.080625,5.210625,any,I,qy,u-2-2
sw2180B-ms98-a-0002,5.210625,5.706250,trials,I,qy,u-2-2
sw2180B-ms98-a-0004,21.514125,21.938250,wow,B,ba,u-4-1
sw2180B-ms98-a-0006,27.257875,27.672000,sounds,B,ba,u-6-1
sw2180B-ms98-a-0006,27.672000,27.812000,like,I,ba,u-6-1
sw2180B-ms98-a-0006,27.812000,27.939750,it,I,ba,u-6-1
sw2180B-ms98-a-0008,33.175875,33.356125,oh,B,ba,u-8-1
sw2180B-ms98-a-0008,33.356125,33.446125,it,I,ba,u-8-1
sw2180B-ms98-a-0008,33.446125,33.836125,sounds,I,ba,u-8-1
sw2180B-ms98-a-0008,33.836125,33.996125,like,I,ba,u-8-1
sw2180B-ms98-a-0008,33.996125,34.136000,it,I,ba,u-8-1
sw2180B-ms98-a-0008,34.411000,34.546125,i,B,sd,u-8-2
sw2180B-ms98-a-0008,34.546125,34.746125,haven't,I,sd,u-8-2
sw2180B-ms98-a-0008,34.746125,34.906125,had,I,sd,u-8-2
sw2180B-ms98-a-0008,34.906125,35.126125,any,I,sd,u-8-2
sw2180B-ms98-a-0008,35.126125,35.706125,actual,I,sd,u-8-2
sw2180B-ms98-a-0008,35.706125,35.916125,real,I,sd,u-8-2
sw2180B-ms98-a-0008,35.916125,36.216125,life,I,sd,u-8-2
sw2180B-ms98-a-0008,36.216125,36.986125,experience,I,sd,u-8-2
sw2180B-ms98-a-0008,36.986125,37.456125,but,B,sd,u-8-3
sw2180B-ms98-a-0008,37.456125,37.856125,uh,I,sd,u-8-3
sw2180B-ms98-a-0008,37.856125,38.066125,my,I,sd,u-8-3
sw2180B-ms98-a-0008,38.066125,38.686125,father-in-law's,I,sd,u-8-3
sw2180B-ms98-a-0008,38.686125,38.816125,been,I,sd,u-8-3
sw2180B-ms98-a-0008,38.816125,39.276125,involved,I,sd,u-8-3
sw2180B-ms98-a-0008,39.276125,39.571500,in,I,sd,u-8-3
sw2180B-ms98-a-0008,39.707000,39.866125,uh,I,sd,u-8-3
sw2180B-ms98-a-0008,39.866125,40.166125,several,I,sd,u-8-3
sw2180B-ms98-a-0008,40.166125,40.616125,trials,I,sd,u-8-3
sw2180B-ms98-a-0008,40.616125,41.356125,including,I,sd,u-8-3
sw2180B-ms98-a-0008,41.356125,41.426125,uh,I,sd,u-8-3
sw2180B-ms98-a-0008,41.426125,41.456125,a,I,sd,u-8-3
sw2180B-ms98-a-0008,41.456125,41.666125,couple,I,sd,u-8-3
sw2180B-ms98-a-0008,41.666125,41.736125,of,I,sd,u-8-3
sw2180B-ms98-a-0008,41.736125,42.193000,murders,I,sd,u-8-3
sw2180B-ms98-a-0008,42.743000,43.306125,and,I,sd,u-8-3
sw2180B-ms98-a-0008,43.306125,43.838250,uh,I,sd,u-8-3
sw2180B-ms98-a-0009,44.636875,44.714250,you,I,sd,u-8-3
sw2180B-ms98-a-0009,44.714250,44.914250,know,I,sd,u-8-3
sw2180B-ms98-a-0009,44.914250,45.354250,talking,I,sd,u-8-3
sw2180B-ms98-a-0009,45.354250,45.484250,to,I,sd,u-8-3
sw2180B-ms98-a-0009,45.484250,45.694250,other,I,sd,u-8-3
sw2180B-ms98-a-0009,45.694250,46.084250,people,I,sd,u-8-3
sw2180B-ms98-a-0009,46.084250,46.184250,who,I,sd,u-8-3
sw2180B-ms98-a-0009,46.184250,46.324250,have,I,sd,u-8-3
sw2180B-ms98-a-0009,46.324250,46.554250,been,I,sd,u-8-3
sw2180B-ms98-a-0009,46.554250,46.799750,there,I,sd,u-8-3
sw2180B-ms98-a-0009,47.353375,47.694250,and,B,sd,u-8-4
sw2180B-ms98-a-0009,47.694250,47.934250,so,I,sd,u-8-4
sw2180B-ms98-a-0009,47.934250,48.014250,i,I,sd,u-8-4
sw2180B-ms98-a-0009,48.014250,48.254250,don't,I,sd,u-8-4
sw2180B-ms98-a-0009,48.254250,48.414250,have,I,sd,u-8-4
sw2180B-ms98-a-0009,48.414250,48.574250,any,I,sd,u-8-4
sw2180B-ms98-a-0009,48.574250,48.864250,real,I,sd,u-8-4
sw2180B-ms98-a-0009,48.864250,49.494250,experience,I,sd,u-8-4
sw2180B-ms98-a-0009,49.494250,49.614250,with,I,sd,u-8-4
sw2180B-ms98-a-0009,49.614250,50.054250,trials,I,sd,u-8-4
sw2180B-ms98-a-0009,50.054250,50.174250,but,B,sd,u-8-5
sw2180B-ms98-a-0009,50.174250,50.324500,i,I,sd,u-8-5
sw2180B-ms98-a-0009,50.324500,50.631875,do,I,sd,u-8-5
sw2180B-ms98-a-0009,50.985875,51.054250,you,I,sd,u-8-5
sw2180B-ms98-a-0009,51.054250,51.204250,know,I,sd,u-8-5
sw2180B-ms98-a-0009,51.204250,51.473875,i,B,sd,u-8-6
sw2180B-ms98-a-0009,51.473875,51.781250,i've,I,sd,u-8-6
sw2180B-ms98-a-0009,52.278375,52.454250,i,I,sd,u-8-6
sw2180B-ms98-a-0009,52.454250,52.694250,took,I,sd,u-8-6
sw2180B-ms98-a-0009,52.694250,52.754250,a,I,sd,u-8-6
sw2180B-ms98-a-0009,52.754250,52.934250,little,I,sd,u-8-6
sw2180B-ms98-a-0009,52.934250,53.374250,business,I,sd,u-8-6
sw2180B-ms98-a-0009,53.374250,53.694250,law,I,sd,u-8-6
sw2180B-ms98-a-0009,53.694250,53.983750,in,I,sd,u-8-6
sw2180B-ms98-a-0009,53.983750,54.224250,in,I,sd,u-8-6
sw2180B-ms98-a-0009,54.224250,54.744250,college,I,sd,u-8-6
sw2180B-ms98-a-0009,54.744250,54.963000,and,B,%,u-8-7
