sw2227B-ms98-a-0002,2.075625,2.389500,yeah,B,ny,u-2-1
sw2227B-ms98-a-0004,6.133375,6.393375,uh-huh,B,b,u-4-1
sw2227B-ms98-a-0006,8.482875,8.632875,oh,B,b,u-6-1
sw2227B-ms98-a-0006,8.632875,8.865500,really,I,b,u-6-1
sw2227B-ms98-a-0006,8.865500,9.055500,yeah,B,b,u-6-2
sw2227B-ms98-a-0006,9.055500,9.185500,that's,B,ba,u-6-3
sw2227B-ms98-a-0006,9.185500,9.385500,pretty,I,ba,u-6-3
sw2227B-ms98-a-0006,9.385500,9.575500,awesome,I,ba,u-6-3
sw2227B-ms98-a-0006,9.575500,9.775500,too,I,ba,u-6-3
sw2227B-ms98-a-0006,9.775500,9.905500,i,B,sd,u-6-4
sw2227B-ms98-a-0006,9.905500,10.095500,watch,I,sd,u-6-4
sw2227B-ms98-a-0006,10.095500,10.155500,it,I,sd,u-6-4
sw2227B-ms98-a-0006,10.155500,10.275500,every,I,sd,u-6-4
sw2227B-ms98-a-0006,10.275500,10.385500,now,I,sd,u-6-4
sw2227B-ms98-a-0006,10.385500,10.481750,and,I,sd,u-6-4
sw2227B-ms98-a-0006,10.481750,10.573000,then,I,sd,u-6-4
sw2227B-ms98-a-0006,10.830125,10.960250,that's,B,ba,u-8-1
sw2227B-ms98-a-0006,10.960250,11.968250,hilarious,I,ba,u-8-1
sw2227B-ms98-a-0008,13.874875,14.184250,[laughter-oh],O,,
sw2227B-ms98-a-0008,14.184250,14.566625,serious,B,b,u-10-1
sw2227B-ms98-a-0010,17.985375,18.054125,oh,B,ba,u-12-1
sw2227B-ms98-a-0010,18.054125,18.229625,that's,I,ba,u-12-1
sw2227B-ms98-a-0010,18.229625,18.589000,cool,I,ba,u-12-1
sw2227B-ms98-a-0012,24.806250,25.256250,uh-huh,B,b,u-14-1
sw2227B-ms98-a-0013,26.072125,26.554000,[laughter],O,,
sw2227B-ms98-a-0015,29.441500,29.685625,Twilight,B,sv,u-18-1
sw2227B-ms98-a-0015,29.685625,29.861250,Zone,I,sv,u-18-1
sw2227B-ms98-a-0015,29.861250,30.291750,rules,I,sv,u-18-1
sw2227B-ms98-a-0015,30.291750,30.612750,man,I,sv,u-18-1
sw2227B-ms98-a-0015,31.155125,31.421750,Twilight,B,sv^r,u-20-1
