sw2259B-ms98-a-0002,6.592125,6.870875,at,B,%,u-2-1
sw2259B-ms98-a-0002,7.149625,7.613250,currently,B,sv,u-2-2
sw2259B-ms98-a-0002,7.613250,7.763250,i,I,sv,u-2-2
sw2259B-ms98-a-0002,7.763250,8.103250,think,I,sv,u-2-2
sw2259B-ms98-a-0002,8.103250,8.283250,they,I,sv,u-2-2
sw2259B-ms98-a-0002,8.283250,8.443250,are,I,sv,u-2-2
sw2259B-ms98-a-0002,8.443250,8.493250,a,I,sv,u-2-2
sw2259B-ms98-a-0002,8.493250,8.753250,little,I,sv,u-2-2
sw2259B-ms98-a-0002,8.753250,9.478250,restrictive,I,sv,u-2-2
sw2259B-ms98-a-0002,9.655250,9.923250,uh,I,sv,u-2-2
sw2259B-ms98-a-0002,9.923250,10.423250,particularly,I,sv,u-2-2
sw2259B-ms98-a-0002,10.423250,10.927625,for,I,sv,u-2-2
sw2259B-ms98-a-0002,11.650875,12.235500,uh,I,sv,u-2-2
sw2259B-ms98-a-0002,12.486250,13.139125,certain,I,sv,u-2-2
sw2259B-ms98-a-0002,13.139125,13.493250,ethnic,I,sv,u-2-2
sw2259B-ms98-a-0002,13.493250,13.823250,groups,I,sv,u-2-2
sw2259B-ms98-a-0002,13.823250,13.903250,or,I,sv,u-2-2
sw2259B-ms98-a-0002,13.903250,14.283250,from,I,sv,u-2-2
sw2259B-ms98-a-0002,14.283250,14.583250,certain,I,sv,u-2-2
sw2259B-ms98-a-0002,14.583250,15.132500,countries,I,sv,u-2-2
sw2259B-ms98-a-0002,16.549875,17.177250,um,B,sv,u-2-3
sw2259B-ms98-a-0003,18.388375,18.554500,i,I,sv,u-2-3
sw2259B-ms98-a-0003,18.554500,19.256125,think,I,sv,u-2-3
sw2259B-ms98-a-0003,19.632750,19.887000,we,I,sv,u-2-3
sw2259B-ms98-a-0003,19.887000,20.277750,should,I,sv,u-2-3
sw2259B-ms98-a-0003,21.647500,22.177000,permit,I,sv,u-2-3
sw2259B-ms98-a-0003,22.177000,22.526500,uh,I,sv,u-2-3
sw2259B-ms98-a-0003,23.091500,23.357000,more,I,sv,u-2-3
sw2259B-ms98-a-0003,23.357000,24.017000,immigration,I,sv,u-2-3
sw2259B-ms98-a-0003,24.017000,24.467625,from,I,sv,u-2-3
sw2259B-ms98-a-0003,24.467625,24.827000,eastern,I,sv,u-2-3
sw2259B-ms98-a-0003,24.827000,25.147000,Europe,I,sv,u-2-3
sw2259B-ms98-a-0003,25.147000,25.297000,for,I,sv,u-2-3
sw2259B-ms98-a-0003,25.297000,25.754125,example,I,sv,u-2-3
sw2259B-ms98-a-0004,26.968625,27.358625,uh,I,sv,u-2-3
sw2259B-ms98-a-0004,28.245625,28.693625,particularly,I,sv,u-2-3
sw2259B-ms98-a-0004,28.693625,28.938375,the,I,sv,u-2-3
sw2259B-ms98-a-0004,28.938375,29.239250,uh,I,sv,u-2-3
sw2259B-ms98-a-0004,31.044625,31.101500,the,I,sv,u-2-3
sw2259B-ms98-a-0004,31.101500,31.761500,Jewish,I,sv,u-2-3
sw2259B-ms98-a-0004,31.761500,32.051500,uh,I,sv,u-2-3
sw2259B-ms98-a-0004,32.051500,33.311500,uh,I,sv,u-2-3
sw2259B-ms98-a-0004,33.311500,33.721500,people,I,sv,u-2-3
sw2259B-ms98-a-0004,33.721500,34.011500,from,I,sv,u-2-3
sw2259B-ms98-a-0004,34.011500,34.427750,Russia,I,sv,u-2-3
sw2259B-ms98-a-0004,34.427750,34.561500,i,B,sv,u-2-4
sw2259B-ms98-a-0004,34.561500,34.791500,think,I,sv,u-2-4
sw2259B-ms98-a-0004,34.791500,35.071500,we,I,sv,u-2-4
