sw2308B-ms98-a-0002,27.436125,27.913000,jeez,B,ba,u-2-1
sw2308B-ms98-a-0004,78.343125,78.778625,yes,O,,
sw2308B-ms98-a-0004,79.192875,79.452375,i'm,B,sd,u-4-2
sw2308B-ms98-a-0004,79.881750,80.084625,i'm,I,sd,u-4-2
sw2308B-ms98-a-0004,80.295500,80.404375,i,I,sd,u-4-2
sw2308B-ms98-a-0004,80.404375,80.554375,have,I,sd,u-4-2
sw2308B-ms98-a-0004,80.554375,80.794375,some,I,sd,u-4-2
sw2308B-ms98-a-0004,80.794375,81.064375,great,I,sd,u-4-2
sw2308B-ms98-a-0004,81.064375,81.674375,concerns,I,sd,u-4-2
sw2308B-ms98-a-0004,81.674375,82.153750,about,I,sd,u-4-2
sw2308B-ms98-a-0004,82.153750,82.722500,uh,I,sd,u-4-2
sw2308B-ms98-a-0004,82.722500,83.043625,m[y]-,I,sd,u-4-2
sw2308B-ms98-a-0004,83.043625,83.344375,my,I,sd,u-4-2
sw2308B-ms98-a-0004,83.344375,83.954375,parents,I,sd,u-4-2
sw2308B-ms98-a-0004,83.954375,84.174375,and,I,sd,u-4-2
sw2308B-ms98-a-0004,84.174375,84.354375,my,I,sd,u-4-2
sw2308B-ms98-a-0004,84.354375,84.952500,relatives,I,sd,u-4-2
sw2308B-ms98-a-0004,84.952500,85.274375,reaching,I,sd,u-4-2
sw2308B-ms98-a-0004,85.274375,85.464375,that,I,sd,u-4-2
sw2308B-ms98-a-0004,85.464375,85.819125,age,I,sd,u-4-2
sw2308B-ms98-a-0005,86.293000,86.813750,um,B,sd,u-4-3
sw2308B-ms98-a-0005,87.079125,87.543000,around,I,sd,u-4-3
sw2308B-ms98-a-0005,87.543000,87.853000,here,I,sd,u-4-3
sw2308B-ms98-a-0005,87.853000,88.093000,where,I,sd,u-4-3
sw2308B-ms98-a-0005,88.093000,88.153000,i,I,sd,u-4-3
sw2308B-ms98-a-0005,88.153000,88.373000,live,I,sd,u-4-3
sw2308B-ms98-a-0005,88.373000,88.483000,in,I,sd,u-4-3
sw2308B-ms98-a-0005,88.483000,89.003000,Maryland,I,sd,u-4-3
sw2308B-ms98-a-0005,89.003000,89.133000,in,I,sd,u-4-3
sw2308B-ms98-a-0005,89.133000,89.203000,the,I,sd,u-4-3
sw2308B-ms98-a-0005,89.203000,89.773000,Washington,I,sd,u-4-3
sw2308B-ms98-a-0005,89.773000,90.093000,area,I,sd,u-4-3
sw2308B-ms98-a-0005,90.093000,90.453875,there's,I,sd,u-4-3
sw2308B-ms98-a-0005,90.453875,90.853000,there's,I,sd,u-4-3
sw2308B-ms98-a-0005,90.853000,91.223000,and,B,sd,u-4-4
sw2308B-ms98-a-0005,91.223000,91.393000,uh,I,sd,u-4-4
sw2308B-ms98-a-0005,91.393000,91.483000,i,I,sd,u-4-4
sw2308B-ms98-a-0005,91.483000,91.693000,used,I,sd,u-4-4
sw2308B-ms98-a-0005,91.693000,91.783000,to,I,sd,u-4-4
sw2308B-ms98-a-0005,91.783000,91.933000,live,I,sd,u-4-4
sw2308B-ms98-a-0005,91.933000,92.173000,down,I,sd,u-4-4
sw2308B-ms98-a-0005,92.173000,92.283000,in,I,sd,u-4-4
sw2308B-ms98-a-0005,92.283000,92.800375,Dallas,I,sd,u-4-4
sw2308B-ms98-a-0006,93.289125,93.377750,there,I,sd,u-4-4
sw2308B-ms98-a-0006,93.377750,93.497750,was,I,sd,u-4-4
sw2308B-ms98-a-0006,93.497750,93.767750,just,I,sd,u-4-4
sw2308B-ms98-a-0006,93.767750,93.927750,so,I,sd,u-4-4
sw2308B-ms98-a-0006,93.927750,94.187750,many,I,sd,u-4-4
sw2308B-ms98-a-0006,94.187750,95.067750,stories,I,sd,u-4-4
sw2308B-ms98-a-0006,95.067750,95.519750,about,I,sd,u-4-4
sw2308B-ms98-a-0006,95.519750,95.897750,uh,I,sd,u-4-4
sw2308B-ms98-a-0006,95.897750,96.177750,rest,I,sd,u-4-4
sw2308B-ms98-a-0006,96.177750,96.637750,homes,I,sd,u-4-4
sw2308B-ms98-a-0006,96.637750,96.757750,where,I,sd,u-4-4
sw2308B-ms98-a-0006,96.757750,96.827750,the,I,sd,u-4-4
sw2308B-ms98-a-0006,96.827750,97.157750,people,I,sd,u-4-4
sw2308B-ms98-a-0006,97.157750,97.217750,are,I,sd,u-4-4
sw2308B-ms98-a-0006,97.217750,97.487750,being,I,sd,u-4-4
sw2308B-ms98-a-0006,97.487750,98.307750,abused,I,sd,u-4-4
sw2308B-ms98-a-0006,98.307750,98.397750,where,I,sd,u-4-4
sw2308B-ms98-a-0006,98.397750,98.467750,the,I,sd,u-4-4
sw2308B-ms98-a-0006,98.467750,98.757750,people,I,sd,u-4-4
sw2308B-ms98-a-0006,98.757750,98.827750,are,I,sd,u-4-4
sw2308B-ms98-a-0006,98.827750,99.199875,being,I,sd,u-4-4
sw2308B-ms98-a-0006,99.700875,99.917750,kept,I,sd,u-4-4
sw2308B-ms98-a-0006,99.917750,100.027750,in,I,sd,u-4-4
