sw2309B-ms98-a-0002,2.336750,2.746750,never,B,ng,u-2-1
sw2309B-ms98-a-0002,2.746750,2.866750,i've,B,sd^e,u-2-2
sw2309B-ms98-a-0002,2.866750,3.066750,never,I,sd^e,u-2-2
sw2309B-ms98-a-0002,3.066750,3.236750,been,I,sd^e,u-2-2
sw2309B-ms98-a-0002,3.236750,3.576750,served,I,sd^e,u-2-2
sw2309B-ms98-a-0002,3.576750,3.646750,on,I,sd^e,u-2-2
sw2309B-ms98-a-0002,3.646750,3.706750,the,I,sd^e,u-2-2
sw2309B-ms98-a-0002,3.706750,4.146750,jury,I,sd^e,u-2-2
sw2309B-ms98-a-0002,4.146750,4.366750,never,I,sd^e,u-2-2
sw2309B-ms98-a-0002,4.366750,4.506750,been,I,sd^e,u-2-2
sw2309B-ms98-a-0002,4.506750,4.776750,called,I,sd^e,u-2-2
sw2309B-ms98-a-0002,4.776750,4.896750,up,I,sd^e,u-2-2
sw2309B-ms98-a-0002,4.896750,4.976750,in,I,sd^e,u-2-2
sw2309B-ms98-a-0002,4.976750,5.066750,a,I,sd^e,u-2-2
sw2309B-ms98-a-0002,5.066750,5.404375,jury,I,sd^e,u-2-2
sw2309B-ms98-a-0002,5.649125,5.856750,although,I,sd^e,u-2-2
sw2309B-ms98-a-0002,5.856750,6.046750,some,I,sd^e,u-2-2
sw2309B-ms98-a-0002,6.046750,6.146750,of,I,sd^e,u-2-2
sw2309B-ms98-a-0002,6.146750,6.256750,my,I,sd^e,u-2-2
sw2309B-ms98-a-0002,6.256750,6.536750,friends,I,sd^e,u-2-2
sw2309B-ms98-a-0002,6.536750,6.626750,have,I,sd^e,u-2-2
sw2309B-ms98-a-0002,6.626750,6.756750,been,I,sd^e,u-2-2
sw2309B-ms98-a-0002,6.756750,7.230750,jurors,I,sd^e,u-2-2
sw2309B-ms98-a-0004,9.766750,9.906750,you,B,%,u-4-1
sw2309B-ms98-a-0004,9.906750,10.256750,haven't,I,%,u-4-1
sw2309B-ms98-a-0004,10.256750,10.376750,huh,I,%,u-4-1
sw2309B-ms98-a-0004,10.376750,10.576750,if,B,qo,u-4-2
sw2309B-ms98-a-0004,10.576750,10.696750,you,I,qo,u-4-2
sw2309B-ms98-a-0004,10.696750,10.986750,were,I,qo,u-4-2
sw2309B-ms98-a-0004,10.986750,11.216750,uh,I,qo,u-4-2
sw2309B-ms98-a-0004,11.426750,11.526750,what,I,qo,u-4-2
sw2309B-ms98-a-0004,11.526750,11.586750,do,I,qo,u-4-2
sw2309B-ms98-a-0004,11.586750,11.686750,you,I,qo,u-4-2
sw2309B-ms98-a-0004,11.686750,11.856750,think,I,qo,u-4-2
sw2309B-ms98-a-0004,11.856750,12.026750,about,I,qo,u-4-2
sw2309B-ms98-a-0004,12.026750,12.096750,the,I,qo,u-4-2
sw2309B-ms98-a-0004,12.096750,12.256750,whole,I,qo,u-4-2
sw2309B-ms98-a-0004,12.256750,12.776750,concept,I,qo,u-4-2
sw2309B-ms98-a-0004,12.776750,12.886750,of,I,qo,u-4-2
sw2309B-ms98-a-0004,12.886750,12.956750,a,I,qo,u-4-2
sw2309B-ms98-a-0004,12.956750,13.296750,trial,I,qo,u-4-2
sw2309B-ms98-a-0004,13.296750,13.426750,by,I,qo,u-4-2
sw2309B-ms98-a-0004,13.426750,13.556750,your,I,qo,u-4-2
sw2309B-ms98-a-0004,13.556750,13.966750,peers,I,qo,u-4-2
sw2309B-ms98-a-0006,23.069750,23.177625,i,B,sv,u-6-1
sw2309B-ms98-a-0006,23.177625,23.339625,think,I,sv,u-6-1
sw2309B-ms98-a-0006,23.339625,23.419750,the,I,sv,u-6-1
sw2309B-ms98-a-0006,23.419750,23.719750,major,I,sv,u-6-1
sw2309B-ms98-a-0006,23.719750,23.889750,thing,I,sv,u-6-1
sw2309B-ms98-a-0006,23.889750,23.999750,they,I,sv,u-6-1
sw2309B-ms98-a-0006,23.999750,24.199750,need,I,sv,u-6-1
sw2309B-ms98-a-0006,24.199750,24.553375,to,I,sv,u-6-1
sw2309B-ms98-a-0006,25.114625,25.579750,correct,I,sv,u-6-1
sw2309B-ms98-a-0006,25.579750,25.749750,is,I,sv,u-6-1
sw2309B-ms98-a-0006,25.749750,25.929750,how,I,sv,u-6-1
sw2309B-ms98-a-0006,25.929750,26.149750,long,I,sv,u-6-1
sw2309B-ms98-a-0006,26.149750,26.269750,it,I,sv,u-6-1
sw2309B-ms98-a-0006,26.269750,26.509750,takes,I,sv,u-6-1
sw2309B-ms98-a-0006,26.509750,26.779750,something,I,sv,u-6-1
sw2309B-ms98-a-0006,26.779750,26.859750,to,I,sv,u-6-1
sw2309B-ms98-a-0006,26.859750,26.989750,get,I,sv,u-6-1
sw2309B-ms98-a-0006,26.989750,27.089750,to,I,sv,u-6-1
sw2309B-ms98-a-0006,27.089750,27.459750,jury,I,sv,u-6-1
sw2309B-ms98-a-0006,27.459750,27.609750,and,I,sv,u-6-1
sw2309B-ms98-a-0006,27.609750,27.669750,to,I,sv,u-6-1
sw2309B-ms98-a-0006,27.669750,27.889750,get,I,sv,u-6-1
sw2309B-ms98-a-0006,27.889750,27.969750,to,I,sv,u-6-1
sw2309B-ms98-a-0006,27.969750,28.449750,trial,I,sv,u-6-1
sw2309B-ms98-a-0007,29.339875,29.479875,and,B,sd,u-8-1
sw2309B-ms98-a-0007,29.479875,29.509875,i,I,sd,u-8-1
sw2309B-ms98-a-0007,29.509875,29.679875,don't,I,sd,u-8-1
sw2309B-ms98-a-0007,29.679875,29.749875,know,I,sd,u-8-1
sw2309B-ms98-a-0007,29.749875,29.839875,if,I,sd,u-8-1
sw2309B-ms98-a-0007,29.839875,30.049875,that's,I,sd,u-8-1
sw2309B-ms98-a-0007,30.049875,30.249875,just,I,sd,u-8-1
sw2309B-ms98-a-0007,30.249875,30.329875,a,I,sd,u-8-1
sw2309B-ms98-a-0007,30.329875,30.619875,pure,I,sd,u-8-1
sw2309B-ms98-a-0007,30.619875,31.099875,volumes,I,sd,u-8-1
sw2309B-ms98-a-0007,31.099875,31.589875,number,I,sd,u-8-1
sw2309B-ms98-a-0007,31.589875,32.156875,or,I,sd,u-8-1
sw2309B-ms98-a-0007,32.684125,32.899875,or,I,sd,u-8-1
sw2309B-ms98-a-0007,32.899875,33.219875,what,I,sd,u-8-1
sw2309B-ms98-a-0007,33.309875,33.729875,but,B,sv,u-8-2
sw2309B-ms98-a-0007,33.729875,33.965000,uh,I,sv,u-8-2
sw2309B-ms98-a-0008,34.349625,34.829625,sometimes,I,sv,u-8-2
sw2309B-ms98-a-0008,34.829625,34.954500,i,I,sv,u-8-2
sw2309B-ms98-a-0008,34.954500,35.259625,think,I,sv,u-8-2
sw2309B-ms98-a-0008,35.259625,35.359625,the,I,sv,u-8-2
sw2309B-ms98-a-0008,35.359625,35.769625,jury,I,sv,u-8-2
sw2309B-ms98-a-0008,35.769625,35.979625,is,I,sv,u-8-2
sw2309B-ms98-a-0008,35.979625,36.516625,ignorant,I,sv,u-8-2
sw2309B-ms98-a-0008,37.111750,37.635750,in,I,sv,u-8-2
sw2309B-ms98-a-0008,37.993500,38.069625,the,I,sv,u-8-2
sw2309B-ms98-a-0008,38.069625,38.479625,facts,I,sv,u-8-2
sw2309B-ms98-a-0008,38.479625,38.589625,of,I,sv,u-8-2
sw2309B-ms98-a-0008,38.589625,38.919625,law,I,sv,u-8-2
sw2309B-ms98-a-0008,38.919625,39.379625,and,I,sv,u-8-2
sw2309B-ms98-a-0008,39.779625,39.929625,how,I,sv,u-8-2
sw2309B-ms98-a-0008,39.929625,40.139625,things,I,sv,u-8-2
sw2309B-ms98-a-0008,40.139625,40.229625,should,I,sv,u-8-2
sw2309B-ms98-a-0008,40.229625,40.299625,be,I,sv,u-8-2
sw2309B-ms98-a-0008,40.299625,40.809625,determined,I,sv,u-8-2
sw2309B-ms98-a-0008,40.809625,40.909625,and,B,sv,u-8-3
sw2309B-ms98-a-0008,40.909625,41.099625,they're,I,sv,u-8-3
