sw2339A-ms98-a-0002,6.741375,7.153250,um-hum,B,b,u-2-1
sw2339A-ms98-a-0004,12.818125,13.328125,right,B,aa,u-4-1
sw2339A-ms98-a-0004,13.328125,13.458125,or,I,aa,u-4-1
sw2339A-ms98-a-0004,13.458125,13.538125,the,O,,
sw2339A-ms98-a-0004,13.538125,14.078125,satellite,B,+,u-6-1
sw2339A-ms98-a-0004,14.078125,14.458125,dish,I,+,u-6-1
sw2339A-ms98-a-0004,14.458125,15.723375,[laughter],O,,
sw2339A-ms98-a-0005,16.397750,16.597750,on,B,sd,u-8-1
sw2339A-ms98-a-0005,16.597750,16.847750,top,I,sd,u-8-1
sw2339A-ms98-a-0005,16.847750,16.937750,of,I,sd,u-8-1
sw2339A-ms98-a-0005,16.937750,17.227750,those,I,sd,u-8-1
sw2339A-ms98-a-0005,17.437750,18.087750,recreational,I,sd,u-8-1
sw2339A-ms98-a-0005,18.087750,18.737750,vehicles,I,sd,u-8-1
sw2339A-ms98-a-0005,18.737750,19.216500,[laughter],O,,
sw2339A-ms98-a-0006,20.117500,21.115750,[laughter],O,,
sw2339A-ms98-a-0008,23.640625,23.880625,yeah,B,ny,u-12-1
sw2339A-ms98-a-0008,23.880625,24.030625,we,B,sd^e,u-12-2
sw2339A-ms98-a-0008,24.030625,24.190625,have,I,sd^e,u-12-2
sw2339A-ms98-a-0008,24.190625,24.240625,a,I,sd^e,u-12-2
sw2339A-ms98-a-0008,24.240625,24.480625,little,I,sd^e,u-12-2
sw2339A-ms98-a-0008,24.480625,24.770625,bit,I,sd^e,u-12-2
sw2339A-ms98-a-0008,24.770625,24.870625,and,B,sd,u-12-3
sw2339A-ms98-a-0008,24.870625,25.020625,we've,I,sd,u-12-3
sw2339A-ms98-a-0008,25.020625,25.220625,just,I,sd,u-12-3
sw2339A-ms98-a-0008,25.220625,25.480625,gotten,I,sd,u-12-3
sw2339A-ms98-a-0008,25.480625,25.580625,one,I,sd,u-12-3
sw2339A-ms98-a-0008,25.580625,25.680625,of,I,sd,u-12-3
sw2339A-ms98-a-0008,25.680625,25.890625,those,I,sd,u-12-3
sw2339A-ms98-a-0008,25.890625,26.180625,little,I,sd,u-12-3
sw2339A-ms98-a-0008,26.370625,26.920625,tents,I,sd,u-12-3
sw2339A-ms98-a-0008,26.920625,27.730625,[laughter],O,,
sw2339A-ms98-a-0008,27.730625,27.850625,that,B,+,u-14-1
sw2339A-ms98-a-0008,27.850625,27.980625,we,I,+,u-14-1
sw2339A-ms98-a-0008,27.980625,28.190625,throw,I,+,u-14-1
sw2339A-ms98-a-0008,28.190625,28.390625,out,I,+,u-14-1
sw2339A-ms98-a-0008,28.390625,28.510625,on,I,+,u-14-1
sw2339A-ms98-a-0008,28.510625,28.600625,the,I,+,u-14-1
sw2339A-ms98-a-0008,28.600625,29.040625,ground,I,+,u-14-1
sw2339A-ms98-a-0008,29.040625,29.130625,and,B,sd,u-14-2
sw2339A-ms98-a-0008,29.130625,29.310625,that's,I,sd,u-14-2
sw2339A-ms98-a-0008,29.310625,29.400625,what,I,sd,u-14-2
sw2339A-ms98-a-0008,29.400625,29.500625,we,I,sd,u-14-2
sw2339A-ms98-a-0008,29.500625,29.870625,camp,I,sd,u-14-2
sw2339A-ms98-a-0008,29.870625,30.170625,in,I,sd,u-14-2
sw2339A-ms98-a-0008,30.170625,30.290625,so,B,sd,u-14-3
sw2339A-ms98-a-0008,30.290625,30.460625,we,I,sd,u-14-3
sw2339A-ms98-a-0008,30.460625,30.750625,kind,I,sd,u-14-3
sw2339A-ms98-a-0008,30.750625,30.820625,of,I,sd,u-14-3
sw2339A-ms98-a-0008,30.820625,31.070625,rough,I,sd,u-14-3
sw2339A-ms98-a-0008,31.070625,31.230625,it,I,sd,u-14-3
sw2339A-ms98-a-0010,39.308125,39.688875,um-hum,B,b,u-16-1
sw2339A-ms98-a-0012,45.394125,45.624375,oh,B,ba,u-18-1
sw2339A-ms98-a-0012,45.624375,46.194625,no,I,ba,u-18-1
sw2339A-ms98-a-0014,49.052125,50.614000,[laughter],O,,
sw2339A-ms98-a-0016,66.031000,66.718625,oh,B,b,u-22-1
sw2339A-ms98-a-0016,66.997750,67.642250,uh-huh,B,b,u-24-1
sw2339A-ms98-a-0018,69.515125,69.985125,gosh,B,b^m,u-26-1
sw2339A-ms98-a-0018,70.085125,70.295125,bear,I,b^m,u-26-1
sw2339A-ms98-a-0018,70.295125,70.715125,bait,I,b^m,u-26-1
sw2339A-ms98-a-0018,70.715125,71.476250,[laughter],O,,
sw2339A-ms98-a-0019,72.211875,72.883375,[laughter],O,,
sw2339A-ms98-a-0020,73.782750,73.922750,that,B,sd,u-28-1
sw2339A-ms98-a-0020,73.922750,74.082750,would,I,sd,u-28-1
sw2339A-ms98-a-0020,74.082750,74.262750,make,I,sd,u-28-1
sw2339A-ms98-a-0020,74.262750,74.402750,me,I,sd,u-28-1
sw2339A-ms98-a-0020,74.402750,74.882750,nervous,I,sd,u-28-1
sw2339A-ms98-a-0020,74.882750,75.486000,[laughter],O,,
sw2339A-ms98-a-0021,75.802250,75.942250,have,B,qy,u-30-1
sw2339A-ms98-a-0021,75.942250,76.012250,you,I,qy,u-30-1
sw2339A-ms98-a-0021,76.012250,76.172250,done,I,qy,u-30-1
sw2339A-ms98-a-0021,76.172250,76.332250,any,I,qy,u-30-1
sw2339A-ms98-a-0021,76.332250,76.782250,camping,I,qy,u-30-1
sw2339A-ms98-a-0021,76.782250,77.082250,around,I,qy,u-30-1
sw2339A-ms98-a-0021,77.082250,77.452250,here,I,qy,u-30-1
sw2339A-ms98-a-0023,79.501500,79.778625,uh-huh,B,b,u-32-1
sw2339A-ms98-a-0025,85.972750,86.282750,yeah,B,b,u-34-1
sw2339A-ms98-a-0025,86.372750,86.512750,that,B,ba,u-34-2
sw2339A-ms98-a-0025,86.562750,86.802750,sounds,I,ba,u-34-2
