sw2340A-ms98-a-0002,1.360000,1.580000,hello,B,fp^m,u-2-1
sw2340A-ms98-a-0002,1.580000,1.750000,this,B,fp,u-2-2
sw2340A-ms98-a-0002,1.750000,1.930000,is,I,fp,u-2-2
sw2340A-ms98-a-0002,1.930000,2.180000,Jim,I,fp,u-2-2
sw2340A-ms98-a-0002,2.180000,2.320000,in,I,fp,u-2-2
sw2340A-ms98-a-0002,2.320000,2.800000,Dallas,I,fp,u-2-2
sw2340A-ms98-a-0002,2.800000,2.890000,uh,B,fp,u-2-3
sw2340A-ms98-a-0002,2.890000,2.980000,how,I,fp,u-2-3
sw2340A-ms98-a-0002,2.980000,3.070000,you,I,fp,u-2-3
sw2340A-ms98-a-0002,3.070000,3.370000,doing,I,fp,u-2-3
sw2340A-ms98-a-0004,5.367250,5.547250,oh,B,qy^d,u-4-1
sw2340A-ms98-a-0004,5.547250,5.657250,you're,I,qy^d,u-4-1
sw2340A-ms98-a-0004,5.657250,5.787250,right,I,qy^d,u-4-1
sw2340A-ms98-a-0004,5.787250,5.957250,here,I,qy^d,u-4-1
sw2340A-ms98-a-0004,5.957250,6.117250,okay,B,%,u-4-2
sw2340A-ms98-a-0004,6.117250,6.267250,yeah,B,b,u-6-1
sw2340A-ms98-a-0004,6.267250,6.437250,i'm,B,sd,u-6-2
sw2340A-ms98-a-0004,6.437250,6.557250,i'm,I,sd,u-6-2
sw2340A-ms98-a-0004,6.557250,6.837250,actually,I,sd,u-6-2
sw2340A-ms98-a-0004,6.837250,7.067250,working,I,sd,u-6-2
sw2340A-ms98-a-0004,7.067250,7.317250,tonight,I,sd,u-6-2
sw2340A-ms98-a-0004,7.317250,7.377250,i,B,sd,u-6-3
sw2340A-ms98-a-0004,7.377250,7.647250,just,I,sd,u-6-3
sw2340A-ms98-a-0004,7.647250,7.697250,uh,I,sd,u-6-3
sw2340A-ms98-a-0004,7.697250,8.157250,called,I,sd,u-6-3
sw2340A-ms98-a-0004,8.157250,8.247250,and,I,sd,u-6-3
sw2340A-ms98-a-0004,8.247250,8.467250,came,I,sd,u-6-3
sw2340A-ms98-a-0004,8.467250,8.657250,in,I,sd,u-6-3
sw2340A-ms98-a-0005,9.707625,9.777625,so,O,,
sw2340A-ms98-a-0005,9.777625,9.867625,do,B,qy,u-8-1
sw2340A-ms98-a-0005,9.867625,9.967625,you,I,qy,u-8-1
sw2340A-ms98-a-0005,9.967625,10.127625,work,I,qy,u-8-1
sw2340A-ms98-a-0005,10.127625,10.197625,at,I,qy,u-8-1
sw2340A-ms98-a-0005,10.197625,10.557625,TI,O,,
sw2340A-ms98-a-0006,11.442875,11.562875,yeah,B,ny,u-10-1
sw2340A-ms98-a-0006,11.562875,11.632875,i,B,sd^e,u-10-2
sw2340A-ms98-a-0006,11.632875,11.832875,just,I,sd^e,u-10-2
sw2340A-ms98-a-0006,11.832875,11.952875,got,I,sd^e,u-10-2
sw2340A-ms98-a-0006,11.952875,11.982875,a,I,sd^e,u-10-2
sw2340A-ms98-a-0006,11.982875,12.182875,little,I,sd^e,u-10-2
sw2340A-ms98-a-0006,12.182875,12.702875,booklet,I,sd^e,u-10-2
sw2340A-ms98-a-0006,12.702875,12.832875,uh,I,sd^e,u-10-2
sw2340A-ms98-a-0006,12.832875,13.032875,this,I,sd^e,u-10-2
sw2340A-ms98-a-0006,13.032875,13.162875,not,I,sd^e,u-10-2
sw2340A-ms98-a-0006,13.162875,13.252875,what,I,sd^e,u-10-2
sw2340A-ms98-a-0006,13.252875,13.342875,we're,I,sd^e,u-10-2
sw2340A-ms98-a-0006,13.342875,13.542875,supposed,I,sd^e,u-10-2
sw2340A-ms98-a-0006,13.542875,13.602875,to,I,sd^e,u-10-2
sw2340A-ms98-a-0006,13.602875,13.752875,talk,I,sd^e,u-10-2
sw2340A-ms98-a-0006,13.752875,13.952875,about,I,sd^e,u-10-2
sw2340A-ms98-a-0006,13.952875,14.102875,just,I,sd^e,u-10-2
sw2340A-ms98-a-0006,14.102875,14.192875,got,I,sd^e,u-10-2
sw2340A-ms98-a-0006,14.192875,14.222875,a,I,sd^e,u-10-2
sw2340A-ms98-a-0006,14.222875,14.372875,little,I,sd^e,u-10-2
sw2340A-ms98-a-0006,14.372875,14.672875,booklet,I,sd^e,u-10-2
sw2340A-ms98-a-0006,14.672875,14.732875,in,I,sd^e,u-10-2
sw2340A-ms98-a-0006,14.732875,14.792875,the,I,sd^e,u-10-2
sw2340A-ms98-a-0006,14.792875,14.982875,mail,I,sd^e,u-10-2
sw2340A-ms98-a-0006,14.982875,15.102875,with,I,sd^e,u-10-2
sw2340A-ms98-a-0006,15.102875,15.162875,the,I,sd^e,u-10-2
sw2340A-ms98-a-0006,15.162875,15.442875,gifts,I,sd^e,u-10-2
sw2340A-ms98-a-0006,15.442875,15.532875,and,B,sd^t,u-10-3
sw2340A-ms98-a-0006,15.532875,15.562875,i,I,sd^t,u-10-3
sw2340A-ms98-a-0006,15.562875,15.712875,thought,I,sd^t,u-10-3
sw2340A-ms98-a-0006,15.712875,15.772875,oh,I,sd^t,u-10-3
sw2340A-ms98-a-0006,15.772875,15.812875,i,I,sd^t,u-10-3
sw2340A-ms98-a-0006,15.812875,16.012875,better,I,sd^t,u-10-3
sw2340A-ms98-a-0006,16.012875,16.182875,make,I,sd^t,u-10-3
sw2340A-ms98-a-0006,16.182875,16.302875,some,I,sd^t,u-10-3
