sw2376A-ms98-a-0002,0.219250,0.477625,now,B,%,u-1-1
sw2376A-ms98-a-0002,0.477625,0.720750,i'm,B,fa,u-1-2
sw2376A-ms98-a-0002,0.720750,1.050750,sorry,I,fa,u-1-2
sw2376A-ms98-a-0002,1.050750,1.430750,excuse,B,sd,u-3-1
sw2376A-ms98-a-0002,1.430750,1.675125,me,I,sd,u-3-1
sw2376A-ms98-a-0003,3.185375,3.485375,and,I,sd,u-3-1
sw2376A-ms98-a-0003,3.485375,3.730500,uh,I,sd,u-3-1
sw2376A-ms98-a-0003,4.063875,4.224500,i,I,sd,u-3-1
sw2376A-ms98-a-0003,4.224500,4.405375,do,I,sd,u-3-1
sw2376A-ms98-a-0003,4.405375,4.615375,that,I,sd,u-3-1
sw2376A-ms98-a-0003,4.615375,4.745375,we,B,sd,u-3-2
sw2376A-ms98-a-0003,4.745375,5.465375,recycle,I,sd,u-3-2
sw2376A-ms98-a-0003,5.465375,5.721125,uh,I,sd,u-3-2
sw2376A-ms98-a-0003,5.721125,6.385375,newspapers,I,sd,u-3-2
sw2376A-ms98-a-0003,6.385375,6.505375,we,B,sd,u-3-3
sw2376A-ms98-a-0003,6.505375,6.795375,take,I,sd,u-3-3
sw2376A-ms98-a-0003,6.795375,6.935375,you,I,sd,u-3-3
sw2376A-ms98-a-0003,6.935375,7.065375,know,I,sd,u-3-3
sw2376A-ms98-a-0003,7.065375,7.125375,the,I,sd,u-3-3
sw2376A-ms98-a-0003,7.125375,7.515375,Dallas,I,sd,u-3-3
sw2376A-ms98-a-0003,7.515375,7.775375,Morning,I,sd,u-3-3
sw2376A-ms98-a-0003,7.775375,8.125375,News,I,sd,u-3-3
sw2376A-ms98-a-0003,8.125375,8.559625,daily,I,sd,u-3-3
sw2376A-ms98-a-0003,9.050250,9.167000,and,B,+,u-5-1
sw2376A-ms98-a-0003,9.167000,9.245375,the,I,+,u-5-1
sw2376A-ms98-a-0003,9.245375,9.682250,Plano,I,+,u-5-1
sw2376A-ms98-a-0003,9.682250,10.137125,paper,I,+,u-5-1
sw2376A-ms98-a-0003,10.257625,10.633875,daily,I,+,u-5-1
sw2376A-ms98-a-0003,11.040750,11.215375,and,B,sd,u-5-2
sw2376A-ms98-a-0003,11.215375,11.385375,you,I,sd,u-5-2
sw2376A-ms98-a-0003,11.385375,11.589625,know,I,sd,u-5-2
sw2376A-ms98-a-0003,11.695000,12.035375,after,I,sd,u-5-2
sw2376A-ms98-a-0003,12.035375,12.075375,a,I,sd,u-5-2
sw2376A-ms98-a-0003,12.075375,12.405375,month,I,sd,u-5-2
sw2376A-ms98-a-0003,12.405375,12.485375,of,I,sd,u-5-2
sw2376A-ms98-a-0003,12.485375,12.775375,that,I,sd,u-5-2
sw2376A-ms98-a-0003,12.775375,12.905375,you,I,sd,u-5-2
sw2376A-ms98-a-0003,12.905375,13.041875,got,I,sd,u-5-2
sw2376A-ms98-a-0003,13.041875,13.128500,a,I,sd,u-5-2
sw2376A-ms98-a-0003,13.128500,13.475375,ton,I,sd,u-5-2
sw2376A-ms98-a-0003,13.475375,13.615375,of,B,+,u-7-1
sw2376A-ms98-a-0003,13.615375,14.369250,newspapers,I,+,u-7-1
sw2376A-ms98-a-0004,15.298125,15.441000,it,B,aa,u-9-1
sw2376A-ms98-a-0004,15.441000,15.681000,really,I,aa,u-9-1
sw2376A-ms98-a-0004,15.681000,16.024125,does,I,aa,u-9-1
sw2376A-ms98-a-0004,16.024125,16.121000,i,B,sd,u-11-1
sw2376A-ms98-a-0004,16.121000,16.341000,do,I,sd,u-11-1
sw2376A-ms98-a-0004,16.341000,16.952375,recycle,I,sd,u-11-1
sw2376A-ms98-a-0004,17.246125,17.931000,newspapers,B,+,u-13-1
sw2376A-ms98-a-0004,17.931000,18.261000,and,I,+,u-13-1
sw2376A-ms98-a-0004,18.261000,18.420875,uh,I,+,u-13-1
sw2376A-ms98-a-0004,18.420875,18.911250,glass,I,+,u-13-1
sw2376A-ms98-a-0005,19.760000,19.834250,we,B,sd,u-15-1
sw2376A-ms98-a-0005,19.834250,20.014250,don't,I,sd,u-15-1
sw2376A-ms98-a-0005,20.014250,20.174250,really,I,sd,u-15-1
sw2376A-ms98-a-0005,20.174250,20.424250,have,I,sd,u-15-1
sw2376A-ms98-a-0005,20.424250,20.694250,enough,I,sd,u-15-1
sw2376A-ms98-a-0005,20.694250,21.387000,plastic,I,sd,u-15-1
sw2376A-ms98-a-0005,21.665750,21.734250,to,I,sd,u-15-1
sw2376A-ms98-a-0005,21.734250,22.054250,mess,I,sd,u-15-1
sw2376A-ms98-a-0005,22.054250,22.244250,with,I,sd,u-15-1
sw2376A-ms98-a-0005,22.244250,22.344250,we,B,sd,u-15-2
sw2376A-ms98-a-0005,22.344250,22.634250,don't,I,sd,u-15-2
sw2376A-ms98-a-0005,22.634250,22.714250,you,I,sd,u-15-2
sw2376A-ms98-a-0005,22.714250,22.794250,know,I,sd,u-15-2
sw2376A-ms98-a-0005,22.794250,23.004250,like,I,sd,u-15-2
sw2376A-ms98-a-0005,23.004250,23.124250,we,I,sd,u-15-2
sw2376A-ms98-a-0005,23.124250,23.344250,don't,I,sd,u-15-2
sw2376A-ms98-a-0005,23.344250,23.624250,drink,I,sd,u-15-2
sw2376A-ms98-a-0005,23.624250,24.064250,milk,I,sd,u-15-2
sw2376A-ms98-a-0005,24.064250,24.174250,and,B,sd,u-15-3
sw2376A-ms98-a-0005,24.174250,24.244250,we,I,sd,u-15-3
sw2376A-ms98-a-0005,24.244250,24.414250,don't,I,sd,u-15-3
sw2376A-ms98-a-0005,24.414250,24.594250,have,I,sd,u-15-3
sw2376A-ms98-a-0005,24.594250,24.954250,children,I,sd,u-15-3
sw2376A-ms98-a-0005,24.954250,25.074250,so,B,sd,u-15-4
sw2376A-ms98-a-0005,25.074250,25.184250,we,I,sd,u-15-4
sw2376A-ms98-a-0005,25.184250,25.354250,don't,I,sd,u-15-4
sw2376A-ms98-a-0005,25.354250,25.564250,have,I,sd,u-15-4
sw2376A-ms98-a-0005,25.564250,25.634250,you,I,sd,u-15-4
sw2376A-ms98-a-0005,25.634250,25.714250,know,I,sd,u-15-4
sw2376A-ms98-a-0005,25.714250,26.034250,six,I,sd,u-15-4
sw2376A-ms98-a-0005,26.034250,26.454250,thousand,I,sd,u-15-4
sw2376A-ms98-a-0005,26.454250,26.894250,plastic,I,sd,u-15-4
sw2376A-ms98-a-0005,26.894250,27.114250,milk,I,sd,u-15-4
sw2376A-ms98-a-0005,27.114250,27.584750,jugs,I,sd,u-15-4
sw2376A-ms98-a-0005,27.876125,27.981625,a,B,+,u-17-1
sw2376A-ms98-a-0005,27.981625,28.284250,month,I,+,u-17-1
sw2376A-ms98-a-0005,28.284250,28.367500,you,I,+,u-17-1
sw2376A-ms98-a-0005,28.367500,28.489875,know,I,+,u-17-1
sw2376A-ms98-a-0006,29.442625,29.687750,yeah,B,b,u-19-1
sw2376A-ms98-a-0007,30.447125,30.668125,right,B,b,u-21-1
sw2376A-ms98-a-0008,31.700625,31.833375,but,B,sd,u-23-1
sw2376A-ms98-a-0008,31.833375,31.983375,there,I,sd,u-23-1
sw2376A-ms98-a-0008,31.983375,32.103375,is,I,sd,u-23-1
sw2376A-ms98-a-0008,32.103375,32.233375,you,I,sd,u-23-1
sw2376A-ms98-a-0008,32.233375,32.343375,know,I,sd,u-23-1
sw2376A-ms98-a-0008,32.343375,32.463375,there,I,sd,u-23-1
sw2376A-ms98-a-0008,32.463375,32.543375,is,I,sd,u-23-1
sw2376A-ms98-a-0008,32.543375,32.593375,a,I,sd,u-23-1
sw2376A-ms98-a-0008,32.593375,32.923375,place,I,sd,u-23-1
sw2376A-ms98-a-0008,32.923375,32.993375,you,I,sd,u-23-1
sw2376A-ms98-a-0008,32.993375,33.123375,can,I,sd,u-23-1
sw2376A-ms98-a-0008,33.123375,33.403375,take,I,sd,u-23-1
sw2376A-ms98-a-0008,33.403375,33.653375,those,I,sd,u-23-1
sw2376A-ms98-a-0008,33.653375,34.063375,also,I,sd,u-23-1
sw2376A-ms98-a-0008,34.063375,34.153375,you,I,sd,u-23-1
sw2376A-ms98-a-0008,34.153375,34.243375,know,I,sd,u-23-1
sw2376A-ms98-a-0008,34.243375,34.323375,at,I,sd,u-23-1
sw2376A-ms98-a-0008,34.323375,34.383375,the,I,sd,u-23-1
sw2376A-ms98-a-0008,34.383375,34.653375,same,I,sd,u-23-1
sw2376A-ms98-a-0008,34.653375,34.963375,place,I,sd,u-23-1
sw2376A-ms98-a-0008,34.963375,35.113375,just,I,sd,u-23-1
sw2376A-ms98-a-0008,35.113375,35.203375,put,I,sd,u-23-1
sw2376A-ms98-a-0008,35.203375,35.303375,them,I,sd,u-23-1
sw2376A-ms98-a-0008,35.303375,35.393375,in,I,sd,u-23-1
sw2376A-ms98-a-0008,35.393375,35.423375,a,I,sd,u-23-1
sw2376A-ms98-a-0008,35.423375,35.863375,different,I,sd,u-23-1
sw2376A-ms98-a-0008,35.863375,36.066625,uh,I,sd,u-23-1
sw2376A-ms98-a-0008,36.066625,36.495000,container,I,sd,u-23-1
sw2376A-ms98-a-0009,37.557625,37.746250,and,B,sd,u-25-1
sw2376A-ms98-a-0009,37.746250,37.884375,uh,I,sd,u-25-1
sw2376A-ms98-a-0009,38.569875,38.900875,Plano,I,sd,u-25-1
sw2376A-ms98-a-0009,38.900875,39.160875,has,I,sd,u-25-1
sw2376A-ms98-a-0009,39.160875,39.690875,plans,I,sd,u-25-1
sw2376A-ms98-a-0009,39.690875,39.810875,i,B,sd,u-25-2
sw2376A-ms98-a-0009,39.810875,40.060875,believe,I,sd,u-25-2
sw2376A-ms98-a-0009,40.060875,40.370875,it's,I,sd,u-25-2
sw2376A-ms98-a-0009,40.370875,40.770875,tentatively,I,sd,u-25-2
sw2376A-ms98-a-0009,40.770875,41.290875,scheduled,I,sd,u-25-2
sw2376A-ms98-a-0009,41.290875,41.700875,for,I,sd,u-25-2
sw2376A-ms98-a-0009,41.700875,42.230875,sometime,I,sd,u-25-2
sw2376A-ms98-a-0009,42.230875,42.420875,in,I,sd,u-25-2
sw2376A-ms98-a-0009,42.420875,42.690875,May,I,sd,u-25-2
sw2376A-ms98-a-0009,42.690875,42.840875,of,I,sd,u-25-2
sw2376A-ms98-a-0009,42.840875,43.090875,this,I,sd,u-25-2
sw2376A-ms98-a-0009,43.090875,43.445875,year,I,sd,u-25-2
sw2376A-ms98-a-0009,43.822500,43.880875,the,B,sd,u-25-3
sw2376A-ms98-a-0009,43.880875,44.200875,city,I,sd,u-25-3
sw2376A-ms98-a-0009,44.200875,44.310875,is,I,sd,u-25-3
sw2376A-ms98-a-0009,44.310875,44.610875,going,I,sd,u-25-3
sw2376A-ms98-a-0009,44.610875,44.920875,to,I,sd,u-25-3
sw2376A-ms98-a-0009,44.920875,45.440250,leave,I,sd,u-25-3
sw2376A-ms98-a-0009,45.440250,45.755375,uh,I,sd,u-25-3
sw2376A-ms98-a-0009,45.755375,46.540875,receptacles,I,sd,u-25-3
sw2376A-ms98-a-0009,46.540875,46.700875,at,I,sd,u-25-3
sw2376A-ms98-a-0009,46.700875,47.030875,people's,I,sd,u-25-3
sw2376A-ms98-a-0009,47.030875,47.488500,home,I,sd,u-25-3
sw2376A-ms98-a-0009,48.297000,48.389750,and,B,%,u-27-1
sw2376A-ms98-a-0009,48.389750,48.494125,they,I,%,u-27-1
sw2376A-ms98-a-0009,48.494125,48.596875,ca[n]-,O,,
sw2376A-ms98-a-0010,49.870250,49.943875,it,B,aa,u-29-1
sw2376A-ms98-a-0010,49.943875,50.263875,certainly,B,+,u-31-1
sw2376A-ms98-a-0010,50.263875,50.483875,would,I,+,u-31-1
sw2376A-ms98-a-0010,50.483875,50.583875,and,B,sd,u-31-2
sw2376A-ms98-a-0010,50.583875,50.673875,they,I,sd,u-31-2
sw2376A-ms98-a-0010,50.673875,50.823875,can,I,sd,u-31-2
sw2376A-ms98-a-0010,50.823875,51.333875,separate,I,sd,u-31-2
sw2376A-ms98-a-0010,51.333875,51.413875,it,I,sd,u-31-2
sw2376A-ms98-a-0010,51.413875,51.513875,and,B,sd,u-31-3
sw2376A-ms98-a-0010,51.513875,51.603875,then,I,sd,u-31-3
sw2376A-ms98-a-0010,51.603875,51.673875,the,I,sd,u-31-3
sw2376A-ms98-a-0010,51.673875,51.953875,you,I,sd,u-31-3
sw2376A-ms98-a-0010,51.953875,52.223375,know,I,sd,u-31-3
sw2376A-ms98-a-0010,52.411625,52.693875,trash,I,sd,u-31-3
sw2376A-ms98-a-0010,52.693875,53.003875,guys,I,sd,u-31-3
sw2376A-ms98-a-0010,53.003875,53.093875,will,I,sd,u-31-3
sw2376A-ms98-a-0010,53.093875,53.333875,pick,I,sd,u-31-3
sw2376A-ms98-a-0010,53.333875,53.483875,it,I,sd,u-31-3
sw2376A-ms98-a-0010,53.483875,53.604375,up,I,sd,u-31-3
sw2376A-ms98-a-0011,54.546750,54.659250,which,B,+,u-33-1
sw2376A-ms98-a-0011,54.659250,54.749250,would,I,+,u-33-1
sw2376A-ms98-a-0011,54.749250,54.919250,really,I,+,u-33-1
sw2376A-ms98-a-0011,54.919250,55.079250,be,I,+,u-33-1
sw2376A-ms98-a-0011,55.079250,55.379250,handy,I,+,u-33-1
sw2376A-ms98-a-0011,55.379250,55.449250,you,I,+,u-33-1
sw2376A-ms98-a-0011,55.449250,55.579250,know,I,+,u-33-1
sw2376A-ms98-a-0011,55.579250,55.689250,for,I,+,u-33-1
sw2376A-ms98-a-0011,55.689250,56.019250,people,I,+,u-33-1
sw2376A-ms98-a-0011,56.019250,56.209250,like,I,+,u-33-1
sw2376A-ms98-a-0011,56.209250,56.519250,shut,I,+,u-33-1
sw2376A-ms98-a-0011,56.519250,56.869250,ins,I,+,u-33-1
sw2376A-ms98-a-0011,56.869250,57.519250,or,I,+,u-33-1
sw2376A-ms98-a-0011,57.519250,57.749250,people,B,+,u-35-1
sw2376A-ms98-a-0011,57.749250,57.859250,who,I,+,u-35-1
sw2376A-ms98-a-0011,57.859250,58.249250,can't,I,+,u-35-1
sw2376A-ms98-a-0011,58.249250,58.433750,or,I,+,u-35-1
sw2376A-ms98-a-0011,58.433750,58.739250,don't,I,+,u-35-1
sw2376A-ms98-a-0011,58.739250,59.209250,drive,I,+,u-35-1
sw2376A-ms98-a-0011,59.209250,59.299250,you,I,+,u-35-1
sw2376A-ms98-a-0011,59.299250,59.369250,know,I,+,u-35-1
sw2376A-ms98-a-0011,59.369250,59.489250,they,B,sd,u-37-1
sw2376A-ms98-a-0011,59.489250,59.839250,can't,I,sd,u-37-1
sw2376A-ms98-a-0011,59.839250,60.039250,get,I,sd,u-37-1
sw2376A-ms98-a-0011,60.039250,60.149250,to,I,sd,u-37-1
