sw2406A-ms98-a-0002,10.276875,10.761500,uh-huh,B,o,u-1-1
sw2406A-ms98-a-0004,13.757000,14.045250,no,B,nn,u-5-1
sw2406A-ms98-a-0004,14.045250,14.263875,no,B,sd^e,u-5-2
sw2406A-ms98-a-0004,14.263875,14.821375,kids,I,sd^e,u-5-2
sw2406A-ms98-a-0006,30.583875,30.741125,was,B,qy,u-7-1
sw2406A-ms98-a-0006,30.741125,30.911125,that,I,qy,u-7-1
sw2406A-ms98-a-0006,30.911125,30.971125,the,I,qy,u-7-1
sw2406A-ms98-a-0006,30.971125,31.391125,animated,I,qy,u-7-1
sw2406A-ms98-a-0006,31.391125,31.990500,version,I,qy,u-7-1
sw2406A-ms98-a-0008,72.238125,72.517500,even,B,qy,u-9-1
sw2406A-ms98-a-0008,72.517500,72.787500,better,I,qy,u-9-1
sw2406A-ms98-a-0008,72.787500,73.117500,than,I,qy,u-9-1
sw2406A-ms98-a-0008,73.117500,73.447500,Roger,I,qy,u-9-1
sw2406A-ms98-a-0008,73.447500,74.074750,Rabbit,I,qy,u-9-1
sw2406A-ms98-a-0008,74.266750,74.767500,insofar,I,qy,u-9-1
sw2406A-ms98-a-0008,74.767500,74.907500,as,I,qy,u-9-1
sw2406A-ms98-a-0008,74.907500,75.694500,animation,I,qy,u-9-1
sw2406A-ms98-a-0010,78.117250,78.414125,yeah,B,b,u-11-1
sw2406A-ms98-a-0012,86.094875,86.184875,yeah,B,b,u-13-1
sw2406A-ms98-a-0012,86.184875,86.304875,that,B,sd,u-13-2
sw2406A-ms98-a-0012,86.304875,86.424875,was,I,sd,u-13-2
sw2406A-ms98-a-0012,86.424875,86.644875,made,I,sd,u-13-2
sw2406A-ms98-a-0012,86.644875,86.714875,in,I,sd,u-13-2
sw2406A-ms98-a-0012,86.714875,86.835750,a,I,sd,u-13-2
sw2406A-ms98-a-0012,86.835750,87.144125,few,I,sd,u-13-2
sw2406A-ms98-a-0012,87.430375,87.503500,i,I,sd,u-13-2
sw2406A-ms98-a-0012,87.503500,87.571375,don't,I,sd,u-13-2
sw2406A-ms98-a-0012,87.571375,87.674875,know,I,sd,u-13-2
sw2406A-ms98-a-0012,87.674875,88.004875,several,I,sd,u-13-2
sw2406A-ms98-a-0012,88.004875,88.244875,years,I,sd,u-13-2
