sw2483B-ms98-a-0002,1.825500,1.985500,no,B,nn,u-3-1
sw2483B-ms98-a-0002,1.985500,2.075500,i'm,B,sd^e,u-3-2
sw2483B-ms98-a-0002,2.075500,2.315500,not,I,sd^e,u-3-2
sw2483B-ms98-a-0004,9.960000,10.130000,and,B,sv^t,u-5-1
sw2483B-ms98-a-0004,10.130000,10.210000,i,I,sv^t,u-5-1
sw2483B-ms98-a-0004,10.210000,10.420000,think,I,sv^t,u-5-1
sw2483B-ms98-a-0004,10.420000,10.500000,a,I,sv^t,u-5-1
sw2483B-ms98-a-0004,10.500000,10.710000,great,I,sv^t,u-5-1
sw2483B-ms98-a-0004,10.710000,10.920000,number,I,sv^t,u-5-1
sw2483B-ms98-a-0004,10.920000,10.990000,of,I,sv^t,u-5-1
sw2483B-ms98-a-0004,10.990000,11.550000,students,I,sv^t,u-5-1
sw2483B-ms98-a-0004,11.550000,12.240000,who,I,sv^t,u-5-1
sw2483B-ms98-a-0004,12.880000,13.100000,got,I,sv^t,u-5-1
sw2483B-ms98-a-0004,13.400000,13.630000,word,I,sv^t,u-5-1
sw2483B-ms98-a-0004,13.630000,13.720000,of,I,sv^t,u-5-1
sw2483B-ms98-a-0004,13.720000,13.890000,it,I,sv^t,u-5-1
sw2483B-ms98-a-0004,13.890000,14.130000,and,I,sv^t,u-5-1
sw2483B-ms98-a-0004,14.130000,14.820000,participators,I,sv^t,u-5-1
sw2483B-ms98-a-0004,14.820000,14.950000,in,I,sv^t,u-5-1
sw2483B-ms98-a-0004,14.950000,15.380000,general,I,sv^t,u-5-1
sw2483B-ms98-a-0004,15.380000,15.480000,and,I,sv^t,u-5-1
sw2483B-ms98-a-0004,15.480000,15.890000,voice,I,sv^t,u-5-1
sw2483B-ms98-a-0004,15.890000,16.120000,who,I,sv^t,u-5-1
sw2483B-ms98-a-0004,16.120000,16.340000,heard,I,sv^t,u-5-1
sw2483B-ms98-a-0004,16.340000,16.590000,about,I,sv^t,u-5-1
sw2483B-ms98-a-0004,16.590000,16.680000,the,I,sv^t,u-5-1
sw2483B-ms98-a-0004,16.680000,17.090000,program,I,sv^t,u-5-1
sw2483B-ms98-a-0006,29.522750,29.612750,i,B,sd,u-7-1
sw2483B-ms98-a-0006,29.612750,29.912750,rely,I,sd,u-7-1
sw2483B-ms98-a-0006,29.912750,30.582750,primarily,I,sd,u-7-1
sw2483B-ms98-a-0006,30.582750,30.982750,on,I,sd,u-7-1
sw2483B-ms98-a-0007,32.132500,32.682500,on,I,sd,u-7-1
sw2483B-ms98-a-0007,32.682500,33.312500,newspaper,I,sd,u-7-1
sw2483B-ms98-a-0007,33.312500,33.782500,combined,I,sd,u-7-1
sw2483B-ms98-a-0007,33.782500,33.912500,with,I,sd,u-7-1
sw2483B-ms98-a-0007,33.912500,34.662500,television,I,sd,u-7-1
sw2483B-ms98-a-0009,57.796000,58.126000,uh,B,b,u-9-1
sw2483B-ms98-a-0011,61.029500,61.579500,okay,B,b,u-11-1
sw2483B-ms98-a-0013,94.345000,94.595000,that's,B,ba,u-13-1
sw2483B-ms98-a-0013,94.595000,94.875000,rather,I,ba,u-13-1
sw2483B-ms98-a-0013,94.875000,95.405000,interesting,I,ba,u-13-1
sw2483B-ms98-a-0015,108.319875,108.948500,[laughter],O,,
sw2483B-ms98-a-0017,119.424500,119.614500,i'd,B,aa,u-17-1
sw2483B-ms98-a-0017,119.774500,119.854500,i'd,I,aa,u-17-1
sw2483B-ms98-a-0017,119.854500,120.004500,have,I,aa,u-17-1
sw2483B-ms98-a-0017,120.004500,120.124500,to,I,aa,u-17-1
sw2483B-ms98-a-0017,120.124500,120.284500,say,I,aa,u-17-1
sw2483B-ms98-a-0017,120.284500,120.454500,i,I,aa,u-17-1
sw2483B-ms98-a-0017,120.454500,120.774500,haven't,I,aa,u-17-1
sw2483B-ms98-a-0017,120.774500,121.164500,either,I,aa,u-17-1
sw2483B-ms98-a-0019,154.919625,155.009625,i,B,sd,u-19-1
sw2483B-ms98-a-0019,155.009625,155.229625,listen,I,sd,u-19-1
sw2483B-ms98-a-0019,155.229625,155.339625,to,I,sd,u-19-1
sw2483B-ms98-a-0019,155.339625,155.439625,the,I,sd,u-19-1
sw2483B-ms98-a-0019,155.439625,156.189625,radio,I,sd,u-19-1
sw2483B-ms98-a-0019,156.309625,156.519625,f[ive]-,I,sd,u-19-1
sw2483B-ms98-a-0019,156.749625,156.969625,uh,I,sd,u-19-1
sw2483B-ms98-a-0019,156.969625,157.389625,probably,I,sd,u-19-1
sw2483B-ms98-a-0019,157.389625,157.709000,g[et]-,I,sd,u-19-1
sw2483B-ms98-a-0019,157.844625,158.139625,five,I,sd,u-19-1
sw2483B-ms98-a-0019,158.139625,158.209625,or,I,sd,u-19-1
sw2483B-ms98-a-0019,158.209625,158.489625,six,I,sd,u-19-1
sw2483B-ms98-a-0019,158.489625,158.709625,hours,I,sd,u-19-1
sw2483B-ms98-a-0019,158.709625,158.769625,a,I,sd,u-19-1
sw2483B-ms98-a-0019,158.769625,159.089625,week,I,sd,u-19-1
sw2483B-ms98-a-0019,159.089625,159.369625,but,B,sd,u-19-2
sw2483B-ms98-a-0019,159.679625,160.009625,almost,I,sd,u-19-2
sw2483B-ms98-a-0019,160.009625,160.589625,inevitably,I,sd,u-19-2
sw2483B-ms98-a-0019,160.589625,160.969625,to,I,sd,u-19-2
sw2483B-ms98-a-0019,160.969625,161.049625,a,I,sd,u-19-2
sw2483B-ms98-a-0019,161.049625,161.479625,station,I,sd,u-19-2
sw2483B-ms98-a-0019,161.479625,161.579625,that,I,sd,u-19-2
sw2483B-ms98-a-0019,161.579625,161.699625,is,I,sd,u-19-2
sw2483B-ms98-a-0019,161.699625,161.819625,a,I,sd,u-19-2
sw2483B-ms98-a-0019,161.819625,162.619625,classical,I,sd,u-19-2
sw2483B-ms98-a-0019,162.939625,163.309625,uh,I,sd,u-19-2
sw2483B-ms98-a-0019,163.669625,164.099625,station,I,sd,u-19-2
sw2483B-ms98-a-0019,164.099625,164.479625,here,I,sd,u-19-2
