sw2528A-ms98-a-0001,0.460000,0.714875,yeah,B,o,u-1-1
sw2528A-ms98-a-0001,0.714875,1.020000,so,B,qw,u-1-2
sw2528A-ms98-a-0001,1.020000,1.281125,uh,I,qw,u-1-2
sw2528A-ms98-a-0001,1.684125,1.780000,what,I,qw,u-1-2
sw2528A-ms98-a-0001,1.780000,1.840000,are,I,qw,u-1-2
sw2528A-ms98-a-0001,1.840000,1.980000,your,I,qw,u-1-2
sw2528A-ms98-a-0001,1.980000,2.280000,favorite,I,qw,u-1-2
sw2528A-ms98-a-0001,2.280000,2.480000,TV,I,qw,u-1-2
sw2528A-ms98-a-0001,2.480000,2.780000,shows,I,qw,u-1-2
sw2528A-ms98-a-0003,8.126125,8.376125,oh,B,sd,u-3-1
sw2528A-ms98-a-0003,8.376125,8.436125,i,I,sd,u-3-1
sw2528A-ms98-a-0003,8.436125,8.736125,haven't,I,sd,u-3-1
sw2528A-ms98-a-0003,8.736125,9.016125,watched,I,sd,u-3-1
sw2528A-ms98-a-0003,9.016125,9.126125,that,I,sd,u-3-1
sw2528A-ms98-a-0003,9.126125,9.356125,very,I,sd,u-3-1
sw2528A-ms98-a-0003,9.356125,9.934375,much,I,sd,u-3-1
sw2528A-ms98-a-0003,10.063375,10.186125,is,B,qy,u-3-2
sw2528A-ms98-a-0003,10.186125,10.364875,that,I,qy,u-3-2
sw2528A-ms98-a-0003,10.677500,10.736125,do,B,qy,u-3-3
sw2528A-ms98-a-0003,10.736125,10.806125,you,I,qy,u-3-3
sw2528A-ms98-a-0003,10.806125,11.036125,like,I,qy,u-3-3
sw2528A-ms98-a-0003,11.036125,11.306125,that,I,qy,u-3-3
sw2528A-ms98-a-0004,12.438625,12.733750,when,B,qw,u-5-1
sw2528A-ms98-a-0004,12.733750,12.883750,was,I,qw,u-5-1
sw2528A-ms98-a-0004,12.883750,12.993750,that,I,qw,u-5-1
sw2528A-ms98-a-0004,12.993750,13.242375,on,I,qw,u-5-1
sw2528A-ms98-a-0006,17.631250,17.818375,on,B,qy,u-7-1
sw2528A-ms98-a-0006,17.818375,18.468375,ABC,O,,
sw2528A-ms98-a-0008,20.230000,20.526625,uh,O,,
sw2528A-ms98-a-0010,22.688125,23.141000,oh,B,b,u-9-1
sw2528A-ms98-a-0010,23.141000,23.255375,oh,I,b,u-9-1
sw2528A-ms98-a-0010,23.255375,23.618125,yeah,I,b,u-9-1
sw2528A-ms98-a-0010,23.618125,23.941625,well,B,sv,u-9-2
sw2528A-ms98-a-0011,24.736625,25.057875,um,I,sv,u-9-2
sw2528A-ms98-a-0011,25.622500,25.866750,um,I,sv,u-9-2
sw2528A-ms98-a-0011,25.866750,25.996750,it,I,sv,u-9-2
sw2528A-ms98-a-0011,25.996750,26.226750,may,I,sv,u-9-2
sw2528A-ms98-a-0011,26.226750,26.416750,be,I,sv,u-9-2
sw2528A-ms98-a-0011,26.416750,26.677125,that,I,sv,u-9-2
sw2528A-ms98-a-0011,26.677125,27.056375,um,I,sv,u-9-2
sw2528A-ms98-a-0011,27.515875,27.626750,it,I,sv,u-9-2
sw2528A-ms98-a-0011,27.626750,27.766750,was,I,sv,u-9-2
sw2528A-ms98-a-0011,27.766750,28.146750,recently,I,sv,u-9-2
sw2528A-ms98-a-0011,28.146750,28.807125,replaced,I,sv,u-9-2
sw2528A-ms98-a-0012,29.795125,30.045125,by,I,sv,u-9-2
sw2528A-ms98-a-0012,30.045125,30.375125,actually,I,sv,u-9-2
sw2528A-ms98-a-0012,30.375125,30.575125,by,I,sv,u-9-2
sw2528A-ms98-a-0012,30.575125,30.852000,um,I,sv,u-9-2
sw2528A-ms98-a-0012,30.934750,31.045125,by,I,sv,u-9-2
sw2528A-ms98-a-0012,31.045125,31.200500,what,I,sv,u-9-2
sw2528A-ms98-a-0012,31.294625,31.385125,may,I,sv,u-9-2
sw2528A-ms98-a-0012,31.385125,31.505125,be,I,sv,u-9-2
sw2528A-ms98-a-0012,31.505125,31.665125,my,I,sv,u-9-2
sw2528A-ms98-a-0012,31.665125,31.988875,favorite,I,sv,u-9-2
sw2528A-ms98-a-0012,31.988875,32.235125,TV,I,sv,u-9-2
sw2528A-ms98-a-0012,32.235125,32.583250,show,I,sv,u-9-2
sw2528A-ms98-a-0012,32.583250,32.825125,of,I,sv,u-9-2
sw2528A-ms98-a-0012,32.825125,32.975125,because,I,sv,u-9-2
sw2528A-ms98-a-0012,32.975125,33.195125,sort,I,sv,u-9-2
sw2528A-ms98-a-0012,33.195125,33.390750,of,I,sv,u-9-2
sw2528A-ms98-a-0012,33.390750,33.745125,uh,I,sv,u-9-2
sw2528A-ms98-a-0012,33.745125,34.101375,um,I,sv,u-9-2
sw2528A-ms98-a-0012,34.451625,34.645125,Twin,I,sv,u-9-2
sw2528A-ms98-a-0012,34.645125,35.135125,Peaks,I,sv,u-9-2
sw2528A-ms98-a-0014,38.701875,38.879000,yeah,B,b,u-11-1
sw2528A-ms98-a-0014,38.879000,39.119000,so,B,sd,u-11-2
sw2528A-ms98-a-0014,39.119000,39.399000,Twin,I,sd,u-11-2
sw2528A-ms98-a-0014,39.399000,39.783375,Peaks,I,sd,u-11-2
sw2528A-ms98-a-0014,39.783375,39.989000,um,I,sd,u-11-2
sw2528A-ms98-a-0014,39.989000,40.099000,what,I,sd,u-11-2
sw2528A-ms98-a-0014,40.099000,40.409000,happened,I,sd,u-11-2
sw2528A-ms98-a-0014,40.409000,40.639000,was,I,sd,u-11-2
sw2528A-ms98-a-0015,41.608375,41.694500,i,I,sd,u-11-2
sw2528A-ms98-a-0015,41.694500,41.985250,think,I,sd,u-11-2
sw2528A-ms98-a-0015,41.985250,42.245250,Twin,I,sd,u-11-2
sw2528A-ms98-a-0015,42.245250,42.775875,Peaks,I,sd,u-11-2
