sw2578B-ms98-a-0002,10.335125,10.625125,not,B,ng,u-2-1
sw2578B-ms98-a-0002,10.625125,11.335125,[laughter-really],O,,
sw2578B-ms98-a-0002,11.335125,11.475125,i'm,B,sd,u-2-2
sw2578B-ms98-a-0002,11.475125,11.675125,not,I,sd,u-2-2
sw2578B-ms98-a-0002,11.675125,11.895125,much,I,sd,u-2-2
sw2578B-ms98-a-0002,11.895125,11.995125,of,I,sd,u-2-2
sw2578B-ms98-a-0002,11.995125,12.025125,a,I,sd,u-2-2
sw2578B-ms98-a-0002,12.025125,12.305125,fan,I,sd,u-2-2
sw2578B-ms98-a-0002,12.305125,12.405125,of,I,sd,u-2-2
sw2578B-ms98-a-0002,12.405125,12.815125,Nancy,I,sd,u-2-2
sw2578B-ms98-a-0002,12.815125,13.485125,Reagan,I,sd,u-2-2
sw2578B-ms98-a-0002,13.485125,13.862250,so,B,sd,u-2-3
sw2578B-ms98-a-0002,14.329250,14.435125,i,I,sd,u-2-3
sw2578B-ms98-a-0002,14.435125,14.675125,i,I,sd,u-2-3
sw2578B-ms98-a-0002,14.675125,15.017875,don't,I,sd,u-2-3
sw2578B-ms98-a-0002,15.017875,15.625125,particularly,I,sd,u-2-3
sw2578B-ms98-a-0002,15.625125,15.968875,read,I,sd,u-2-3
sw2578B-ms98-a-0002,16.439625,16.905125,um,I,sd,u-2-3
sw2578B-ms98-a-0002,16.905125,17.625125,biographies,I,sd,u-2-3
sw2578B-ms98-a-0002,17.625125,17.745125,or,I,sd,u-2-3
sw2578B-ms98-a-0002,17.745125,18.705125,autobiographies,I,sd,u-2-3
sw2578B-ms98-a-0003,19.154625,19.313750,no,O,,
sw2578B-ms98-a-0003,19.313750,19.411125,i,B,sd,u-4-1
sw2578B-ms98-a-0003,19.411125,19.633875,haven't,I,sd,u-4-1
sw2578B-ms98-a-0003,19.633875,19.975750,read,I,sd,u-4-1
sw2578B-ms98-a-0003,19.975750,20.135750,too,I,sd,u-4-1
sw2578B-ms98-a-0003,20.135750,20.375750,many,I,sd,u-4-1
sw2578B-ms98-a-0003,20.375750,20.505500,i,B,sd,u-4-2
