sw2598A-ms98-a-0003,2.334375,2.705000,yeah,B,aa,u-2-1
sw2598A-ms98-a-0003,2.705000,3.251750,i'm,B,^h,u-2-2
sw2598A-ms98-a-0003,3.848000,4.028000,trying,I,^h,u-2-2
sw2598A-ms98-a-0003,4.028000,4.073625,to,I,^h,u-2-2
sw2598A-ms98-a-0003,4.073625,4.133875,think,I,^h,u-2-2
sw2598A-ms98-a-0003,4.133875,4.237750,what,I,^h,u-2-2
sw2598A-ms98-a-0003,4.237750,4.297750,i've,I,^h,u-2-2
sw2598A-ms98-a-0003,4.297750,4.567750,seen,I,^h,u-2-2
sw2598A-ms98-a-0003,4.567750,4.847750,lately,I,^h,u-2-2
sw2598A-ms98-a-0003,4.847750,4.897750,i,B,%,u-2-3
sw2598A-ms98-a-0003,4.897750,5.007750,me[an]-,O,,
sw2598A-ms98-a-0003,5.007750,5.237750,well,B,sd,u-2-4
sw2598A-ms98-a-0003,5.237750,5.477625,well,I,sd,u-2-4
sw2598A-ms98-a-0003,5.477625,6.027625,[laughter],I,sd,u-2-4
sw2598A-ms98-a-0003,6.027625,6.119625,we,I,sd,u-2-4
sw2598A-ms98-a-0003,6.119625,6.306500,just,I,sd,u-2-4
sw2598A-ms98-a-0003,6.306500,6.567750,finished,I,sd,u-2-4
sw2598A-ms98-a-0003,6.567750,6.977750,watching,I,sd,u-2-4
sw2598A-ms98-a-0003,6.977750,7.157750,uh,I,sd,u-2-4
sw2598A-ms98-a-0003,7.157750,7.527750,Teenage,I,sd,u-2-4
sw2598A-ms98-a-0003,7.527750,7.717750,Mutant,I,sd,u-2-4
sw2598A-ms98-a-0003,7.717750,7.927750,Ninja,I,sd,u-2-4
sw2598A-ms98-a-0003,7.927750,8.247750,Turtles,I,sd,u-2-4
sw2598A-ms98-a-0003,8.247750,8.387750,on,I,sd,u-2-4
sw2598A-ms98-a-0003,8.387750,8.813375,tape,I,sd,u-2-4
sw2598A-ms98-a-0003,8.813375,8.987750,you,I,sd,u-2-4
sw2598A-ms98-a-0003,8.987750,9.127750,know,I,sd,u-2-4
sw2598A-ms98-a-0003,9.127750,9.930750,[laughter],O,,
sw2598A-ms98-a-0004,11.358375,11.938375,yeah,B,ny,u-4-1
sw2598A-ms98-a-0004,11.938375,12.147000,we,B,sd^e,u-4-2
sw2598A-ms98-a-0004,12.553750,12.718375,we've,I,sd^e,u-4-2
sw2598A-ms98-a-0004,12.718375,12.988375,seen,I,sd^e,u-4-2
sw2598A-ms98-a-0004,12.988375,13.242625,that,I,sd^e,u-4-2
sw2598A-ms98-a-0004,13.702250,14.138625,yeah,B,ny^r,u-4-3
