sw2603B-ms98-a-0003,20.652125,21.220000,boring,B,^2,u-2-1
sw2603B-ms98-a-0005,64.883500,65.129500,you,B,bh,u-6-1
sw2603B-ms98-a-0005,65.129500,65.491000,think,I,bh,u-6-1
sw2603B-ms98-a-0005,65.531000,65.713750,so,I,bh,u-6-1
sw2603B-ms98-a-0007,72.568500,72.760750,i,B,sd,u-8-1
sw2603B-ms98-a-0007,72.760750,72.999875,bought,I,sd,u-8-1
sw2603B-ms98-a-0007,72.999875,73.189875,a,I,sd,u-8-1
sw2603B-ms98-a-0007,73.189875,73.899875,stationary,I,sd,u-8-1
sw2603B-ms98-a-0007,73.899875,74.369875,bike,I,sd,u-8-1
sw2603B-ms98-a-0008,75.015750,75.175750,but,B,sd,u-8-2
sw2603B-ms98-a-0008,75.175750,75.271000,i,I,sd,u-8-2
sw2603B-ms98-a-0008,75.612125,75.965750,find,I,sd,u-8-2
sw2603B-ms98-a-0008,75.965750,76.135750,that,I,sd,u-8-2
sw2603B-ms98-a-0008,76.255750,76.365750,if,I,sd,u-8-2
sw2603B-ms98-a-0008,76.365750,76.425750,i,I,sd,u-8-2
sw2603B-ms98-a-0008,76.425750,76.545750,sit,I,sd,u-8-2
sw2603B-ms98-a-0008,76.825750,76.975750,on,I,sd,u-8-2
sw2603B-ms98-a-0008,76.975750,77.165750,that,I,sd,u-8-2
sw2603B-ms98-a-0008,77.165750,77.565750,seat,I,sd,u-8-2
sw2603B-ms98-a-0008,78.205500,78.495500,too,I,sd,u-8-2
sw2603B-ms98-a-0008,78.495500,78.915750,long,I,sd,u-8-2
sw2603B-ms98-a-0008,79.105750,79.195750,it,I,sd,u-8-2
sw2603B-ms98-a-0008,79.195750,79.805750,hurts,I,sd,u-8-2
sw2603B-ms98-a-0009,80.897500,81.165750,and,B,sd,u-10-1
sw2603B-ms98-a-0009,81.165750,81.195750,i,I,sd,u-10-1
sw2603B-ms98-a-0009,81.195750,81.435750,haven't,I,sd,u-10-1
sw2603B-ms98-a-0009,81.435750,81.695750,figured,I,sd,u-10-1
sw2603B-ms98-a-0009,81.695750,81.879625,how,I,sd,u-10-1
sw2603B-ms98-a-0009,81.879625,81.979125,to,I,sd,u-10-1
sw2603B-ms98-a-0009,81.979125,82.137375,get,I,sd,u-10-1
sw2603B-ms98-a-0009,82.137375,82.375750,that,I,sd,u-10-1
sw2603B-ms98-a-0009,82.375750,82.875750,soft,I,sd,u-10-1
sw2603B-ms98-a-0009,82.875750,83.015750,and,B,sd,u-10-2
sw2603B-ms98-a-0009,83.015750,83.065750,i,I,sd,u-10-2
sw2603B-ms98-a-0009,83.065750,83.375750,tried,I,sd,u-10-2
