sw2620B-ms98-a-0003,12.335250,12.999625,uh-huh,B,b,u-2-1
sw2620B-ms98-a-0005,22.407625,23.111125,uh-huh,B,b,u-4-1
sw2620B-ms98-a-0006,24.093750,24.453750,well,B,sd,u-4-2
sw2620B-ms98-a-0006,24.453750,24.803750,uh,I,sd,u-4-2
sw2620B-ms98-a-0006,24.803750,25.023750,uh,I,sd,u-4-2
sw2620B-ms98-a-0006,25.023750,25.323750,your,I,sd,u-4-2
sw2620B-ms98-a-0006,25.323750,25.503750,you,I,sd,u-4-2
sw2620B-ms98-a-0006,25.503750,25.713750,said,I,sd,u-4-2
sw2620B-ms98-a-0006,25.713750,25.823750,your,I,sd,u-4-2
sw2620B-ms98-a-0006,25.823750,26.153500,family,I,sd,u-4-2
sw2620B-ms98-a-0006,26.153500,26.387125,was,I,sd,u-4-2
sw2620B-ms98-a-0006,26.387125,26.623750,grow[n]-,I,sd,u-4-2
sw2620B-ms98-a-0006,26.623750,26.713750,uh,I,sd,u-4-2
sw2620B-ms98-a-0006,26.713750,27.023750,all,I,sd,u-4-2
sw2620B-ms98-a-0006,27.023750,27.333750,grown,I,sd,u-4-2
sw2620B-ms98-a-0006,27.333750,27.503750,up,I,sd,u-4-2
sw2620B-ms98-a-0006,27.503750,27.683750,now,I,sd,u-4-2
sw2620B-ms98-a-0006,27.683750,27.773750,how,B,qo,u-4-3
sw2620B-ms98-a-0006,27.773750,27.953750,about,I,qo,u-4-3
sw2620B-ms98-a-0006,27.953750,28.093750,when,I,qo,u-4-3
sw2620B-ms98-a-0006,28.093750,28.193750,they,I,qo,u-4-3
sw2620B-ms98-a-0006,28.193750,28.313750,were,I,qo,u-4-3
sw2620B-ms98-a-0006,28.313750,28.633750,younger,I,qo,u-4-3
sw2620B-ms98-a-0006,28.633750,28.763750,did,B,qy,u-4-4
sw2620B-ms98-a-0006,28.763750,28.893750,you,I,qy,u-4-4
sw2620B-ms98-a-0006,28.893750,29.103750,go,I,qy,u-4-4
sw2620B-ms98-a-0006,29.103750,29.403750,cam[ping]-,I,qy,u-4-4
sw2620B-ms98-a-0006,29.403750,29.633750,take,I,qy,u-4-4
sw2620B-ms98-a-0006,29.633750,29.823750,them,I,qy,u-4-4
sw2620B-ms98-a-0006,29.823750,30.424250,camping,I,qy,u-4-4
sw2620B-ms98-a-0007,31.661500,32.306375,uh-huh,B,b,u-6-1
sw2620B-ms98-a-0011,47.212125,47.730500,uh-huh,B,b,u-10-1
sw2620B-ms98-a-0013,60.129750,60.329750,yeah,O,,
sw2620B-ms98-a-0013,60.329750,60.519750,but,O,,
sw2620B-ms98-a-0013,60.519750,60.656125,e[ven]-,O,,
sw2620B-ms98-a-0014,61.602750,61.882750,even,B,qy^g,u-12-2
sw2620B-ms98-a-0014,61.882750,62.252750,cooking,I,qy^g,u-12-2
sw2620B-ms98-a-0014,62.252750,62.462750,over,I,qy^g,u-12-2
sw2620B-ms98-a-0014,62.462750,62.522750,an,I,qy^g,u-12-2
sw2620B-ms98-a-0014,62.522750,62.812750,open,I,qy^g,u-12-2
sw2620B-ms98-a-0014,62.812750,63.242750,fire,I,qy^g,u-12-2
sw2620B-ms98-a-0014,63.242750,63.352750,is,I,qy^g,u-12-2
sw2620B-ms98-a-0014,63.352750,63.392750,a,I,qy^g,u-12-2
sw2620B-ms98-a-0014,63.392750,63.572750,little,I,qy^g,u-12-2
sw2620B-ms98-a-0014,63.572750,63.802750,more,I,qy^g,u-12-2
sw2620B-ms98-a-0014,63.802750,64.091125,fun,I,qy^g,u-12-2
sw2620B-ms98-a-0014,64.091125,64.317125,isn't,I,qy^g,u-12-2
sw2620B-ms98-a-0014,64.317125,64.544250,it,I,qy^g,u-12-2
sw2620B-ms98-a-0016,73.065125,73.594000,oh,B,no,u-14-1
sw2620B-ms98-a-0016,73.594000,73.936750,oh,I,no,u-14-1
sw2620B-ms98-a-0016,73.936750,74.368375,uh,I,no,u-14-1
sw2620B-ms98-a-0016,74.583000,74.954375,well,I,no,u-14-1
sw2620B-ms98-a-0017,76.273500,76.393500,it,I,no,u-14-1
sw2620B-ms98-a-0017,76.393500,76.543500,was,I,no,u-14-1
sw2620B-ms98-a-0017,76.543500,76.783500,really,I,no,u-14-1
sw2620B-ms98-a-0017,76.783500,76.953500,my,I,no,u-14-1
sw2620B-ms98-a-0017,76.953500,77.253500,ex,I,no,u-14-1
sw2620B-ms98-a-0017,77.253500,77.323500,who,I,no,u-14-1
sw2620B-ms98-a-0017,77.323500,77.573125,did,I,no,u-14-1
sw2620B-ms98-a-0017,77.573125,77.819750,the,I,no,u-14-1
sw2620B-ms98-a-0017,77.819750,78.106000,the,I,no,u-14-1
sw2620B-ms98-a-0017,78.106000,78.383500,uh,I,no,u-14-1
sw2620B-ms98-a-0017,78.383500,78.643500,uh,I,no,u-14-1
sw2620B-ms98-a-0017,78.643500,78.733500,the,I,no,u-14-1
sw2620B-ms98-a-0017,78.733500,79.183500,cooking,I,no,u-14-1
sw2620B-ms98-a-0017,79.183500,79.403500,back,I,no,u-14-1
sw2620B-ms98-a-0017,79.403500,79.513500,when,I,no,u-14-1
sw2620B-ms98-a-0017,79.513500,79.633500,we,I,no,u-14-1
sw2620B-ms98-a-0017,79.633500,79.973500,first,I,no,u-14-1
sw2620B-ms98-a-0017,79.973500,80.493500,started,I,no,u-14-1
sw2620B-ms98-a-0018,81.341375,81.621375,and,B,sd,u-14-2
sw2620B-ms98-a-0018,81.621375,81.791375,we,I,sd,u-14-2
sw2620B-ms98-a-0018,81.791375,82.381375,found,I,sd,u-14-2
sw2620B-ms98-a-0018,82.381375,82.606750,that,I,sd,u-14-2
sw2620B-ms98-a-0018,82.753625,83.011375,the,I,sd,u-14-2
sw2620B-ms98-a-0018,83.011375,83.201375,you,I,sd,u-14-2
