sw2638B-ms98-a-0002,7.008125,7.380875,um,B,b,u-2-1
sw2638B-ms98-a-0003,8.794875,9.310750,basically,B,nn,u-4-1
sw2638B-ms98-a-0003,9.310750,9.570750,no,I,nn,u-4-1
sw2638B-ms98-a-0004,10.415250,10.988125,um,B,o@,u-4-2
sw2638B-ms98-a-0006,13.304875,13.505500,yeah,B,+@,u-6-1
sw2638B-ms98-a-0006,13.505500,13.714875,i,B,%,u-6-2
sw2638B-ms98-a-0006,13.714875,14.127625,i,I,%,u-6-2
sw2638B-ms98-a-0006,14.308500,14.888750,uh,I,%,u-6-2
sw2638B-ms98-a-0006,15.489375,15.806250,uh,I,%,u-6-2
sw2638B-ms98-a-0006,16.105750,16.452625,the,B,sv,u-6-3
sw2638B-ms98-a-0006,16.603375,17.014875,policy,I,sv,u-6-3
sw2638B-ms98-a-0006,17.014875,17.184875,that,I,sv,u-6-3
sw2638B-ms98-a-0006,17.184875,17.544875,TI,I,sv,u-6-3
sw2638B-ms98-a-0006,17.544875,17.964875,has,I,sv,u-6-3
sw2638B-ms98-a-0006,17.964875,18.074875,i,I,sv,u-6-3
sw2638B-ms98-a-0006,18.074875,18.404875,think,I,sv,u-6-3
sw2638B-ms98-a-0006,18.404875,18.741000,is,I,sv,u-6-3
sw2638B-ms98-a-0006,18.741000,19.061125,uh,I,sv,u-6-3
sw2638B-ms98-a-0006,19.061125,19.244875,uh,I,sv,u-6-3
sw2638B-ms98-a-0006,19.244875,19.474875,very,I,sv,u-6-3
sw2638B-ms98-a-0006,19.474875,19.733875,fair,I,sv,u-6-3
sw2638B-ms98-a-0007,20.513500,21.441125,um,B,%,u-8-1
sw2638B-ms98-a-0007,21.813750,22.311500,i,I,%,u-8-1
sw2638B-ms98-a-0008,23.415625,23.676500,they,B,sd,u-8-2
sw2638B-ms98-a-0008,23.676500,24.026500,first,I,sd,u-8-2
sw2638B-ms98-a-0008,24.026500,24.166500,had,I,sd,u-8-2
sw2638B-ms98-a-0008,24.166500,24.216500,a,I,sd,u-8-2
sw2638B-ms98-a-0008,24.216500,24.676500,policy,I,sd,u-8-2
sw2638B-ms98-a-0008,24.676500,24.846500,where,I,sd,u-8-2
sw2638B-ms98-a-0008,24.846500,25.166500,they,I,sd,u-8-2
sw2638B-ms98-a-0008,25.166500,25.326500,uh,I,sd,u-8-2
sw2638B-ms98-a-0008,25.326500,25.486500,would,I,sd,u-8-2
sw2638B-ms98-a-0008,25.486500,25.906500,test,I,sd,u-8-2
sw2638B-ms98-a-0008,25.906500,26.096500,new,I,sd,u-8-2
sw2638B-ms98-a-0008,26.096500,26.696500,employees,I,sd,u-8-2
sw2638B-ms98-a-0008,26.696500,26.946500,and,B,sd,u-8-3
sw2638B-ms98-a-0008,27.302500,27.656500,then,I,sd,u-8-3
sw2638B-ms98-a-0008,27.656500,27.986500,since,I,sd,u-8-3
sw2638B-ms98-a-0008,27.986500,28.166500,i've,I,sd,u-8-3
sw2638B-ms98-a-0008,28.166500,28.396500,been,I,sd,u-8-3
sw2638B-ms98-a-0008,28.396500,28.596500,with,I,sd,u-8-3
sw2638B-ms98-a-0008,28.596500,28.796500,them,I,sd,u-8-3
sw2638B-ms98-a-0008,28.796500,28.866500,the,I,sd,u-8-3
sw2638B-ms98-a-0008,28.866500,29.206500,last,I,sd,u-8-3
sw2638B-ms98-a-0008,29.206500,29.376500,four,I,sd,u-8-3
sw2638B-ms98-a-0008,29.376500,29.776500,years,I,sd,u-8-3
sw2638B-ms98-a-0008,29.776500,29.986500,uh,I,sd,u-8-3
sw2638B-ms98-a-0008,29.986500,30.286500,there's,I,sd,u-8-3
sw2638B-ms98-a-0008,30.286500,30.456500,been,I,sd,u-8-3
sw2638B-ms98-a-0008,30.456500,30.556500,in,I,sd,u-8-3
sw2638B-ms98-a-0008,30.556500,30.616500,the,I,sd,u-8-3
sw2638B-ms98-a-0008,30.616500,31.396500,last,I,sd,u-8-3
