sw2645B-ms98-a-0002,3.310500,3.696000,yes,B,aa,u-2-1
sw2645B-ms98-a-0003,4.981625,5.070000,well,B,^h,u-4-1
sw2645B-ms98-a-0003,5.070000,5.200000,let's,I,^h,u-4-1
sw2645B-ms98-a-0003,5.200000,5.280000,see,I,^h,u-4-1
sw2645B-ms98-a-0003,5.280000,5.420000,what,B,qw^h,u-4-2
sw2645B-ms98-a-0003,5.420000,5.580000,kind,I,qw^h,u-4-2
sw2645B-ms98-a-0003,5.580000,5.640000,of,I,qw^h,u-4-2
sw2645B-ms98-a-0003,5.640000,5.920000,hobbies,I,qw^h,u-4-2
sw2645B-ms98-a-0003,5.920000,6.030000,do,I,qw^h,u-4-2
sw2645B-ms98-a-0003,6.030000,6.080000,i,I,qw^h,u-4-2
sw2645B-ms98-a-0003,6.080000,6.310000,have,I,qw^h,u-4-2
sw2645B-ms98-a-0003,6.310000,6.514625,i,B,sd,u-4-3
sw2645B-ms98-a-0003,6.514625,7.011875,guess,I,sd,u-4-3
sw2645B-ms98-a-0003,7.011875,7.390000,uh,I,sd,u-4-3
sw2645B-ms98-a-0003,7.390000,7.470000,i,I,sd,u-4-3
sw2645B-ms98-a-0003,7.470000,7.800000,it's,I,sd,u-4-3
sw2645B-ms98-a-0003,7.800000,8.120000,more,I,sd,u-4-3
sw2645B-ms98-a-0003,8.120000,8.310000,not,I,sd,u-4-3
sw2645B-ms98-a-0003,8.310000,8.380000,so,I,sd,u-4-3
sw2645B-ms98-a-0003,8.380000,8.530000,much,I,sd,u-4-3
sw2645B-ms98-a-0003,8.530000,8.640000,a,I,sd,u-4-3
sw2645B-ms98-a-0003,8.640000,8.960000,hobby,I,sd,u-4-3
sw2645B-ms98-a-0003,8.960000,9.100000,but,I,sd,u-4-3
sw2645B-ms98-a-0003,9.100000,9.300000,things,I,sd,u-4-3
sw2645B-ms98-a-0003,9.300000,9.380000,i,I,sd,u-4-3
sw2645B-ms98-a-0003,9.380000,9.640000,enjoy,I,sd,u-4-3
sw2645B-ms98-a-0003,9.640000,9.910000,doing,I,sd,u-4-3
sw2645B-ms98-a-0003,9.910000,9.980125,i,B,sd,u-4-4
sw2645B-ms98-a-0003,9.980125,10.262625,enjoy,I,sd,u-4-4
sw2645B-ms98-a-0003,10.262625,10.450000,playing,I,sd,u-4-4
sw2645B-ms98-a-0003,10.450000,11.300000,basketball,I,sd,u-4-4
sw2645B-ms98-a-0003,11.300000,11.530000,and,I,sd,u-4-4
sw2645B-ms98-a-0003,12.220000,13.234250,and,I,sd,u-4-4
sw2645B-ms98-a-0003,13.422500,13.780000,basically,I,sd,u-4-4
sw2645B-ms98-a-0003,13.780000,13.910000,all,I,sd,u-4-4
sw2645B-ms98-a-0003,13.910000,14.190000,kinds,I,sd,u-4-4
sw2645B-ms98-a-0003,14.190000,14.280000,of,I,sd,u-4-4
sw2645B-ms98-a-0003,14.280000,14.809625,sports,I,sd,u-4-4
sw2645B-ms98-a-0003,15.458250,16.030000,and,B,%,u-4-5
sw2645B-ms98-a-0003,16.030000,16.334250,uh,I,%,u-4-5
sw2645B-ms98-a-0003,17.053625,17.400000,excuse,B,br,u-6-1
sw2645B-ms98-a-0003,17.400000,17.540000,me,I,br,u-6-1
sw2645B-ms98-a-0004,19.026875,19.474500,no,B,nn,u-8-1
sw2645B-ms98-a-0004,19.753125,20.076875,not,B,sd^e,u-8-2
sw2645B-ms98-a-0004,20.076875,20.376875,not,I,sd^e,u-8-2
sw2645B-ms98-a-0004,20.376875,20.833000,really,I,sd^e,u-8-2
sw2645B-ms98-a-0004,21.303750,21.851750,um,I,sd^e,u-8-2
sw2645B-ms98-a-0004,22.172000,22.386875,no,B,nn,u-8-3
sw2645B-ms98-a-0004,22.386875,22.556875,i,O,,
sw2645B-ms98-a-0004,22.556875,22.826875,i'm,B,sd,u-8-4
sw2645B-ms98-a-0004,22.826875,23.066875,really,I,sd,u-8-4
sw2645B-ms98-a-0004,23.066875,23.316875,not,I,sd,u-8-4
sw2645B-ms98-a-0004,23.316875,23.436875,too,I,sd,u-8-4
sw2645B-ms98-a-0004,23.436875,24.164625,creative,I,sd,u-8-4
sw2645B-ms98-a-0004,24.432125,24.546875,well,B,sd,u-8-5
sw2645B-ms98-a-0004,24.546875,24.726875,i,I,sd,u-8-5
sw2645B-ms98-a-0004,24.726875,24.986875,uh,I,sd,u-8-5
sw2645B-ms98-a-0004,25.186875,25.296875,you,I,sd,u-8-5
sw2645B-ms98-a-0004,25.296875,25.588375,know,I,sd,u-8-5
sw2645B-ms98-a-0004,25.825750,26.156875,around,I,sd,u-8-5
sw2645B-ms98-a-0004,26.156875,26.276875,with,I,sd,u-8-5
sw2645B-ms98-a-0004,26.276875,26.356875,my,I,sd,u-8-5
sw2645B-ms98-a-0004,26.356875,26.626875,hands,I,sd,u-8-5
sw2645B-ms98-a-0004,26.626875,26.716875,and,I,sd,u-8-5
sw2645B-ms98-a-0004,26.716875,26.876875,things,I,sd,u-8-5
sw2645B-ms98-a-0004,26.876875,27.046875,like,I,sd,u-8-5
sw2645B-ms98-a-0004,27.046875,27.236875,that,I,sd,u-8-5
sw2645B-ms98-a-0004,27.236875,27.286875,i,B,sd,u-8-6
sw2645B-ms98-a-0004,27.286875,27.486875,leave,I,sd,u-8-6
sw2645B-ms98-a-0004,27.486875,27.636875,that,I,sd,u-8-6
sw2645B-ms98-a-0004,27.636875,27.786875,more,I,sd,u-8-6
sw2645B-ms98-a-0004,27.786875,27.876875,up,I,sd,u-8-6
sw2645B-ms98-a-0004,27.876875,27.956875,to,I,sd,u-8-6
sw2645B-ms98-a-0004,27.956875,28.111250,my,I,sd,u-8-6
