sw2657A-ms98-a-0002,0.474125,0.660375,huh,B,br,u-1-1
sw2657A-ms98-a-0002,0.858875,1.386500,okay,B,b,u-1-2
sw2657A-ms98-a-0004,3.520250,4.071375,well,B,h,u-3-1
sw2657A-ms98-a-0004,4.357625,4.533000,i,I,h,u-3-1
sw2657A-ms98-a-0004,4.533000,4.710250,don't,I,h,u-3-1
sw2657A-ms98-a-0004,4.710250,4.790250,know,I,h,u-3-1
sw2657A-ms98-a-0004,4.790250,4.910250,if,I,h,u-3-1
sw2657A-ms98-a-0004,4.910250,4.980250,i,I,h,u-3-1
sw2657A-ms98-a-0004,4.980250,5.160250,know,I,h,u-3-1
sw2657A-ms98-a-0004,5.160250,5.620250,anything,I,h,u-3-1
sw2657A-ms98-a-0004,5.620250,5.710250,or,I,h,u-3-1
sw2657A-ms98-a-0004,5.710250,6.020250,not,I,h,u-3-1
sw2657A-ms98-a-0004,6.020250,6.150250,but,B,sd,u-5-1
sw2657A-ms98-a-0004,6.150250,6.250250,i've,I,sd,u-5-1
sw2657A-ms98-a-0004,6.250250,6.620250,i've,I,sd,u-5-1
sw2657A-ms98-a-0004,6.620250,6.830250,got,I,sd,u-5-1
sw2657A-ms98-a-0004,6.830250,7.000250,some,I,sd,u-5-1
sw2657A-ms98-a-0004,7.000250,7.600250,opinions,I,sd,u-5-1
sw2657A-ms98-a-0004,7.600250,7.810250,on,I,sd,u-5-1
sw2657A-ms98-a-0004,7.810250,8.153125,it,I,sd,u-5-1
sw2657A-ms98-a-0004,8.718125,8.940250,see,B,sv,u-7-1
sw2657A-ms98-a-0004,8.940250,9.250250,those,I,sv,u-7-1
sw2657A-ms98-a-0004,9.250250,9.570250,type,I,sv,u-7-1
sw2657A-ms98-a-0004,9.570250,9.650250,of,I,sv,u-7-1
sw2657A-ms98-a-0004,9.650250,9.970250,people,I,sv,u-7-1
sw2657A-ms98-a-0004,9.970250,10.170250,that,I,sv,u-7-1
sw2657A-ms98-a-0004,10.170250,10.350250,that,I,sv,u-7-1
sw2657A-ms98-a-0004,10.350250,10.530250,have,I,sv,u-7-1
sw2657A-ms98-a-0004,10.530250,10.590250,the,I,sv,u-7-1
sw2657A-ms98-a-0004,10.590250,10.860250,most,I,sv,u-7-1
sw2657A-ms98-a-0004,10.860250,11.360250,opinions,I,sv,u-7-1
