sw2658A-ms98-a-0002,7.996125,8.326125,uh-huh,B,b,u-2-1
sw2658A-ms98-a-0004,13.882250,14.042250,well,B,sd,u-4-1
sw2658A-ms98-a-0004,14.042250,14.167250,i'm,I,sd,u-4-1
sw2658A-ms98-a-0004,14.167250,14.404500,having,I,sd,u-4-1
sw2658A-ms98-a-0004,14.404500,14.512250,a,I,sd,u-4-1
sw2658A-ms98-a-0004,14.512250,14.862250,problem,I,sd,u-4-1
sw2658A-ms98-a-0004,14.862250,15.042250,right,I,sd,u-4-1
sw2658A-ms98-a-0004,15.042250,15.192250,now,I,sd,u-4-1
sw2658A-ms98-a-0004,15.192250,15.332250,with,I,sd,u-4-1
sw2658A-ms98-a-0004,15.332250,15.372250,a,I,sd,u-4-1
sw2658A-ms98-a-0004,15.372250,15.862250,computer,I,sd,u-4-1
sw2658A-ms98-a-0004,15.862250,16.002250,that,I,sd,u-4-1
sw2658A-ms98-a-0004,16.002250,16.152250,we've,I,sd,u-4-1
sw2658A-ms98-a-0004,16.152250,16.382250,just,I,sd,u-4-1
sw2658A-ms98-a-0004,16.382250,17.050000,returned,I,sd,u-4-1
sw2658A-ms98-a-0004,17.400250,17.606875,so,B,sd,u-6-1
sw2658A-ms98-a-0004,17.606875,17.722250,for,I,sd,u-6-1
sw2658A-ms98-a-0004,17.722250,17.892250,me,I,sd,u-6-1
sw2658A-ms98-a-0004,17.892250,18.002250,it's,I,sd,u-6-1
sw2658A-ms98-a-0004,18.002250,18.372250,actually,I,sd,u-6-1
sw2658A-ms98-a-0004,18.372250,18.452250,a,I,sd,u-6-1
sw2658A-ms98-a-0004,18.452250,18.712250,pretty,I,sd,u-6-1
sw2658A-ms98-a-0004,18.712250,18.922250,good,I,sd,u-6-1
sw2658A-ms98-a-0004,18.922250,19.472250,topic,I,sd,u-6-1
sw2658A-ms98-a-0006,21.263500,21.453500,yeah,B,aa,u-8-1
sw2658A-ms98-a-0006,21.453500,21.553500,well,B,oo,u-8-2
sw2658A-ms98-a-0006,21.553500,21.673500,we,I,oo,u-8-2
sw2658A-ms98-a-0006,21.673500,21.773500,could,I,oo,u-8-2
sw2658A-ms98-a-0006,21.773500,21.943500,talk,I,oo,u-8-2
sw2658A-ms98-a-0006,21.943500,22.133500,about,I,oo,u-8-2
sw2658A-ms98-a-0006,22.133500,22.253500,that,I,oo,u-8-2
sw2658A-ms98-a-0006,22.253500,22.353500,and,B,oo,u-8-3
sw2658A-ms98-a-0006,22.353500,22.443500,then,I,oo,u-8-3
sw2658A-ms98-a-0006,22.443500,22.513500,we,I,oo,u-8-3
sw2658A-ms98-a-0006,22.513500,22.663500,could,I,oo,u-8-3
sw2658A-ms98-a-0006,22.663500,22.893500,talk,I,oo,u-8-3
sw2658A-ms98-a-0006,22.893500,22.953500,a,I,oo,u-8-3
sw2658A-ms98-a-0006,22.953500,23.123500,bit,I,oo,u-8-3
sw2658A-ms98-a-0006,23.123500,23.493500,about,I,oo,u-8-3
sw2658A-ms98-a-0006,23.493500,23.983500,um,I,oo,u-8-3
sw2658A-ms98-a-0006,24.413500,24.694000,just,I,oo,u-8-3
sw2658A-ms98-a-0006,24.942625,25.513500,quality,I,oo,u-8-3
sw2658A-ms98-a-0006,25.513500,25.583500,of,I,oo,u-8-3
sw2658A-ms98-a-0006,25.583500,26.003500,products,I,oo,u-8-3
sw2658A-ms98-a-0006,26.003500,26.103500,in,I,oo,u-8-3
sw2658A-ms98-a-0006,26.103500,26.453500,general,I,oo,u-8-3
sw2658A-ms98-a-0006,26.453500,26.593500,if,B,+,u-10-1
sw2658A-ms98-a-0006,26.593500,26.663500,you,I,+,u-10-1
sw2658A-ms98-a-0006,26.853500,26.973500,they're,I,+,u-10-1
sw2658A-ms98-a-0006,26.973500,27.203500,better,I,+,u-10-1
sw2658A-ms98-a-0006,27.203500,27.363500,or,I,+,u-10-1
sw2658A-ms98-a-0006,27.363500,27.633500,worse,I,+,u-10-1
sw2658A-ms98-a-0006,27.633500,27.763500,like,I,+,u-10-1
sw2658A-ms98-a-0006,27.763500,27.893625,if,I,+,u-10-1
sw2658A-ms98-a-0006,27.893625,28.051875,they,I,+,u-10-1
