sw2672A-ms98-a-0002,1.009625,1.487000,start,B,ad,u-1-1
sw2672A-ms98-a-0004,5.144375,5.599125,um,B,%,u-3-1
sw2672A-ms98-a-0004,6.331000,6.415625,the,O,,
sw2672A-ms98-a-0004,6.415625,6.614375,well,B,sd,u-3-2
sw2672A-ms98-a-0004,6.614375,6.824375,right,I,sd,u-3-2
sw2672A-ms98-a-0004,6.824375,6.994375,now,I,sd,u-3-2
sw2672A-ms98-a-0004,6.994375,7.163500,they've,I,sd,u-3-2
sw2672A-ms98-a-0004,7.163500,7.351875,got,I,sd,u-3-2
sw2672A-ms98-a-0004,7.351875,7.531750,a,I,sd,u-3-2
sw2672A-ms98-a-0004,7.912125,8.066125,kind,I,sd,u-3-2
sw2672A-ms98-a-0004,8.066125,8.194250,of,I,sd,u-3-2
sw2672A-ms98-a-0004,8.194250,8.466000,a,I,sd,u-3-2
sw2672A-ms98-a-0004,8.646750,9.134375,central,I,sd,u-3-2
sw2672A-ms98-a-0004,9.134375,9.796125,location,I,sd,u-3-2
sw2672A-ms98-a-0004,10.331000,10.614375,off,I,sd,u-3-2
sw2672A-ms98-a-0004,10.614375,10.684375,of,I,sd,u-3-2
sw2672A-ms98-a-0004,10.684375,10.754375,the,I,sd,u-3-2
sw2672A-ms98-a-0004,10.754375,11.054375,main,I,sd,u-3-2
sw2672A-ms98-a-0004,11.054375,11.621625,highway,I,sd,u-3-2
sw2672A-ms98-a-0004,12.762125,12.886375,and,B,sd,u-3-3
sw2672A-ms98-a-0004,12.886375,13.064375,they've,I,sd,u-3-3
sw2672A-ms98-a-0004,13.064375,13.334375,got,I,sd,u-3-3
sw2672A-ms98-a-0004,13.334375,13.524375,some,I,sd,u-3-3
sw2672A-ms98-a-0004,13.524375,13.754375,great,I,sd,u-3-3
sw2672A-ms98-a-0004,13.754375,13.964375,big,I,sd,u-3-3
sw2672A-ms98-a-0004,13.964375,14.365375,bins,I,sd,u-3-3
sw2672A-ms98-a-0004,14.365375,14.696750,there,I,sd,u-3-3
sw2672A-ms98-a-0004,14.696750,15.221375,for,I,sd,u-3-3
sw2672A-ms98-a-0004,15.998250,17.004375,newspaper,I,sd,u-3-3
sw2672A-ms98-a-0005,18.034500,18.414500,um,I,sd,u-3-3
sw2672A-ms98-a-0005,18.414500,19.331500,plastic,I,sd,u-3-3
sw2672A-ms98-a-0006,20.841500,21.681500,um,I,sd,u-3-3
sw2672A-ms98-a-0006,21.681500,21.781500,i,I,sd,u-3-3
