sw2676A-ms98-a-0003,3.186500,3.671250,both,B,sd,u-2-1
sw2676A-ms98-a-0004,4.931125,5.397375,yes,B,ny,u-4-1
sw2676A-ms98-a-0005,6.756875,6.998000,uh-huh,B,ny,u-6-1
sw2676A-ms98-a-0007,8.974875,10.544250,[laughter],O,,
sw2676A-ms98-a-0007,10.544250,10.816750,well,B,qr,u-10-1
sw2676A-ms98-a-0007,11.023875,11.130250,are,I,qr,u-10-1
sw2676A-ms98-a-0007,11.130250,11.310250,you,I,qr,u-10-1
sw2676A-ms98-a-0007,11.310250,11.837125,Summit,I,qr,u-10-1
sw2676A-ms98-a-0007,11.837125,12.050250,or,I,qr,u-10-1
sw2676A-ms98-a-0007,12.050250,12.401750,are,I,qr,u-10-1
sw2676A-ms98-a-0007,12.401750,13.039625,you,I,qr,u-10-1
sw2676A-ms98-a-0007,13.039625,13.588500,uh,I,qr,u-10-1
sw2676A-ms98-a-0007,13.896875,14.111625,uh,O,,
sw2676A-ms98-a-0007,14.111625,14.480250,Spring,B,+,u-12-1
sw2676A-ms98-a-0007,14.480250,14.994125,Creek,I,+,u-12-1
sw2676A-ms98-a-0008,15.863750,16.080250,oh,B,sv,u-14-1
sw2676A-ms98-a-0008,16.080250,16.330250,this,I,sv,u-14-1
sw2676A-ms98-a-0008,16.330250,16.540250,is,I,sv,u-14-1
sw2676A-ms98-a-0008,16.540250,16.854125,fun,I,sv,u-14-1
sw2676A-ms98-a-0008,17.080000,17.230250,what,B,qw,u-14-2
sw2676A-ms98-a-0008,17.230250,17.560250,building,I,qw,u-14-2
sw2676A-ms98-a-0008,17.560250,17.620250,are,I,qw,u-14-2
sw2676A-ms98-a-0008,17.620250,17.780250,you,I,qw,u-14-2
sw2676A-ms98-a-0008,17.780250,18.037625,in,I,qw,u-14-2
sw2676A-ms98-a-0010,19.550125,19.665500,oh,B,sd,u-16-1
sw2676A-ms98-a-0010,19.665500,19.775500,i'm,I,sd,u-16-1
sw2676A-ms98-a-0010,19.775500,20.105500,building,I,sd,u-16-1
sw2676A-ms98-a-0010,20.105500,20.245500,two,I,sd,u-16-1
sw2676A-ms98-a-0010,20.245500,20.585500,at,B,sv,u-16-2
sw2676A-ms98-a-0010,20.585500,20.985500,least,I,sv,u-16-2
sw2676A-ms98-a-0010,20.985500,21.055500,[laughter-we],I,sv,u-16-2
