sw2689B-ms98-a-0002,1.467000,1.823875,okay_1,O,,
sw2689B-ms98-a-0003,2.932500,3.057250,what,B,qw,u-2-2
sw2689B-ms98-a-0003,3.057250,3.187250,can,I,qw,u-2-2
sw2689B-ms98-a-0003,3.187250,3.307250,we,I,qw,u-2-2
sw2689B-ms98-a-0003,3.307250,3.467250,do,I,qw,u-2-2
sw2689B-ms98-a-0003,3.467250,3.777250,about,I,qw,u-2-2
sw2689B-ms98-a-0003,3.777250,4.387250,crime,I,qw,u-2-2
sw2689B-ms98-a-0003,4.387250,4.517250,i,B,h,u-2-3
sw2689B-ms98-a-0003,4.517250,4.727250,don't,I,h,u-2-3
sw2689B-ms98-a-0003,4.727250,4.947250,know,I,h,u-2-3
sw2689B-ms98-a-0003,4.947250,5.111250,the,B,sd,u-2-4
sw2689B-ms98-a-0003,5.329625,5.507250,one,I,sd,u-2-4
sw2689B-ms98-a-0003,5.507250,5.657250,thing,I,sd,u-2-4
sw2689B-ms98-a-0003,5.657250,5.787250,that,I,sd,u-2-4
sw2689B-ms98-a-0003,5.787250,6.027250,keeps,I,sd,u-2-4
sw2689B-ms98-a-0003,6.027250,6.257250,coming,I,sd,u-2-4
sw2689B-ms98-a-0003,6.257250,6.317250,to,I,sd,u-2-4
sw2689B-ms98-a-0003,6.317250,6.587250,mind,I,sd,u-2-4
sw2689B-ms98-a-0003,6.587250,6.657250,to,I,sd,u-2-4
sw2689B-ms98-a-0003,6.657250,6.937250,me,I,sd,u-2-4
sw2689B-ms98-a-0003,6.937250,7.187250,is,I,sd,u-2-4
sw2689B-ms98-a-0003,7.187250,7.407250,that,I,sd,u-2-4
sw2689B-ms98-a-0003,7.407250,7.842125,they're,I,sd,u-2-4
sw2689B-ms98-a-0003,8.264000,8.347250,they,I,sd,u-2-4
sw2689B-ms98-a-0003,8.347250,8.487250,don't,I,sd,u-2-4
sw2689B-ms98-a-0003,8.487250,8.587250,have,I,sd,u-2-4
sw2689B-ms98-a-0003,8.587250,8.807250,enough,I,sd,u-2-4
sw2689B-ms98-a-0003,8.807250,9.317250,space,I,sd,u-2-4
sw2689B-ms98-a-0003,9.317250,9.447250,in,I,sd,u-2-4
sw2689B-ms98-a-0003,9.447250,9.517250,the,I,sd,u-2-4
sw2689B-ms98-a-0003,9.517250,10.087250,prisons,I,sd,u-2-4
sw2689B-ms98-a-0003,10.087250,10.217250,to,I,sd,u-2-4
sw2689B-ms98-a-0003,10.217250,10.477250,put,I,sd,u-2-4
sw2689B-ms98-a-0003,10.477250,10.887250,people,I,sd,u-2-4
sw2689B-ms98-a-0003,10.887250,10.977250,and,B,sv,u-2-5
sw2689B-ms98-a-0003,10.977250,11.047250,they,I,sv,u-2-5
sw2689B-ms98-a-0003,11.047250,11.277250,keep,I,sv,u-2-5
sw2689B-ms98-a-0003,11.277250,11.567250,letting,I,sv,u-2-5
sw2689B-ms98-a-0003,11.567250,11.717250,out,I,sv,u-2-5
sw2689B-ms98-a-0003,11.717250,12.027250,people,I,sv,u-2-5
sw2689B-ms98-a-0003,12.027250,12.157250,that,I,sv,u-2-5
sw2689B-ms98-a-0003,12.157250,12.457250,have,I,sv,u-2-5
sw2689B-ms98-a-0003,12.732250,12.817250,you,I,sv,u-2-5
sw2689B-ms98-a-0003,12.817250,12.997250,know,I,sv,u-2-5
sw2689B-ms98-a-0003,12.997250,13.257250,these,I,sv,u-2-5
sw2689B-ms98-a-0003,13.257250,13.647250,horrible,I,sv,u-2-5
sw2689B-ms98-a-0003,13.647250,14.270500,records,I,sv,u-2-5
sw2689B-ms98-a-0004,14.824125,15.096875,so,B,sv,u-4-1
sw2689B-ms98-a-0004,15.096875,15.366875,maybe,I,sv,u-4-1
sw2689B-ms98-a-0004,15.366875,15.496875,we,I,sv,u-4-1
sw2689B-ms98-a-0004,15.496875,15.706875,need,I,sv,u-4-1
sw2689B-ms98-a-0004,15.706875,15.836875,to,I,sv,u-4-1
sw2689B-ms98-a-0004,15.836875,16.136875,have,I,sv,u-4-1
sw2689B-ms98-a-0004,16.136875,16.606875,more,I,sv,u-4-1
sw2689B-ms98-a-0005,17.761875,18.315250,prisons,I,sv,u-4-1
sw2689B-ms98-a-0005,18.315250,18.415250,or,I,sv,u-4-1
sw2689B-ms98-a-0005,18.415250,18.705250,use,I,sv,u-4-1
sw2689B-ms98-a-0005,18.705250,18.855250,the,I,sv,u-4-1
sw2689B-ms98-a-0005,18.855250,19.125250,old,I,sv,u-4-1
sw2689B-ms98-a-0005,19.125250,19.465250,army,I,sv,u-4-1
sw2689B-ms98-a-0005,19.465250,19.875250,bases,I,sv,u-4-1
sw2689B-ms98-a-0005,19.875250,19.975250,and,I,sv,u-4-1
sw2689B-ms98-a-0005,19.975250,20.145250,make,I,sv,u-4-1
sw2689B-ms98-a-0005,20.145250,20.275250,them_1,I,sv,u-4-1
sw2689B-ms98-a-0005,20.275250,20.455250,into,I,sv,u-4-1
sw2689B-ms98-a-0005,20.455250,20.945250,prisons,I,sv,u-4-1
sw2689B-ms98-a-0005,20.945250,21.085250,or,I,sv,u-4-1
sw2689B-ms98-a-0005,21.085250,21.485250,something,I,sv,u-4-1
sw2689B-ms98-a-0005,21.485250,21.745250,that's,B,sv,u-4-2
sw2689B-ms98-a-0005,21.745250,21.965250,one,I,sv,u-4-2
sw2689B-ms98-a-0005,21.965250,22.155250,thing,I,sv,u-4-2
sw2689B-ms98-a-0005,22.155250,22.255250,i,I,sv,u-4-2
sw2689B-ms98-a-0005,22.255250,22.475250,guess,I,sv,u-4-2
sw2689B-ms98-a-0005,22.475250,22.545250,i,I,sv,u-4-2
sw2689B-ms98-a-0005,22.545250,22.753625,could,I,sv,u-4-2
sw2689B-ms98-a-0005,22.753625,22.975250,think,I,sv,u-4-2
sw2689B-ms98-a-0005,22.975250,23.346125,of,I,sv,u-4-2
sw2689B-ms98-a-0006,24.691625,25.133875,uh,B,sv,u-6-1
sw2689B-ms98-a-0006,25.318375,25.493250,it's,I,sv,u-6-1
sw2689B-ms98-a-0006,25.493250,25.863250,definitely,I,sv,u-6-1
sw2689B-ms98-a-0006,25.863250,25.913250,a,I,sv,u-6-1
sw2689B-ms98-a-0006,25.913250,26.103250,big,I,sv,u-6-1
sw2689B-ms98-a-0006,26.103250,26.753250,concern,I,sv,u-6-1
sw2689B-ms98-a-0006,26.753250,26.833250,i,B,%,u-8-1
sw2689B-ms98-a-0006,26.833250,27.013250,mean,I,%,u-8-1
sw2689B-ms98-a-0006,27.013250,27.273250,every,I,%,u-8-1
