sw2703B-ms98-a-0002,1.420625,2.026375,okay,B,o,u-2-1
sw2703B-ms98-a-0004,12.590250,13.027000,uh-huh,B,b,u-4-1
sw2703B-ms98-a-0004,13.238125,13.529000,uh-huh,B,b^r,u-4-2
sw2703B-ms98-a-0006,17.652875,17.813625,i'm,B,sd,u-6-1
sw2703B-ms98-a-0006,17.813625,17.863625,a,I,sd,u-6-1
sw2703B-ms98-a-0006,17.863625,18.093625,big,I,sd,u-6-1
sw2703B-ms98-a-0006,18.093625,18.543625,baseball,I,sd,u-6-1
sw2703B-ms98-a-0006,18.543625,18.833625,fan,I,sd,u-6-1
sw2703B-ms98-a-0006,18.833625,19.206750,too,I,sd,u-6-1
sw2703B-ms98-a-0006,19.630250,20.245000,[laughter],O,,
sw2703B-ms98-a-0008,23.569500,23.779250,e[xactly]-,O,,
sw2703B-ms98-a-0008,23.860000,24.236000,well,B,%,u-10-2
sw2703B-ms98-a-0008,24.536000,24.766000,i,I,%,u-10-2
sw2703B-ms98-a-0008,24.766000,25.092125,like,I,%,u-10-2
sw2703B-ms98-a-0008,25.171250,25.377375,i,B,sd,u-10-3
sw2703B-ms98-a-0008,25.377375,25.728625,teach,I,sd,u-10-3
sw2703B-ms98-a-0008,25.762500,26.136000,school,I,sd,u-10-3
sw2703B-ms98-a-0008,26.136000,26.256000,and,B,sd,u-10-4
sw2703B-ms98-a-0008,26.256000,26.416000,so,I,sd,u-10-4
sw2703B-ms98-a-0008,26.416000,26.666000,during,I,sd,u-10-4
sw2703B-ms98-a-0008,26.666000,26.726000,the,I,sd,u-10-4
sw2703B-ms98-a-0008,26.726000,27.036000,school,I,sd,u-10-4
sw2703B-ms98-a-0008,27.036000,27.176000,year,I,sd,u-10-4
sw2703B-ms98-a-0008,27.176000,27.376000,i,I,sd,u-10-4
sw2703B-ms98-a-0008,27.376000,27.556000,just,I,sd,u-10-4
sw2703B-ms98-a-0008,27.556000,27.726000,don't,I,sd,u-10-4
sw2703B-ms98-a-0008,27.726000,27.856000,have,I,sd,u-10-4
sw2703B-ms98-a-0008,27.856000,28.166000,time,I,sd,u-10-4
sw2703B-ms98-a-0008,28.166000,28.316000,to,I,sd,u-10-4
sw2703B-ms98-a-0008,28.316000,28.506000,read,I,sd,u-10-4
sw2703B-ms98-a-0008,28.506000,28.756000,and,B,sd,u-10-5
sw2703B-ms98-a-0008,28.756000,28.900500,i,I,sd,u-10-5
sw2703B-ms98-a-0009,29.377500,29.454125,you,I,sd,u-10-5
sw2703B-ms98-a-0009,29.454125,29.594125,know,I,sd,u-10-5
sw2703B-ms98-a-0009,29.594125,29.694125,i,I,sd,u-10-5
sw2703B-ms98-a-0009,29.694125,29.884125,would,I,sd,u-10-5
sw2703B-ms98-a-0009,29.884125,30.206125,love,I,sd,u-10-5
sw2703B-ms98-a-0009,30.243750,30.424500,to,I,sd,u-10-5
sw2703B-ms98-a-0009,30.563875,30.684125,to,I,sd,u-10-5
sw2703B-ms98-a-0009,30.684125,30.784125,be,I,sd,u-10-5
sw2703B-ms98-a-0009,30.784125,30.934125,able,I,sd,u-10-5
sw2703B-ms98-a-0009,30.934125,30.994125,to,I,sd,u-10-5
sw2703B-ms98-a-0009,30.994125,31.234125,read,I,sd,u-10-5
sw2703B-ms98-a-0009,31.234125,31.494125,more,I,sd,u-10-5
sw2703B-ms98-a-0009,31.494125,31.864125,because,I,sd,u-10-5
sw2703B-ms98-a-0009,31.864125,31.954125,i,I,sd,u-10-5
sw2703B-ms98-a-0009,31.954125,32.134125,i,I,sd,u-10-5
sw2703B-ms98-a-0009,32.134125,32.524125,enjoy,I,sd,u-10-5
sw2703B-ms98-a-0009,32.524125,32.624125,it,I,sd,u-10-5
sw2703B-ms98-a-0009,32.624125,32.794125,so,I,sd,u-10-5
sw2703B-ms98-a-0009,32.794125,33.094125,much,I,sd,u-10-5
sw2703B-ms98-a-0009,33.094125,33.294125,but,B,sd,u-10-6
sw2703B-ms98-a-0009,33.294125,33.521500,with,I,sd,u-10-6
sw2703B-ms98-a-0009,33.932125,34.314125,correcting,I,sd,u-10-6
sw2703B-ms98-a-0009,34.314125,34.944125,papers,I,sd,u-10-6
sw2703B-ms98-a-0009,34.944125,35.084125,and,I,sd,u-10-6
sw2703B-ms98-a-0009,35.084125,35.244125,and,I,sd,u-10-6
sw2703B-ms98-a-0009,35.244125,35.429250,i,I,sd,u-10-6
sw2703B-ms98-a-0009,35.734375,35.884125,two,I,sd,u-10-6
sw2703B-ms98-a-0009,35.884125,35.983375,of,I,sd,u-10-6
sw2703B-ms98-a-0009,36.055000,36.254125,kids,I,sd,u-10-6
sw2703B-ms98-a-0009,36.254125,36.324125,of,I,sd,u-10-6
sw2703B-ms98-a-0009,36.324125,36.504125,my,I,sd,u-10-6
sw2703B-ms98-a-0009,36.504125,36.644125,own,I,sd,u-10-6
sw2703B-ms98-a-0009,36.644125,36.714125,i,I,sd,u-10-6
sw2703B-ms98-a-0009,36.714125,36.874125,just,I,sd,u-10-6
sw2703B-ms98-a-0009,36.874125,37.054125,don't,I,sd,u-10-6
sw2703B-ms98-a-0009,37.054125,37.184125,have,I,sd,u-10-6
sw2703B-ms98-a-0009,37.184125,37.404125,time,I,sd,u-10-6
sw2703B-ms98-a-0009,37.404125,37.504125,but,B,sd,u-10-7
sw2703B-ms98-a-0009,37.504125,37.604125,in,I,sd,u-10-7
sw2703B-ms98-a-0009,37.604125,37.664125,the,I,sd,u-10-7
sw2703B-ms98-a-0009,37.664125,38.164125,summer,I,sd,u-10-7
