sw2707A-ms98-a-0002,1.209625,1.492375,um,B,o,u-2-1
sw2707A-ms98-a-0002,1.492375,1.834500,yes,O,,
sw2707A-ms98-a-0003,2.401375,3.087000,[laughter],O,,
sw2707A-ms98-a-0003,3.087000,3.289750,yeah,B,b,u-4-1
sw2707A-ms98-a-0003,3.289750,3.559750,it's,B,sd,u-4-2
sw2707A-ms98-a-0003,3.559750,3.859750,um,I,sd,u-4-2
sw2707A-ms98-a-0003,3.859750,4.019750,it's,I,sd,u-4-2
sw2707A-ms98-a-0003,4.019750,4.329750,very,I,sd,u-4-2
sw2707A-ms98-a-0003,4.329750,4.649750,hot,I,sd,u-4-2
sw2707A-ms98-a-0003,4.649750,4.759750,in,B,sd,u-4-3
sw2707A-ms98-a-0003,4.759750,4.999750,fact,I,sd,u-4-3
sw2707A-ms98-a-0003,4.999750,5.169750,i've,I,sd,u-4-3
sw2707A-ms98-a-0003,5.169750,5.329750,been,I,sd,u-4-3
sw2707A-ms98-a-0003,5.329750,5.689750,cleaning,I,sd,u-4-3
sw2707A-ms98-a-0003,5.689750,5.899750,because,I,sd,u-4-3
sw2707A-ms98-a-0003,5.899750,6.019750,i,I,sd,u-4-3
sw2707A-ms98-a-0003,6.019750,6.169750,live,I,sd,u-4-3
sw2707A-ms98-a-0003,6.169750,6.249750,in,I,sd,u-4-3
sw2707A-ms98-a-0003,6.249750,6.319750,an,I,sd,u-4-3
sw2707A-ms98-a-0003,6.319750,7.039750,apartment,I,sd,u-4-3
sw2707A-ms98-a-0003,7.039750,7.139750,so,B,sd,u-6-1
sw2707A-ms98-a-0003,7.139750,7.209750,i,I,sd,u-6-1
sw2707A-ms98-a-0003,7.209750,7.559750,can't,I,sd,u-6-1
sw2707A-ms98-a-0003,7.559750,7.709750,do,I,sd,u-6-1
sw2707A-ms98-a-0003,7.709750,7.959750,very,I,sd,u-6-1
sw2707A-ms98-a-0003,7.959750,8.219750,much,I,sd,u-6-1
sw2707A-ms98-a-0003,8.219750,8.779750,gardening,I,sd,u-6-1
sw2707A-ms98-a-0003,8.779750,8.999750,other,I,sd,u-6-1
sw2707A-ms98-a-0003,8.999750,9.189750,than,I,sd,u-6-1
sw2707A-ms98-a-0003,9.189750,9.589750,balcony,I,sd,u-6-1
sw2707A-ms98-a-0003,9.589750,10.128375,gardening,I,sd,u-6-1
sw2707A-ms98-a-0004,10.772750,11.093000,um,B,+,u-8-1
sw2707A-ms98-a-0004,11.093000,11.193000,you,I,+,u-8-1
sw2707A-ms98-a-0004,11.193000,11.363000,know,I,+,u-8-1
sw2707A-ms98-a-0004,11.363000,11.453000,i,B,sd,u-8-2
sw2707A-ms98-a-0004,11.453000,11.693000,have,I,sd,u-8-2
sw2707A-ms98-a-0004,11.693000,11.773000,the,I,sd,u-8-2
sw2707A-ms98-a-0004,11.773000,11.963000,little,I,sd,u-8-2
sw2707A-ms98-a-0004,11.963000,12.303000,flower,I,sd,u-8-2
sw2707A-ms98-a-0004,12.303000,12.803000,boxes,I,sd,u-8-2
sw2707A-ms98-a-0004,12.803000,13.046875,with,I,sd,u-8-2
sw2707A-ms98-a-0004,13.197500,13.633000,um,I,sd,u-8-2
sw2707A-ms98-a-0004,13.817625,13.913000,a,I,sd,u-8-2
sw2707A-ms98-a-0004,13.913000,14.125000,v[ariety]-,I,sd,u-8-2
sw2707A-ms98-a-0004,14.125000,14.181500,a,I,sd,u-8-2
sw2707A-ms98-a-0004,14.181500,14.403000,lot,I,sd,u-8-2
sw2707A-ms98-a-0004,14.403000,14.473000,of,I,sd,u-8-2
sw2707A-ms98-a-0004,14.473000,14.753000,different,I,sd,u-8-2
sw2707A-ms98-a-0004,14.753000,15.243000,flowers,I,sd,u-8-2
sw2707A-ms98-a-0004,15.243000,15.353000,and,B,sd,u-8-3
sw2707A-ms98-a-0004,15.353000,15.413000,i,I,sd,u-8-3
sw2707A-ms98-a-0004,15.413000,15.583000,do,I,sd,u-8-3
sw2707A-ms98-a-0004,15.583000,16.013000,enjoy,I,sd,u-8-3
sw2707A-ms98-a-0004,16.013000,16.623000,plants,I,sd,u-8-3
sw2707A-ms98-a-0004,16.623000,16.883000,but,B,sd,u-8-4
sw2707A-ms98-a-0004,16.883000,16.933000,i,I,sd,u-8-4
sw2707A-ms98-a-0004,16.933000,17.123000,don't,I,sd,u-8-4
sw2707A-ms98-a-0004,17.123000,17.263000,have,I,sd,u-8-4
sw2707A-ms98-a-0004,17.263000,17.293000,a,I,sd,u-8-4
sw2707A-ms98-a-0004,17.293000,17.763000,yard,I,sd,u-8-4
sw2707A-ms98-a-0004,17.763000,17.853000,or,I,sd,u-8-4
sw2707A-ms98-a-0004,17.853000,18.273000,anything,I,sd,u-8-4
sw2707A-ms98-a-0004,18.273000,18.423000,that,I,sd,u-8-4
sw2707A-ms98-a-0004,18.423000,18.493000,i,I,sd,u-8-4
sw2707A-ms98-a-0004,18.493000,18.673000,can,I,sd,u-8-4
