sw2753B-ms98-a-0003,11.237000,11.910750,um-hum,B,b,u-2-1
sw2753B-ms98-a-0005,26.157750,26.731625,um-hum,B,b^r,u-4-1
sw2753B-ms98-a-0007,30.039750,30.509750,that's,B,aa,u-6-1
sw2753B-ms98-a-0007,30.509750,30.948500,true,I,aa,u-6-1
sw2753B-ms98-a-0007,31.310000,31.559750,very,B,aa,u-6-2
sw2753B-ms98-a-0007,31.559750,32.189750,definitely,I,aa,u-6-2
sw2753B-ms98-a-0007,32.189750,32.612375,so,I,aa,u-6-2
sw2753B-ms98-a-0009,37.380000,38.023500,uh-huh,B,b,u-8-1
sw2753B-ms98-a-0011,59.032125,59.554125,no,B,aa,u-10-1
sw2753B-ms98-a-0011,59.554125,60.082125,very,B,sv,u-10-2
sw2753B-ms98-a-0011,60.082125,60.764000,immature,I,sv,u-10-2
sw2753B-ms98-a-0011,60.764000,61.662125,[laughter-in],O,,
sw2753B-ms98-a-0011,61.662125,62.112125,[laughter-that],O,,
sw2753B-ms98-a-0011,62.112125,63.206875,respect,B,+,u-12-1
sw2753B-ms98-a-0013,71.847250,72.086125,i,B,aa,u-14-1
sw2753B-ms98-a-0013,72.086125,72.656125,agree,I,aa,u-14-1
sw2753B-ms98-a-0013,73.226125,73.386125,i,B,sv,u-14-2
sw2753B-ms98-a-0013,73.386125,73.726125,think,I,sv,u-14-2
sw2753B-ms98-a-0013,73.726125,73.896125,that,I,sv,u-14-2
sw2753B-ms98-a-0013,73.896125,74.056125,for,I,sv,u-14-2
sw2753B-ms98-a-0013,74.056125,74.326125,so,I,sv,u-14-2
sw2753B-ms98-a-0013,74.326125,75.086000,long,I,sv,u-14-2
sw2753B-ms98-a-0014,76.313500,77.103500,power,I,sv,u-14-2
sw2753B-ms98-a-0014,77.103500,78.663500,financially,I,sv,u-14-2
sw2753B-ms98-a-0014,78.663500,79.138125,uh,I,sv,u-14-2
sw2753B-ms98-a-0014,79.602125,80.695750,governmentally,I,sv,u-14-2
sw2753B-ms98-a-0014,81.096250,81.473500,every,I,sv,u-14-2
