sw2773A-ms98-a-0002,1.570375,1.969750,yes,B,o,u-1-1
sw2773A-ms98-a-0002,1.969750,2.514250,um,B,qo,u-1-2
sw2773A-ms98-a-0002,2.777875,3.232250,how,I,qo,u-1-2
sw2773A-ms98-a-0002,3.232250,3.400375,how,I,qo,u-1-2
sw2773A-ms98-a-0002,3.400375,3.480375,do,I,qo,u-1-2
sw2773A-ms98-a-0002,3.480375,3.590375,you,I,qo,u-1-2
sw2773A-ms98-a-0002,3.590375,3.930375,feel,I,qo,u-1-2
sw2773A-ms98-a-0002,3.930375,4.250125,about,I,qo,u-1-2
sw2773A-ms98-a-0002,4.250125,4.668125,uh,I,qo,u-1-2
sw2773A-ms98-a-0003,5.337500,5.658500,way,I,qo,u-1-2
sw2773A-ms98-a-0003,5.658500,5.818500,the,I,qo,u-1-2
sw2773A-ms98-a-0003,5.818500,6.178500,US,I,qo,u-1-2
sw2773A-ms98-a-0003,6.178500,6.378500,has,I,qo,u-1-2
sw2773A-ms98-a-0003,6.378500,6.788500,reacted,I,qo,u-1-2
sw2773A-ms98-a-0003,6.788500,6.848500,in,I,qo,u-1-2
sw2773A-ms98-a-0003,6.848500,6.908500,the,I,qo,u-1-2
sw2773A-ms98-a-0003,6.908500,7.148500,Middle,I,qo,u-1-2
sw2773A-ms98-a-0003,7.148500,7.657750,East,I,qo,u-1-2
sw2773A-ms98-a-0005,36.105375,36.525375,um-hum,B,b,u-3-1
sw2773A-ms98-a-0007,39.008000,39.273000,what,B,qw,u-5-1
sw2773A-ms98-a-0007,39.273000,39.443000,is,I,qw,u-5-1
sw2773A-ms98-a-0007,39.443000,39.553000,the,I,qw,u-5-1
sw2773A-ms98-a-0007,39.553000,39.923000,Woodward,I,qw,u-5-1
sw2773A-ms98-a-0007,39.923000,40.143000,book,I,qw,u-5-1
sw2773A-ms98-a-0007,40.143000,40.253000,you,I,qw,u-5-1
sw2773A-ms98-a-0007,40.253000,40.343000,are,I,qw,u-5-1
sw2773A-ms98-a-0007,40.343000,40.743000,referring,I,qw,u-5-1
sw2773A-ms98-a-0007,40.743000,40.897125,to,I,qw,u-5-1
sw2773A-ms98-a-0009,59.183250,59.643000,um-hum,B,b,u-7-1
sw2773A-ms98-a-0011,69.854500,70.161875,um-hum,O,,
sw2773A-ms98-a-0011,70.161875,70.690250,um-hum,B,b,u-9-1
sw2773A-ms98-a-0013,82.426625,82.858625,right,B,aa,u-11-1
sw2773A-ms98-a-0013,82.858625,83.058625,that,B,sd,u-11-2
sw2773A-ms98-a-0013,83.058625,83.238625,wa[s]-,I,sd,u-11-2
sw2773A-ms98-a-0013,83.238625,83.508625,that's,I,sd,u-11-2
sw2773A-ms98-a-0013,83.508625,83.668625,my,I,sd,u-11-2
sw2773A-ms98-a-0013,83.668625,84.068625,feeling,I,sd,u-11-2
sw2773A-ms98-a-0013,84.068625,84.208625,i,B,sd,u-11-3
sw2773A-ms98-a-0013,84.208625,84.449000,was,I,sd,u-11-3
sw2773A-ms98-a-0013,84.991375,85.278625,i,I,sd,u-11-3
sw2773A-ms98-a-0013,85.278625,85.498625,was,I,sd,u-11-3
sw2773A-ms98-a-0013,85.498625,85.778625,very,I,sd,u-11-3
sw2773A-ms98-a-0013,85.778625,86.208625,against,I,sd,u-11-3
sw2773A-ms98-a-0013,86.208625,86.448625,our,I,sd,u-11-3
sw2773A-ms98-a-0013,86.448625,87.177125,involvement,I,sd,u-11-3
sw2773A-ms98-a-0013,87.433250,87.908625,so,I,sd,u-11-3
sw2773A-ms98-a-0013,87.908625,88.098625,so,I,sd,u-11-3
sw2773A-ms98-a-0013,88.098625,88.518625,quickly,I,sd,u-11-3
sw2773A-ms98-a-0013,88.518625,88.795250,a[nd]-,O,,
sw2773A-ms98-a-0013,89.394125,89.950125,um,O,,
sw2773A-ms98-a-0013,89.950125,90.206125,uh,B,aa,u-13-1
sw2773A-ms98-a-0015,100.771625,101.248625,um-hum,O,,
sw2773A-ms98-a-0015,101.248625,101.643000,um-hum,B,aa^r,u-13-2
sw2773A-ms98-a-0017,107.277625,107.781875,right,B,aa,u-15-1
sw2773A-ms98-a-0017,107.781875,108.054625,i,B,sv,u-15-2
sw2773A-ms98-a-0017,108.054625,108.254625,think,I,sv,u-15-2
sw2773A-ms98-a-0017,108.254625,108.374625,we're,I,sv,u-15-2
sw2773A-ms98-a-0017,108.374625,108.614625,very,I,sv,u-15-2
sw2773A-ms98-a-0017,108.614625,109.238875,naive,I,sv,u-15-2
