sw2776A-ms98-a-0002,2.398000,2.848000,great,B,ba,u-2-1
sw2776A-ms98-a-0002,3.268000,3.728000,um,B,sd,u-2-2
sw2776A-ms98-a-0002,4.028000,4.468000,currently,I,sd,u-2-2
sw2776A-ms98-a-0002,4.468000,4.588000,i'm,I,sd,u-2-2
sw2776A-ms98-a-0002,4.588000,4.938000,not,I,sd,u-2-2
sw2776A-ms98-a-0002,4.938000,5.298000,doing,I,sd,u-2-2
sw2776A-ms98-a-0002,5.298000,5.368000,a,I,sd,u-2-2
sw2776A-ms98-a-0002,5.368000,5.728000,whole,I,sd,u-2-2
sw2776A-ms98-a-0002,5.728000,5.888000,lot,I,sd,u-2-2
sw2776A-ms98-a-0002,5.888000,5.978000,of,I,sd,u-2-2
sw2776A-ms98-a-0002,5.978000,7.048000,exercise,I,sd,u-2-2
sw2776A-ms98-a-0002,7.088000,7.358000,in,I,sd,u-2-2
sw2776A-ms98-a-0002,7.358000,7.578000,any,I,sd,u-2-2
sw2776A-ms98-a-0002,7.578000,7.848000,type,I,sd,u-2-2
sw2776A-ms98-a-0002,7.848000,7.928000,of,I,sd,u-2-2
sw2776A-ms98-a-0002,7.948000,8.618000,program,I,sd,u-2-2
sw2776A-ms98-a-0003,9.230125,9.800125,i'm,B,sd,u-4-1
sw2776A-ms98-a-0003,9.960125,10.360125,mainly,I,sd,u-4-1
sw2776A-ms98-a-0003,10.360125,10.510125,do,I,sd,u-4-1
sw2776A-ms98-a-0003,10.510125,10.580125,a,I,sd,u-4-1
sw2776A-ms98-a-0003,10.580125,10.790125,lot,I,sd,u-4-1
sw2776A-ms98-a-0003,10.790125,10.920125,of,I,sd,u-4-1
sw2776A-ms98-a-0003,10.920125,11.360125,walking,I,sd,u-4-1
sw2776A-ms98-a-0003,11.620125,12.270125,um,O,,
sw2776A-ms98-a-0003,12.340125,12.370125,i,B,sd,u-4-2
sw2776A-ms98-a-0003,12.370125,12.520125,have,I,sd,u-4-2
sw2776A-ms98-a-0003,12.520125,12.570125,a,I,sd,u-4-2
sw2776A-ms98-a-0003,12.570125,12.940125,son,I,sd,u-4-2
sw2776A-ms98-a-0003,12.940125,13.270125,that's,I,sd,u-4-2
sw2776A-ms98-a-0003,13.310125,13.340125,a,I,sd,u-4-2
sw2776A-ms98-a-0003,13.340125,13.590125,little,I,sd,u-4-2
sw2776A-ms98-a-0003,13.590125,13.720125,bit,I,sd,u-4-2
sw2776A-ms98-a-0003,13.720125,14.270125,overweight,I,sd,u-4-2
sw2776A-ms98-a-0003,14.270125,14.480125,and,B,sd,u-4-3
sw2776A-ms98-a-0003,15.280125,15.460125,um,I,sd,u-4-3
sw2776A-ms98-a-0003,15.460125,15.520125,the,I,sd,u-4-3
sw2776A-ms98-a-0003,15.520125,15.780125,best,I,sd,u-4-3
sw2776A-ms98-a-0003,15.780125,15.940125,thing,I,sd,u-4-3
sw2776A-ms98-a-0003,15.940125,16.020125,we,I,sd,u-4-3
sw2776A-ms98-a-0003,16.020125,16.300125,found,I,sd,u-4-3
sw2776A-ms98-a-0003,16.300125,16.370125,to,I,sd,u-4-3
sw2776A-ms98-a-0003,16.370125,16.470125,do,I,sd,u-4-3
sw2776A-ms98-a-0003,16.470125,16.660125,with,I,sd,u-4-3
sw2776A-ms98-a-0003,16.660125,16.810125,him,I,sd,u-4-3
sw2776A-ms98-a-0003,16.810125,16.910125,is,I,sd,u-4-3
sw2776A-ms98-a-0003,16.910125,17.040125,to,I,sd,u-4-3
sw2776A-ms98-a-0003,17.040125,17.270125,walk,I,sd,u-4-3
sw2776A-ms98-a-0003,17.270125,17.700125,around,I,sd,u-4-3
sw2776A-ms98-a-0003,17.700125,17.810125,so,B,sd,u-4-4
sw2776A-ms98-a-0003,17.810125,17.900125,my,I,sd,u-4-4
sw2776A-ms98-a-0003,17.900125,18.140125,wife,I,sd,u-4-4
sw2776A-ms98-a-0003,18.140125,18.230125,and,I,sd,u-4-4
sw2776A-ms98-a-0003,18.230125,18.300125,i,I,sd,u-4-4
sw2776A-ms98-a-0003,18.300125,18.490125,kind,I,sd,u-4-4
sw2776A-ms98-a-0003,18.490125,18.560125,of,I,sd,u-4-4
sw2776A-ms98-a-0003,18.560125,18.760125,take,I,sd,u-4-4
