sw2790A-ms98-a-0003,1.170000,2.000750,right,B,o,u-1-1
sw2790A-ms98-a-0007,6.169500,6.289500,i,B,sv,u-3-1
sw2790A-ms98-a-0007,6.289500,6.519500,guess,I,sv,u-3-1
sw2790A-ms98-a-0007,6.519500,6.609500,the,I,sv,u-3-1
sw2790A-ms98-a-0007,6.609500,7.029500,biggest,I,sv,u-3-1
sw2790A-ms98-a-0007,7.029500,7.219500,one,I,sv,u-3-1
sw2790A-ms98-a-0007,7.219500,7.467625,is,I,sv,u-3-1
sw2790A-ms98-a-0007,7.795375,8.349500,number,I,sv,u-3-1
sw2790A-ms98-a-0007,8.349500,8.459500,of,I,sv,u-3-1
sw2790A-ms98-a-0007,8.459500,8.729500,women,I,sv,u-3-1
sw2790A-ms98-a-0007,8.729500,8.819500,in,I,sv,u-3-1
sw2790A-ms98-a-0007,8.819500,8.889500,the,I,sv,u-3-1
sw2790A-ms98-a-0007,8.889500,9.159500,work,I,sv,u-3-1
sw2790A-ms98-a-0007,9.159500,9.622500,force,I,sv,u-3-1
sw2790A-ms98-a-0009,12.207875,12.712125,few,B,sv,u-5-1
sw2790A-ms98-a-0009,12.712125,13.341500,are,I,sv,u-5-1
sw2790A-ms98-a-0009,13.853750,14.163000,uh,I,sv,u-5-1
sw2790A-ms98-a-0009,14.558500,15.132125,basically,I,sv,u-5-1
sw2790A-ms98-a-0009,15.132125,15.462125,staying,I,sv,u-5-1
sw2790A-ms98-a-0009,15.462125,15.842125,home,I,sv,u-5-1
sw2790A-ms98-a-0009,15.842125,16.131125,and,I,sv,u-5-1
sw2790A-ms98-a-0011,18.095125,18.471250,being,I,sv,u-5-1
sw2790A-ms98-a-0011,18.471250,19.101250,homemakers,I,sv,u-5-1
sw2790A-ms98-a-0011,19.101250,19.211250,and,I,sv,u-5-1
sw2790A-ms98-a-0011,19.211250,19.591250,raising,I,sv,u-5-1
sw2790A-ms98-a-0011,19.591250,19.891250,kids,I,sv,u-5-1
sw2790A-ms98-a-0011,19.891250,20.651250,exclusively,I,sv,u-5-1
sw2790A-ms98-a-0013,35.141875,35.629250,uh-huh,B,b,u-7-1
sw2790A-ms98-a-0015,46.534250,47.132500,yeah,B,aa,u-9-1
sw2790A-ms98-a-0015,47.132500,47.669000,true,B,aa,u-9-2
sw2790A-ms98-a-0015,48.475875,48.638125,well,B,sd,u-9-3
sw2790A-ms98-a-0015,48.638125,48.828125,mine,I,sd,u-9-3
sw2790A-ms98-a-0015,48.828125,49.088125,taught,I,sd,u-9-3
sw2790A-ms98-a-0015,49.088125,49.648125,kindergarten,I,sd,u-9-3
sw2790A-ms98-a-0015,49.648125,49.908125,but,B,sd,u-9-4
sw2790A-ms98-a-0015,49.908125,50.028125,she,I,sd,u-9-4
sw2790A-ms98-a-0015,50.028125,50.298125,was,I,sd,u-9-4
sw2790A-ms98-a-0015,50.298125,50.843750,always,I,sd,u-9-4
sw2790A-ms98-a-0015,51.260250,51.569875,uh,I,sd,u-9-4
sw2790A-ms98-a-0016,51.936250,52.196500,i,B,sd,u-9-5
sw2790A-ms98-a-0016,52.196500,52.406500,guess,I,sd,u-9-5
sw2790A-ms98-a-0016,52.406500,52.646500,her,I,sd,u-9-5
sw2790A-ms98-a-0016,52.646500,53.026500,schedule,I,sd,u-9-5
sw2790A-ms98-a-0016,53.026500,53.116500,was,I,sd,u-9-5
sw2790A-ms98-a-0016,53.116500,53.596500,shorter,I,sd,u-9-5
sw2790A-ms98-a-0016,53.596500,53.666500,so,B,sd,u-9-6
sw2790A-ms98-a-0016,53.666500,53.846500,she,I,sd,u-9-6
sw2790A-ms98-a-0016,53.846500,54.046500,was,I,sd,u-9-6
sw2790A-ms98-a-0016,54.046500,54.626500,always,I,sd,u-9-6
sw2790A-ms98-a-0016,54.626500,54.843750,uh,I,sd,u-9-6
sw2790A-ms98-a-0016,55.024500,55.677875,home,B,+,u-11-1
sw2790A-ms98-a-0017,56.579000,56.910875,yeah,B,%,u-11-2
sw2790A-ms98-a-0019,59.593875,59.813875,yeah,B,%,u-11-3
sw2790A-ms98-a-0019,59.813875,60.203000,that,B,sv,u-11-4
sw2790A-ms98-a-0019,60.417625,60.773875,that,I,sv,u-11-4
sw2790A-ms98-a-0019,60.773875,61.353875,statistic,I,sv,u-11-4
sw2790A-ms98-a-0019,61.353875,61.453875,i,I,sv,u-11-4
sw2790A-ms98-a-0019,61.453875,61.653875,guess,I,sv,u-11-4
sw2790A-ms98-a-0019,61.653875,61.833875,has,I,sv,u-11-4
sw2790A-ms98-a-0019,61.833875,61.993875,been,I,sv,u-11-4
sw2790A-ms98-a-0019,61.993875,62.283875,growing,I,sv,u-11-4
sw2790A-ms98-a-0019,62.283875,62.493875,every,I,sv,u-11-4
sw2790A-ms98-a-0019,62.493875,62.733875,year,I,sv,u-11-4
sw2790A-ms98-a-0019,62.733875,62.933875,it's,B,sd,u-11-5
sw2790A-ms98-a-0019,62.933875,63.313875,it's,I,sd,u-11-5
sw2790A-ms98-a-0019,63.313875,63.533875,something,I,sd,u-11-5
sw2790A-ms98-a-0019,63.533875,63.863875,around,I,sd,u-11-5
sw2790A-ms98-a-0019,63.863875,64.453875,sixty,I,sd,u-11-5
sw2790A-ms98-a-0019,64.453875,64.823875,sixty,I,sd,u-11-5
sw2790A-ms98-a-0019,64.823875,65.093875,five,I,sd,u-11-5
sw2790A-ms98-a-0019,65.093875,65.513875,percent,I,sd,u-11-5
sw2790A-ms98-a-0019,65.513875,65.603875,or,I,sd,u-11-5
sw2790A-ms98-a-0019,65.603875,65.833875,so,I,sd,u-11-5
sw2790A-ms98-a-0019,65.833875,66.178625,now,I,sd,u-11-5
sw2790A-ms98-a-0021,69.905875,70.361500,uh,B,sd,u-13-1
sw2790A-ms98-a-0021,70.361500,70.545875,i'm,I,sd,u-13-1
sw2790A-ms98-a-0021,70.545875,70.755875,not,I,sd,u-13-1
sw2790A-ms98-a-0021,70.755875,70.915875,sure,I,sd,u-13-1
sw2790A-ms98-a-0021,70.915875,71.065875,what,I,sd,u-13-1
sw2790A-ms98-a-0021,71.065875,71.145875,the,I,sd,u-13-1
sw2790A-ms98-a-0021,71.145875,71.545875,future,I,sd,u-13-1
sw2790A-ms98-a-0021,71.545875,71.815875,holds,I,sd,u-13-1
sw2790A-ms98-a-0021,71.815875,71.945875,for,I,sd,u-13-1
sw2790A-ms98-a-0021,71.945875,72.275875,that,I,sd,u-13-1
sw2790A-ms98-a-0021,72.275875,72.751375,whether,B,%,u-13-2
sw2790A-ms98-a-0023,82.162250,82.738750,uh-huh,B,b,u-15-1
sw2790A-ms98-a-0025,89.588750,89.887750,that's,B,ba,u-19-1
sw2790A-ms98-a-0025,89.887750,90.574625,unusual,I,ba,u-19-1
sw2790A-ms98-a-0025,90.574625,91.380500,[laughter],O,,
sw2790A-ms98-a-0027,111.110375,111.572375,uh-huh,B,b,u-21-1
sw2790A-ms98-a-0029,122.042125,122.668875,yeah,B,b,u-23-1
sw2790A-ms98-a-0031,145.856000,146.338500,uh-huh,B,b,u-25-1
sw2790A-ms98-a-0033,166.657750,167.054000,yeah,B,aa,u-27-1
sw2790A-ms98-a-0033,167.054000,167.464000,that,B,sv,u-27-2
sw2790A-ms98-a-0033,167.464000,167.634000,is,I,sv,u-27-2
sw2790A-ms98-a-0033,167.634000,168.136875,tough,I,sv,u-27-2
sw2790A-ms98-a-0033,168.298750,168.464000,yeah,B,aa,u-27-3
sw2790A-ms98-a-0033,168.464000,168.634000,we're,B,sd,u-27-4
sw2790A-ms98-a-0033,168.634000,168.914000,looking,I,sd,u-27-4
sw2790A-ms98-a-0033,168.914000,169.034000,at,I,sd,u-27-4
sw2790A-ms98-a-0033,169.034000,169.224000,that,I,sd,u-27-4
sw2790A-ms98-a-0033,169.224000,169.504000,now,I,sd,u-27-4
sw2790A-ms98-a-0033,169.504000,169.885625,my,B,sd,u-27-5
sw2790A-ms98-a-0033,170.040125,170.374000,wife's,I,sd,u-27-5
sw2790A-ms98-a-0033,170.374000,170.634000,about,I,sd,u-27-5
sw2790A-ms98-a-0033,170.634000,170.904000,six,I,sd,u-27-5
sw2790A-ms98-a-0033,170.904000,171.154000,months,I,sd,u-27-5
sw2790A-ms98-a-0033,171.154000,171.704250,along,I,sd,u-27-5
sw2790A-ms98-a-0035,176.773625,177.244500,uh-huh,B,b,u-29-1
sw2790A-ms98-a-0037,184.927625,185.350125,true,B,ba,u-31-1
sw2790A-ms98-a-0039,188.463875,188.875500,yeah,B,aa,u-33-1
sw2790A-ms98-a-0041,191.258250,191.506875,i'm,B,sd,u-33-2
sw2790A-ms98-a-0041,191.506875,192.036875,surprised,I,sd,u-33-2
sw2790A-ms98-a-0041,192.036875,192.353625,that,I,sd,u-33-2
sw2790A-ms98-a-0041,192.353625,192.717500,the,I,sd,u-33-2
sw2790A-ms98-a-0041,192.717500,193.146875,main,I,sd,u-33-2
sw2790A-ms98-a-0041,193.146875,193.436875,people,I,sd,u-33-2
sw2790A-ms98-a-0041,193.436875,193.606875,you,I,sd,u-33-2
sw2790A-ms98-a-0041,193.606875,193.836875,work,I,sd,u-33-2
sw2790A-ms98-a-0041,193.836875,194.374500,for,I,sd,u-33-2
sw2790A-ms98-a-0041,194.649500,194.985000,are,I,sd,u-33-2
sw2790A-ms98-a-0041,194.985000,195.376875,women,I,sd,u-33-2
sw2790A-ms98-a-0041,195.376875,195.536875,that,I,sd,u-33-2
sw2790A-ms98-a-0041,195.536875,195.686875,do,I,sd,u-33-2
sw2790A-ms98-a-0041,195.686875,195.976875,stay,I,sd,u-33-2
sw2790A-ms98-a-0041,195.976875,196.363375,home,I,sd,u-33-2
sw2790A-ms98-a-0042,197.109000,197.223500,i,B,sv,u-33-3
sw2790A-ms98-a-0042,197.223500,197.373500,would,I,sv,u-33-3
sw2790A-ms98-a-0042,197.373500,197.603500,think,I,sv,u-33-3
sw2790A-ms98-a-0042,197.603500,197.683500,it,I,sv,u-33-3
sw2790A-ms98-a-0042,197.683500,197.823500,would,I,sv,u-33-3
sw2790A-ms98-a-0042,197.823500,198.172750,be,I,sv,u-33-3
sw2790A-ms98-a-0042,198.357375,198.653500,women,I,sv,u-33-3
sw2790A-ms98-a-0042,198.653500,198.773500,that,I,sv,u-33-3
sw2790A-ms98-a-0042,198.773500,198.933500,were,I,sv,u-33-3
sw2790A-ms98-a-0042,198.933500,199.293500,working,I,sv,u-33-3
sw2790A-ms98-a-0042,199.293500,200.033250,full-time,O,,
sw2790A-ms98-a-0044,205.099625,205.395375,huh,B,b,u-35-1
sw2790A-ms98-a-0046,207.396875,207.934875,uh-huh,B,b,u-37-1
sw2790A-ms98-a-0048,223.661250,223.984875,huh,I,b,u-37-1
sw2790A-ms98-a-0050,226.658000,226.882125,well,B,sv,u-39-1
sw2790A-ms98-a-0050,226.882125,226.942125,i,I,sv,u-39-1
sw2790A-ms98-a-0050,226.942125,227.152125,guess,I,sv,u-39-1
sw2790A-ms98-a-0050,227.152125,227.372125,that's,I,sv,u-39-1
sw2790A-ms98-a-0050,227.372125,227.662125,good,I,sv,u-39-1
sw2790A-ms98-a-0050,227.662125,227.982625,they,I,sv,u-39-1
sw2790A-ms98-a-0050,227.982625,228.422125,got,I,sv,u-39-1
sw2790A-ms98-a-0050,228.422125,228.742125,something,I,sv,u-39-1
sw2790A-ms98-a-0050,228.742125,228.812125,to,I,sv,u-39-1
sw2790A-ms98-a-0050,228.812125,228.982125,keep,I,sv,u-39-1
sw2790A-ms98-a-0050,228.982125,229.092125,them,I,sv,u-39-1
sw2790A-ms98-a-0050,229.092125,229.631625,active,I,sv,u-39-1
sw2790A-ms98-a-0052,234.869875,235.418500,yeah,B,ny,u-41-1
sw2790A-ms98-a-0052,235.418500,236.383625,we're,B,sd^e,u-41-2
sw2790A-ms98-a-0052,236.383625,236.686125,going,B,+,u-43-1
sw2790A-ms98-a-0052,236.915875,237.103625,to,I,+,u-43-1
sw2790A-ms98-a-0052,237.103625,237.393625,try,I,+,u-43-1
sw2790A-ms98-a-0052,237.393625,237.493625,and,I,+,u-43-1
sw2790A-ms98-a-0052,237.493625,237.683625,have,I,+,u-43-1
sw2790A-ms98-a-0052,237.683625,237.823625,her,I,+,u-43-1
sw2790A-ms98-a-0052,237.823625,238.123625,stay,I,+,u-43-1
sw2790A-ms98-a-0052,238.123625,238.509750,home,I,+,u-43-1
sw2790A-ms98-a-0052,238.852500,239.063625,for,I,+,u-43-1
sw2790A-ms98-a-0052,239.063625,239.173625,as,I,+,u-43-1
sw2790A-ms98-a-0052,239.173625,239.443625,long,I,+,u-43-1
sw2790A-ms98-a-0052,239.443625,239.563625,as,I,+,u-43-1
sw2790A-ms98-a-0052,239.563625,240.119250,possible,I,+,u-43-1
sw2790A-ms98-a-0054,243.460500,243.560500,what,B,qo,u-43-2
sw2790A-ms98-a-0054,243.560500,243.620500,do,I,qo,u-43-2
sw2790A-ms98-a-0054,243.620500,243.680500,you,I,qo,u-43-2
sw2790A-ms98-a-0054,243.680500,243.854375,think,I,qo,u-43-2
sw2790A-ms98-a-0056,246.366000,246.786250,yeah,B,b,u-45-1
sw2790A-ms98-a-0056,246.786250,246.926250,we,B,sv,u-45-2
sw2790A-ms98-a-0056,246.926250,247.136250,think,I,sv,u-45-2
sw2790A-ms98-a-0056,247.136250,247.336250,it's,I,sv,u-45-2
sw2790A-ms98-a-0056,247.336250,247.564125,uh,I,sv,u-45-2
sw2790A-ms98-a-0056,247.752375,247.966250,that,I,sv,u-45-2
sw2790A-ms98-a-0056,247.966250,248.534750,important,I,sv,u-45-2
sw2790A-ms98-a-0056,248.821000,249.210125,and,B,sd,u-45-3
sw2790A-ms98-a-0057,249.999250,250.254375,i,I,sd,u-45-3
sw2790A-ms98-a-0057,250.793000,250.983750,i,I,sd,u-45-3
sw2790A-ms98-a-0057,250.983750,251.183750,kind,I,sd,u-45-3
sw2790A-ms98-a-0057,251.183750,251.303750,of,I,sd,u-45-3
sw2790A-ms98-a-0057,251.303750,251.573750,hope,I,sd,u-45-3
sw2790A-ms98-a-0057,251.573750,251.873750,that,I,sd,u-45-3
sw2790A-ms98-a-0057,251.873750,251.983750,the,I,sd,u-45-3
sw2790A-ms98-a-0057,251.983750,252.373750,trend,I,sd,u-45-3
sw2790A-ms98-a-0057,252.373750,252.613750,goes,I,sd,u-45-3
sw2790A-ms98-a-0057,252.613750,252.893750,back,I,sd,u-45-3
sw2790A-ms98-a-0057,252.893750,252.993750,in,I,sd,u-45-3
sw2790A-ms98-a-0057,252.993750,253.173750,that,I,sd,u-45-3
sw2790A-ms98-a-0057,253.173750,253.703750,direction,I,sd,u-45-3
sw2790A-ms98-a-0057,253.703750,253.923750,i'm,B,sd,u-45-4
sw2790A-ms98-a-0057,253.923750,254.153000,a,I,sd,u-45-4
sw2790A-ms98-a-0057,254.153000,254.363750,a,I,sd,u-45-4
sw2790A-ms98-a-0057,254.363750,254.873750,counselor,I,sd,u-45-4
sw2790A-ms98-a-0057,254.873750,254.963750,and,I,sd,u-45-4
sw2790A-ms98-a-0057,254.963750,254.993750,a,I,sd,u-45-4
sw2790A-ms98-a-0057,254.993750,255.693750,therapist,I,sd,u-45-4
sw2790A-ms98-a-0057,255.693750,255.793750,and,B,sd,u-47-1
sw2790A-ms98-a-0057,255.793750,255.873750,i,I,sd,u-47-1
sw2790A-ms98-a-0057,255.873750,256.163750,work,I,sd,u-47-1
sw2790A-ms98-a-0057,256.163750,256.283750,with,I,sd,u-47-1
sw2790A-ms98-a-0057,256.283750,257.003750,adolescents,I,sd,u-47-1
sw2790A-ms98-a-0057,257.003750,257.295625,and,B,sd,u-47-2
sw2790A-ms98-a-0058,258.316125,258.611500,i,I,sd,u-47-2
sw2790A-ms98-a-0058,258.611500,258.801500,see,I,sd,u-47-2
sw2790A-ms98-a-0058,258.801500,258.981500,some,I,sd,u-47-2
sw2790A-ms98-a-0058,258.981500,259.041500,of,I,sd,u-47-2
sw2790A-ms98-a-0058,259.041500,259.111500,the,I,sd,u-47-2
sw2790A-ms98-a-0058,259.111500,259.531500,problems,I,sd,u-47-2
sw2790A-ms98-a-0058,259.531500,259.601500,the,I,sd,u-47-2
sw2790A-ms98-a-0058,259.601500,259.901500,kids,I,sd,u-47-2
sw2790A-ms98-a-0058,259.901500,260.191500,have,I,sd,u-47-2
sw2790A-ms98-a-0058,260.191500,260.301500,when,I,sd,u-47-2
sw2790A-ms98-a-0058,260.301500,260.391500,they,I,sd,u-47-2
sw2790A-ms98-a-0058,260.391500,260.651500,don't,I,sd,u-47-2
sw2790A-ms98-a-0058,260.651500,260.861500,have,I,sd,u-47-2
sw2790A-ms98-a-0058,260.861500,260.941500,a,I,sd,u-47-2
sw2790A-ms98-a-0058,260.941500,261.101500,real,I,sd,u-47-2
sw2790A-ms98-a-0058,261.101500,261.261500,good,I,sd,u-47-2
sw2790A-ms98-a-0058,261.261500,261.671500,family,I,sd,u-47-2
sw2790A-ms98-a-0058,261.671500,262.191500,structure,I,sd,u-47-2
sw2790A-ms98-a-0060,267.661750,268.179875,uh-huh,B,b,u-49-1
sw2790A-ms98-a-0062,288.659375,289.346500,um-hum,B,b,u-51-1
sw2790A-ms98-a-0064,302.589625,303.160250,true,B,ba,u-53-1
sw2790A-ms98-a-0065,303.910125,304.343625,well,B,sv,u-53-2
sw2790A-ms98-a-0065,304.499000,304.684250,the,I,sv,u-53-2
sw2790A-ms98-a-0065,304.684250,305.250125,husbands',I,sv,u-53-2
sw2790A-ms98-a-0065,305.250125,305.570125,roles,I,sv,u-53-2
sw2790A-ms98-a-0065,305.570125,305.800125,are,I,sv,u-53-2
sw2790A-ms98-a-0065,305.800125,306.120125,almost,I,sv,u-53-2
sw2790A-ms98-a-0065,306.120125,306.890125,nonexistent,I,sv,u-53-2
sw2790A-ms98-a-0065,306.890125,306.970125,in,I,sv,u-53-2
sw2790A-ms98-a-0065,306.970125,307.370125,family,I,sv,u-53-2
sw2790A-ms98-a-0065,307.370125,307.890125,anymore,I,sv,u-53-2
sw2790A-ms98-a-0065,307.890125,308.000125,in,I,sv,u-53-2
sw2790A-ms98-a-0065,308.000125,308.279875,terms,I,sv,u-53-2
sw2790A-ms98-a-0065,308.626375,308.973625,of,I,sv,u-53-2
sw2790A-ms98-a-0065,309.369125,309.800125,being,I,sv,u-53-2
sw2790A-ms98-a-0065,309.800125,309.880125,the,I,sv,u-53-2
sw2790A-ms98-a-0065,309.880125,310.290125,father,I,sv,u-53-2
sw2790A-ms98-a-0065,310.290125,310.670125,figure,I,sv,u-53-2
sw2790A-ms98-a-0065,310.670125,310.992750,and,B,sv,u-53-3
sw2790A-ms98-a-0066,311.662000,311.982000,and,I,sv,u-53-3
sw2790A-ms98-a-0066,311.982000,312.152000,with,I,sv,u-53-3
sw2790A-ms98-a-0066,312.152000,312.532000,women,I,sv,u-53-3
sw2790A-ms98-a-0066,312.532000,312.912000,working,I,sv,u-53-3
sw2790A-ms98-a-0066,312.912000,313.102000,so,I,sv,u-53-3
sw2790A-ms98-a-0066,313.102000,313.482000,much,I,sv,u-53-3
sw2790A-ms98-a-0066,313.482000,313.582000,they're,I,sv,u-53-3
sw2790A-ms98-a-0066,313.582000,313.782000,kind,I,sv,u-53-3
sw2790A-ms98-a-0066,313.782000,313.862000,of,I,sv,u-53-3
sw2790A-ms98-a-0066,313.862000,314.142000,pulled,I,sv,u-53-3
sw2790A-ms98-a-0066,314.142000,314.272000,out,I,sv,u-53-3
sw2790A-ms98-a-0066,314.272000,314.412000,of,I,sv,u-53-3
sw2790A-ms98-a-0066,314.412000,314.532000,it,I,sv,u-53-3
sw2790A-ms98-a-0066,314.532000,314.911250,too,I,sv,u-53-3
sw2790A-ms98-a-0066,314.911250,315.362625,so,B,sv,u-55-1
sw2790A-ms98-a-0066,315.362625,315.762000,kids,I,sv,u-55-1
sw2790A-ms98-a-0066,315.762000,315.872000,are,I,sv,u-55-1
sw2790A-ms98-a-0066,315.872000,316.232000,raised,I,sv,u-55-1
sw2790A-ms98-a-0066,316.232000,316.552000,around,I,sv,u-55-1
sw2790A-ms98-a-0066,316.552000,316.662000,their,I,sv,u-55-1
sw2790A-ms98-a-0066,316.662000,317.132000,friends,I,sv,u-55-1
sw2790A-ms98-a-0066,317.132000,317.312000,and,I,sv,u-55-1
sw2790A-ms98-a-0066,317.312000,317.462000,by,I,sv,u-55-1
sw2790A-ms98-a-0066,317.462000,317.542000,the,I,sv,u-55-1
sw2790A-ms98-a-0066,317.542000,318.052000,media,I,sv,u-55-1
sw2790A-ms98-a-0068,320.454750,320.856750,that's,B,sv,u-57-1
sw2790A-ms98-a-0068,320.856750,321.456750,contributed,I,sv,u-57-1
sw2790A-ms98-a-0070,324.480750,324.895625,yeah,B,aa,u-59-1
sw2790A-ms98-a-0070,324.895625,325.025625,maybe,B,sv,u-59-2
sw2790A-ms98-a-0070,325.025625,325.235625,that's,I,sv,u-59-2
sw2790A-ms98-a-0070,325.235625,325.745625,contributed,I,sv,u-59-2
sw2790A-ms98-a-0070,325.745625,325.805625,to,I,sv,u-59-2
sw2790A-ms98-a-0070,325.805625,325.845625,a,I,sv,u-59-2
sw2790A-ms98-a-0070,325.845625,326.035625,lot,I,sv,u-59-2
sw2790A-ms98-a-0070,326.035625,326.115625,of,I,sv,u-59-2
sw2790A-ms98-a-0070,326.115625,326.195625,the,I,sv,u-59-2
sw2790A-ms98-a-0070,326.195625,326.675625,problems,I,sv,u-59-2
sw2790A-ms98-a-0070,326.675625,326.835625,that,I,sv,u-59-2
sw2790A-ms98-a-0070,326.835625,326.955625,we,I,sv,u-59-2
sw2790A-ms98-a-0070,326.955625,327.235625,see,I,sv,u-59-2
sw2790A-ms98-a-0070,327.235625,327.375625,all,I,sv,u-59-2
sw2790A-ms98-a-0070,327.375625,327.465625,the,I,sv,u-59-2
sw2790A-ms98-a-0070,327.465625,327.897750,time,I,sv,u-59-2
sw2790A-ms98-a-0070,327.897750,328.324250,so,B,sv,u-59-3
sw2790A-ms98-a-0071,329.009750,329.145750,if,I,sv,u-59-3
sw2790A-ms98-a-0071,329.145750,329.255750,there,I,sv,u-59-3
sw2790A-ms98-a-0071,329.255750,329.445750,was,I,sv,u-59-3
sw2790A-ms98-a-0071,329.445750,329.665750,some,I,sv,u-59-3
sw2790A-ms98-a-0071,329.665750,329.855750,way,I,sv,u-59-3
sw2790A-ms98-a-0071,329.855750,330.095750,for,I,sv,u-59-3
sw2790A-ms98-a-0071,330.095750,330.735750,for,I,sv,u-59-3
sw2790A-ms98-a-0071,330.735750,331.085750,women,I,sv,u-59-3
sw2790A-ms98-a-0071,331.085750,331.326250,to,I,sv,u-59-3
sw2790A-ms98-a-0071,331.491875,331.615750,to,I,sv,u-59-3
sw2790A-ms98-a-0071,331.615750,331.915750,stay,I,sv,u-59-3
