sw2792B-ms98-a-0001,0.620000,0.948125,okay,B,qy,u-1-1
sw2792B-ms98-a-0003,2.502875,2.634750,what,B,qw,u-3-1
sw2792B-ms98-a-0003,2.634750,2.742875,kind,I,qw,u-3-1
sw2792B-ms98-a-0003,2.742875,2.812875,of,I,qw,u-3-1
sw2792B-ms98-a-0003,2.812875,3.092000,books,I,qw,u-3-1
sw2792B-ms98-a-0003,3.256000,3.323375,do,I,qw,u-3-1
sw2792B-ms98-a-0003,3.323375,3.392875,you,I,qw,u-3-1
sw2792B-ms98-a-0003,3.392875,3.562875,like,I,qw,u-3-1
sw2792B-ms98-a-0003,3.562875,3.672875,to,I,qw,u-3-1
sw2792B-ms98-a-0003,3.672875,3.947625,read,I,qw,u-3-1
sw2792B-ms98-a-0005,6.772750,7.105000,yeah,B,b,u-5-1
sw2792B-ms98-a-0007,11.488875,11.958500,um-hum,B,b,u-7-1
sw2792B-ms98-a-0009,17.247500,17.606500,uh-huh,B,b,u-9-1
sw2792B-ms98-a-0011,24.255250,24.565250,yeah,B,aa,u-11-1
sw2792B-ms98-a-0011,24.565250,24.785250,so,B,sd,u-11-2
sw2792B-ms98-a-0011,24.785250,24.845250,do,I,sd,u-11-2
sw2792B-ms98-a-0011,24.845250,25.001000,i,I,sd,u-11-2
sw2792B-ms98-a-0013,27.249875,27.679000,yeah,B,b,u-13-1
sw2792B-ms98-a-0015,30.450500,30.850500,right,B,b,u-15-1
sw2792B-ms98-a-0017,38.682000,39.032000,um-hum,B,b,u-17-1
sw2792B-ms98-a-0019,48.013250,48.579875,um,B,sd,u-19-1
sw2792B-ms98-a-0020,49.381500,49.894250,well,I,sd,u-19-1
sw2792B-ms98-a-0020,50.579750,50.684250,i,I,sd,u-19-1
sw2792B-ms98-a-0020,50.684250,50.954625,like,I,sd,u-19-1
sw2792B-ms98-a-0020,51.158000,51.394250,like,I,sd,u-19-1
sw2792B-ms98-a-0020,51.394250,51.454250,you,I,sd,u-19-1
sw2792B-ms98-a-0020,51.454250,51.864250,said,I,sd,u-19-1
sw2792B-ms98-a-0020,51.864250,52.064250,real,I,sd,u-19-1
sw2792B-ms98-a-0020,52.064250,52.667500,life,I,sd,u-19-1
sw2792B-ms98-a-0020,53.044250,53.419125,um,I,sd,u-19-1
sw2792B-ms98-a-0020,53.739250,53.880000,i,B,sd,u-19-2
sw2792B-ms98-a-0020,53.880000,54.145500,like,I,sd,u-19-2
sw2792B-ms98-a-0020,54.145500,54.301875,uh,I,sd,u-19-2
sw2792B-ms98-a-0020,54.559625,55.334250,biographies,I,sd,u-19-2
sw2792B-ms98-a-0020,55.334250,55.464250,of,I,sd,u-19-2
sw2792B-ms98-a-0020,55.464250,55.754250,people's,I,sd,u-19-2
sw2792B-ms98-a-0020,55.754250,56.294000,lives,I,sd,u-19-2
sw2792B-ms98-a-0020,56.708250,57.037750,like,B,+,u-21-1
sw2792B-ms98-a-0020,57.214750,57.674250,especially,I,+,u-21-1
sw2792B-ms98-a-0020,57.674250,57.884250,like,I,+,u-21-1
sw2792B-ms98-a-0020,57.884250,58.414250,athletes,I,+,u-21-1
sw2792B-ms98-a-0020,58.414250,58.494250,for,B,sd,u-21-2
sw2792B-ms98-a-0020,58.494250,58.674250,some,I,sd,u-21-2
sw2792B-ms98-a-0020,58.674250,58.914250,reason,I,sd,u-21-2
sw2792B-ms98-a-0020,58.914250,58.994250,it,I,sd,u-21-2
sw2792B-ms98-a-0020,58.994250,59.184250,seems,I,sd,u-21-2
sw2792B-ms98-a-0020,59.184250,59.264250,to,I,sd,u-21-2
sw2792B-ms98-a-0020,59.264250,59.694250,interest,I,sd,u-21-2
sw2792B-ms98-a-0020,59.694250,60.062750,me,I,sd,u-21-2
sw2792B-ms98-a-0020,60.601375,60.764250,like,I,sd,u-21-2
sw2792B-ms98-a-0020,60.764250,61.014250,people,I,sd,u-21-2
sw2792B-ms98-a-0020,61.014250,61.134250,that,I,sd,u-21-2
sw2792B-ms98-a-0020,61.134250,61.314250,make,I,sd,u-21-2
sw2792B-ms98-a-0020,61.314250,61.384250,a,I,sd,u-21-2
sw2792B-ms98-a-0020,61.384250,61.574250,big,I,sd,u-21-2
sw2792B-ms98-a-0020,61.574250,62.204250,comeback,I,sd,u-21-2
sw2792B-ms98-a-0020,62.204250,62.539000,or,I,sd,u-21-2
sw2792B-ms98-a-0021,63.142625,63.209125,you,B,+,u-23-1
sw2792B-ms98-a-0021,63.209125,63.319125,know,I,+,u-23-1
sw2792B-ms98-a-0021,63.319125,63.609125,Orel,I,+,u-23-1
sw2792B-ms98-a-0021,63.609125,64.359125,Hershiser,I,+,u-23-1
sw2792B-ms98-a-0021,64.359125,64.619125,things,I,+,u-23-1
sw2792B-ms98-a-0021,64.619125,64.799125,like,I,+,u-23-1
sw2792B-ms98-a-0021,64.799125,65.169125,that,I,+,u-23-1
sw2792B-ms98-a-0022,65.907500,66.247500,and,B,sd,u-25-1
sw2792B-ms98-a-0022,66.247500,66.648000,um,I,sd,u-25-1
sw2792B-ms98-a-0023,67.952500,68.024625,i,I,sd,u-25-1
sw2792B-ms98-a-0023,68.024625,68.233750,like,I,sd,u-25-1
sw2792B-ms98-a-0023,68.233750,68.493750,to,I,sd,u-25-1
sw2792B-ms98-a-0023,68.493750,68.965875,read,I,sd,u-25-1
sw2792B-ms98-a-0023,70.001750,70.303750,books,I,sd,u-25-1
sw2792B-ms98-a-0023,70.303750,70.543750,on,I,sd,u-25-1
sw2792B-ms98-a-0023,70.543750,70.996875,improve,I,sd,u-25-1
sw2792B-ms98-a-0023,70.996875,71.273750,like,I,sd,u-25-1
sw2792B-ms98-a-0023,71.273750,72.143750,family,I,sd,u-25-1
sw2792B-ms98-a-0023,72.143750,72.953750,marriage,I,sd,u-25-1
sw2792B-ms98-a-0024,73.807625,73.947375,you,I,sd,u-25-1
sw2792B-ms98-a-0024,73.947375,74.087375,know,I,sd,u-25-1
sw2792B-ms98-a-0024,74.087375,74.377375,things,I,sd,u-25-1
sw2792B-ms98-a-0024,74.377375,74.477375,that,I,sd,u-25-1
sw2792B-ms98-a-0024,74.477375,74.567375,are,I,sd,u-25-1
sw2792B-ms98-a-0024,74.567375,74.837375,written,I,sd,u-25-1
sw2792B-ms98-a-0024,74.837375,75.336250,by,I,sd,u-25-1
sw2792B-ms98-a-0024,75.637625,75.837375,like,I,sd,u-25-1
sw2792B-ms98-a-0024,75.837375,76.217375,Christian,I,sd,u-25-1
sw2792B-ms98-a-0024,76.217375,76.767375,authors,I,sd,u-25-1
sw2792B-ms98-a-0024,76.767375,77.102750,or,I,sd,u-25-1
sw2792B-ms98-a-0024,77.762125,78.186000,um,I,sd,u-25-1
sw2792B-ms98-a-0025,79.502250,80.558750,doctors,I,sd,u-25-1
sw2792B-ms98-a-0025,80.558750,81.011625,about,I,sd,u-25-1
sw2792B-ms98-a-0025,81.011625,81.801625,family,I,sd,u-25-1
sw2792B-ms98-a-0025,81.801625,82.147375,and,I,sd,u-25-1
sw2792B-ms98-a-0025,82.550375,82.631625,you,I,sd,u-25-1
sw2792B-ms98-a-0025,82.631625,82.801625,know,I,sd,u-25-1
sw2792B-ms98-a-0025,82.801625,83.001625,how,I,sd,u-25-1
sw2792B-ms98-a-0025,83.001625,83.071625,to,I,sd,u-25-1
sw2792B-ms98-a-0025,83.071625,83.561625,improve,I,sd,u-25-1
sw2792B-ms98-a-0025,83.561625,83.691625,your,I,sd,u-25-1
sw2792B-ms98-a-0025,83.691625,84.141625,home,I,sd,u-25-1
sw2792B-ms98-a-0025,84.141625,84.231625,and,I,sd,u-25-1
