sw2860A-ms98-a-0002,1.466375,1.898500,yes,B,b,u-2-1
sw2860A-ms98-a-0003,2.603875,2.847250,tell,B,qw,u-2-2
sw2860A-ms98-a-0003,2.847250,2.967250,me,I,qw,u-2-2
sw2860A-ms98-a-0003,2.967250,3.177250,what,I,qw,u-2-2
sw2860A-ms98-a-0003,3.177250,3.257250,are,I,qw,u-2-2
sw2860A-ms98-a-0003,3.257250,3.377250,some,I,qw,u-2-2
sw2860A-ms98-a-0003,3.377250,3.447250,of,I,qw,u-2-2
sw2860A-ms98-a-0003,3.447250,3.517250,the,I,qw,u-2-2
sw2860A-ms98-a-0003,3.517250,3.757250,things,I,qw,u-2-2
sw2860A-ms98-a-0003,3.757250,3.847250,that,I,qw,u-2-2
sw2860A-ms98-a-0003,3.847250,3.977250,you,I,qw,u-2-2
sw2860A-ms98-a-0003,3.977250,4.137250,did,I,qw,u-2-2
sw2860A-ms98-a-0003,4.137250,4.277250,with,I,qw,u-2-2
sw2860A-ms98-a-0003,4.277250,4.377250,your,I,qw,u-2-2
sw2860A-ms98-a-0003,4.377250,4.657250,children,I,qw,u-2-2
sw2860A-ms98-a-0003,4.657250,4.747250,when,I,qw,u-2-2
sw2860A-ms98-a-0003,4.747250,4.837250,they,I,qw,u-2-2
sw2860A-ms98-a-0003,4.837250,4.947250,were,I,qw,u-2-2
sw2860A-ms98-a-0003,4.947250,5.277250,growing,I,qw,u-2-2
sw2860A-ms98-a-0003,5.277250,5.497250,up,I,qw,u-2-2
sw2860A-ms98-a-0005,12.202875,12.478625,um-hum,B,b,u-6-1
sw2860A-ms98-a-0007,21.156000,21.256000,i,B,sd,u-8-1
sw2860A-ms98-a-0007,21.256000,21.426000,have,I,sd,u-8-1
sw2860A-ms98-a-0007,21.426000,21.586000,two,I,sd,u-8-1
sw2860A-ms98-a-0007,21.586000,21.896000,boys,I,sd,u-8-1
sw2860A-ms98-a-0007,21.896000,22.406000,also,I,sd,u-8-1
sw2860A-ms98-a-0007,22.406000,22.750250,[laughter],O,,
sw2860A-ms98-a-0008,23.872125,24.172125,um,B,sd,u-8-2
sw2860A-ms98-a-0008,24.172125,24.442125,my,I,sd,u-8-2
sw2860A-ms98-a-0008,24.442125,24.832125,children,I,sd,u-8-2
sw2860A-ms98-a-0008,24.832125,25.312125,are,I,sd,u-8-2
sw2860A-ms98-a-0008,25.312125,25.803375,um,I,sd,u-8-2
sw2860A-ms98-a-0008,26.168750,26.612125,are,I,sd,u-8-2
sw2860A-ms98-a-0008,26.612125,27.172125,swimmers,I,sd,u-8-2
sw2860A-ms98-a-0008,27.172125,27.492125,and,B,sd,u-8-3
sw2860A-ms98-a-0008,27.492125,27.762125,so,I,sd,u-8-3
sw2860A-ms98-a-0008,27.762125,27.932125,as,I,sd,u-8-3
sw2860A-ms98-a-0008,27.932125,28.042125,they,I,sd,u-8-3
sw2860A-ms98-a-0008,28.042125,28.202125,were,I,sd,u-8-3
sw2860A-ms98-a-0008,28.202125,28.542125,growing,I,sd,u-8-3
sw2860A-ms98-a-0008,28.542125,28.642125,up,I,sd,u-8-3
sw2860A-ms98-a-0008,28.642125,28.912125,much,I,sd,u-8-3
sw2860A-ms98-a-0008,28.912125,29.122125,of,I,sd,u-8-3
sw2860A-ms98-a-0008,29.122125,29.412500,uh,I,sd,u-8-3
sw2860A-ms98-a-0008,30.113125,30.572125,our,I,sd,u-8-3
sw2860A-ms98-a-0008,31.162125,31.642250,um,I,sd,u-8-3
sw2860A-ms98-a-0008,31.868250,32.132125,normal,I,sd,u-8-3
sw2860A-ms98-a-0008,32.132125,32.362125,life,I,sd,u-8-3
sw2860A-ms98-a-0008,32.362125,32.652125,outside,I,sd,u-8-3
sw2860A-ms98-a-0008,32.652125,32.712125,of,I,sd,u-8-3
sw2860A-ms98-a-0008,32.712125,33.032125,school,I,sd,u-8-3
sw2860A-ms98-a-0008,33.032125,33.122125,and,I,sd,u-8-3
sw2860A-ms98-a-0008,33.122125,33.497875,everything,I,sd,u-8-3
sw2860A-ms98-a-0008,33.497875,33.822875,arou[nd]-,I,sd,u-8-3
sw2860A-ms98-a-0008,33.822875,34.157375,and,I,sd,u-8-3
sw2860A-ms98-a-0009,34.598625,35.056125,revolved,I,sd,u-8-3
sw2860A-ms98-a-0009,35.056125,35.346125,around,I,sd,u-8-3
sw2860A-ms98-a-0009,35.346125,35.556125,their,I,sd,u-8-3
sw2860A-ms98-a-0009,35.556125,36.036125,swimming,I,sd,u-8-3
sw2860A-ms98-a-0009,36.036125,36.836125,so,B,sd,u-10-1
sw2860A-ms98-a-0009,36.836125,36.976125,in,I,sd,u-10-1
sw2860A-ms98-a-0009,36.976125,37.176125,order,I,sd,u-10-1
sw2860A-ms98-a-0009,37.176125,37.286125,to,I,sd,u-10-1
sw2860A-ms98-a-0009,37.286125,37.606125,have,I,sd,u-10-1
sw2860A-ms98-a-0009,37.606125,37.696125,a,I,sd,u-10-1
sw2860A-ms98-a-0009,37.696125,38.096125,reason,I,sd,u-10-1
sw2860A-ms98-a-0009,38.096125,38.465125,for,I,sd,u-10-1
sw2860A-ms98-a-0009,38.781500,39.016125,being,I,sd,u-10-1
sw2860A-ms98-a-0009,39.016125,39.176125,there,I,sd,u-10-1
sw2860A-ms98-a-0009,39.176125,39.596125,especially,I,sd,u-10-1
sw2860A-ms98-a-0009,39.596125,39.716125,as,I,sd,u-10-1
sw2860A-ms98-a-0009,39.716125,39.836125,they,I,sd,u-10-1
sw2860A-ms98-a-0009,39.836125,40.016125,got,I,sd,u-10-1
sw2860A-ms98-a-0009,40.016125,40.316125,older,I,sd,u-10-1
sw2860A-ms98-a-0009,40.316125,40.476125,i,I,sd,u-10-1
sw2860A-ms98-a-0009,40.476125,40.906125,became,I,sd,u-10-1
sw2860A-ms98-a-0009,40.906125,41.386125,involved,I,sd,u-10-1
sw2860A-ms98-a-0009,41.386125,41.526125,in,I,sd,u-10-1
sw2860A-ms98-a-0009,41.526125,41.640500,it,I,sd,u-10-1
sw2860A-ms98-a-0009,42.152750,42.466125,too,I,sd,u-10-1
sw2860A-ms98-a-0009,42.466125,42.586125,so,B,sd,u-10-2
sw2860A-ms98-a-0009,42.586125,42.726125,we,I,sd,u-10-2
sw2860A-ms98-a-0009,42.726125,42.886125,were,I,sd,u-10-2
sw2860A-ms98-a-0009,42.886125,43.366125,always,I,sd,u-10-2
sw2860A-ms98-a-0009,43.366125,43.896125,together,I,sd,u-10-2
sw2860A-ms98-a-0009,43.896125,44.066125,at,I,sd,u-10-2
sw2860A-ms98-a-0009,44.066125,44.186125,their,I,sd,u-10-2
sw2860A-ms98-a-0009,44.186125,44.786125,meets,I,sd,u-10-2
sw2860A-ms98-a-0011,48.222750,48.540125,um-hum,B,b,u-12-1
sw2860A-ms98-a-0013,52.274500,52.544500,uh-huh,B,b,u-14-1
sw2860A-ms98-a-0015,57.060750,57.224500,yeah,B,b,u-16-1
sw2860A-ms98-a-0015,57.224500,57.354500,th[e]-,O,,
sw2860A-ms98-a-0015,57.354500,57.564500,the,B,sd,u-16-2
sw2860A-ms98-a-0015,57.564500,57.824500,boys,I,sd,u-16-2
sw2860A-ms98-a-0015,57.824500,58.174500,tried,I,sd,u-16-2
sw2860A-ms98-a-0015,58.174500,58.434500,those,I,sd,u-16-2
sw2860A-ms98-a-0015,58.434500,58.594500,but,B,sd,u-16-3
sw2860A-ms98-a-0015,58.594500,58.714500,they,I,sd,u-16-3
sw2860A-ms98-a-0015,58.714500,58.884500,r[eally]-,I,sd,u-16-3
sw2860A-ms98-a-0015,58.884500,59.034500,they,I,sd,u-16-3
sw2860A-ms98-a-0015,59.034500,59.254500,did,I,sd,u-16-3
sw2860A-ms98-a-0015,59.254500,59.434500,go,I,sd,u-16-3
sw2860A-ms98-a-0015,59.434500,59.644500,in,I,sd,u-16-3
sw2860A-ms98-a-0015,59.644500,59.804500,they,B,sd,u-16-4
sw2860A-ms98-a-0015,59.804500,60.214500,started,I,sd,u-16-4
sw2860A-ms98-a-0015,60.214500,60.774500,swimming,I,sd,u-16-4
sw2860A-ms98-a-0015,60.774500,60.924500,when,I,sd,u-16-4
sw2860A-ms98-a-0015,60.924500,61.044500,they,I,sd,u-16-4
sw2860A-ms98-a-0015,61.044500,61.514500,were,I,sd,u-16-4
sw2860A-ms98-a-0015,61.514500,61.914500,oh,I,sd,u-16-4
sw2860A-ms98-a-0015,61.914500,62.244500,seven,I,sd,u-16-4
sw2860A-ms98-a-0015,62.244500,62.394500,and,I,sd,u-16-4
sw2860A-ms98-a-0015,62.394500,62.654500,eight,I,sd,u-16-4
sw2860A-ms98-a-0015,62.654500,62.764500,and,B,sd,u-16-5
sw2860A-ms98-a-0015,62.764500,62.954500,they,I,sd,u-16-5
sw2860A-ms98-a-0015,62.954500,63.384500,really,I,sd,u-16-5
sw2860A-ms98-a-0015,63.384500,63.724500,loved,I,sd,u-16-5
sw2860A-ms98-a-0015,63.724500,63.804500,it,I,sd,u-16-5
sw2860A-ms98-a-0015,63.804500,63.894500,and,B,sd,u-16-6
sw2860A-ms98-a-0015,63.894500,64.004500,they're,I,sd,u-16-6
sw2860A-ms98-a-0015,64.004500,64.454500,swimming,I,sd,u-16-6
sw2860A-ms98-a-0015,64.454500,64.664500,both,I,sd,u-16-6
sw2860A-ms98-a-0016,64.869250,64.960875,they'll,B,%,u-16-7
sw2860A-ms98-a-0016,64.960875,65.131375,be,I,%,u-16-7
sw2860A-ms98-a-0016,65.552875,65.710875,one,B,sd,u-16-8
sw2860A-ms98-a-0016,65.710875,65.840875,is,I,sd,u-16-8
sw2860A-ms98-a-0016,65.840875,66.050875,in,I,sd,u-16-8
sw2860A-ms98-a-0016,66.050875,66.490875,college,I,sd,u-16-8
sw2860A-ms98-a-0016,66.490875,66.750875,also,I,sd,u-16-8
sw2860A-ms98-a-0016,66.750875,67.110875,swims,I,sd,u-16-8
sw2860A-ms98-a-0016,67.110875,67.280875,in,I,sd,u-16-8
sw2860A-ms98-a-0016,67.280875,67.750875,college,I,sd,u-16-8
sw2860A-ms98-a-0016,67.750875,67.930875,and,B,sd,u-16-9
sw2860A-ms98-a-0016,67.930875,68.000875,the,I,sd,u-16-9
sw2860A-ms98-a-0016,68.000875,68.140875,other,I,sd,u-16-9
sw2860A-ms98-a-0016,68.140875,68.310875,will,I,sd,u-16-9
sw2860A-ms98-a-0016,68.310875,68.770875,continue,I,sd,u-16-9
sw2860A-ms98-a-0016,68.770875,68.920875,to,I,sd,u-16-9
sw2860A-ms98-a-0016,68.920875,69.070875,swim,I,sd,u-16-9
sw2860A-ms98-a-0016,69.070875,69.210875,in,I,sd,u-16-9
sw2860A-ms98-a-0016,69.210875,69.610875,college,I,sd,u-16-9
sw2860A-ms98-a-0016,69.610875,69.775750,and,B,sd,u-16-10
sw2860A-ms98-a-0016,70.156125,70.290875,they're,I,sd,u-16-10
sw2860A-ms98-a-0016,70.290875,70.700875,fortunate,I,sd,u-16-10
sw2860A-ms98-a-0016,70.700875,70.810875,they,B,sd,u-16-11
sw2860A-ms98-a-0016,70.810875,70.940875,may,I,sd,u-16-11
sw2860A-ms98-a-0016,70.940875,71.170875,even,I,sd,u-16-11
sw2860A-ms98-a-0016,71.170875,71.410875,made,I,sd,u-16-11
sw2860A-ms98-a-0016,71.410875,72.125250,nationals,I,sd,u-16-11
sw2860A-ms98-a-0017,73.107250,73.507250,and,B,sd,u-18-1
sw2860A-ms98-a-0017,73.507250,73.707250,so,I,sd,u-18-1
sw2860A-ms98-a-0017,73.707250,73.857250,we,I,sd,u-18-1
sw2860A-ms98-a-0017,73.857250,74.087250,would,I,sd,u-18-1
sw2860A-ms98-a-0017,74.087250,74.507250,drive,I,sd,u-18-1
