sw2893A-ms98-a-0002,1.073500,1.471625,so,B,%,u-1-1
sw2893A-ms98-a-0004,4.309375,4.530875,yeah,B,ny,u-3-1
sw2893A-ms98-a-0004,4.530875,4.580875,i,B,sd^e,u-3-2
sw2893A-ms98-a-0004,4.580875,4.815000,sure,I,sd^e,u-3-2
sw2893A-ms98-a-0004,4.815000,5.056625,do,I,sd^e,u-3-2
sw2893A-ms98-a-0005,6.089375,6.698625,uh,B,sd,u-5-1
sw2893A-ms98-a-0005,6.973625,7.269625,i,I,sd,u-5-1
sw2893A-ms98-a-0005,7.269625,7.429625,ride,I,sd,u-5-1
sw2893A-ms98-a-0005,7.429625,7.469625,a,I,sd,u-5-1
sw2893A-ms98-a-0005,7.469625,7.989625,bicycle,I,sd,u-5-1
sw2893A-ms98-a-0005,7.989625,8.189625,quite,I,sd,u-5-1
sw2893A-ms98-a-0005,8.189625,8.239625,a,I,sd,u-5-1
sw2893A-ms98-a-0005,8.239625,8.499625,bit,I,sd,u-5-1
sw2893A-ms98-a-0005,8.499625,8.869625,and,I,sd,u-5-1
sw2893A-ms98-a-0005,8.869625,9.132500,uh,I,sd,u-5-1
sw2893A-ms98-a-0005,9.339625,9.499625,work,I,sd,u-5-1
sw2893A-ms98-a-0005,9.499625,9.579625,out,I,sd,u-5-1
sw2893A-ms98-a-0005,9.579625,9.669625,with,I,sd,u-5-1
sw2893A-ms98-a-0005,9.669625,9.819625,free,I,sd,u-5-1
sw2893A-ms98-a-0005,9.819625,10.235500,weights,I,sd,u-5-1
sw2893A-ms98-a-0007,13.981500,14.087375,i,B,sd,u-7-1
sw2893A-ms98-a-0007,14.087375,14.239500,live,I,sd,u-7-1
sw2893A-ms98-a-0007,14.239500,14.411500,right,I,sd,u-7-1
sw2893A-ms98-a-0007,14.411500,14.521500,near,I,sd,u-7-1
sw2893A-ms98-a-0007,14.521500,14.681500,White,I,sd,u-7-1
sw2893A-ms98-a-0007,14.681500,14.851500,Rock,I,sd,u-7-1
sw2893A-ms98-a-0007,14.851500,15.121500,Lake,I,sd,u-7-1
sw2893A-ms98-a-0007,15.121500,15.241500,so,B,sd,u-7-2
sw2893A-ms98-a-0007,15.241500,15.291500,i,I,sd,u-7-2
sw2893A-ms98-a-0007,15.291500,15.491500,used,I,sd,u-7-2
sw2893A-ms98-a-0007,15.491500,15.653125,to,I,sd,u-7-2
sw2893A-ms98-a-0007,16.368750,16.461500,i,I,sd,u-7-2
sw2893A-ms98-a-0007,16.461500,16.701500,try,I,sd,u-7-2
sw2893A-ms98-a-0007,16.701500,16.811500,to,I,sd,u-7-2
sw2893A-ms98-a-0007,16.811500,17.118125,ride,I,sd,u-7-2
sw2893A-ms98-a-0007,17.826250,18.080250,about,I,sd,u-7-2
sw2893A-ms98-a-0007,18.302500,18.461500,ten,I,sd,u-7-2
sw2893A-ms98-a-0007,18.461500,18.531500,to,I,sd,u-7-2
sw2893A-ms98-a-0007,18.531500,18.781500,twenty,I,sd,u-7-2
sw2893A-ms98-a-0007,18.781500,18.981500,miles,I,sd,u-7-2
sw2893A-ms98-a-0007,18.981500,19.071500,a,I,sd,u-7-2
sw2893A-ms98-a-0007,19.071500,19.381500,day,I,sd,u-7-2
sw2893A-ms98-a-0007,19.381500,19.541500,but,B,sd,u-7-3
sw2893A-ms98-a-0007,19.541500,19.695375,i,I,sd,u-7-3
sw2893A-ms98-a-0008,20.872375,21.212375,haven't,B,+,u-9-1
sw2893A-ms98-a-0008,21.212375,21.332375,been,I,+,u-9-1
sw2893A-ms98-a-0008,21.332375,21.542375,doing,I,+,u-9-1
sw2893A-ms98-a-0008,21.542375,21.712375,so,I,+,u-9-1
sw2893A-ms98-a-0008,21.712375,21.912375,well,I,+,u-9-1
sw2893A-ms98-a-0008,21.912375,22.092375,this,I,+,u-9-1
sw2893A-ms98-a-0008,22.092375,22.489500,year,I,+,u-9-1
sw2893A-ms98-a-0010,38.789625,38.929625,oh,B,ba,u-11-1
sw2893A-ms98-a-0010,38.929625,39.179625,that's,I,ba,u-11-1
sw2893A-ms98-a-0010,39.179625,39.487250,weird,I,ba,u-11-1
sw2893A-ms98-a-0012,46.798375,46.947250,oh,B,b,u-13-1
sw2893A-ms98-a-0012,46.947250,47.521625,yeah,I,b,u-13-1
sw2893A-ms98-a-0014,55.714125,55.931125,so,B,qw,u-15-1
sw2893A-ms98-a-0014,55.931125,56.123125,what's,I,qw,u-15-1
sw2893A-ms98-a-0014,56.123125,56.212750,your,I,qw,u-15-1
sw2893A-ms98-a-0014,56.212750,56.762750,motivation,I,qw,u-15-1
sw2893A-ms98-a-0015,58.720500,59.067875,yeah,B,ny,u-17-1
sw2893A-ms98-a-0017,68.036375,68.220625,was,B,qr,u-19-1
sw2893A-ms98-a-0017,68.220625,68.400625,it,I,qr,u-19-1
sw2893A-ms98-a-0017,68.400625,68.620625,for,I,qr,u-19-1
sw2893A-ms98-a-0017,68.620625,69.080625,health,I,qr,u-19-1
sw2893A-ms98-a-0017,69.080625,69.353500,or,I,qr,u-19-1
sw2893A-ms98-a-0017,70.182125,70.270625,to,I,qr,u-19-1
sw2893A-ms98-a-0017,70.270625,70.430625,look,I,qr,u-19-1
sw2893A-ms98-a-0017,70.430625,70.930250,good,I,qr,u-19-1
sw2893A-ms98-a-0018,72.439000,72.616750,i,B,%,u-21-1
sw2893A-ms98-a-0018,73.144000,73.305250,would,I,%,u-21-1
sw2893A-ms98-a-0018,73.305250,73.585750,think,I,%,u-21-1
sw2893A-ms98-a-0019,75.178500,75.238500,it,B,bf,u-23-1
sw2893A-ms98-a-0019,75.238500,75.358500,was,I,bf,u-23-1
sw2893A-ms98-a-0019,75.358500,75.628500,just,I,bf,u-23-1
sw2893A-ms98-a-0019,75.628500,75.668500,a,I,bf,u-23-1
sw2893A-ms98-a-0019,75.668500,75.968500,side,I,bf,u-23-1
sw2893A-ms98-a-0019,75.968500,76.484875,benefit,I,bf,u-23-1
sw2893A-ms98-a-0021,90.216625,90.551375,yeah,B,b,u-25-1
sw2893A-ms98-a-0023,93.377000,93.525500,up,B,aap,u-27-1
sw2893A-ms98-a-0023,93.525500,93.635500,to,I,aap,u-27-1
sw2893A-ms98-a-0023,93.635500,93.729500,a,I,aap,u-27-1
sw2893A-ms98-a-0023,93.729500,94.323125,point,I,aap,u-27-1
sw2893A-ms98-a-0024,95.292375,95.601125,yeah,B,b^m,u-29-1
sw2893A-ms98-a-0026,100.456750,100.830500,yeah,B,b,u-31-1
sw2893A-ms98-a-0028,102.753000,103.066000,so,B,qw,u-31-2
sw2893A-ms98-a-0028,103.066000,103.196000,what,I,qw,u-31-2
sw2893A-ms98-a-0028,103.196000,103.356000,was,I,qw,u-31-2
sw2893A-ms98-a-0028,103.356000,103.496000,what,I,qw,u-31-2
sw2893A-ms98-a-0028,103.496000,103.586000,was,I,qw,u-31-2
sw2893A-ms98-a-0028,103.586000,103.676000,the,I,qw,u-31-2
sw2893A-ms98-a-0028,103.676000,103.836000,other,I,qw,u-31-2
sw2893A-ms98-a-0028,103.836000,104.176000,question,I,qw,u-31-2
sw2893A-ms98-a-0028,104.176000,104.396000,let's,B,qy,u-31-3
sw2893A-ms98-a-0028,104.396000,104.788125,see,I,qy,u-31-3
sw2893A-ms98-a-0028,105.292875,105.386000,do,I,qy,u-31-3
sw2893A-ms98-a-0028,105.386000,105.456000,you,I,qy,u-31-3
sw2893A-ms98-a-0028,105.456000,105.536000,do,I,qy,u-31-3
sw2893A-ms98-a-0028,105.536000,105.656000,it,I,qy,u-31-3
sw2893A-ms98-a-0028,105.656000,105.746000,as,I,qy,u-31-3
sw2893A-ms98-a-0028,105.746000,105.846000,a,I,qy,u-31-3
sw2893A-ms98-a-0028,105.846000,106.366000,task,I,qy,u-31-3
sw2893A-ms98-a-0028,106.366000,106.486000,or,B,qrr,u-31-4
sw2893A-ms98-a-0028,106.486000,106.566000,do,I,qrr,u-31-4
sw2893A-ms98-a-0028,106.566000,106.626000,you,I,qrr,u-31-4
sw2893A-ms98-a-0028,106.626000,107.121000,enjoy,I,qrr,u-31-4
sw2893A-ms98-a-0028,107.121000,107.276000,enjoy,I,qrr,u-31-4
sw2893A-ms98-a-0028,107.276000,107.616000,working,I,qrr,u-31-4
sw2893A-ms98-a-0028,107.616000,107.756375,out,I,qrr,u-31-4
sw2893A-ms98-a-0030,112.447125,112.663125,yeah,B,bk,u-33-1
sw2893A-ms98-a-0030,112.663125,112.760875,i,B,sd,u-33-2
sw2893A-ms98-a-0030,112.760875,113.003125,think,I,sd,u-33-2
sw2893A-ms98-a-0030,113.003125,113.183125,i,I,sd,u-33-2
sw2893A-ms98-a-0030,113.183125,113.455375,uh,I,sd,u-33-2
sw2893A-ms98-a-0030,113.958875,114.079375,i,I,sd,u-33-2
sw2893A-ms98-a-0030,114.079375,114.293125,enjoy,I,sd,u-33-2
sw2893A-ms98-a-0030,114.293125,114.423125,it,I,sd,u-33-2
sw2893A-ms98-a-0030,114.423125,115.063125,sometimes,I,sd,u-33-2
sw2893A-ms98-a-0030,115.063125,115.203125,and,B,sd,u-33-3
sw2893A-ms98-a-0030,115.203125,115.343125,there's,I,sd,u-33-3
sw2893A-ms98-a-0030,115.343125,115.493125,other,I,sd,u-33-3
sw2893A-ms98-a-0030,115.493125,115.783125,times,I,sd,u-33-3
sw2893A-ms98-a-0030,115.783125,115.883125,when,I,sd,u-33-3
sw2893A-ms98-a-0030,115.883125,115.913125,i,I,sd,u-33-3
sw2893A-ms98-a-0030,115.913125,116.073125,just,I,sd,u-33-3
sw2893A-ms98-a-0030,116.073125,116.223125,get,I,sd,u-33-3
sw2893A-ms98-a-0030,116.223125,116.613125,tired,I,sd,u-33-3
sw2893A-ms98-a-0030,116.613125,116.723125,of,I,sd,u-33-3
sw2893A-ms98-a-0030,116.723125,116.913125,it,I,sd,u-33-3
sw2893A-ms98-a-0030,116.913125,117.079000,and,B,sd,u-33-4
sw2893A-ms98-a-0031,117.754875,117.908500,and,B,+,u-35-1
