sw2900B-ms98-a-0002,12.129125,12.762375,oh,B,b,u-2-1
sw2900B-ms98-a-0004,38.162500,38.513750,yeah,B,b,u-4-1
sw2900B-ms98-a-0004,38.513750,38.883750,because,B,sv,u-4-2
sw2900B-ms98-a-0004,38.883750,38.983750,when,I,sv,u-4-2
sw2900B-ms98-a-0004,38.983750,39.263750,people,I,sv,u-4-2
sw2900B-ms98-a-0004,39.263750,39.563750,can't,I,sv,u-4-2
sw2900B-ms98-a-0004,39.563750,39.873750,pay,I,sv,u-4-2
sw2900B-ms98-a-0004,39.873750,39.963750,they,I,sv,u-4-2
sw2900B-ms98-a-0004,39.963750,40.153750,end,I,sv,u-4-2
sw2900B-ms98-a-0004,40.153750,40.283750,up,I,sv,u-4-2
sw2900B-ms98-a-0004,40.283750,40.583750,going,I,sv,u-4-2
sw2900B-ms98-a-0004,40.583750,40.683750,to,I,sv,u-4-2
sw2900B-ms98-a-0004,40.683750,41.163750,clinics,I,sv,u-4-2
sw2900B-ms98-a-0004,41.163750,41.343750,or,I,sv,u-4-2
sw2900B-ms98-a-0004,41.343750,41.423750,you,I,sv,u-4-2
sw2900B-ms98-a-0004,41.423750,41.603750,know,I,sv,u-4-2
sw2900B-ms98-a-0004,41.603750,41.773750,to,I,sv,u-4-2
sw2900B-ms98-a-0004,41.773750,42.355125,public,I,sv,u-4-2
sw2900B-ms98-a-0004,42.944375,43.683750,hospitals,I,sv,u-4-2
sw2900B-ms98-a-0004,43.683750,43.773750,and,I,sv,u-4-2
sw2900B-ms98-a-0004,43.773750,43.923750,that,I,sv,u-4-2
sw2900B-ms98-a-0004,43.923750,44.113750,kind,I,sv,u-4-2
sw2900B-ms98-a-0004,44.113750,44.203750,of,I,sv,u-4-2
sw2900B-ms98-a-0004,44.203750,44.473750,thing,I,sv,u-4-2
sw2900B-ms98-a-0004,44.473750,44.773750,and,B,%,u-4-3
sw2900B-ms98-a-0004,44.773750,44.923750,you,I,%,u-4-3
sw2900B-ms98-a-0004,44.923750,45.183750,know,I,%,u-4-3
sw2900B-ms98-a-0006,53.653500,54.278875,oh,B,aa,u-6-1
sw2900B-ms98-a-0006,54.278875,54.843500,definitely,I,aa,u-6-1
sw2900B-ms98-a-0008,60.686750,61.026750,right,B,b,u-10-1
sw2900B-ms98-a-0010,63.242375,63.735250,yeah,B,b,u-12-1
sw2900B-ms98-a-0010,63.852000,64.272375,yeah,B,b^r,u-12-2
sw2900B-ms98-a-0012,73.214875,73.499375,yeah,B,b,u-14-1
sw2900B-ms98-a-0014,77.589750,78.064500,yeah,B,b,u-16-1
sw2900B-ms98-a-0014,78.162375,78.557875,yeah,B,b^r,u-16-2
sw2900B-ms98-a-0014,79.441625,79.831625,yeah,B,b,u-18-1
sw2900B-ms98-a-0014,80.080250,80.251000,that,B,sv,u-18-2
sw2900B-ms98-a-0014,80.251000,80.531625,sounds,I,sv,u-18-2
sw2900B-ms98-a-0014,80.531625,80.671625,like,I,sv,u-18-2
sw2900B-ms98-a-0014,80.671625,80.731625,a,I,sv,u-18-2
sw2900B-ms98-a-0014,80.731625,80.851625,good,I,sv,u-18-2
sw2900B-ms98-a-0014,80.851625,81.131625,idea,I,sv,u-18-2
sw2900B-ms98-a-0014,81.131625,81.241625,my,B,sd,u-18-3
sw2900B-ms98-a-0014,81.241625,81.431625,only,I,sd,u-18-3
sw2900B-ms98-a-0014,81.431625,81.891625,concern,I,sd,u-18-3
sw2900B-ms98-a-0014,81.891625,82.001625,is,I,sd,u-18-3
sw2900B-ms98-a-0014,82.001625,82.191625,what,I,sd,u-18-3
sw2900B-ms98-a-0014,82.191625,82.521625,happens,I,sd,u-18-3
sw2900B-ms98-a-0014,82.521625,82.621625,when,I,sd,u-18-3
sw2900B-ms98-a-0014,82.621625,82.701625,you,I,sd,u-18-3
sw2900B-ms98-a-0014,82.701625,82.931625,turn,I,sd,u-18-3
sw2900B-ms98-a-0014,82.931625,83.111625,things,I,sd,u-18-3
sw2900B-ms98-a-0014,83.111625,83.281625,over,I,sd,u-18-3
sw2900B-ms98-a-0014,83.281625,83.361625,to,I,sd,u-18-3
sw2900B-ms98-a-0014,83.361625,83.441625,the,I,sd,u-18-3
sw2900B-ms98-a-0014,83.441625,83.938875,government,I,sd,u-18-3
sw2900B-ms98-a-0014,83.938875,84.082000,[laughter-i],O,,
sw2900B-ms98-a-0014,84.082000,84.296750,[laughter-don't],O,,
sw2900B-ms98-a-0014,84.296750,84.647000,[laughter-know],O,,
sw2900B-ms98-a-0014,85.071625,85.161625,do,B,qh,u-20-1
sw2900B-ms98-a-0014,85.161625,85.261625,we,I,qh,u-20-1
sw2900B-ms98-a-0014,85.261625,85.541625,wind,I,qh,u-20-1
sw2900B-ms98-a-0014,85.541625,85.641625,up,I,qh,u-20-1
sw2900B-ms98-a-0014,85.641625,85.781625,with,I,qh,u-20-1
sw2900B-ms98-a-0014,85.781625,86.051625,more,I,qh,u-20-1
sw2900B-ms98-a-0014,86.051625,86.271625,red,I,qh,u-20-1
sw2900B-ms98-a-0014,86.271625,86.571625,tape,I,qh,u-20-1
sw2900B-ms98-a-0014,86.571625,86.691625,and,I,qh,u-20-1
sw2900B-ms98-a-0014,86.691625,87.001625,more,I,qh,u-20-1
sw2900B-ms98-a-0014,87.441625,88.121625,problems,I,qh,u-20-1
sw2900B-ms98-a-0014,88.121625,88.309250,so,O,,
sw2900B-ms98-a-0014,88.912875,89.429250,yeah,B,b,u-22-1
sw2900B-ms98-a-0014,89.637375,90.084125,yeah,B,b^r,u-22-2
sw2900B-ms98-a-0016,92.164500,92.604125,um-hum,B,b,u-24-1
sw2900B-ms98-a-0018,97.907750,98.498250,oh,B,b,u-26-1
sw2900B-ms98-a-0020,110.995125,111.389500,yeah,B,b,u-28-1
sw2900B-ms98-a-0022,118.956000,119.679500,wow,B,ba,u-30-1
sw2900B-ms98-a-0022,120.246125,120.782250,yeah,B,b,u-32-1
sw2900B-ms98-a-0022,120.955500,121.112125,well,B,sv,u-32-2
sw2900B-ms98-a-0022,121.112125,121.222125,i,I,sv,u-32-2
sw2900B-ms98-a-0022,121.222125,121.422125,think,I,sv,u-32-2
