sw2913A-ms98-a-0003,3.547875,3.814000,gosh,B,^h,u-2-1
sw2913A-ms98-a-0003,3.814000,3.894000,i,B,sd,u-2-2
sw2913A-ms98-a-0003,3.894000,4.134000,like,I,sd,u-2-2
sw2913A-ms98-a-0003,4.134000,4.384000,just,I,sd,u-2-2
sw2913A-ms98-a-0003,4.384000,4.624000,about,I,sd,u-2-2
sw2913A-ms98-a-0003,4.624000,5.469750,anything,I,sd,u-2-2
sw2913A-ms98-a-0003,5.943000,6.135375,we,B,sd,u-2-3
sw2913A-ms98-a-0003,6.466750,6.554000,i,I,sd,u-2-3
sw2913A-ms98-a-0003,6.554000,6.754000,think,I,sd,u-2-3
sw2913A-ms98-a-0003,6.754000,6.844000,the,I,sd,u-2-3
sw2913A-ms98-a-0003,6.844000,7.244000,last,I,sd,u-2-3
sw2913A-ms98-a-0003,7.244000,7.404000,one,I,sd,u-2-3
sw2913A-ms98-a-0003,7.404000,7.524000,we,I,sd,u-2-3
sw2913A-ms98-a-0003,7.524000,7.824000,saw,I,sd,u-2-3
sw2913A-ms98-a-0003,7.824000,8.184000,was,I,sd,u-2-3
sw2913A-ms98-a-0003,8.184000,8.494750,uh,I,sd,u-2-3
sw2913A-ms98-a-0003,9.063500,9.534000,Teenage,I,sd,u-2-3
sw2913A-ms98-a-0003,9.534000,9.824000,Mutant,I,sd,u-2-3
sw2913A-ms98-a-0003,9.824000,10.194000,Ninja,I,sd,u-2-3
sw2913A-ms98-a-0003,10.194000,10.594000,Turtles,I,sd,u-2-3
sw2913A-ms98-a-0003,10.594000,11.024000,Part,I,sd,u-2-3
sw2913A-ms98-a-0003,11.024000,11.410625,2,O,,
sw2913A-ms98-a-0003,11.410625,12.147625,[laughter],O,,
sw2913A-ms98-a-0005,16.084250,16.294875,well,B,sd,u-4-1
sw2913A-ms98-a-0005,16.294875,16.404875,we,I,sd,u-4-1
sw2913A-ms98-a-0005,16.404875,16.594875,don't,I,sd,u-4-1
sw2913A-ms98-a-0005,16.594875,16.794875,have,I,sd,u-4-1
sw2913A-ms98-a-0005,16.794875,16.994875,any,I,sd,u-4-1
sw2913A-ms98-a-0005,16.994875,17.514875,kids,I,sd,u-4-1
sw2913A-ms98-a-0005,17.514875,17.664875,but,B,sd,u-4-2
sw2913A-ms98-a-0005,17.664875,17.794875,we,I,sd,u-4-2
sw2913A-ms98-a-0005,17.794875,18.104875,like,I,sd,u-4-2
sw2913A-ms98-a-0005,18.104875,18.184875,them_1,O,,
sw2913A-ms98-a-0005,18.184875,19.385500,[laughter-anyway],O,,
sw2913A-ms98-a-0006,20.179750,21.000500,[laughter],O,,
sw2913A-ms98-a-0006,21.000500,21.118750,well,O,,
sw2913A-ms98-a-0007,22.455375,22.843625,um,B,sd,u-6-1
sw2913A-ms98-a-0007,22.843625,23.207500,we're,I,sd,u-6-1
sw2913A-ms98-a-0007,23.207500,23.507500,late,I,sd,u-6-1
sw2913A-ms98-a-0007,23.507500,23.972000,twenties,I,sd,u-6-1
sw2913A-ms98-a-0009,26.230500,26.567500,no,B,aa,u-8-1
sw2913A-ms98-a-0011,28.538125,28.703125,oh,B,ba,u-10-1
sw2913A-ms98-a-0011,28.703125,29.197875,gosh,I,ba,u-10-1
sw2913A-ms98-a-0013,34.889375,35.489625,oh,B,b,u-12-1
sw2913A-ms98-a-0015,38.861625,39.186375,[laughter],O,,
sw2913A-ms98-a-0017,42.608875,42.728500,it,B,sd,u-16-1
sw2913A-ms98-a-0017,42.728500,42.948500,was,I,sd,u-16-1
sw2913A-ms98-a-0017,42.948500,43.168500,it,B,sd,u-16-2
sw2913A-ms98-a-0017,43.168500,43.338500,was,I,sd,u-16-2
sw2913A-ms98-a-0017,43.338500,43.718500,actually,I,sd,u-16-2
sw2913A-ms98-a-0017,43.718500,44.008500,better,I,sd,u-16-2
sw2913A-ms98-a-0017,44.008500,44.148500,than,I,sd,u-16-2
sw2913A-ms98-a-0017,44.148500,44.208500,the,I,sd,u-16-2
sw2913A-ms98-a-0017,44.208500,44.628500,first,I,sd,u-16-2
sw2913A-ms98-a-0017,44.628500,44.748500,one,I,sd,u-16-2
sw2913A-ms98-a-0017,44.748500,44.908000,i,I,sd,u-16-2
sw2913A-ms98-a-0017,44.908000,45.269250,thought,I,sd,u-16-2
sw2913A-ms98-a-0018,46.187375,46.374000,what's,B,qw,u-18-1
sw2913A-ms98-a-0018,46.374000,46.464000,the,I,qw,u-18-1
sw2913A-ms98-a-0018,46.464000,46.924000,last,I,qw,u-18-1
sw2913A-ms98-a-0018,46.924000,47.204000,movie,I,qw,u-18-1
sw2913A-ms98-a-0018,47.204000,47.404000,you,I,qw,u-18-1
sw2913A-ms98-a-0018,47.404000,47.804750,saw,I,qw,u-18-1
sw2913A-ms98-a-0019,49.215375,49.602500,oh,B,b,u-20-1
sw2913A-ms98-a-0019,49.602500,49.732500,we,B,sd,u-20-2
sw2913A-ms98-a-0019,49.732500,49.852500,were,I,sd,u-20-2
sw2913A-ms98-a-0019,49.852500,50.233125,just,I,sd,u-20-2
sw2913A-ms98-a-0019,50.233125,50.720875,when,I,sd,u-20-2
sw2913A-ms98-a-0019,50.720875,50.972500,when,I,sd,u-20-2
sw2913A-ms98-a-0019,50.972500,51.164000,the,I,sd,u-20-2
sw2913A-ms98-a-0019,51.344750,51.742500,topic,I,sd,u-20-2
sw2913A-ms98-a-0019,51.742500,52.002500,came,I,sd,u-20-2
sw2913A-ms98-a-0019,52.002500,52.262500,up,I,sd,u-20-2
sw2913A-ms98-a-0019,52.262500,52.390000,we,I,sd,u-20-2
sw2913A-ms98-a-0019,52.683750,52.862500,i,I,sd,u-20-2
sw2913A-ms98-a-0019,52.862500,52.982500,was,I,sd,u-20-2
sw2913A-ms98-a-0019,52.982500,53.282500,asking,I,sd,u-20-2
sw2913A-ms98-a-0019,53.282500,53.392500,my,I,sd,u-20-2
sw2913A-ms98-a-0019,53.392500,53.742500,husband,I,sd,u-20-2
sw2913A-ms98-a-0019,53.742500,53.922500,right,I,sd,u-20-2
sw2913A-ms98-a-0019,53.922500,54.192500,quick,I,sd,u-20-2
sw2913A-ms98-a-0019,54.192500,54.382500,what's,I,sd,u-20-2
sw2913A-ms98-a-0019,54.382500,54.442500,the,I,sd,u-20-2
sw2913A-ms98-a-0019,54.442500,54.772500,last,I,sd,u-20-2
sw2913A-ms98-a-0019,54.772500,55.232500,movies,I,sd,u-20-2
sw2913A-ms98-a-0019,55.232500,55.342500,we,I,sd,u-20-2
sw2913A-ms98-a-0019,55.342500,55.532500,saw,I,sd,u-20-2
sw2913A-ms98-a-0019,55.532500,55.702500,he,B,sd,u-20-3
sw2913A-ms98-a-0019,55.702500,55.922500,said,I,sd,u-20-3
sw2913A-ms98-a-0019,55.922500,56.102500,well,I,sd,u-20-3
sw2913A-ms98-a-0019,56.102500,56.562500,Ghost,I,sd,u-20-3
sw2913A-ms98-a-0019,56.562500,56.692500,and,I,sd,u-20-3
sw2913A-ms98-a-0019,56.692500,57.152500,Turtles,I,sd,u-20-3
sw2913A-ms98-a-0019,57.152500,57.262500,i,B,sd,u-20-4
sw2913A-ms98-a-0019,57.262500,57.592500,really,I,sd,u-20-4
sw2913A-ms98-a-0019,57.592500,57.962500,liked,I,sd,u-20-4
sw2913A-ms98-a-0019,57.962500,58.199125,it,I,sd,u-20-4
sw2913A-ms98-a-0021,64.046250,64.292500,not,B,ba,u-22-1
sw2913A-ms98-a-0021,64.292500,64.530500,too,I,ba,u-22-1
sw2913A-ms98-a-0021,64.530500,64.982500,awful,I,ba,u-22-1
sw2913A-ms98-a-0021,64.982500,65.566000,bad,I,ba,u-22-1
sw2913A-ms98-a-0023,70.021875,70.488875,yeah,B,b,u-24-1
sw2913A-ms98-a-0025,73.029750,73.143125,did,B,qy,u-26-1
