sw2915B-ms98-a-0002,3.450000,3.921750,yeah,B,b,u-2-1
sw2915B-ms98-a-0003,5.753625,5.918375,well,B,sv,u-4-1
sw2915B-ms98-a-0003,5.918375,5.998375,i,I,sv,u-4-1
sw2915B-ms98-a-0003,5.998375,6.298375,think,I,sv,u-4-1
sw2915B-ms98-a-0003,6.298375,6.438375,they,I,sv,u-4-1
sw2915B-ms98-a-0003,6.438375,6.918375,waste,I,sv,u-4-1
sw2915B-ms98-a-0003,6.918375,7.128375,what,I,sv,u-4-1
sw2915B-ms98-a-0003,7.128375,7.316625,we,I,sv,u-4-1
sw2915B-ms98-a-0003,7.316625,7.763250,pay,I,sv,u-4-1
sw2915B-ms98-a-0004,9.281250,9.442375,i,B,sv,u-6-1
sw2915B-ms98-a-0004,9.442375,9.677500,think,I,sv,u-6-1
sw2915B-ms98-a-0004,9.677500,9.807500,they,I,sv,u-6-1
sw2915B-ms98-a-0004,9.807500,10.317500,waste,I,sv,u-6-1
sw2915B-ms98-a-0004,10.317500,10.493875,what,I,sv,u-6-1
sw2915B-ms98-a-0004,10.621875,10.865625,w[hat]-,I,sv,u-6-1
sw2915B-ms98-a-0004,10.865625,11.097500,all,I,sv,u-6-1
sw2915B-ms98-a-0004,11.097500,11.157500,the,I,sv,u-6-1
sw2915B-ms98-a-0004,11.157500,11.447500,money,I,sv,u-6-1
sw2915B-ms98-a-0004,11.447500,11.617500,that,I,sv,u-6-1
sw2915B-ms98-a-0004,11.617500,11.810750,we,I,sv,u-6-1
sw2915B-ms98-a-0004,11.810750,12.211250,pay,I,sv,u-6-1
sw2915B-ms98-a-0006,23.617375,23.963375,um-hum,B,b,u-8-1
sw2915B-ms98-a-0008,31.255000,31.714500,um-hum,B,b,u-10-1
sw2915B-ms98-a-0010,34.129625,34.264125,no,O,,
sw2915B-ms98-a-0010,34.264125,34.444125,it's,B,sd,u-12-1
sw2915B-ms98-a-0010,34.444125,34.754125,even,I,sd,u-12-1
sw2915B-ms98-a-0010,34.754125,34.964125,it's,I,sd,u-12-1
sw2915B-ms98-a-0010,34.964125,35.164125,even,I,sd,u-12-1
sw2915B-ms98-a-0010,35.164125,35.504125,higher,I,sd,u-12-1
sw2915B-ms98-a-0010,35.504125,35.614125,in,I,sd,u-12-1
sw2915B-ms98-a-0010,35.614125,35.944125,Dallas,I,sd,u-12-1
sw2915B-ms98-a-0010,35.944125,36.404125,County,I,sd,u-12-1
sw2915B-ms98-a-0010,36.404125,36.671750,so,B,%,u-12-2
sw2915B-ms98-a-0010,37.231250,37.404500,was,B,qy*,u-12-3
sw2915B-ms98-a-0010,37.404500,37.584875,it,I,qy*,u-12-3
sw2915B-ms98-a-0011,39.337625,39.536375,eight,B,qy^d,u-14-1
sw2915B-ms98-a-0011,39.536375,39.686375,and,I,qy^d,u-14-1
sw2915B-ms98-a-0011,39.686375,39.726375,a,I,qy^d,u-14-1
sw2915B-ms98-a-0011,39.726375,40.176375,quarter,I,qy^d,u-14-1
sw2915B-ms98-a-0011,40.176375,40.305125,i,I,qy^d,u-14-1
sw2915B-ms98-a-0011,40.305125,40.528750,think,I,qy^d,u-14-1
sw2915B-ms98-a-0013,46.013125,46.423125,um-hum,B,b,u-16-1
sw2915B-ms98-a-0015,58.292625,58.592000,yeah,B,b,u-18-1
sw2915B-ms98-a-0017,60.980000,61.448375,yeah,B,ny,u-20-1
sw2915B-ms98-a-0017,61.448375,61.855875,because,B,sd^e,u-20-2
sw2915B-ms98-a-0017,61.855875,62.081875,it,I,sd^e,u-20-2
sw2915B-ms98-a-0017,62.428375,62.805875,-[di]fferent,I,sd^e,u-20-2
