sw2950B-ms98-a-0002,4.572500,5.202500,certainly,B,aa,u-2-1
sw2950B-ms98-a-0002,5.202500,6.010125,um,B,sd,u-2-2
sw2950B-ms98-a-0002,6.286125,6.410375,the,I,sd,u-2-2
sw2950B-ms98-a-0002,6.410375,6.722500,weather,I,sd,u-2-2
sw2950B-ms98-a-0002,6.722500,7.122500,here,I,sd,u-2-2
sw2950B-ms98-a-0002,7.122500,7.592500,is,I,sd,u-2-2
sw2950B-ms98-a-0002,7.592500,8.112375,warm,I,sd,u-2-2
sw2950B-ms98-a-0002,9.283375,9.912500,and,B,sd,u-4-1
sw2950B-ms98-a-0002,9.912500,10.242500,it's,I,sd,u-4-1
sw2950B-ms98-a-0002,10.242500,10.953125,been,I,sd,u-4-1
sw2950B-ms98-a-0002,10.953125,11.302500,sort,I,sd,u-4-1
sw2950B-ms98-a-0002,11.302500,11.502500,of,I,sd,u-4-1
sw2950B-ms98-a-0002,11.502500,11.902500,raining,I,sd,u-4-1
sw2950B-ms98-a-0002,11.902500,12.102500,on,I,sd,u-4-1
sw2950B-ms98-a-0002,12.102500,12.232500,and,I,sd,u-4-1
sw2950B-ms98-a-0002,12.232500,12.805250,off,I,sd,u-4-1
sw2950B-ms98-a-0003,13.316625,14.055125,and,B,sd,u-6-1
sw2950B-ms98-a-0003,14.055125,14.735125,uh,I,sd,u-6-1
sw2950B-ms98-a-0003,14.735125,14.965125,i'm,I,sd,u-6-1
sw2950B-ms98-a-0003,14.965125,15.055125,an,I,sd,u-6-1
sw2950B-ms98-a-0003,15.055125,15.415125,avid,I,sd,u-6-1
sw2950B-ms98-a-0003,15.415125,15.920875,gardener,I,sd,u-6-1
sw2950B-ms98-a-0003,15.920875,16.115125,so,B,sd,u-6-2
sw2950B-ms98-a-0003,16.115125,16.245125,i,I,sd,u-6-2
sw2950B-ms98-a-0003,16.245125,16.365125,m[easure]-,I,sd,u-6-2
sw2950B-ms98-a-0003,16.365125,16.795125,m[easure]-,I,sd,u-6-2
sw2950B-ms98-a-0003,16.795125,17.205125,measure,I,sd,u-6-2
sw2950B-ms98-a-0003,17.205125,17.315125,the,I,sd,u-6-2
sw2950B-ms98-a-0003,17.315125,17.565125,rain,I,sd,u-6-2
sw2950B-ms98-a-0003,17.565125,17.655125,in,I,sd,u-6-2
sw2950B-ms98-a-0003,17.655125,17.815125,our,I,sd,u-6-2
sw2950B-ms98-a-0003,17.815125,18.055125,rain,I,sd,u-6-2
sw2950B-ms98-a-0003,18.055125,18.325125,gauge,I,sd,u-6-2
sw2950B-ms98-a-0003,18.325125,18.455125,on,I,sd,u-6-2
sw2950B-ms98-a-0003,18.455125,18.605125,a,I,sd,u-6-2
sw2950B-ms98-a-0003,18.605125,18.755125,on,I,sd,u-6-2
sw2950B-ms98-a-0003,18.755125,18.795125,a,I,sd,u-6-2
sw2950B-ms98-a-0003,18.795125,19.165125,regular,I,sd,u-6-2
sw2950B-ms98-a-0003,19.165125,19.715125,basis,I,sd,u-6-2
sw2950B-ms98-a-0003,19.715125,19.925125,so,B,sd,u-6-3
sw2950B-ms98-a-0003,19.925125,20.088500,i,B,+,u-8-1
sw2950B-ms98-a-0003,20.088500,20.351375,can,I,+,u-8-1
sw2950B-ms98-a-0003,20.705375,20.825125,can,I,+,u-8-1
sw2950B-ms98-a-0003,20.825125,21.165125,avoid,I,+,u-8-1
sw2950B-ms98-a-0003,21.165125,21.575125,wasting,I,+,u-8-1
sw2950B-ms98-a-0003,21.575125,21.845125,money,I,+,u-8-1
sw2950B-ms98-a-0003,21.845125,21.965125,on,I,+,u-8-1
sw2950B-ms98-a-0003,21.965125,22.525250,watering,I,+,u-8-1
sw2950B-ms98-a-0004,23.539375,24.104750,and,B,sd,u-10-1
sw2950B-ms98-a-0004,24.104750,24.518375,uh,I,sd,u-10-1
sw2950B-ms98-a-0004,24.518375,24.594750,but,I,sd,u-10-1
sw2950B-ms98-a-0004,24.594750,24.684750,it's,I,sd,u-10-1
sw2950B-ms98-a-0004,24.684750,24.794750,been,I,sd,u-10-1
sw2950B-ms98-a-0004,24.794750,25.154750,threatening,I,sd,u-10-1
sw2950B-ms98-a-0004,25.154750,25.244750,to,I,sd,u-10-1
sw2950B-ms98-a-0004,25.244750,25.424750,rain,I,sd,u-10-1
sw2950B-ms98-a-0004,25.424750,25.494750,for,I,sd,u-10-1
sw2950B-ms98-a-0004,25.494750,25.554750,the,I,sd,u-10-1
sw2950B-ms98-a-0004,25.554750,25.774750,last,I,sd,u-10-1
sw2950B-ms98-a-0004,25.774750,26.004750,couple,I,sd,u-10-1
sw2950B-ms98-a-0004,26.004750,26.064750,of,I,sd,u-10-1
sw2950B-ms98-a-0004,26.064750,26.304750,days,I,sd,u-10-1
sw2950B-ms98-a-0004,26.304750,26.444750,and,B,sd,u-10-2
sw2950B-ms98-a-0004,26.444750,26.504750,it,I,sd,u-10-2
