sw2952A-ms98-a-0002,0.678625,0.902750,okay,B,%,u-1-1
sw2952A-ms98-a-0002,0.902750,1.032750,what,B,qw,u-1-2
sw2952A-ms98-a-0002,1.032750,1.202750,kind,I,qw,u-1-2
sw2952A-ms98-a-0002,1.202750,1.282750,of,I,qw,u-1-2
sw2952A-ms98-a-0002,1.282750,1.522750,things,I,qw,u-1-2
sw2952A-ms98-a-0002,1.522750,1.632750,do,I,qw,u-1-2
sw2952A-ms98-a-0002,1.632750,1.722750,you,I,qw,u-1-2
sw2952A-ms98-a-0002,1.722750,1.892750,like,I,qw,u-1-2
sw2952A-ms98-a-0002,1.892750,2.002750,to,I,qw,u-1-2
sw2952A-ms98-a-0002,2.002750,2.132750,do,I,qw,u-1-2
sw2952A-ms98-a-0002,2.132750,2.222750,in,I,qw,u-1-2
sw2952A-ms98-a-0002,2.222750,2.312750,your,I,qw,u-1-2
sw2952A-ms98-a-0002,2.312750,2.602750,spare,I,qw,u-1-2
sw2952A-ms98-a-0002,2.602750,3.074000,time,I,qw,u-1-2
sw2952A-ms98-a-0004,6.052250,6.611750,um-hum,B,b,u-3-1
sw2952A-ms98-a-0005,7.431875,8.726750,[laughter],O,,
sw2952A-ms98-a-0007,11.833125,12.145500,uh-huh,B,b,u-7-1
sw2952A-ms98-a-0009,22.628750,23.258750,yeah,B,b,u-9-1
sw2952A-ms98-a-0011,30.581375,30.950250,oh,B,sd,u-11-1
sw2952A-ms98-a-0011,30.950250,31.207750,i,I,sd,u-11-1
sw2952A-ms98-a-0011,31.686125,32.189250,uh,I,sd,u-11-1
sw2952A-ms98-a-0011,32.189250,32.389250,like,I,sd,u-11-1
sw2952A-ms98-a-0011,32.389250,32.869250,sports,I,sd,u-11-1
sw2952A-ms98-a-0011,32.869250,33.139250,type,I,sd,u-11-1
sw2952A-ms98-a-0011,33.139250,33.529250,things,I,sd,u-11-1
sw2952A-ms98-a-0011,33.529250,33.809250,too,I,sd,u-11-1
sw2952A-ms98-a-0011,33.809250,34.119250,we,B,sd,u-11-2
sw2952A-ms98-a-0011,34.119250,34.299250,like,I,sd,u-11-2
sw2952A-ms98-a-0011,34.299250,34.359250,to,I,sd,u-11-2
sw2952A-ms98-a-0011,34.359250,34.519250,get,I,sd,u-11-2
sw2952A-ms98-a-0011,34.519250,34.699250,out,I,sd,u-11-2
sw2952A-ms98-a-0011,34.699250,34.809250,and,I,sd,u-11-2
sw2952A-ms98-a-0011,34.809250,35.299250,walk,I,sd,u-11-2
sw2952A-ms98-a-0011,35.299250,35.598125,and,B,sd,u-11-3
sw2952A-ms98-a-0011,35.767625,35.889250,we,I,sd,u-11-3
sw2952A-ms98-a-0011,35.889250,36.089250,like,I,sd,u-11-3
sw2952A-ms98-a-0011,36.089250,36.149250,the,I,sd,u-11-3
sw2952A-ms98-a-0011,36.149250,36.592000,water,I,sd,u-11-3
