sw2953B-ms98-a-0002,0.871875,1.471875,well,B,o,u-1-1
sw2953B-ms98-a-0002,1.471875,2.101875,[laughter],O,,
sw2953B-ms98-a-0004,5.226125,5.456125,oh,B,^h,u-3-1
sw2953B-ms98-a-0004,5.456125,5.636125,my,I,^h,u-3-1
sw2953B-ms98-a-0004,5.636125,6.347500,goodness,I,^h,u-3-1
sw2953B-ms98-a-0004,6.501875,6.846125,now,B,sd,u-3-2
sw2953B-ms98-a-0004,6.846125,7.452375,see,I,sd,u-3-2
sw2953B-ms98-a-0004,7.659625,7.916125,we,I,sd,u-3-2
sw2953B-ms98-a-0004,7.916125,8.156125,think,I,sd,u-3-2
sw2953B-ms98-a-0004,8.156125,8.276125,of,I,sd,u-3-2
sw2953B-ms98-a-0004,8.276125,8.936125,classic,I,sd,u-3-2
sw2953B-ms98-a-0004,8.936125,9.396125,rock,I,sd,u-3-2
sw2953B-ms98-a-0004,9.396125,9.559750,that,I,sd,u-3-2
sw2953B-ms98-a-0004,9.559750,9.887375,they,I,sd,u-3-2
sw2953B-ms98-a-0004,9.887375,9.976125,you,I,sd,u-3-2
sw2953B-ms98-a-0004,9.976125,10.166125,know,I,sd,u-3-2
sw2953B-ms98-a-0004,10.166125,10.406125,have,I,sd,u-3-2
sw2953B-ms98-a-0004,10.406125,10.586125,on,I,sd,u-3-2
sw2953B-ms98-a-0004,10.586125,10.786125,all,I,sd,u-3-2
sw2953B-ms98-a-0004,10.786125,11.196125,the,I,sd,u-3-2
sw2953B-ms98-a-0004,11.196125,11.506125,easy,I,sd,u-3-2
sw2953B-ms98-a-0004,11.506125,11.946125,listening,I,sd,u-3-2
sw2953B-ms98-a-0004,11.946125,12.526125,stations,I,sd,u-3-2
sw2953B-ms98-a-0004,12.526125,12.876125,now,I,sd,u-3-2
sw2953B-ms98-a-0004,12.876125,13.321000,as,B,+,u-5-1
sw2953B-ms98-a-0004,13.697625,13.956125,our,I,+,u-5-1
sw2953B-ms98-a-0004,13.956125,14.236125,heart,I,+,u-5-1
sw2953B-ms98-a-0004,14.236125,14.376125,and,I,+,u-5-1
sw2953B-ms98-a-0004,14.376125,14.876125,soul,I,+,u-5-1
sw2953B-ms98-a-0004,14.876125,14.936125,i,B,%,u-5-2
