sw2983A-ms98-a-0002,3.806500,4.171000,no,B,nn,u-2-1
sw2983A-ms98-a-0002,4.630500,5.250000,actually,B,sd^e,u-2-2
sw2983A-ms98-a-0002,5.250000,5.510000,i'm,I,sd^e,u-2-2
sw2983A-ms98-a-0002,5.510000,5.609875,a,I,sd^e,u-2-2
sw2983A-ms98-a-0002,5.930125,6.670000,spectator,I,sd^e,u-2-2
sw2983A-ms98-a-0002,6.670000,6.830000,and,B,sd,u-2-3
sw2983A-ms98-a-0002,6.830000,7.040000,i'm,I,sd,u-2-3
sw2983A-ms98-a-0002,7.040000,7.253000,a,I,sd,u-2-3
sw2983A-ms98-a-0002,7.253000,7.770000,second,I,sd,u-2-3
sw2983A-ms98-a-0002,7.770000,7.980000,hand,I,sd,u-2-3
sw2983A-ms98-a-0002,7.980000,8.630000,spectator,I,sd,u-2-3
sw2983A-ms98-a-0002,8.630000,8.780000,as,I,sd,u-2-3
sw2983A-ms98-a-0002,8.780000,8.850000,a,I,sd,u-2-3
sw2983A-ms98-a-0002,8.850000,9.250000,result,I,sd,u-2-3
sw2983A-ms98-a-0002,9.250000,9.380000,of,I,sd,u-2-3
sw2983A-ms98-a-0002,9.380000,9.470000,my,I,sd,u-2-3
sw2983A-ms98-a-0002,9.470000,9.810000,first,I,sd,u-2-3
sw2983A-ms98-a-0002,9.810000,10.300625,husband's,I,sd,u-2-3
sw2983A-ms98-a-0002,10.300625,10.460000,or,I,sd,u-2-3
sw2983A-ms98-a-0002,10.460000,10.804500,my,I,sd,u-2-3
sw2983A-ms98-a-0002,10.804500,11.059625,la[te]-,I,sd,u-2-3
sw2983A-ms98-a-0002,11.059625,11.320000,late,I,sd,u-2-3
sw2983A-ms98-a-0002,11.320000,11.887000,husband's,I,sd,u-2-3
sw2983A-ms98-a-0002,11.887000,12.270000,interest,I,sd,u-2-3
sw2983A-ms98-a-0002,12.270000,12.400000,in,I,sd,u-2-3
sw2983A-ms98-a-0002,12.400000,12.849000,golf,I,sd,u-2-3
sw2983A-ms98-a-0004,19.867500,21.188125,[laughter],O,,
sw2983A-ms98-a-0006,28.493500,28.716125,um-hum,B,b,u-6-1
sw2983A-ms98-a-0008,31.860000,31.950000,i,B,sd,u-8-1
sw2983A-ms98-a-0008,31.950000,32.160000,can't,I,sd,u-8-1
sw2983A-ms98-a-0008,32.160000,32.320000,even,I,sd,u-8-1
sw2983A-ms98-a-0008,32.320000,32.530000,play,I,sd,u-8-1
sw2983A-ms98-a-0008,32.530000,33.040000,miniature,I,sd,u-8-1
sw2983A-ms98-a-0008,33.040000,33.380000,golf,I,sd,u-8-1
sw2983A-ms98-a-0008,33.380000,33.736375,well,I,sd,u-8-1
sw2983A-ms98-a-0008,33.736375,35.383000,[laughter],O,,
sw2983A-ms98-a-0008,35.383000,35.510000,well,B,sv,u-10-1
sw2983A-ms98-a-0008,35.510000,35.650000,there,I,sv,u-10-1
sw2983A-ms98-a-0008,35.650000,35.720000,are,I,sv,u-10-1
sw2983A-ms98-a-0008,35.720000,35.950000,just,I,sv,u-10-1
sw2983A-ms98-a-0008,35.950000,36.130000,some,I,sv,u-10-1
sw2983A-ms98-a-0008,36.130000,36.420000,things,I,sv,u-10-1
sw2983A-ms98-a-0008,36.420000,36.530000,that,I,sv,u-10-1
sw2983A-ms98-a-0008,36.530000,36.710000,we're,I,sv,u-10-1
sw2983A-ms98-a-0008,36.710000,36.900000,good,I,sv,u-10-1
sw2983A-ms98-a-0008,36.900000,37.090000,at,I,sv,u-10-1
