sw3012B-ms98-a-0002,1.022125,1.372125,hello,B,fp,u-1-1
sw3012B-ms98-a-0003,2.205375,2.819750,hi,B,fp,u-3-1
sw3012B-ms98-a-0003,3.124875,3.417750,um,I,fp,u-3-1
sw3012B-ms98-a-0003,3.417750,3.587750,this,B,fp,u-3-2
sw3012B-ms98-a-0003,3.587750,3.707750,is,I,fp,u-3-2
sw3012B-ms98-a-0003,3.707750,4.207750,Betty,I,fp,u-3-2
sw3012B-ms98-a-0003,4.207750,4.317750,and,B,sd,u-3-3
sw3012B-ms98-a-0003,4.317750,4.487750,i'm,I,sd,u-3-3
sw3012B-ms98-a-0003,4.487750,4.597750,in,I,sd,u-3-3
sw3012B-ms98-a-0003,4.597750,5.067750,Richardson,I,sd,u-3-3
sw3012B-ms98-a-0003,5.067750,5.607750,Texas,I,sd,u-3-3
sw3012B-ms98-a-0005,7.736875,7.896875,oh,B,b,u-5-1
sw3012B-ms98-a-0005,7.896875,8.406875,okay,I,b,u-5-1
sw3012B-ms98-a-0005,8.406875,8.516875,well,B,sd,u-5-2
sw3012B-ms98-a-0005,8.516875,8.726875,here,I,sd,u-5-2
sw3012B-ms98-a-0005,8.726875,8.836875,we,I,sd,u-5-2
sw3012B-ms98-a-0005,8.836875,9.186875,go,I,sd,u-5-2
sw3012B-ms98-a-0005,9.186875,9.753625,[laughter],O,,
sw3012B-ms98-a-0006,10.293375,10.446875,i,B,qy^d,u-7-1
sw3012B-ms98-a-0006,10.446875,10.593625,guess,I,qy^d,u-7-1
sw3012B-ms98-a-0006,10.593625,10.703625,we're,I,qy^d,u-7-1
sw3012B-ms98-a-0006,10.703625,10.833625,going,I,qy^d,u-7-1
sw3012B-ms98-a-0006,10.833625,10.893625,to,I,qy^d,u-7-1
sw3012B-ms98-a-0006,10.893625,11.023625,have,I,qy^d,u-7-1
sw3012B-ms98-a-0006,11.023625,11.083625,a,I,qy^d,u-7-1
sw3012B-ms98-a-0006,11.083625,11.203625,lot,I,qy^d,u-7-1
sw3012B-ms98-a-0006,11.203625,11.323625,of,I,qy^d,u-7-1
sw3012B-ms98-a-0006,11.323625,11.903625,parades,I,qy^d,u-7-1
sw3012B-ms98-a-0006,11.903625,12.123625,this,I,qy^d,u-7-1
sw3012B-ms98-a-0006,12.123625,12.643625,weekend,I,qy^d,u-7-1
sw3012B-ms98-a-0006,12.643625,12.863625,in,I,qy^d,u-7-1
sw3012B-ms98-a-0006,13.063625,13.283625,honor,I,qy^d,u-7-1
sw3012B-ms98-a-0006,13.283625,13.363625,of,I,qy^d,u-7-1
sw3012B-ms98-a-0006,13.363625,13.603625,these,I,qy^d,u-7-1
sw3012B-ms98-a-0006,13.603625,14.023625,guys,I,qy^d,u-7-1
sw3012B-ms98-a-0006,14.023625,14.163625,that,I,qy^d,u-7-1
sw3012B-ms98-a-0006,14.163625,14.223625,are,I,qy^d,u-7-1
sw3012B-ms98-a-0006,14.223625,14.313625,that,I,qy^d,u-7-1
sw3012B-ms98-a-0006,14.583625,14.773625,did,I,qy^d,u-7-1
sw3012B-ms98-a-0006,14.773625,15.113625,some,I,qy^d,u-7-1
sw3012B-ms98-a-0006,15.323625,15.683625,stuff,I,qy^d,u-7-1
sw3012B-ms98-a-0006,15.683625,15.823625,over,I,qy^d,u-7-1
sw3012B-ms98-a-0006,15.823625,15.903625,in,I,qy^d,u-7-1
sw3012B-ms98-a-0006,15.903625,15.973625,the,I,qy^d,u-7-1
sw3012B-ms98-a-0006,15.973625,16.370375,Gulf,I,qy^d,u-7-1
sw3012B-ms98-a-0006,16.961750,17.403625,um,I,qy^d,u-7-1
sw3012B-ms98-a-0007,18.603500,18.910500,yeah,B,ny,u-9-1
sw3012B-ms98-a-0007,19.080250,19.193500,uh,I,ny,u-9-1
sw3012B-ms98-a-0007,19.193500,19.393500,no,B,nn,u-11-1
sw3012B-ms98-a-0007,19.393500,19.493500,i,B,sd^t,u-11-2
sw3012B-ms98-a-0007,19.493500,19.703500,haven't,I,sd^t,u-11-2
sw3012B-ms98-a-0007,19.703500,20.013500,pushed,I,sd^t,u-11-2
sw3012B-ms98-a-0007,20.013500,20.227125,one,I,sd^t,u-11-2
sw3012B-ms98-a-0007,20.227125,20.490750,yet,I,sd^t,u-11-2
sw3012B-ms98-a-0007,20.490750,20.703500,i,B,%,u-11-3
sw3012B-ms98-a-0007,20.703500,20.923500,just,I,%,u-11-3
sw3012B-ms98-a-0009,24.003625,24.194125,oh,O,,
sw3012B-ms98-a-0009,24.194125,24.604375,okay,B,b,u-13-1
sw3012B-ms98-a-0009,24.604375,24.734375,we're,B,sd,u-13-2
sw3012B-ms98-a-0009,24.734375,24.934375,just,I,sd,u-13-2
sw3012B-ms98-a-0009,24.934375,25.094375,sort,I,sd,u-13-2
sw3012B-ms98-a-0009,25.094375,25.164375,of,I,sd,u-13-2
sw3012B-ms98-a-0009,25.164375,25.374375,getting,I,sd,u-13-2
sw3012B-ms98-a-0009,25.374375,25.844375,acquainted,I,sd,u-13-2
sw3012B-ms98-a-0009,25.844375,26.104375,here,I,sd,u-13-2
sw3012B-ms98-a-0009,26.104375,26.233875,[laughter],O,,
sw3012B-ms98-a-0010,26.722000,27.262000,um,B,sd,u-15-1
sw3012B-ms98-a-0010,27.502000,27.642000,you,I,sd,u-15-1
sw3012B-ms98-a-0010,27.642000,28.055875,know,I,sd,u-15-1
sw3012B-ms98-a-0010,28.055875,28.394750,i,I,sd,u-15-1
sw3012B-ms98-a-0010,28.394750,28.542000,i,I,sd,u-15-1
sw3012B-ms98-a-0010,28.542000,29.072000,just,I,sd,u-15-1
sw3012B-ms98-a-0010,29.072000,29.282000,wanted,I,sd,u-15-1
sw3012B-ms98-a-0010,29.282000,29.352000,to,I,sd,u-15-1
sw3012B-ms98-a-0010,29.352000,29.722000,see,I,sd,u-15-1
sw3012B-ms98-a-0010,29.722000,29.968750,if,I,sd,u-15-1
sw3012B-ms98-a-0010,30.296500,30.432000,you,I,sd,u-15-1
sw3012B-ms98-a-0010,30.432000,30.572000,know,I,sd,u-15-1
sw3012B-ms98-a-0010,30.572000,30.742000,you,I,sd,u-15-1
sw3012B-ms98-a-0010,30.742000,30.972000,had,I,sd,u-15-1
sw3012B-ms98-a-0010,30.972000,31.042000,an,I,sd,u-15-1
sw3012B-ms98-a-0010,31.042000,31.592000,opinion,I,sd,u-15-1
sw3012B-ms98-a-0010,31.592000,31.952000,about,I,sd,u-15-1
sw3012B-ms98-a-0010,31.952000,32.392000,this,I,sd,u-15-1
