sw3025A-ms98-a-0002,1.733625,2.193625,okay,B,b^m,u-2-1
sw3025A-ms98-a-0002,2.193625,2.435875,i,B,sd,u-2-2
sw3025A-ms98-a-0002,2.435875,2.661500,i,I,sd,u-2-2
sw3025A-ms98-a-0002,2.661500,2.773625,do,I,sd,u-2-2
sw3025A-ms98-a-0002,2.773625,2.813625,a,I,sd,u-2-2
sw3025A-ms98-a-0002,2.813625,3.033625,fair,I,sd,u-2-2
sw3025A-ms98-a-0002,3.033625,3.233625,amount,I,sd,u-2-2
sw3025A-ms98-a-0002,3.233625,3.303625,of,I,sd,u-2-2
sw3025A-ms98-a-0002,3.303625,3.753625,cooking,I,sd,u-2-2
sw3025A-ms98-a-0003,4.606750,5.256750,and,B,sd,u-4-1
sw3025A-ms98-a-0003,5.256750,5.416750,i,I,sd,u-4-1
sw3025A-ms98-a-0003,5.416750,5.786750,love,I,sd,u-4-1
sw3025A-ms98-a-0003,6.346750,6.606750,having,I,sd,u-4-1
sw3025A-ms98-a-0003,6.606750,6.916750,guests,I,sd,u-4-1
sw3025A-ms98-a-0003,6.916750,6.976750,to,I,sd,u-4-1
sw3025A-ms98-a-0003,6.976750,7.386750,dinner,I,sd,u-4-1
sw3025A-ms98-a-0004,8.136375,8.250625,i,B,sd,u-4-2
sw3025A-ms98-a-0004,8.250625,8.579375,probably,I,sd,u-4-2
sw3025A-ms98-a-0004,8.579375,8.739375,do,I,sd,u-4-2
sw3025A-ms98-a-0004,8.739375,8.949375,that,I,sd,u-4-2
sw3025A-ms98-a-0004,8.949375,9.029750,a[t]-,I,sd,u-4-2
sw3025A-ms98-a-0004,9.244500,9.419375,about,I,sd,u-4-2
sw3025A-ms98-a-0004,9.419375,9.639375,once,I,sd,u-4-2
sw3025A-ms98-a-0004,9.639375,9.679375,a,I,sd,u-4-2
sw3025A-ms98-a-0004,9.679375,10.079375,month,I,sd,u-4-2
sw3025A-ms98-a-0005,11.399625,11.949625,and,B,sd,u-4-3
sw3025A-ms98-a-0005,11.949625,12.329625,uh,I,sd,u-4-3
sw3025A-ms98-a-0007,14.176750,14.266750,i,I,sd,u-4-3
sw3025A-ms98-a-0007,14.266750,14.686750,usually,I,sd,u-4-3
sw3025A-ms98-a-0007,14.686750,15.066750,prepare,I,sd,u-4-3
sw3025A-ms98-a-0007,15.066750,15.656750,something,I,sd,u-4-3
sw3025A-ms98-a-0007,15.716750,16.036750,depending,I,sd,u-4-3
sw3025A-ms98-a-0007,16.036750,16.166750,upon,I,sd,u-4-3
sw3025A-ms98-a-0007,16.166750,16.226750,the,I,sd,u-4-3
