sw3057A-ms98-a-0002,0.939750,1.137125,hi,B,fp,u-1-1
sw3057A-ms98-a-0002,1.137125,1.247125,you,B,ad,u-1-2
sw3057A-ms98-a-0002,1.247125,1.417125,want,I,ad,u-1-2
sw3057A-ms98-a-0002,1.417125,1.477125,to,I,ad,u-1-2
sw3057A-ms98-a-0002,1.477125,1.797125,start,I,ad,u-1-2
sw3057A-ms98-a-0002,1.797125,2.379875,first,I,ad,u-1-2
sw3057A-ms98-a-0003,2.893125,3.636250,[laughter],O,,
sw3057A-ms98-a-0004,4.398625,4.886500,right,B,b,u-3-1
sw3057A-ms98-a-0006,8.340500,8.761125,uh-huh,B,b,u-5-1
sw3057A-ms98-a-0008,10.919000,11.128750,you,B,qy^d,u-7-1
sw3057A-ms98-a-0008,11.128750,11.578750,apparently,I,qy^d,u-7-1
sw3057A-ms98-a-0008,11.578750,11.798750,have,I,qy^d,u-7-1
sw3057A-ms98-a-0008,11.798750,12.268750,somebody,I,qy^d,u-7-1
sw3057A-ms98-a-0008,12.268750,12.628125,there,I,qy^d,u-7-1
sw3057A-ms98-a-0008,12.792375,12.938750,in,I,qy^d,u-7-1
sw3057A-ms98-a-0008,12.938750,13.148750,one,I,qy^d,u-7-1
sw3057A-ms98-a-0010,16.943500,17.103500,oh,B,qy,u-9-1
sw3057A-ms98-a-0010,17.103500,17.272000,you're,I,qy,u-9-1
sw3057A-ms98-a-0010,17.272000,17.863500,kidding,I,qy,u-9-1
sw3057A-ms98-a-0011,18.872625,19.179000,oh,B,b,u-11-1
sw3057A-ms98-a-0013,22.293750,22.646125,uh-huh,B,b,u-13-1
sw3057A-ms98-a-0014,23.092750,23.163875,i,B,ba,u-15-1
sw3057A-ms98-a-0014,23.163875,23.273875,will,I,ba,u-15-1
sw3057A-ms98-a-0014,23.273875,23.394000,be,I,ba,u-15-1
sw3057A-ms98-a-0014,23.394000,23.702250,darned,I,ba,u-15-1
sw3057A-ms98-a-0016,27.706500,28.066500,uh-huh,B,b,u-17-1
sw3057A-ms98-a-0018,32.972125,33.112125,oh,B,ba,u-19-1
sw3057A-ms98-a-0018,33.112125,33.312125,for,I,ba,u-19-1
sw3057A-ms98-a-0018,33.312125,33.668875,heaven's,I,ba,u-19-1
sw3057A-ms98-a-0018,33.785250,33.942750,sake,I,ba,u-19-1
sw3057A-ms98-a-0019,34.735250,34.843500,you,B,sv,u-21-1
sw3057A-ms98-a-0019,34.843500,34.997875,are,I,sv,u-21-1
sw3057A-ms98-a-0019,34.997875,35.330125,very,I,sv,u-21-1
sw3057A-ms98-a-0019,35.330125,35.533500,very,I,sv,u-21-1
sw3057A-ms98-a-0019,35.533500,35.783500,much,I,sv,u-21-1
sw3057A-ms98-a-0019,35.783500,36.133500,aware,I,sv,u-21-1
sw3057A-ms98-a-0019,36.133500,36.253500,of,I,sv,u-21-1
sw3057A-ms98-a-0019,36.253500,36.463500,what,I,sv,u-21-1
sw3057A-ms98-a-0019,36.463500,36.683500,goes,I,sv,u-21-1
sw3057A-ms98-a-0019,36.683500,36.943500,on,I,sv,u-21-1
sw3057A-ms98-a-0019,36.943500,37.763500,[laughter],O,,
