sw3077A-ms98-a-0003,16.927000,17.598625,okay,B,b,u-2-1
sw3077A-ms98-a-0004,19.180000,19.680000,oh,B,na,u-4-1
sw3077A-ms98-a-0004,19.680000,19.882125,i,I,na,u-4-1
sw3077A-ms98-a-0004,19.882125,20.170000,guess,I,na,u-4-1
sw3077A-ms98-a-0004,20.170000,20.531250,so,I,na,u-4-1
sw3077A-ms98-a-0004,20.866500,21.020000,go,B,sd,u-4-2
sw3077A-ms98-a-0004,21.020000,21.200000,by,I,sd,u-4-2
sw3077A-ms98-a-0004,21.200000,21.662125,ear,I,sd,u-4-2
sw3077A-ms98-a-0005,23.410750,23.819750,okay,B,aa,u-6-1
sw3077A-ms98-a-0007,37.040750,37.494000,right,B,b,u-8-1
sw3077A-ms98-a-0009,47.073375,47.295625,oh,B,b,u-10-1
sw3077A-ms98-a-0009,47.295625,47.611750,wow,I,b,u-10-1
sw3077A-ms98-a-0010,48.565375,49.894250,[laughter],O,,
sw3077A-ms98-a-0011,51.273625,51.562125,uh,B,sd,u-14-1
sw3077A-ms98-a-0011,51.562125,51.662125,we,I,sd,u-14-1
sw3077A-ms98-a-0011,51.662125,51.842125,have,I,sd,u-14-1
sw3077A-ms98-a-0011,51.842125,51.952125,a,I,sd,u-14-1
sw3077A-ms98-a-0011,51.952125,52.162125,six,I,sd,u-14-1
sw3077A-ms98-a-0011,52.162125,52.572125,percent,I,sd,u-14-1
sw3077A-ms98-a-0011,52.572125,52.852125,sales,B,+,u-16-1
sw3077A-ms98-a-0011,52.852125,53.242125,tax,I,+,u-16-1
sw3077A-ms98-a-0013,55.108750,55.535250,yes,B,ny,u-18-1
sw3077A-ms98-a-0015,77.305750,77.707250,uh-huh,B,b,u-20-1
sw3077A-ms98-a-0017,82.962250,83.080375,i,B,sd,u-22-1
sw3077A-ms98-a-0017,83.080375,83.292250,don't,I,sd,u-22-1
sw3077A-ms98-a-0017,83.292250,83.562250,mind,I,sd,u-22-1
sw3077A-ms98-a-0017,83.562250,83.734125,my,I,sd,u-22-1
sw3077A-ms98-a-0017,83.734125,84.282250,taxes,I,sd,u-22-1
sw3077A-ms98-a-0017,84.282250,84.442250,as,I,sd,u-22-1
