sw3138A-ms98-a-0003,3.645125,4.055125,alright,B,aa,u-2-1
sw3138A-ms98-a-0004,5.628375,6.518375,sometimes,B,na,u-4-1
sw3138A-ms98-a-0004,6.578375,6.808375,not,B,+,u-6-1
sw3138A-ms98-a-0004,6.808375,6.938375,all,I,+,u-6-1
sw3138A-ms98-a-0004,6.938375,7.018375,the,I,+,u-6-1
sw3138A-ms98-a-0004,7.108375,7.488375,[laughter-time],O,,
sw3138A-ms98-a-0004,7.488375,9.158375,[laughter],O,,
sw3138A-ms98-a-0006,13.333875,13.783875,right,B,b,u-8-1
sw3138A-ms98-a-0008,17.106875,17.366875,yeah,B,aa,u-10-1
sw3138A-ms98-a-0008,17.366875,17.686875,that,B,sd,u-10-2
sw3138A-ms98-a-0008,17.686875,17.916875,that's,I,sd,u-10-2
sw3138A-ms98-a-0008,17.916875,18.196875,about,I,sd,u-10-2
sw3138A-ms98-a-0008,18.196875,18.286875,the,I,sd,u-10-2
sw3138A-ms98-a-0008,18.356875,18.566875,same,I,sd,u-10-2
sw3138A-ms98-a-0008,18.566875,18.766875,boat,I,sd,u-10-2
sw3138A-ms98-a-0008,18.766875,18.986875,i'm,I,sd,u-10-2
sw3138A-ms98-a-0008,18.986875,19.146875,in,I,sd,u-10-2
sw3138A-ms98-a-0008,19.146875,19.586875,too,I,sd,u-10-2
sw3138A-ms98-a-0010,21.654375,22.134375,yeah,B,b,u-12-1
sw3138A-ms98-a-0012,24.702000,24.762000,uh,B,sd,u-14-1
sw3138A-ms98-a-0012,24.762000,25.332000,five,I,sd,u-14-1
sw3138A-ms98-a-0014,30.355250,30.725250,oh,B,sd,u-16-1
sw3138A-ms98-a-0014,31.405250,31.535250,yeah,I,sd,u-16-1
sw3138A-ms98-a-0014,31.535250,31.725250,well,I,sd,u-16-1
sw3138A-ms98-a-0014,31.725250,31.885250,i'll,I,sd,u-16-1
sw3138A-ms98-a-0014,31.885250,32.045250,be,I,sd,u-16-1
sw3138A-ms98-a-0014,32.045250,32.345250,hitting,I,sd,u-16-1
sw3138A-ms98-a-0014,32.345250,32.695250,that,I,sd,u-16-1
sw3138A-ms98-a-0014,32.985250,33.295250,fairly,I,sd,u-16-1
sw3138A-ms98-a-0014,33.295250,33.485250,soon,I,sd,u-16-1
sw3138A-ms98-a-0014,33.485250,33.655250,because,I,sd,u-16-1
sw3138A-ms98-a-0014,33.655250,33.825250,all,I,sd,u-16-1
sw3138A-ms98-a-0014,33.825250,33.895250,of,I,sd,u-16-1
sw3138A-ms98-a-0014,33.895250,34.135250,mine,I,sd,u-16-1
sw3138A-ms98-a-0014,34.135250,34.215250,are,I,sd,u-16-1
sw3138A-ms98-a-0014,34.215250,34.665250,boys,I,sd,u-16-1
sw3138A-ms98-a-0014,34.665250,35.045250,too,I,sd,u-16-1
sw3138A-ms98-a-0014,35.045250,35.325250,so,B,%,u-16-2
sw3138A-ms98-a-0015,36.186750,36.426750,and,B,sd,u-18-1
sw3138A-ms98-a-0015,36.426750,36.516750,they,I,sd,u-18-1
sw3138A-ms98-a-0015,36.516750,36.776750,get,I,sd,u-18-1
sw3138A-ms98-a-0015,37.076750,37.456750,pretty,I,sd,u-18-1
sw3138A-ms98-a-0015,37.836750,38.566750,particular,I,sd,u-18-1
sw3138A-ms98-a-0015,38.566750,39.276750,sometimes,I,sd,u-18-1
sw3138A-ms98-a-0015,39.276750,39.376750,in,I,sd,u-18-1
sw3138A-ms98-a-0015,39.376750,39.516750,what,B,+,u-20-1
sw3138A-ms98-a-0015,39.556750,39.636750,they,I,+,u-20-1
sw3138A-ms98-a-0015,39.636750,39.846750,want,I,+,u-20-1
sw3138A-ms98-a-0015,39.846750,39.916750,to,I,+,u-20-1
sw3138A-ms98-a-0015,39.916750,40.496750,have,I,+,u-20-1
sw3138A-ms98-a-0017,42.709750,42.859750,uh,O,,
sw3138A-ms98-a-0019,47.460625,47.640625,oh,B,aa,u-26-1
sw3138A-ms98-a-0019,47.640625,47.880625,yeah,I,aa,u-26-1
sw3138A-ms98-a-0019,47.880625,48.000625,well,B,sd,u-26-2
sw3138A-ms98-a-0019,48.000625,48.220625,see,I,sd,u-26-2
sw3138A-ms98-a-0019,48.220625,48.320625,i,I,sd,u-26-2
