sw3140A-ms98-a-0002,3.826250,4.164875,hello,B,fp,u-1-1
sw3140A-ms98-a-0004,8.088875,8.355000,hi,B,fp,u-3-1
sw3140A-ms98-a-0004,8.355000,8.695500,Nola,I,fp,u-3-1
sw3140A-ms98-a-0004,8.804625,8.935000,i'm,B,fp,u-3-2
sw3140A-ms98-a-0004,8.935000,9.547000,Steve,I,fp,u-3-2
sw3140A-ms98-a-0004,9.547000,9.695000,i'm,B,fp,u-3-3
sw3140A-ms98-a-0004,9.695000,9.825000,in,I,fp,u-3-3
sw3140A-ms98-a-0004,9.825000,10.175000,Dallas,I,fp,u-3-3
sw3140A-ms98-a-0004,10.175000,10.679125,Texas,I,fp,u-3-3
sw3140A-ms98-a-0006,12.332000,12.645375,no,B,aa,u-5-1
sw3140A-ms98-a-0006,12.645375,12.825375,that's,B,sv,u-5-2
sw3140A-ms98-a-0006,12.825375,13.335375,unusual,I,sv,u-5-2
sw3140A-ms98-a-0006,13.335375,13.575375,seems,B,sv^t,u-7-1
sw3140A-ms98-a-0006,13.575375,13.788000,like,I,sv^t,u-7-1
sw3140A-ms98-a-0006,14.036625,14.436250,usually,I,sv^t,u-7-1
sw3140A-ms98-a-0008,16.211000,16.386875,oh,B,b,u-9-1
sw3140A-ms98-a-0008,16.386875,16.805375,yeah,I,b,u-9-1
sw3140A-ms98-a-0008,17.413875,17.470375,i,B,sd^t,u-9-2
sw3140A-ms98-a-0008,17.470375,17.519375,think,I,sd^t,u-9-2
sw3140A-ms98-a-0008,17.519375,17.636875,all,I,sd^t,u-9-2
sw3140A-ms98-a-0008,17.636875,17.786875,mine,I,sd^t,u-9-2
sw3140A-ms98-a-0008,17.786875,17.876875,have,I,sd^t,u-9-2
sw3140A-ms98-a-0008,17.876875,17.986875,been,I,sd^t,u-9-2
sw3140A-ms98-a-0008,17.986875,18.226875,East,I,sd^t,u-9-2
sw3140A-ms98-a-0008,18.226875,18.536875,Coast,I,sd^t,u-9-2
sw3140A-ms98-a-0008,18.536875,18.806875,people,I,sd^t,u-9-2
sw3140A-ms98-a-0008,18.806875,18.986875,so,I,sd^t,u-9-2
sw3140A-ms98-a-0008,18.986875,19.398000,far,I,sd^t,u-9-2
sw3140A-ms98-a-0010,21.301000,21.688500,so,B,%,u-11-1
sw3140A-ms98-a-0012,23.684250,24.134250,social,B,sd^t,u-13-1
sw3140A-ms98-a-0012,24.134250,24.774250,changes,I,sd^t,u-13-1
sw3140A-ms98-a-0013,25.694000,25.982125,what's,B,qw,u-15-1
sw3140A-ms98-a-0013,25.982125,26.182125,that,I,qw,u-15-1
sw3140A-ms98-a-0013,26.182125,26.531250,mean,I,qw,u-15-1
sw3140A-ms98-a-0015,36.242875,36.679000,yeah,B,b,u-17-1
sw3140A-ms98-a-0017,39.323000,39.784875,yeah,B,b,u-19-1
sw3140A-ms98-a-0017,39.988250,40.192000,i,O,,
sw3140A-ms98-a-0017,40.192000,40.452000,yeah,B,b,u-21-1
sw3140A-ms98-a-0017,40.452000,40.582000,i,B,%,u-21-2
sw3140A-ms98-a-0017,40.582000,41.002000,definitely,I,%,u-21-2
sw3140A-ms98-a-0017,41.002000,41.032000,i,B,sv,u-21-3
sw3140A-ms98-a-0017,41.032000,41.122000,mean,I,sv,u-21-3
sw3140A-ms98-a-0017,41.122000,41.252000,there's,I,sv,u-21-3
sw3140A-ms98-a-0017,41.252000,41.532000,plenty,I,sv,u-21-3
sw3140A-ms98-a-0017,41.532000,41.592000,of,I,sv,u-21-3
sw3140A-ms98-a-0017,41.592000,41.712000,things,I,sv,u-21-3
sw3140A-ms98-a-0017,41.712000,41.772000,to,I,sv,u-21-3
sw3140A-ms98-a-0017,41.772000,41.922000,talk,I,sv,u-21-3
sw3140A-ms98-a-0017,41.922000,42.092000,about,I,sv,u-21-3
sw3140A-ms98-a-0017,42.092000,42.368500,there,I,sv,u-21-3
sw3140A-ms98-a-0017,42.560625,42.802000,that's,B,%,u-21-4
sw3140A-ms98-a-0017,42.802000,42.916125,a,I,%,u-21-4
sw3140A-ms98-a-0019,46.969250,47.270375,yeah,B,ny,u-23-1
sw3140A-ms98-a-0019,47.270375,47.535000,sure,B,na,u-23-2
sw3140A-ms98-a-0021,52.228250,52.528250,uh,B,sd^t,u-25-1
sw3140A-ms98-a-0021,52.528250,52.558250,i,I,sd^t,u-25-1
sw3140A-ms98-a-0021,52.558250,52.678250,was,I,sd^t,u-25-1
sw3140A-ms98-a-0021,52.678250,52.968250,hoping,I,sd^t,u-25-1
