sw3152B-ms98-a-0003,16.623000,16.993000,well,B,%,u-2-1
sw3152B-ms98-a-0005,20.955750,21.451375,oh,B,sd,u-4-1
sw3152B-ms98-a-0005,21.952375,22.038375,well,I,sd,u-4-1
sw3152B-ms98-a-0005,22.038375,22.238375,my,I,sd,u-4-1
sw3152B-ms98-a-0005,22.238375,22.866125,favorite,I,sd,u-4-1
sw3152B-ms98-a-0005,23.611875,24.068375,well,I,sd,u-4-1
sw3152B-ms98-a-0005,24.068375,24.178375,i,B,sd,u-4-2
sw3152B-ms98-a-0005,24.178375,24.208375,i,I,sd,u-4-2
sw3152B-ms98-a-0005,24.208375,24.328375,don't,I,sd,u-4-2
sw3152B-ms98-a-0005,24.328375,24.538375,really,I,sd,u-4-2
sw3152B-ms98-a-0005,24.538375,24.768375,have,I,sd,u-4-2
sw3152B-ms98-a-0005,24.768375,24.838375,a,I,sd,u-4-2
sw3152B-ms98-a-0005,24.838375,25.208375,favorite,I,sd,u-4-2
sw3152B-ms98-a-0005,25.208375,25.505375,i,B,sd,u-4-3
sw3152B-ms98-a-0005,25.505375,25.697500,i,I,sd,u-4-3
sw3152B-ms98-a-0005,25.697500,25.968375,like,I,sd,u-4-3
sw3152B-ms98-a-0005,25.968375,26.518375,everything,I,sd,u-4-3
sw3152B-ms98-a-0005,26.518375,27.191375,basically,I,sd,u-4-3
sw3152B-ms98-a-0005,27.876875,28.354500,um,B,sd,u-4-4
sw3152B-ms98-a-0006,29.598625,29.732375,i,I,sd,u-4-4
sw3152B-ms98-a-0006,29.732375,30.082375,guess,I,sd,u-4-4
sw3152B-ms98-a-0006,30.082375,30.172375,if,I,sd,u-4-4
sw3152B-ms98-a-0006,30.172375,30.262375,i,I,sd,u-4-4
sw3152B-ms98-a-0006,30.262375,30.452375,had,I,sd,u-4-4
sw3152B-ms98-a-0006,30.452375,30.552375,to,I,sd,u-4-4
sw3152B-ms98-a-0006,30.552375,30.892375,pick,I,sd,u-4-4
sw3152B-ms98-a-0006,30.892375,30.972375,it,I,sd,u-4-4
sw3152B-ms98-a-0006,30.972375,31.102375,would,I,sd,u-4-4
sw3152B-ms98-a-0006,31.102375,31.322375,be,I,sd,u-4-4
sw3152B-ms98-a-0006,31.322375,31.428875,l[ike]-,I,sd,u-4-4
sw3152B-ms98-a-0007,32.518250,32.733125,like,I,sd,u-4-4
sw3152B-ms98-a-0007,32.733125,33.359250,pop,I,sd,u-4-4
sw3152B-ms98-a-0007,33.724625,33.803125,i,I,sd,u-4-4
sw3152B-ms98-a-0007,33.803125,33.953125,would,I,sd,u-4-4
sw3152B-ms98-a-0007,33.953125,34.412000,think,I,sd,u-4-4
sw3152B-ms98-a-0008,35.437500,35.530500,but,B,sd,u-4-5
sw3152B-ms98-a-0008,35.530500,35.600500,i,I,sd,u-4-5
sw3152B-ms98-a-0008,35.600500,35.870500,like,I,sd,u-4-5
sw3152B-ms98-a-0008,35.870500,36.460500,everything,I,sd,u-4-5
sw3152B-ms98-a-0008,36.460500,36.859625,so,B,sd,u-4-6
sw3152B-ms98-a-0008,37.002750,37.180500,it's,I,sd,u-4-6
sw3152B-ms98-a-0008,37.180500,37.370500,kind,I,sd,u-4-6
sw3152B-ms98-a-0008,37.370500,37.430500,of,I,sd,u-4-6
sw3152B-ms98-a-0008,37.430500,37.630500,hard,I,sd,u-4-6
sw3152B-ms98-a-0008,37.630500,37.720500,to,I,sd,u-4-6
sw3152B-ms98-a-0008,37.720500,38.050500,choose,I,sd,u-4-6
sw3152B-ms98-a-0008,38.050500,38.683000,sometimes,I,sd,u-4-6
sw3152B-ms98-a-0010,62.119750,62.562000,um-hum,B,b,u-6-1
sw3152B-ms98-a-0012,72.322750,72.886500,yeah,B,b,u-8-1
sw3152B-ms98-a-0014,75.029875,75.174000,i,B,sd,u-10-1
sw3152B-ms98-a-0014,75.174000,75.404000,grew,I,sd,u-10-1
sw3152B-ms98-a-0014,75.404000,75.544000,up,I,sd,u-10-1
sw3152B-ms98-a-0014,75.544000,75.874000,next,I,sd,u-10-1
sw3152B-ms98-a-0014,75.874000,76.134000,door,I,sd,u-10-1
sw3152B-ms98-a-0014,76.134000,76.354000,to,I,sd,u-10-1
sw3152B-ms98-a-0014,76.354000,76.760000,uh,I,sd,u-10-1
sw3152B-ms98-a-0014,77.238375,77.354000,the,I,sd,u-10-1
sw3152B-ms98-a-0014,77.354000,77.944000,Richardson,I,sd,u-10-1
sw3152B-ms98-a-0014,77.944000,78.384000,Symphony,I,sd,u-10-1
sw3152B-ms98-a-0014,78.384000,78.874000,Orchestra,I,sd,u-10-1
sw3152B-ms98-a-0014,78.874000,79.244000,leader,I,sd,u-10-1
sw3152B-ms98-a-0014,79.244000,79.795875,so,B,%,u-10-2
sw3152B-ms98-a-0015,81.300500,82.000625,yeah,B,aa,u-12-1
sw3152B-ms98-a-0017,83.941125,84.211125,so,B,sd,u-14-1
sw3152B-ms98-a-0017,84.211125,84.381125,we,I,sd,u-14-1
sw3152B-ms98-a-0017,84.381125,84.741125,used,I,sd,u-14-1
sw3152B-ms98-a-0017,84.741125,85.041125,to,I,sd,u-14-1
sw3152B-ms98-a-0017,85.041125,85.231125,go,I,sd,u-14-1
sw3152B-ms98-a-0017,85.231125,85.351125,and,I,sd,u-14-1
sw3152B-ms98-a-0017,85.351125,85.651125,listen,I,sd,u-14-1
sw3152B-ms98-a-0017,85.651125,85.771125,to,I,sd,u-14-1
sw3152B-ms98-a-0017,85.771125,86.001125,them,I,sd,u-14-1
sw3152B-ms98-a-0017,86.001125,86.161125,all,I,sd,u-14-1
sw3152B-ms98-a-0017,86.161125,86.231125,the,I,sd,u-14-1
sw3152B-ms98-a-0017,86.231125,86.721125,time,I,sd,u-14-1
sw3152B-ms98-a-0017,86.721125,86.998375,and,B,sd,u-14-2
sw3152B-ms98-a-0017,87.461625,87.581125,my,I,sd,u-14-2
sw3152B-ms98-a-0017,87.581125,88.011125,parents,I,sd,u-14-2
sw3152B-ms98-a-0017,88.011125,88.282250,still,I,sd,u-14-2
sw3152B-ms98-a-0017,88.282250,88.618750,do,I,sd,u-14-2
sw3152B-ms98-a-0018,89.260750,89.713750,so,B,sd,u-16-1
sw3152B-ms98-a-0018,90.138625,90.281125,i,I,sd,u-16-1
sw3152B-ms98-a-0018,90.281125,90.481125,grew,I,sd,u-16-1
sw3152B-ms98-a-0018,90.481125,90.631125,up,I,sd,u-16-1
sw3152B-ms98-a-0018,90.631125,90.821125,with,I,sd,u-16-1
sw3152B-ms98-a-0018,90.821125,90.881125,a,I,sd,u-16-1
sw3152B-ms98-a-0018,90.881125,91.041125,lot,I,sd,u-16-1
sw3152B-ms98-a-0018,91.041125,91.121125,of,I,sd,u-16-1
sw3152B-ms98-a-0018,91.121125,91.361125,his,I,sd,u-16-1
sw3152B-ms98-a-0018,91.361125,91.901125,music,I,sd,u-16-1
sw3152B-ms98-a-0018,91.901125,92.231125,and,I,sd,u-16-1
sw3152B-ms98-a-0018,92.231125,92.481125,and,I,sd,u-16-1
sw3152B-ms98-a-0018,92.481125,92.651125,what,I,sd,u-16-1
sw3152B-ms98-a-0018,92.651125,92.995625,not,I,sd,u-16-1
sw3152B-ms98-a-0019,93.846000,94.061375,plus,B,sd,u-16-2
sw3152B-ms98-a-0019,94.061375,94.181375,my,I,sd,u-16-2
sw3152B-ms98-a-0019,94.181375,94.571375,parents,I,sd,u-16-2
sw3152B-ms98-a-0019,94.571375,94.831375,are,I,sd,u-16-2
sw3152B-ms98-a-0019,94.831375,94.991375,well,I,sd,u-16-2
sw3152B-ms98-a-0019,94.991375,95.491375,especially,B,sd,u-16-3
sw3152B-ms98-a-0019,95.491375,95.601375,my,I,sd,u-16-3
sw3152B-ms98-a-0019,95.601375,96.019625,dad,I,sd,u-16-3
sw3152B-ms98-a-0019,96.520625,96.811375,likes,I,sd,u-16-3
sw3152B-ms98-a-0019,96.811375,96.851375,a,I,sd,u-16-3
sw3152B-ms98-a-0019,96.851375,97.011375,lot,I,sd,u-16-3
sw3152B-ms98-a-0019,97.011375,97.091375,of,I,sd,u-16-3
sw3152B-ms98-a-0019,97.091375,97.591375,classical,I,sd,u-16-3
sw3152B-ms98-a-0019,97.591375,97.971375,music,I,sd,u-16-3
sw3152B-ms98-a-0019,97.971375,98.081375,and,B,sd,u-16-4
sw3152B-ms98-a-0019,98.081375,98.211375,he,I,sd,u-16-4
sw3152B-ms98-a-0019,98.211375,98.731375,introduced,I,sd,u-16-4
sw3152B-ms98-a-0019,98.731375,98.831375,my,I,sd,u-16-4
sw3152B-ms98-a-0019,98.831375,99.061375,brother,I,sd,u-16-4
sw3152B-ms98-a-0019,99.061375,99.191375,and,I,sd,u-16-4
sw3152B-ms98-a-0019,99.191375,99.261375,i,I,sd,u-16-4
sw3152B-ms98-a-0019,99.261375,99.681375,both,I,sd,u-16-4
sw3152B-ms98-a-0019,99.681375,99.861375,to,I,sd,u-16-4
sw3152B-ms98-a-0019,99.861375,99.901375,a,I,sd,u-16-4
sw3152B-ms98-a-0019,99.901375,100.101375,lot,I,sd,u-16-4
sw3152B-ms98-a-0019,100.101375,100.221375,of,I,sd,u-16-4
sw3152B-ms98-a-0019,100.221375,100.384125,it,I,sd,u-16-4
sw3152B-ms98-a-0020,101.857250,102.298625,so,B,%,u-16-5
sw3152B-ms98-a-0022,104.700500,105.353750,[laughter],O,,
