sw3175B-ms98-a-0001,0.007750,0.406500,-[h]ello,O,,
sw3175B-ms98-a-0003,49.433375,49.744750,well,B,sv,u-3-1
sw3175B-ms98-a-0003,49.744750,49.834750,i,I,sv,u-3-1
sw3175B-ms98-a-0003,49.834750,50.054750,think,I,sv,u-3-1
sw3175B-ms98-a-0003,50.054750,50.154750,our,I,sv,u-3-1
sw3175B-ms98-a-0003,50.154750,50.464750,tastes,I,sv,u-3-1
sw3175B-ms98-a-0003,50.464750,50.595000,are,I,sv,u-3-1
sw3175B-ms98-a-0003,50.802125,51.074750,fairly,I,sv,u-3-1
sw3175B-ms98-a-0003,51.074750,51.481500,sim[ilar]-,I,sv,u-3-1
sw3175B-ms98-a-0003,51.481500,52.004750,similar,I,sv,u-3-1
sw3175B-ms98-a-0003,52.004750,52.294750,although,B,sd,u-3-2
sw3175B-ms98-a-0003,52.294750,52.404750,i'm,I,sd,u-3-2
sw3175B-ms98-a-0003,52.404750,52.454750,i,I,sd,u-3-2
sw3175B-ms98-a-0003,52.454750,52.844750,government,I,sd,u-3-2
sw3175B-ms98-a-0003,52.844750,53.174750,worker,I,sd,u-3-2
sw3175B-ms98-a-0003,53.174750,53.234750,i,I,sd,u-3-2
sw3175B-ms98-a-0003,53.234750,53.524750,do,I,sd,u-3-2
sw3175B-ms98-a-0003,53.524750,53.854750,tend,I,sd,u-3-2
sw3175B-ms98-a-0003,53.854750,54.113375,to,I,sd,u-3-2
sw3175B-ms98-a-0003,54.481750,54.677625,i'm,B,sd,u-3-3
sw3175B-ms98-a-0003,54.677625,55.362875,um,I,sd,u-3-3
sw3175B-ms98-a-0003,55.362875,55.514750,a,I,sd,u-3-3
sw3175B-ms98-a-0003,55.514750,56.266125,scientist,I,sd,u-3-3
sw3175B-ms98-a-0004,56.806625,57.013000,so,B,%,u-5-1
sw3175B-ms98-a-0004,57.013000,57.253000,that,I,%,u-5-1
sw3175B-ms98-a-0004,57.253000,57.803000,technically,I,%,u-5-1
sw3175B-ms98-a-0004,57.803000,57.936125,i,B,sd,u-5-2
sw3175B-ms98-a-0004,57.936125,58.515375,suppose,I,sd,u-5-2
sw3175B-ms98-a-0004,58.843000,58.933000,i,I,sd,u-5-2
sw3175B-ms98-a-0004,58.933000,59.113000,could,I,sd,u-5-2
sw3175B-ms98-a-0004,59.113000,59.253000,get,I,sd,u-5-2
sw3175B-ms98-a-0004,59.253000,59.643000,away,I,sd,u-5-2
sw3175B-ms98-a-0004,59.643000,60.110125,with,I,sd,u-5-2
sw3175B-ms98-a-0004,60.110125,60.400500,with,I,sd,u-5-2
sw3175B-ms98-a-0004,60.694250,61.183000,extremely,I,sd,u-5-2
sw3175B-ms98-a-0004,61.183000,61.663000,casual,I,sd,u-5-2
sw3175B-ms98-a-0004,61.663000,62.113000,clothes,I,sd,u-5-2
sw3175B-ms98-a-0004,62.113000,62.345875,but,B,sd,u-5-3
sw3175B-ms98-a-0004,62.794125,62.893000,for,I,sd,u-5-3
sw3175B-ms98-a-0004,62.893000,62.953000,the,I,sd,u-5-3
sw3175B-ms98-a-0004,62.953000,63.233000,most,I,sd,u-5-3
sw3175B-ms98-a-0004,63.233000,63.666625,[port/part],I,sd,u-5-3
sw3175B-ms98-a-0004,63.666625,63.923000,part,I,sd,u-5-3
sw3175B-ms98-a-0004,63.923000,63.993000,i,I,sd,u-5-3
sw3175B-ms98-a-0004,63.993000,64.473000,don't,I,sd,u-5-3
sw3175B-ms98-a-0004,64.473000,64.631375,i,B,sd,u-5-4
sw3175B-ms98-a-0004,64.631375,64.924125,wear,I,sd,u-5-4
sw3175B-ms98-a-0004,65.319625,65.713000,fairly,I,sd,u-5-4
sw3175B-ms98-a-0004,65.713000,66.353000,respectable,I,sd,u-5-4
sw3175B-ms98-a-0004,66.353000,66.858625,looking,I,sd,u-5-4
sw3175B-ms98-a-0004,66.858625,67.333000,shoes,I,sd,u-5-4
sw3175B-ms98-a-0004,67.333000,67.596750,and,B,sd,u-5-5
sw3175B-ms98-a-0005,68.182375,68.563250,and,B,+,u-7-1
sw3175B-ms98-a-0005,68.563250,68.802750,a,I,+,u-7-1
sw3175B-ms98-a-0005,68.998625,69.496500,pantsuit,I,+,u-7-1
sw3175B-ms98-a-0005,69.496500,69.636500,of,I,+,u-7-1
sw3175B-ms98-a-0005,69.636500,69.726500,s[ort]-,I,+,u-7-1
sw3175B-ms98-a-0005,69.726500,69.966500,one,I,+,u-7-1
sw3175B-ms98-a-0005,69.966500,70.196500,sort,I,+,u-7-1
sw3175B-ms98-a-0005,70.196500,70.306500,or,I,+,u-7-1
sw3175B-ms98-a-0005,70.306500,70.784000,another,I,+,u-7-1
sw3175B-ms98-a-0006,71.549125,72.102000,and,B,sd,u-7-2
sw3175B-ms98-a-0006,72.102000,72.501250,um,I,sd,u-7-2
sw3175B-ms98-a-0007,73.388125,73.474250,i,I,sd,u-7-2
sw3175B-ms98-a-0007,73.474250,73.827750,guess,I,sd,u-7-2
sw3175B-ms98-a-0007,74.332500,74.594250,dress,I,sd,u-7-2
sw3175B-ms98-a-0007,74.594250,74.694250,it,I,sd,u-7-2
sw3175B-ms98-a-0007,74.694250,74.884250,up,I,sd,u-7-2
sw3175B-ms98-a-0007,74.884250,75.034250,with,I,sd,u-7-2
sw3175B-ms98-a-0007,75.034250,75.423125,a,I,sd,u-7-2
sw3175B-ms98-a-0007,75.423125,75.604250,with,I,sd,u-7-2
sw3175B-ms98-a-0007,75.604250,75.902625,a,I,sd,u-7-2
sw3175B-ms98-a-0007,75.902625,76.136125,a,I,sd,u-7-2
sw3175B-ms98-a-0007,76.136125,76.364250,very,I,sd,u-7-2
sw3175B-ms98-a-0007,76.364250,76.714250,nice,I,sd,u-7-2
sw3175B-ms98-a-0007,76.714250,77.004250,black,I,sd,u-7-2
sw3175B-ms98-a-0007,77.004250,77.434250,jacket,I,sd,u-7-2
sw3175B-ms98-a-0007,77.434250,77.614250,when,I,sd,u-7-2
sw3175B-ms98-a-0007,77.614250,77.734250,i,I,sd,u-7-2
sw3175B-ms98-a-0007,77.734250,77.937750,have,I,sd,u-7-2
sw3175B-ms98-a-0007,77.937750,78.296750,so[me]-,I,sd,u-7-2
sw3175B-ms98-a-0007,78.296750,78.544250,have,I,sd,u-7-2
sw3175B-ms98-a-0007,78.544250,79.144250,visitors,I,sd,u-7-2
sw3175B-ms98-a-0007,79.144250,79.414250,or,I,sd,u-7-2
sw3175B-ms98-a-0007,79.414250,79.614250,have,I,sd,u-7-2
sw3175B-ms98-a-0007,79.614250,79.694250,to,I,sd,u-7-2
sw3175B-ms98-a-0007,79.694250,79.874250,give,I,sd,u-7-2
sw3175B-ms98-a-0007,79.874250,80.534125,talks,I,sd,u-7-2
sw3175B-ms98-a-0009,82.241375,82.719625,right,B,b,u-9-1
sw3175B-ms98-a-0011,86.527875,88.871250,[laughter],O,,
sw3175B-ms98-a-0011,88.871250,89.141250,no,B,nn,u-11-1
sw3175B-ms98-a-0011,89.141250,89.841250,actually,B,sd^e,u-11-2
