sw3215B-ms98-a-0003,3.905125,4.678000,no,B,aa,u-2-1
sw3215B-ms98-a-0005,20.851875,21.067500,i'm,B,sd,u-4-1
sw3215B-ms98-a-0005,21.067500,21.267500,from,I,sd,u-4-1
sw3215B-ms98-a-0005,21.267500,21.687500,Plano,I,sd,u-4-1
sw3215B-ms98-a-0005,21.687500,22.518000,also,I,sd,u-4-1
sw3215B-ms98-a-0006,23.704000,23.962000,that's,B,aa,u-6-1
sw3215B-ms98-a-0006,23.962000,24.467500,right,I,aa,u-6-1
sw3215B-ms98-a-0008,31.737625,32.216500,right,B,b,u-8-1
sw3215B-ms98-a-0010,35.345875,35.477000,i,B,sd,u-10-1
sw3215B-ms98-a-0010,35.477000,35.707000,just,I,sd,u-10-1
sw3215B-ms98-a-0010,35.707000,35.887000,got,I,sd,u-10-1
sw3215B-ms98-a-0010,35.887000,36.117000,back,I,sd,u-10-1
sw3215B-ms98-a-0010,36.117000,36.307000,from,I,sd,u-10-1
sw3215B-ms98-a-0010,36.307000,36.657000,Dayton,I,sd,u-10-1
sw3215B-ms98-a-0010,36.657000,36.757000,i,B,sd,u-10-2
sw3215B-ms98-a-0010,36.757000,37.087000,spent,I,sd,u-10-2
sw3215B-ms98-a-0010,37.087000,37.197000,the,I,sd,u-10-2
sw3215B-ms98-a-0010,37.197000,37.627000,weekend,I,sd,u-10-2
sw3215B-ms98-a-0010,37.627000,37.727000,in,I,sd,u-10-2
sw3215B-ms98-a-0010,37.727000,38.177000,Ohio,I,sd,u-10-2
sw3215B-ms98-a-0010,38.177000,38.377000,with,I,sd,u-10-2
sw3215B-ms98-a-0010,38.377000,38.562250,my,I,sd,u-10-2
sw3215B-ms98-a-0010,38.562250,39.286875,family,I,sd,u-10-2
sw3215B-ms98-a-0010,39.663500,39.867000,and,B,sd,u-12-1
sw3215B-ms98-a-0010,39.867000,39.927000,the,I,sd,u-12-1
sw3215B-ms98-a-0010,39.927000,40.407000,trees,I,sd,u-12-1
sw3215B-ms98-a-0010,40.407000,40.517000,are,I,sd,u-12-1
sw3215B-ms98-a-0010,40.517000,41.027000,changing,I,sd,u-12-1
sw3215B-ms98-a-0010,41.027000,41.437000,color,I,sd,u-12-1
sw3215B-ms98-a-0010,41.437000,41.947000,there,I,sd,u-12-1
sw3215B-ms98-a-0010,41.947000,42.837000,so,B,%,u-14-1
sw3215B-ms98-a-0010,42.837000,43.267000,that,I,%,u-14-1
sw3215B-ms98-a-0010,43.267000,43.347000,as,B,sd,u-14-2
sw3215B-ms98-a-0010,43.347000,43.567000,soon,I,sd,u-14-2
sw3215B-ms98-a-0010,43.567000,43.657000,as,I,sd,u-14-2
sw3215B-ms98-a-0010,43.657000,43.767000,we,I,sd,u-14-2
sw3215B-ms98-a-0010,43.767000,43.947000,got,I,sd,u-14-2
sw3215B-ms98-a-0010,43.947000,44.147000,out,I,sd,u-14-2
sw3215B-ms98-a-0010,44.147000,44.217000,of,I,sd,u-14-2
sw3215B-ms98-a-0010,44.217000,44.277000,the,I,sd,u-14-2
sw3215B-ms98-a-0010,44.277000,44.697000,cloud,I,sd,u-14-2
