sw3238B-ms98-a-0002,1.277250,1.667250,hello,B,fp^m,u-2-1
sw3238B-ms98-a-0003,2.773500,3.050125,hi,B,fp^m,u-4-1
sw3238B-ms98-a-0005,6.184375,6.344375,i'm,B,fp,u-6-1
sw3238B-ms98-a-0005,6.344375,6.724375,Sandy,I,fp,u-6-1
sw3238B-ms98-a-0005,6.724375,6.894375,i'm,B,fp,u-6-2
sw3238B-ms98-a-0005,6.894375,6.984375,in,I,fp,u-6-2
sw3238B-ms98-a-0005,6.984375,7.354375,Texas,I,fp,u-6-2
sw3238B-ms98-a-0005,7.354375,7.634375,too,I,fp,u-6-2
sw3238B-ms98-a-0007,9.523750,10.483125,[laughter],O,,
sw3238B-ms98-a-0008,11.594500,11.744500,oh,B,bh,u-10-1
sw3238B-ms98-a-0008,11.744500,12.154500,really,I,bh,u-10-1
sw3238B-ms98-a-0010,17.698000,18.016375,yes,B,ny,u-12-1
sw3238B-ms98-a-0011,18.907875,19.217875,yeah,B,ny,u-14-1
sw3238B-ms98-a-0013,22.740750,23.115125,okay,B,na,u-16-1
sw3238B-ms98-a-0015,30.699000,30.969875,yeah,B,b,u-18-1
sw3238B-ms98-a-0017,52.031750,52.221750,so,B,sd,u-20-1
sw3238B-ms98-a-0017,52.221750,52.341750,am,I,sd,u-20-1
sw3238B-ms98-a-0017,52.341750,52.571750,i,I,sd,u-20-1
sw3238B-ms98-a-0018,53.211375,53.395750,i,O,,
sw3238B-ms98-a-0018,53.395750,53.514375,you,B,sv,u-22-1
sw3238B-ms98-a-0018,53.514375,53.661375,know,I,sv,u-22-1
sw3238B-ms98-a-0018,53.661375,53.751375,i,I,sv,u-22-1
sw3238B-ms98-a-0018,53.751375,54.021375,think,I,sv,u-22-1
sw3238B-ms98-a-0018,54.021375,54.211375,it's,I,sv,u-22-1
sw3238B-ms98-a-0018,54.211375,54.461375,kind,I,sv,u-22-1
sw3238B-ms98-a-0018,54.461375,54.582750,of,I,sv,u-22-1
sw3238B-ms98-a-0018,54.865250,55.141375,coming,I,sv,u-22-1
sw3238B-ms98-a-0018,55.141375,55.361375,back,I,sv,u-22-1
sw3238B-ms98-a-0018,55.361375,55.771375,around,I,sv,u-22-1
sw3238B-ms98-a-0018,55.771375,55.891375,to,I,sv,u-22-1
sw3238B-ms98-a-0018,55.891375,56.141375,that,I,sv,u-22-1
sw3238B-ms98-a-0018,56.141375,56.291375,don't,I,sv,u-22-1
sw3238B-ms98-a-0018,56.291375,56.381375,you,I,sv,u-22-1
sw3238B-ms98-a-0018,56.381375,56.467875,i,B,sv,u-22-2
sw3238B-ms98-a-0018,56.467875,56.637375,mean,I,sv,u-22-2
sw3238B-ms98-a-0018,56.637375,56.761375,that,I,sv,u-22-2
sw3238B-ms98-a-0018,56.761375,56.931375,there's,I,sv,u-22-2
sw3238B-ms98-a-0018,56.931375,56.981375,a,I,sv,u-22-2
sw3238B-ms98-a-0018,56.981375,57.151375,lot,I,sv,u-22-2
sw3238B-ms98-a-0018,57.151375,57.271375,more,I,sv,u-22-2
sw3238B-ms98-a-0018,57.271375,57.531375,people,I,sv,u-22-2
sw3238B-ms98-a-0018,57.531375,57.671375,that,I,sv,u-22-2
