sw3239B-ms98-a-0001,1.240000,1.480000,yes,B,ny,u-2-1
sw3239B-ms98-a-0001,1.480000,1.580000,i,B,sd^e,u-2-2
sw3239B-ms98-a-0001,1.580000,2.154625,do,I,sd^e,u-2-2
sw3239B-ms98-a-0001,2.723375,3.000000,i,B,sd,u-2-3
sw3239B-ms98-a-0001,3.000000,3.410000,have,I,sd,u-2-3
sw3239B-ms98-a-0001,3.410000,3.510000,a,I,sd,u-2-3
sw3239B-ms98-a-0001,3.510000,4.010000,dog,I,sd,u-2-3
sw3239B-ms98-a-0001,4.010000,4.220000,named,I,sd,u-2-3
sw3239B-ms98-a-0001,4.220000,4.660000,Grisly,I,sd,u-2-3
sw3239B-ms98-a-0001,4.660000,4.850000,who's,I,sd,u-2-3
sw3239B-ms98-a-0001,4.850000,4.910000,a,I,sd,u-2-3
sw3239B-ms98-a-0001,4.910000,5.230000,ten,I,sd,u-2-3
sw3239B-ms98-a-0001,5.230000,5.430000,year,I,sd,u-2-3
sw3239B-ms98-a-0001,5.430000,5.960000,old,I,sd,u-2-3
sw3239B-ms98-a-0001,5.960000,6.100000,uh,I,sd,u-2-3
sw3239B-ms98-a-0001,6.100000,6.610000,mixed,I,sd,u-2-3
sw3239B-ms98-a-0001,6.610000,7.010000,breed,I,sd,u-2-3
sw3239B-ms98-a-0001,7.010000,7.580000,between,I,sd,u-2-3
sw3239B-ms98-a-0001,7.580000,7.940000,Golden,I,sd,u-2-3
sw3239B-ms98-a-0001,7.940000,8.754375,Retriever,I,sd,u-2-3
sw3239B-ms98-a-0001,8.754375,9.310000,Afghan,I,sd,u-2-3
sw3239B-ms98-a-0001,9.310000,9.610000,Hound,I,sd,u-2-3
sw3239B-ms98-a-0001,9.610000,9.770000,and,I,sd,u-2-3
sw3239B-ms98-a-0001,9.770000,10.491375,Chow,I,sd,u-2-3
sw3239B-ms98-a-0001,11.352125,11.560000,and,B,sd,u-4-1
sw3239B-ms98-a-0001,11.560000,11.640000,i,I,sd,u-4-1
sw3239B-ms98-a-0001,11.640000,12.060000,have,I,sd,u-4-1
sw3239B-ms98-a-0001,12.060000,12.100000,a,I,sd,u-4-1
sw3239B-ms98-a-0001,12.100000,12.330000,pair,I,sd,u-4-1
sw3239B-ms98-a-0001,12.330000,12.460000,of,I,sd,u-4-1
sw3239B-ms98-a-0001,12.460000,12.880000,box,I,sd,u-4-1
sw3239B-ms98-a-0001,12.880000,13.662625,turtles,I,sd,u-4-1
sw3239B-ms98-a-0002,14.397125,15.152750,[laughter],O,,
sw3239B-ms98-a-0004,18.917625,19.527375,yeah,B,b,u-8-1
sw3239B-ms98-a-0005,20.400625,20.598000,oh,B,b,u-10-1
sw3239B-ms98-a-0005,20.598000,20.778000,yeah,I,b,u-10-1
sw3239B-ms98-a-0005,20.778000,20.878000,i,B,sd,u-10-2
sw3239B-ms98-a-0005,20.878000,21.038000,do,I,sd,u-10-2
sw3239B-ms98-a-0005,21.038000,21.692625,too,I,sd,u-10-2
sw3239B-ms98-a-0006,22.110000,22.490000,Lucky,B,sd,u-10-3
sw3239B-ms98-a-0006,22.490000,22.650000,and,I,sd,u-10-3
sw3239B-ms98-a-0006,22.650000,23.120000,Spot,I,sd,u-10-3
sw3239B-ms98-a-0006,23.120000,23.400000,that's,I,sd,u-10-3
sw3239B-ms98-a-0006,23.400000,23.520000,their,I,sd,u-10-3
sw3239B-ms98-a-0006,23.520000,23.980000,names,I,sd,u-10-3
sw3239B-ms98-a-0006,24.430000,24.580000,and,B,sd,u-12-1
sw3239B-ms98-a-0006,24.580000,24.700000,they,I,sd,u-12-1
sw3239B-ms98-a-0006,24.700000,24.930000,live,I,sd,u-12-1
sw3239B-ms98-a-0006,24.930000,25.000000,in,I,sd,u-12-1
sw3239B-ms98-a-0006,25.000000,25.150000,an,I,sd,u-12-1
sw3239B-ms98-a-0006,25.150000,25.670000,aquarium,I,sd,u-12-1
sw3239B-ms98-a-0006,25.670000,26.040000,without,I,sd,u-12-1
sw3239B-ms98-a-0006,26.040000,26.350000,water,I,sd,u-12-1
sw3239B-ms98-a-0006,26.350000,26.470000,in,I,sd,u-12-1
sw3239B-ms98-a-0006,26.470000,26.610000,my,I,sd,u-12-1
sw3239B-ms98-a-0006,26.610000,27.100000,family,I,sd,u-12-1
sw3239B-ms98-a-0006,27.100000,27.410000,room,I,sd,u-12-1
sw3239B-ms98-a-0006,27.410000,27.530000,and,B,sd,u-12-2
sw3239B-ms98-a-0006,27.530000,27.670000,my,I,sd,u-12-2
sw3239B-ms98-a-0006,27.670000,28.110000,dog,I,sd,u-12-2
sw3239B-ms98-a-0006,28.110000,28.350000,thinks,I,sd,u-12-2
sw3239B-ms98-a-0006,28.350000,28.520000,he's,I,sd,u-12-2
sw3239B-ms98-a-0006,28.520000,28.590000,a,I,sd,u-12-2
sw3239B-ms98-a-0006,28.590000,28.880000,mother,I,sd,u-12-2
sw3239B-ms98-a-0006,28.880000,29.459750,turtle,I,sd,u-12-2
sw3239B-ms98-a-0006,29.877750,30.359250,and,B,+,u-14-1
sw3239B-ms98-a-0006,30.359250,30.780000,always,I,+,u-14-1
sw3239B-ms98-a-0006,30.780000,30.970000,has,I,+,u-14-1
sw3239B-ms98-a-0006,30.970000,31.120000,his,I,+,u-14-1
sw3239B-ms98-a-0006,31.120000,31.540000,nose,I,+,u-14-1
sw3239B-ms98-a-0006,31.540000,31.750000,all,I,+,u-14-1
sw3239B-ms98-a-0006,31.750000,32.000000,around,I,+,u-14-1
sw3239B-ms98-a-0006,32.000000,32.100000,my,I,+,u-14-1
sw3239B-ms98-a-0006,32.100000,32.450000,turtle,I,+,u-14-1
sw3239B-ms98-a-0006,32.450000,33.389000,box,I,+,u-14-1
sw3239B-ms98-a-0007,33.912375,34.032375,so,B,qy,u-14-2
sw3239B-ms98-a-0007,34.032375,34.142375,do,I,qy,u-14-2
sw3239B-ms98-a-0007,34.142375,34.212375,you,I,qy,u-14-2
sw3239B-ms98-a-0007,34.212375,34.372375,have,I,qy,u-14-2
sw3239B-ms98-a-0007,34.372375,34.522375,any,I,qy,u-14-2
sw3239B-ms98-a-0007,34.522375,34.872375,pets,I,qy,u-14-2
sw3239B-ms98-a-0007,34.872375,35.455000,now,I,qy,u-14-2
sw3239B-ms98-a-0009,44.416250,44.680375,no,B,nn,u-16-1
sw3239B-ms98-a-0009,44.680375,44.770375,i,B,sd,u-16-2
sw3239B-ms98-a-0009,44.770375,45.220375,haven't,I,sd,u-16-2
sw3239B-ms98-a-0009,45.220375,45.633500,either,I,sd,u-16-2
sw3239B-ms98-a-0011,59.350375,60.434500,oh,B,b,u-18-1
sw3239B-ms98-a-0011,60.699625,60.851375,and,B,qw,u-20-1
sw3239B-ms98-a-0011,60.851375,60.971375,how,I,qw,u-20-1
sw3239B-ms98-a-0011,60.971375,61.261375,big,I,qw,u-20-1
sw3239B-ms98-a-0011,61.261375,61.361375,do,I,qw,u-20-1
sw3239B-ms98-a-0011,61.361375,61.521375,they,I,qw,u-20-1
sw3239B-ms98-a-0011,61.521375,62.004875,get,I,qw,u-20-1
sw3239B-ms98-a-0013,69.498250,69.822000,oh,B,ba,u-22-1
sw3239B-ms98-a-0013,69.822000,70.092000,that's,I,ba,u-22-1
sw3239B-ms98-a-0013,70.092000,71.062000,interesting,I,ba,u-22-1
sw3239B-ms98-a-0015,87.070625,87.560500,ye[s]-,O,,
sw3239B-ms98-a-0015,87.560500,87.660500,the,B,sv,u-24-2
sw3239B-ms98-a-0015,87.660500,88.180500,water,I,sv,u-24-2
sw3239B-ms98-a-0015,88.180500,88.909375,yes,B,%,u-24-3
sw3239B-ms98-a-0017,92.437625,93.219250,yeah,B,b,u-26-1
sw3239B-ms98-a-0019,98.466875,99.716375,oh,B,b,u-28-1
sw3239B-ms98-a-0021,101.960625,102.673125,uh-huh,B,b,u-30-1
sw3239B-ms98-a-0021,103.061000,103.209250,well,B,sd,u-30-2
sw3239B-ms98-a-0021,103.209250,103.439250,we've,I,sd,u-30-2
sw3239B-ms98-a-0021,103.439250,103.669250,got,I,sd,u-30-2
sw3239B-ms98-a-0021,103.669250,103.739250,a,I,sd,u-30-2
sw3239B-ms98-a-0021,103.739250,103.979250,good,I,sd,u-30-2
sw3239B-ms98-a-0021,103.979250,104.389250,size,I,sd,u-30-2
sw3239B-ms98-a-0021,104.389250,105.099250,dog,I,sd,u-30-2
sw3239B-ms98-a-0021,105.099250,105.369250,and,B,sd,u-30-3
sw3239B-ms98-a-0021,105.369250,105.509250,we,I,sd,u-30-3
sw3239B-ms98-a-0021,105.509250,105.589250,were,I,sd,u-30-3
sw3239B-ms98-a-0021,105.589250,106.259250,considering,I,sd,u-30-3
sw3239B-ms98-a-0021,106.259250,106.569250,getting,I,sd,u-30-3
sw3239B-ms98-a-0021,106.569250,106.629250,a,I,sd,u-30-3
sw3239B-ms98-a-0021,106.629250,107.293000,puppy,I,sd,u-30-3
sw3239B-ms98-a-0021,107.583000,107.729250,a,I,sd,u-30-3
sw3239B-ms98-a-0021,107.729250,108.482250,small,I,sd,u-30-3
sw3239B-ms98-a-0021,108.482250,109.129250,house,I,sd,u-30-3
sw3239B-ms98-a-0021,109.129250,109.469250,lap,I,sd,u-30-3
sw3239B-ms98-a-0021,109.469250,109.879250,top,I,sd,u-30-3
sw3239B-ms98-a-0021,109.879250,110.402375,dog,I,sd,u-30-3
sw3239B-ms98-a-0022,111.019750,111.277250,for,I,sd,u-30-3
sw3239B-ms98-a-0022,111.277250,111.597250,him,I,sd,u-30-3
sw3239B-ms98-a-0022,111.597250,111.827250,because,I,sd,u-30-3
sw3239B-ms98-a-0022,111.827250,111.957250,he,I,sd,u-30-3
sw3239B-ms98-a-0022,111.957250,112.277250,likes,I,sd,u-30-3
sw3239B-ms98-a-0022,112.277250,112.507250,other,I,sd,u-30-3
sw3239B-ms98-a-0022,112.507250,113.357250,animals,I,sd,u-30-3
sw3239B-ms98-a-0022,113.357250,113.497250,and,I,sd,u-30-3
sw3239B-ms98-a-0022,113.497250,113.637250,for,I,sd,u-30-3
sw3239B-ms98-a-0022,113.637250,113.867250,me,I,sd,u-30-3
