sw3245A-ms98-a-0001,1.084875,1.714750,okay,B,bk,u-2-1
sw3245A-ms98-a-0001,1.714750,1.830000,so,B,sd^t,u-2-2
sw3245A-ms98-a-0001,1.830000,1.940000,we're,I,sd^t,u-2-2
sw3245A-ms98-a-0001,1.940000,2.060000,going,I,sd^t,u-2-2
sw3245A-ms98-a-0001,2.060000,2.120000,to,I,sd^t,u-2-2
sw3245A-ms98-a-0001,2.120000,2.330000,talk,I,sd^t,u-2-2
sw3245A-ms98-a-0001,2.330000,2.703000,about,I,sd^t,u-2-2
sw3245A-ms98-a-0001,2.703000,2.940000,uh,I,sd^t,u-2-2
sw3245A-ms98-a-0001,2.940000,3.050000,what,I,sd^t,u-2-2
sw3245A-ms98-a-0001,3.050000,3.200000,kind,I,sd^t,u-2-2
sw3245A-ms98-a-0001,3.200000,3.260000,of,I,sd^t,u-2-2
sw3245A-ms98-a-0001,3.260000,3.550000,clothes,I,sd^t,u-2-2
sw3245A-ms98-a-0001,3.550000,3.630000,we,I,sd^t,u-2-2
sw3245A-ms98-a-0001,3.630000,3.830000,wear,I,sd^t,u-2-2
sw3245A-ms98-a-0001,3.830000,3.970000,while,I,sd^t,u-2-2
sw3245A-ms98-a-0001,3.970000,4.110000,we,I,sd^t,u-2-2
sw3245A-ms98-a-0001,4.110000,4.470250,work,I,sd^t,u-2-2
sw3245A-ms98-a-0002,4.959500,4.992375,do,B,qy,u-4-1
sw3245A-ms98-a-0002,4.992375,5.072375,you,I,qy,u-4-1
sw3245A-ms98-a-0002,5.072375,5.282375,work,I,qy,u-4-1
sw3245A-ms98-a-0002,5.282375,5.409625,for,I,qy,u-4-1
sw3245A-ms98-a-0002,5.409625,5.802625,TI,O,,
sw3245A-ms98-a-0004,7.826750,7.960000,oh,B,bh,u-6-1
sw3245A-ms98-a-0004,7.960000,8.060000,you,I,bh,u-6-1
sw3245A-ms98-a-0004,8.060000,8.490000,do,I,bh,u-6-1
sw3245A-ms98-a-0004,8.490000,8.590000,well,B,sd,u-6-2
