sw3294A-ms98-a-0002,1.380875,1.609375,so,B,qo,u-2-1
sw3294A-ms98-a-0002,1.771625,1.920875,so,B,+,u-4-1
sw3294A-ms98-a-0002,1.920875,2.070875,what,I,+,u-4-1
sw3294A-ms98-a-0002,2.070875,2.300875,gets,I,+,u-4-1
sw3294A-ms98-a-0002,2.300875,2.480875,you,I,+,u-4-1
sw3294A-ms98-a-0004,15.524250,15.833500,um-hum,B,b,u-6-1
sw3294A-ms98-a-0006,19.846000,20.136000,um-hum,B,b,u-8-1
sw3294A-ms98-a-0008,34.915875,35.182625,well,B,%,u-10-1
sw3294A-ms98-a-0008,35.182625,35.242625,i,I,%,u-10-1
sw3294A-ms98-a-0008,35.242625,35.402625,mean,I,%,u-10-1
sw3294A-ms98-a-0008,35.402625,35.592625,i,I,%,u-10-1
sw3294A-ms98-a-0008,35.592625,35.862625,[vocalized-noise],O,,
sw3294A-ms98-a-0008,35.862625,36.348750,that's,B,sd,u-10-2
sw3294A-ms98-a-0008,36.658500,37.042625,exactly,I,sd,u-10-2
sw3294A-ms98-a-0008,37.042625,37.102625,the,I,sd,u-10-2
sw3294A-ms98-a-0008,37.102625,37.392625,kind,I,sd,u-10-2
sw3294A-ms98-a-0008,37.392625,37.452625,of,I,sd,u-10-2
sw3294A-ms98-a-0008,37.452625,37.622625,thing,I,sd,u-10-2
sw3294A-ms98-a-0008,37.622625,37.672625,i,I,sd,u-10-2
sw3294A-ms98-a-0008,37.672625,37.762625,would,I,sd,u-10-2
sw3294A-ms98-a-0008,37.762625,37.852625,have,I,sd,u-10-2
sw3294A-ms98-a-0008,37.852625,38.135125,said,I,sd,u-10-2
sw3294A-ms98-a-0008,38.264500,38.812625,although,B,sd,u-10-3
sw3294A-ms98-a-0008,38.812625,38.882625,in,I,sd,u-10-3
sw3294A-ms98-a-0008,38.882625,39.070375,my,I,sd,u-10-3
sw3294A-ms98-a-0008,39.070375,39.282625,case,I,sd,u-10-3
sw3294A-ms98-a-0008,39.282625,39.642625,it's,I,sd,u-10-3
sw3294A-ms98-a-0008,39.872625,39.972625,my,I,sd,u-10-3
sw3294A-ms98-a-0008,39.972625,40.212625,wife,I,sd,u-10-3
sw3294A-ms98-a-0008,40.212625,40.312625,and,I,sd,u-10-3
sw3294A-ms98-a-0008,40.312625,40.392625,i,I,sd,u-10-3
sw3294A-ms98-a-0008,40.392625,40.642625,both,I,sd,u-10-3
sw3294A-ms98-a-0008,40.642625,40.872625,work,I,sd,u-10-3
sw3294A-ms98-a-0008,41.002625,41.082625,we,B,sd,u-10-4
sw3294A-ms98-a-0008,41.082625,41.272625,come,I,sd,u-10-4
sw3294A-ms98-a-0008,41.272625,41.712625,home,I,sd,u-10-4
sw3294A-ms98-a-0009,42.203750,42.373750,and,B,sd,u-10-5
sw3294A-ms98-a-0009,42.373750,42.663750,just,I,sd,u-10-5
sw3294A-ms98-a-0009,42.663750,42.803750,as,I,sd,u-10-5
sw3294A-ms98-a-0009,42.803750,42.983750,we're,I,sd,u-10-5
sw3294A-ms98-a-0009,42.983750,43.393750,preparing,I,sd,u-10-5
sw3294A-ms98-a-0009,43.393750,43.613750,dinner,I,sd,u-10-5
sw3294A-ms98-a-0009,43.613750,43.723750,or,I,sd,u-10-5
sw3294A-ms98-a-0009,43.723750,43.953750,eating,I,sd,u-10-5
sw3294A-ms98-a-0009,43.953750,44.363750,dinner,I,sd,u-10-5
sw3294A-ms98-a-0009,44.363750,44.473750,the,B,+,u-12-1
sw3294A-ms98-a-0009,44.473750,44.753750,phone,I,+,u-12-1
sw3294A-ms98-a-0009,44.753750,45.053750,rings,I,+,u-12-1
sw3294A-ms98-a-0009,45.053750,45.553750,and,B,sd,u-12-2
sw3294A-ms98-a-0009,45.553750,45.743750,it's,I,sd,u-12-2
sw3294A-ms98-a-0009,45.743750,45.943750,one,I,sd,u-12-2
sw3294A-ms98-a-0009,45.943750,46.803750,solicitation,I,sd,u-12-2
sw3294A-ms98-a-0009,46.803750,47.033750,call,I,sd,u-12-2
sw3294A-ms98-a-0009,47.033750,47.253750,after,I,sd,u-12-2
sw3294A-ms98-a-0009,47.253750,47.683750,another,I,sd,u-12-2
sw3294A-ms98-a-0009,47.683750,47.933750,and,B,%,u-12-3
sw3294A-ms98-a-0010,48.845750,48.965750,you,I,%,u-12-3
sw3294A-ms98-a-0010,48.965750,49.365750,know,I,%,u-12-3
sw3294A-ms98-a-0012,51.061875,51.361875,yeah,B,aa,u-14-1
sw3294A-ms98-a-0012,51.361875,51.591875,it's,B,sv,u-14-2
sw3294A-ms98-a-0012,51.591875,52.031875,it's,I,sv,u-14-2
sw3294A-ms98-a-0012,52.031875,52.541875,[vocalized-noise],O,,
sw3294A-ms98-a-0012,52.541875,52.731875,like,B,+,u-16-1
sw3294A-ms98-a-0012,52.731875,52.791875,you,I,+,u-16-1
sw3294A-ms98-a-0012,52.791875,52.971875,say,I,+,u-16-1
sw3294A-ms98-a-0012,52.971875,53.231875,very,I,+,u-16-1
sw3294A-ms98-a-0012,53.231875,53.671875,annoying,I,+,u-16-1
sw3294A-ms98-a-0012,53.671875,54.011875,and,B,qh,u-16-2
sw3294A-ms98-a-0012,54.011875,54.293250,um,I,qh,u-16-2
