sw3313A-ms98-a-0002,2.474500,2.939250,Jeri,B,o,u-1-1
sw3313A-ms98-a-0002,3.602125,3.840125,we're,B,sd^t,u-3-1
sw3313A-ms98-a-0002,3.840125,4.090125,supposed,I,sd^t,u-3-1
sw3313A-ms98-a-0002,4.090125,4.160125,to,I,sd^t,u-3-1
sw3313A-ms98-a-0002,4.160125,4.660125,discuss,I,sd^t,u-3-1
sw3313A-ms98-a-0002,4.660125,5.150125,crime,I,sd^t,u-3-1
sw3313A-ms98-a-0002,5.150125,5.210125,in,I,sd^t,u-3-1
sw3313A-ms98-a-0002,5.210125,5.270125,the,I,sd^t,u-3-1
sw3313A-ms98-a-0002,5.270125,5.660125,United,I,sd^t,u-3-1
sw3313A-ms98-a-0002,5.660125,6.140125,States,I,sd^t,u-3-1
sw3313A-ms98-a-0002,6.140125,6.350125,and,I,sd^t,u-3-1
sw3313A-ms98-a-0002,6.350125,6.480125,what,I,sd^t,u-3-1
sw3313A-ms98-a-0002,6.480125,6.580125,can,I,sd^t,u-3-1
sw3313A-ms98-a-0002,6.580125,6.670125,be,I,sd^t,u-3-1
sw3313A-ms98-a-0002,6.670125,6.890125,done,I,sd^t,u-3-1
sw3313A-ms98-a-0002,6.890125,7.230125,about,I,sd^t,u-3-1
sw3313A-ms98-a-0002,7.230125,7.386250,it,I,sd^t,u-3-1
sw3313A-ms98-a-0004,8.845750,10.574625,[laughter],O,,
sw3313A-ms98-a-0004,10.574625,10.714625,they're,B,sv,u-5-1
sw3313A-ms98-a-0004,10.714625,11.094625,usually,I,sv,u-5-1
sw3313A-ms98-a-0004,11.094625,11.354625,pretty,I,sv,u-5-1
sw3313A-ms98-a-0004,11.354625,11.664625,broad,I,sv,u-5-1
sw3313A-ms98-a-0004,11.664625,12.338000,anyway,I,sv,u-5-1
sw3313A-ms98-a-0005,13.192875,13.615500,where,B,qw,u-7-1
sw3313A-ms98-a-0005,13.615500,13.705500,do,I,qw,u-7-1
sw3313A-ms98-a-0005,13.705500,13.875500,you,I,qw,u-7-1
sw3313A-ms98-a-0005,13.875500,14.163125,live,I,qw,u-7-1
