sw3319A-ms98-a-0001,0.030000,0.550000,golfer,B,qy,u-1-1
sw3319A-ms98-a-0003,2.720250,3.135500,well,B,%,u-3-1
sw3319A-ms98-a-0004,4.871375,5.231375,well,B,aa,u-5-1
sw3319A-ms98-a-0004,5.231375,5.481375,that's,I,aa,u-5-1
sw3319A-ms98-a-0004,5.481375,5.831375,about,I,aa,u-5-1
sw3319A-ms98-a-0004,5.831375,5.941375,the,I,aa,u-5-1
sw3319A-ms98-a-0004,5.941375,6.241375,way,I,aa,u-5-1
sw3319A-ms98-a-0004,6.241375,6.371375,i,I,aa,u-5-1
sw3319A-ms98-a-0004,6.371375,6.571375,am,I,aa,u-5-1
sw3319A-ms98-a-0004,6.571375,6.651375,i,B,sd,u-5-2
sw3319A-ms98-a-0004,6.651375,6.831375,don't,I,sd,u-5-2
sw3319A-ms98-a-0004,6.831375,7.161375,consider,I,sd,u-5-2
sw3319A-ms98-a-0004,7.161375,7.541375,myself,I,sd,u-5-2
sw3319A-ms98-a-0004,7.541375,7.601375,a,I,sd,u-5-2
sw3319A-ms98-a-0004,7.601375,7.781375,good,I,sd,u-5-2
sw3319A-ms98-a-0004,7.781375,7.961375,one,I,sd,u-5-2
sw3319A-ms98-a-0004,7.961375,8.101375,but,B,sd,u-5-3
sw3319A-ms98-a-0004,8.101375,8.181375,i,I,sd,u-5-3
sw3319A-ms98-a-0004,8.181375,8.421375,do,I,sd,u-5-3
sw3319A-ms98-a-0004,8.421375,8.821375,enjoy,I,sd,u-5-3
sw3319A-ms98-a-0004,8.821375,9.111375,it,I,sd,u-5-3
sw3319A-ms98-a-0006,18.343625,18.475625,i,B,sd,u-7-1
sw3319A-ms98-a-0006,18.475625,18.801750,usually,I,sd,u-7-1
sw3319A-ms98-a-0006,18.801750,19.013625,play,I,sd,u-7-1
sw3319A-ms98-a-0006,19.013625,19.053625,a,I,sd,u-7-1
sw3319A-ms98-a-0006,19.053625,19.393625,couple,I,sd,u-7-1
sw3319A-ms98-a-0006,19.393625,19.463625,of,I,sd,u-7-1
sw3319A-ms98-a-0006,19.463625,19.803625,times,I,sd,u-7-1
sw3319A-ms98-a-0006,19.803625,19.863625,a,I,sd,u-7-1
sw3319A-ms98-a-0006,19.863625,20.413625,month,I,sd,u-7-1
sw3319A-ms98-a-0006,20.413625,21.673625,sometimes,B,sd,u-7-2
sw3319A-ms98-a-0006,21.673625,22.169000,more,I,sd,u-7-2
sw3319A-ms98-a-0006,22.873375,23.043625,but,B,sd,u-7-3
sw3319A-ms98-a-0006,23.043625,23.393625,lately,I,sd,u-7-3
sw3319A-ms98-a-0006,23.393625,23.563625,it's,I,sd,u-7-3
sw3319A-ms98-a-0006,23.563625,23.753625,been,I,sd,u-7-3
sw3319A-ms98-a-0006,23.753625,23.973625,just,I,sd,u-7-3
sw3319A-ms98-a-0006,23.973625,24.293625,about,I,sd,u-7-3
sw3319A-ms98-a-0006,24.293625,24.663625,that,I,sd,u-7-3
sw3319A-ms98-a-0007,25.616125,26.016125,but,B,sd,u-7-4
sw3319A-ms98-a-0007,26.016125,26.116125,i,I,sd,u-7-4
sw3319A-ms98-a-0007,26.116125,26.366125,do,I,sd,u-7-4
sw3319A-ms98-a-0007,26.366125,26.846125,enjoy,I,sd,u-7-4
sw3319A-ms98-a-0007,26.846125,26.896125,i,B,sv,u-7-5
sw3319A-ms98-a-0007,26.896125,27.126125,think,I,sv,u-7-5
sw3319A-ms98-a-0007,27.126125,27.196125,the,I,sv,u-7-5
sw3319A-ms98-a-0007,27.196125,27.306125,one,I,sv,u-7-5
sw3319A-ms98-a-0007,27.306125,27.366125,of,I,sv,u-7-5
sw3319A-ms98-a-0007,27.366125,27.426125,the,I,sv,u-7-5
sw3319A-ms98-a-0007,27.426125,27.636125,things,I,sv,u-7-5
sw3319A-ms98-a-0007,27.636125,27.716125,i,I,sv,u-7-5
sw3319A-ms98-a-0007,27.716125,28.076125,enjoy,I,sv,u-7-5
sw3319A-ms98-a-0007,28.076125,28.166125,the,I,sv,u-7-5
sw3319A-ms98-a-0007,28.166125,28.496125,most,I,sv,u-7-5
sw3319A-ms98-a-0007,28.496125,28.556125,is,I,sv,u-7-5
sw3319A-ms98-a-0007,28.556125,28.636125,the,I,sv,u-7-5
sw3319A-ms98-a-0007,28.636125,28.926125,beauty,I,sv,u-7-5
sw3319A-ms98-a-0007,28.926125,29.036125,of,I,sv,u-7-5
sw3319A-ms98-a-0007,29.036125,29.106125,the,I,sv,u-7-5
sw3319A-ms98-a-0007,29.106125,29.446125,golf,I,sv,u-7-5
sw3319A-ms98-a-0007,29.446125,29.936125,courses,I,sv,u-7-5
sw3319A-ms98-a-0009,33.043875,33.622625,um-hum,B,aa,u-9-1
sw3319A-ms98-a-0009,33.848500,34.053875,you,B,sd,u-9-2
sw3319A-ms98-a-0009,34.053875,34.263875,can,I,sd,u-9-2
sw3319A-ms98-a-0009,34.263875,34.433875,get,I,sd,u-9-2
sw3319A-ms98-a-0009,34.433875,34.663875,out,I,sd,u-9-2
sw3319A-ms98-a-0009,34.663875,35.102625,there,I,sd,u-9-2
sw3319A-ms98-a-0010,36.242125,37.789875,[laughter],O,,
sw3319A-ms98-a-0010,37.789875,38.199875,yeah,B,b,u-13-1
sw3319A-ms98-a-0010,38.199875,38.509875,that's,B,sd,u-13-2
sw3319A-ms98-a-0010,38.509875,38.829875,really,I,sd,u-13-2
sw3319A-ms98-a-0010,38.829875,39.169875,neat,I,sd,u-13-2
sw3319A-ms98-a-0010,39.169875,39.339875,you,B,sv,u-13-3
sw3319A-ms98-a-0010,39.339875,39.429875,can,I,sv,u-13-3
sw3319A-ms98-a-0010,39.429875,39.619875,just,I,sv,u-13-3
sw3319A-ms98-a-0010,39.619875,39.759875,get,I,sv,u-13-3
sw3319A-ms98-a-0010,39.759875,39.909875,out,I,sv,u-13-3
sw3319A-ms98-a-0010,39.909875,40.029875,there,I,sv,u-13-3
sw3319A-ms98-a-0010,40.029875,40.139875,and,I,sv,u-13-3
sw3319A-ms98-a-0010,40.139875,40.399875,lose,I,sv,u-13-3
sw3319A-ms98-a-0010,40.399875,40.849875,yourself,I,sv,u-13-3
sw3319A-ms98-a-0010,40.849875,41.009875,in,I,sv,u-13-3
sw3319A-ms98-a-0010,41.009875,41.189875,it,I,sv,u-13-3
sw3319A-ms98-a-0010,41.189875,41.379875,and,I,sv,u-13-3
sw3319A-ms98-a-0010,41.979875,42.309875,forget,I,sv,u-13-3
sw3319A-ms98-a-0010,42.309875,42.734125,everything,I,sv,u-13-3
sw3319A-ms98-a-0010,42.734125,42.979875,else,I,sv,u-13-3
sw3319A-ms98-a-0010,42.979875,43.069875,in,I,sv,u-13-3
sw3319A-ms98-a-0010,43.069875,43.149875,the,I,sv,u-13-3
sw3319A-ms98-a-0010,43.149875,43.439875,world,I,sv,u-13-3
sw3319A-ms98-a-0010,43.439875,43.639875,except,I,sv,u-13-3
sw3319A-ms98-a-0010,43.639875,43.809875,what,I,sv,u-13-3
sw3319A-ms98-a-0010,43.809875,43.909875,you're,I,sv,u-13-3
sw3319A-ms98-a-0010,43.909875,44.289875,seeing,I,sv,u-13-3
sw3319A-ms98-a-0010,44.289875,44.459875,out,I,sv,u-13-3
sw3319A-ms98-a-0010,44.459875,44.806000,there,I,sv,u-13-3
sw3319A-ms98-a-0012,48.068500,48.615875,um-hum,B,aa,u-15-1
sw3319A-ms98-a-0012,49.007625,49.258500,yeah,B,aa,u-15-2
sw3319A-ms98-a-0012,49.258500,49.348500,it,B,aa,u-15-3
sw3319A-ms98-a-0012,49.348500,49.828500,really,I,aa,u-15-3
sw3319A-ms98-a-0012,49.828500,50.008500,is,I,aa,u-15-3
sw3319A-ms98-a-0014,56.294125,57.649875,[laughter],O,,
sw3319A-ms98-a-0014,57.649875,57.816500,and,B,sd,u-17-1
sw3319A-ms98-a-0014,57.816500,57.931125,you,I,sd,u-17-1
sw3319A-ms98-a-0014,57.931125,58.041125,know,I,sd,u-17-1
sw3319A-ms98-a-0014,58.041125,58.271125,it's,I,sd,u-17-1
sw3319A-ms98-a-0014,58.271125,58.441125,so,I,sd,u-17-1
sw3319A-ms98-a-0014,58.441125,59.121125,frustrating,I,sd,u-17-1
sw3319A-ms98-a-0014,59.121125,59.201125,i,B,qh,u-17-2
sw3319A-ms98-a-0014,59.201125,59.491125,keep,I,qh,u-17-2
sw3319A-ms98-a-0014,59.491125,59.801125,wondering,I,qh,u-17-2
sw3319A-ms98-a-0014,59.801125,60.298125,sometimes,I,qh,u-17-2
sw3319A-ms98-a-0014,60.298125,60.471125,why,I,qh,u-17-2
sw3319A-ms98-a-0014,60.471125,60.611125,do,I,qh,u-17-2
sw3319A-ms98-a-0014,60.611125,60.721125,i,I,qh,u-17-2
sw3319A-ms98-a-0014,60.721125,60.941125,do,I,qh,u-17-2
sw3319A-ms98-a-0014,60.941125,61.362250,this,I,qh,u-17-2
sw3319A-ms98-a-0014,61.765250,62.101125,because,I,qh,u-17-2
sw3319A-ms98-a-0014,62.101125,62.271125,it's,I,qh,u-17-2
sw3319A-ms98-a-0014,62.271125,62.451125,so,I,qh,u-17-2
sw3319A-ms98-a-0014,62.451125,63.161125,frustrating,I,qh,u-17-2
sw3319A-ms98-a-0014,63.161125,63.291125,you,B,sd,u-17-3
sw3319A-ms98-a-0014,63.291125,63.571125,think,I,sd,u-17-3
sw3319A-ms98-a-0014,63.571125,63.651125,you,I,sd,u-17-3
sw3319A-ms98-a-0014,63.651125,63.791125,do,I,sd,u-17-3
sw3319A-ms98-a-0014,63.791125,64.041125,pretty,I,sd,u-17-3
sw3319A-ms98-a-0014,64.041125,64.421125,good,I,sd,u-17-3
