sw3332B-ms98-a-0003,2.573125,3.494625,sure,B,aa,u-2-1
sw3332B-ms98-a-0005,5.154375,5.709000,no,B,nn,u-4-1
sw3332B-ms98-a-0005,5.709000,5.899000,of,B,sd,u-4-2
sw3332B-ms98-a-0005,5.899000,6.349000,course,I,sd,u-4-2
sw3332B-ms98-a-0005,6.349000,6.409000,i,I,sd,u-4-2
sw3332B-ms98-a-0005,6.409000,6.679000,use,I,sd,u-4-2
sw3332B-ms98-a-0005,6.679000,7.029000,credit,B,+,u-6-1
sw3332B-ms98-a-0005,7.029000,7.389000,cards,I,+,u-6-1
sw3332B-ms98-a-0005,7.389000,7.459000,i,B,sd,u-6-2
sw3332B-ms98-a-0005,7.459000,7.719000,have,I,sd,u-6-2
sw3332B-ms98-a-0005,7.719000,7.749000,a,I,sd,u-6-2
sw3332B-ms98-a-0005,7.749000,8.019000,couple,I,sd,u-6-2
sw3332B-ms98-a-0005,8.019000,8.099000,of,I,sd,u-6-2
sw3332B-ms98-a-0005,8.099000,8.439000,credit,I,sd,u-6-2
sw3332B-ms98-a-0005,8.439000,8.829000,cards,I,sd,u-6-2
sw3332B-ms98-a-0005,8.829000,9.009000,and,B,+,u-8-1
sw3332B-ms98-a-0006,9.682125,10.142125,and,I,+,u-8-1
sw3332B-ms98-a-0006,10.142125,10.272125,uh,I,+,u-8-1
sw3332B-ms98-a-0006,10.272125,10.642125,use,I,+,u-8-1
sw3332B-ms98-a-0006,10.642125,11.062125,them,I,+,u-8-1
sw3332B-ms98-a-0008,13.097875,13.337875,well,O,,
sw3332B-ms98-a-0008,13.337875,13.437875,we,B,ng,u-10-1
sw3332B-ms98-a-0008,13.437875,13.757875,try,I,ng,u-10-1
sw3332B-ms98-a-0008,13.757875,14.047875,not,I,ng,u-10-1
sw3332B-ms98-a-0008,14.047875,14.307875,to,I,ng,u-10-1
sw3332B-ms98-a-0008,14.307875,14.477875,we're,B,sd,u-12-1
sw3332B-ms98-a-0008,14.477875,14.627875,on,I,sd,u-12-1
sw3332B-ms98-a-0008,14.627875,14.707875,a,I,sd,u-12-1
sw3332B-ms98-a-0008,14.707875,15.067875,pretty,I,sd,u-12-1
sw3332B-ms98-a-0008,15.067875,15.547875,strict,I,sd,u-12-1
sw3332B-ms98-a-0008,15.547875,15.737875,and,I,sd,u-12-1
sw3332B-ms98-a-0008,15.737875,16.037875,tight,I,sd,u-12-1
sw3332B-ms98-a-0008,16.037875,16.626000,budget,I,sd,u-12-1
sw3332B-ms98-a-0008,16.626000,16.857875,we,B,sd,u-14-1
sw3332B-ms98-a-0008,16.857875,17.137875,use,I,sd,u-14-1
sw3332B-ms98-a-0008,17.137875,17.207875,the,I,sd,u-14-1
sw3332B-ms98-a-0008,17.207875,17.657875,credit,I,sd,u-14-1
sw3332B-ms98-a-0008,17.657875,18.177875,cards,I,sd,u-14-1
sw3332B-ms98-a-0008,18.177875,18.944625,however,I,sd,u-14-1
sw3332B-ms98-a-0009,19.488000,19.708000,when,I,sd,u-14-1
sw3332B-ms98-a-0009,19.708000,19.878000,we're,I,sd,u-14-1
sw3332B-ms98-a-0009,19.878000,20.098000,at,I,sd,u-14-1
sw3332B-ms98-a-0009,20.098000,20.138000,a,I,sd,u-14-1
sw3332B-ms98-a-0009,20.138000,20.908000,situation,I,sd,u-14-1
sw3332B-ms98-a-0009,20.908000,21.068000,where,I,sd,u-14-1
sw3332B-ms98-a-0009,21.068000,21.178000,we,I,sd,u-14-1
sw3332B-ms98-a-0009,21.178000,21.358000,don't,I,sd,u-14-1
sw3332B-ms98-a-0009,21.358000,21.648000,have,I,sd,u-14-1
sw3332B-ms98-a-0009,21.648000,21.878000,either,I,sd,u-14-1
sw3332B-ms98-a-0009,21.878000,21.978000,the,I,sd,u-14-1
sw3332B-ms98-a-0009,21.978000,22.548000,cash,I,sd,u-14-1
sw3332B-ms98-a-0009,22.548000,22.628000,or,I,sd,u-14-1
sw3332B-ms98-a-0009,22.628000,22.758000,the,I,sd,u-14-1
sw3332B-ms98-a-0009,22.758000,23.308000,checkbook,I,sd,u-14-1
sw3332B-ms98-a-0009,23.308000,23.829375,handy,I,sd,u-14-1
sw3332B-ms98-a-0010,24.351250,24.751250,or,B,sd,u-16-1
